date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,1,-4,0.0,10.0,1,97,06:38 PM,07:47 AM,08:27 AM,06:42 PM,-10,-10,-3,-10,34,89,61,0.0,1038,-3,10,9,25,AUS
2018-01-01 03:00:00,1,-4,0.0,10.0,1,97,06:38 PM,07:47 AM,08:27 AM,06:42 PM,-13,-10,-3,-10,36,37,48,0.0,1038,-3,10,17,26,AUS
2018-01-01 06:00:00,1,-4,0.0,10.0,1,97,06:38 PM,07:47 AM,08:27 AM,06:42 PM,-15,-11,-4,-11,30,62,41,0.0,1041,-4,10,12,23,AUS
2018-01-01 09:00:00,1,-4,0.0,10.0,1,97,06:38 PM,07:47 AM,08:27 AM,06:42 PM,-16,-11,-4,-11,31,68,37,0.0,1041,-4,10,20,24,AUS
2018-01-01 12:00:00,1,-4,0.0,10.0,1,97,06:38 PM,07:47 AM,08:27 AM,06:42 PM,-15,-7,-2,-7,21,47,36,0.0,1041,-2,10,10,18,AUS
2018-01-01 15:00:00,1,-4,0.0,10.0,1,97,06:38 PM,07:47 AM,08:27 AM,06:42 PM,-15,-4,1,-4,20,29,31,0.0,1038,1,10,19,18,AUS
2018-01-01 18:00:00,1,-4,0.0,10.0,1,97,06:38 PM,07:47 AM,08:27 AM,06:42 PM,-15,-7,-2,-7,19,21,37,0.0,1038,-2,10,25,13,AUS
2018-01-01 21:00:00,1,-4,0.0,10.0,1,97,06:38 PM,07:47 AM,08:27 AM,06:42 PM,-14,-8,-3,-8,21,32,41,0.0,1038,-3,10,29,14,AUS
2018-01-02 00:00:00,1,-4,0.0,5.1,1,100,07:44 PM,08:50 AM,08:27 AM,06:42 PM,-14,-6,-3,-6,14,88,42,0.0,1038,-3,10,27,10,AUS
2018-01-02 03:00:00,1,-4,0.0,5.1,1,100,07:44 PM,08:50 AM,08:27 AM,06:42 PM,-14,-7,-2,-7,18,74,40,0.0,1037,-2,10,49,13,AUS
2018-01-02 06:00:00,1,-4,0.0,5.1,1,100,07:44 PM,08:50 AM,08:27 AM,06:42 PM,-14,-7,-2,-7,15,100,39,0.0,1037,-2,10,39,11,AUS
2018-01-02 09:00:00,1,-4,0.0,5.1,1,100,07:44 PM,08:50 AM,08:27 AM,06:42 PM,-14,-6,-2,-6,17,90,37,0.0,1036,-2,10,47,13,AUS
2018-01-02 12:00:00,1,-4,0.0,5.1,1,100,07:44 PM,08:50 AM,08:27 AM,06:42 PM,-12,-4,-0,-4,15,84,41,0.0,1036,-0,10,20,13,AUS
2018-01-02 15:00:00,1,-4,0.0,5.1,1,100,07:44 PM,08:50 AM,08:27 AM,06:42 PM,-11,-3,1,-3,18,84,40,0.0,1032,1,10,14,15,AUS
2018-01-02 18:00:00,1,-4,0.0,5.1,1,100,07:44 PM,08:50 AM,08:27 AM,06:42 PM,-9,-7,-2,-7,21,92,59,0.0,1034,-2,10,346,14,AUS
2018-01-02 21:00:00,1,-4,0.0,5.1,1,100,07:44 PM,08:50 AM,08:27 AM,06:42 PM,-10,-8,-4,-8,21,4,62,0.0,1034,-4,10,353,13,AUS
2018-01-03 00:00:00,10,-5,0.0,10.2,2,89,08:51 PM,09:48 AM,08:27 AM,06:43 PM,-10,-8,-4,-8,13,0,62,0.0,1035,-5,10,342,9,AUS
2018-01-03 03:00:00,10,-5,0.0,10.2,2,89,08:51 PM,09:48 AM,08:27 AM,06:43 PM,-12,-9,-5,-9,17,0,55,0.0,1033,-5,10,340,10,AUS
2018-01-03 06:00:00,10,-5,0.0,10.2,2,89,08:51 PM,09:48 AM,08:27 AM,06:43 PM,-11,-4,-2,-4,6,0,52,0.0,1033,-5,10,315,5,AUS
2018-01-03 09:00:00,10,-5,0.0,10.2,2,89,08:51 PM,09:48 AM,08:27 AM,06:43 PM,-15,-5,-1,-5,17,0,34,0.0,1033,-1,10,326,12,AUS
2018-01-03 12:00:00,10,-5,0.0,10.2,2,89,08:51 PM,09:48 AM,08:27 AM,06:43 PM,-11,5,7,5,10,0,27,0.0,1031,6,10,333,9,AUS
2018-01-03 15:00:00,10,-5,0.0,10.2,2,89,08:51 PM,09:48 AM,08:27 AM,06:43 PM,-8,9,10,9,13,0,27,0.0,1028,10,10,345,12,AUS
2018-01-03 18:00:00,10,-5,0.0,10.2,2,89,08:51 PM,09:48 AM,08:27 AM,06:43 PM,-5,6,7,6,11,5,44,0.0,1027,6,10,309,5,AUS
2018-01-03 21:00:00,10,-5,0.0,10.2,2,89,08:51 PM,09:48 AM,08:27 AM,06:43 PM,-5,3,4,3,13,6,50,0.0,1027,4,10,358,6,AUS
2018-01-04 00:00:00,11,1,0.0,8.3,3,81,09:58 PM,10:40 AM,08:27 AM,06:44 PM,-6,1,3,1,14,16,50,0.0,1028,3,10,57,6,AUS
2018-01-04 03:00:00,11,1,0.0,8.3,3,81,09:58 PM,10:40 AM,08:27 AM,06:44 PM,-6,1,2,1,11,33,55,0.0,1028,2,10,68,5,AUS
2018-01-04 06:00:00,11,1,0.0,8.3,3,81,09:58 PM,10:40 AM,08:27 AM,06:44 PM,-7,-0,1,-0,11,40,53,0.0,1029,1,10,20,5,AUS
2018-01-04 09:00:00,11,1,0.0,8.3,3,81,09:58 PM,10:40 AM,08:27 AM,06:44 PM,-6,2,4,2,11,72,47,0.0,1029,4,10,79,6,AUS
2018-01-04 12:00:00,11,1,0.0,8.3,3,81,09:58 PM,10:40 AM,08:27 AM,06:44 PM,-4,10,11,10,7,6,36,0.0,1028,10,10,132,6,AUS
2018-01-04 15:00:00,11,1,0.0,8.3,3,81,09:58 PM,10:40 AM,08:27 AM,06:44 PM,-3,10,11,10,10,28,37,0.0,1026,11,10,121,9,AUS
2018-01-04 18:00:00,11,1,0.0,8.3,3,81,09:58 PM,10:40 AM,08:27 AM,06:44 PM,-2,7,8,7,12,79,48,0.0,1026,8,10,117,6,AUS
2018-01-04 21:00:00,11,1,0.0,8.3,3,81,09:58 PM,10:40 AM,08:27 AM,06:44 PM,-2,6,7,6,15,74,52,0.0,1027,7,10,128,8,AUS
2018-01-05 00:00:00,15,6,0.0,10.2,2,74,11:03 PM,11:26 AM,08:28 AM,06:45 PM,-2,6,7,6,12,100,52,0.0,1028,7,10,136,7,AUS
2018-01-05 03:00:00,15,6,0.0,10.2,2,74,11:03 PM,11:26 AM,08:28 AM,06:45 PM,-1,5,6,5,11,100,60,0.2,1027,6,2,149,6,AUS
2018-01-05 06:00:00,15,6,0.0,10.2,2,74,11:03 PM,11:26 AM,08:28 AM,06:45 PM,0,5,6,5,12,100,65,0.0,1028,6,10,168,7,AUS
2018-01-05 09:00:00,15,6,0.0,10.2,2,74,11:03 PM,11:26 AM,08:28 AM,06:45 PM,1,6,7,6,14,25,63,0.0,1028,7,10,171,9,AUS
2018-01-05 12:00:00,15,6,0.0,10.2,2,74,11:03 PM,11:26 AM,08:28 AM,06:45 PM,0,12,13,12,12,18,42,0.0,1028,13,10,191,10,AUS
2018-01-05 15:00:00,15,6,0.0,10.2,2,74,11:03 PM,11:26 AM,08:28 AM,06:45 PM,0,14,15,14,15,4,37,0.0,1025,15,10,178,13,AUS
2018-01-05 18:00:00,15,6,0.0,10.2,2,74,11:03 PM,11:26 AM,08:28 AM,06:45 PM,-0,10,11,10,20,4,47,0.0,1025,11,10,161,9,AUS
2018-01-05 21:00:00,15,6,0.0,10.2,2,74,11:03 PM,11:26 AM,08:28 AM,06:45 PM,-1,6,8,6,24,32,51,0.0,1026,8,10,170,12,AUS
2018-01-06 00:00:00,15,5,0.0,6.7,4,67,No moonrise,12:06 PM,08:28 AM,06:45 PM,-1,5,7,5,28,5,56,0.0,1026,7,10,179,14,AUS
2018-01-06 03:00:00,15,5,0.0,6.7,4,67,No moonrise,12:06 PM,08:28 AM,06:45 PM,1,5,7,5,16,5,68,0.0,1026,6,10,192,8,AUS
2018-01-06 06:00:00,15,5,0.0,6.7,4,67,No moonrise,12:06 PM,08:28 AM,06:45 PM,2,4,5,4,10,56,79,0.0,1027,5,10,149,5,AUS
2018-01-06 09:00:00,15,5,0.0,6.7,4,67,No moonrise,12:06 PM,08:28 AM,06:45 PM,4,7,8,7,10,58,76,0.0,1028,8,10,135,7,AUS
2018-01-06 12:00:00,15,5,0.0,6.7,4,67,No moonrise,12:06 PM,08:28 AM,06:45 PM,9,14,14,14,12,65,68,0.0,1027,14,10,163,11,AUS
2018-01-06 15:00:00,15,5,0.0,6.7,4,67,No moonrise,12:06 PM,08:28 AM,06:45 PM,10,14,15,14,18,80,73,0.0,1025,15,10,158,14,AUS
2018-01-06 18:00:00,15,5,0.0,6.7,4,67,No moonrise,12:06 PM,08:28 AM,06:45 PM,11,13,13,13,13,68,87,0.0,1023,13,10,151,6,AUS
2018-01-06 21:00:00,15,5,0.0,6.7,4,67,No moonrise,12:06 PM,08:28 AM,06:45 PM,11,11,13,11,27,83,91,0.1,1023,13,10,141,15,AUS
2018-01-07 00:00:00,18,12,0.0,5.1,3,59,12:04 AM,12:44 PM,08:28 AM,06:46 PM,11,9,12,9,33,83,93,0.0,1022,12,10,161,22,AUS
2018-01-07 03:00:00,18,12,0.0,5.1,3,59,12:04 AM,12:44 PM,08:28 AM,06:46 PM,11,10,12,10,32,98,93,0.2,1021,12,2,170,21,AUS
2018-01-07 06:00:00,18,12,0.0,5.1,3,59,12:04 AM,12:44 PM,08:28 AM,06:46 PM,11,10,12,10,30,100,92,0.0,1019,12,10,173,20,AUS
2018-01-07 09:00:00,18,12,0.0,5.1,3,59,12:04 AM,12:44 PM,08:28 AM,06:46 PM,12,11,13,11,37,100,92,0.3,1018,13,2,178,24,AUS
2018-01-07 12:00:00,18,12,0.0,5.1,3,59,12:04 AM,12:44 PM,08:28 AM,06:46 PM,14,17,17,17,35,100,83,0.0,1015,17,10,193,24,AUS
2018-01-07 15:00:00,18,12,0.0,5.1,3,59,12:04 AM,12:44 PM,08:28 AM,06:46 PM,14,18,18,18,38,100,81,0.1,1013,18,10,192,27,AUS
2018-01-07 18:00:00,18,12,0.0,5.1,3,59,12:04 AM,12:44 PM,08:28 AM,06:46 PM,15,17,17,17,14,95,93,0.0,1013,16,10,206,8,AUS
2018-01-07 21:00:00,18,12,0.0,5.1,3,59,12:04 AM,12:44 PM,08:28 AM,06:46 PM,15,16,16,16,31,16,94,2.3,1013,15,9,236,17,AUS
2018-01-08 00:00:00,18,9,0.0,10.2,4,52,01:03 AM,01:20 PM,08:28 AM,06:47 PM,9,11,13,11,41,4,76,0.0,1015,13,10,321,22,AUS
2018-01-08 03:00:00,18,9,0.0,10.2,4,52,01:03 AM,01:20 PM,08:28 AM,06:47 PM,5,8,11,8,48,0,66,0.0,1018,11,10,337,27,AUS
2018-01-08 06:00:00,18,9,0.0,10.2,4,52,01:03 AM,01:20 PM,08:28 AM,06:47 PM,4,6,9,6,31,0,71,0.0,1020,9,10,343,17,AUS
2018-01-08 09:00:00,18,9,0.0,10.2,4,52,01:03 AM,01:20 PM,08:28 AM,06:47 PM,4,7,10,7,38,0,64,0.0,1021,10,10,357,24,AUS
2018-01-08 12:00:00,18,9,0.0,10.2,4,52,01:03 AM,01:20 PM,08:28 AM,06:47 PM,5,16,16,16,20,0,48,0.0,1021,16,10,345,17,AUS
2018-01-08 15:00:00,18,9,0.0,10.2,4,52,01:03 AM,01:20 PM,08:28 AM,06:47 PM,5,18,18,18,23,0,42,0.0,1019,18,10,343,20,AUS
