date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-12,-19,0.0,8.7,2,97,05:25 PM,07:31 AM,08:18 AM,05:31 PM,-21,-25,-17,-25,21,3,70,0.0,1026,-17,10,318,14,BDL
2018-01-01 03:00:00,-12,-19,0.0,8.7,2,97,05:25 PM,07:31 AM,08:18 AM,05:31 PM,-22,-26,-17,-26,22,0,68,0.0,1027,-17,10,320,14,BDL
2018-01-01 06:00:00,-12,-19,0.0,8.7,2,97,05:25 PM,07:31 AM,08:18 AM,05:31 PM,-23,-28,-19,-28,23,2,66,0.0,1028,-19,10,316,15,BDL
2018-01-01 09:00:00,-12,-19,0.0,8.7,2,97,05:25 PM,07:31 AM,08:18 AM,05:31 PM,-22,-24,-15,-24,21,2,56,0.0,1028,-15,10,318,17,BDL
2018-01-01 12:00:00,-12,-19,0.0,8.7,2,97,05:25 PM,07:31 AM,08:18 AM,05:31 PM,-21,-20,-13,-20,19,0,49,0.0,1026,-12,10,311,17,BDL
2018-01-01 15:00:00,-12,-19,0.0,8.7,2,97,05:25 PM,07:31 AM,08:18 AM,05:31 PM,-20,-21,-13,-21,23,3,57,0.0,1027,-13,10,308,16,BDL
2018-01-01 18:00:00,-12,-19,0.0,8.7,2,97,05:25 PM,07:31 AM,08:18 AM,05:31 PM,-18,-19,-14,-19,12,11,73,0.0,1027,-15,10,274,7,BDL
2018-01-01 21:00:00,-12,-19,0.0,8.7,2,97,05:25 PM,07:31 AM,08:18 AM,05:31 PM,-18,-19,-15,-19,10,58,79,0.0,1027,-15,10,240,5,BDL
2018-01-02 00:00:00,-8,-16,0.0,6.9,2,100,06:31 PM,08:34 AM,08:19 AM,05:31 PM,-17,-20,-14,-20,18,62,78,0.0,1026,-14,10,251,10,BDL
2018-01-02 03:00:00,-8,-16,0.0,6.9,2,100,06:31 PM,08:34 AM,08:19 AM,05:31 PM,-17,-20,-14,-20,20,53,78,0.0,1027,-14,10,293,13,BDL
