date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-19,-28,0.0,5.8,1,97,05:40 PM,08:21 AM,09:08 AM,05:40 PM,-29,-38,-28,-38,21,100,97,0.0,1046,-28,0,291,12,BJI
2018-01-01 03:00:00,-19,-28,0.0,5.8,1,97,05:40 PM,08:21 AM,09:08 AM,05:40 PM,-29,-38,-28,-38,21,90,97,0.0,1047,-28,0,289,12,BJI
2018-01-01 06:00:00,-19,-28,0.0,5.8,1,97,05:40 PM,08:21 AM,09:08 AM,05:40 PM,-28,-37,-28,-37,21,84,98,0.0,1047,-28,0,296,10,BJI
2018-01-01 09:00:00,-19,-28,0.0,5.8,1,97,05:40 PM,08:21 AM,09:08 AM,05:40 PM,-27,-36,-27,-36,21,30,94,0.0,1046,-27,2,284,10,BJI
2018-01-01 12:00:00,-19,-28,0.0,5.8,1,97,05:40 PM,08:21 AM,09:08 AM,05:40 PM,-22,-29,-21,-29,15,9,86,0.0,1045,-21,10,276,12,BJI
2018-01-01 15:00:00,-19,-28,0.0,5.8,1,97,05:40 PM,08:21 AM,09:08 AM,05:40 PM,-21,-27,-19,-27,16,6,85,0.0,1043,-19,10,263,13,BJI
2018-01-01 18:00:00,-19,-28,0.0,5.8,1,97,05:40 PM,08:21 AM,09:08 AM,05:40 PM,-24,-32,-23,-32,26,28,90,0.0,1042,-23,10,259,14,BJI
2018-01-01 21:00:00,-19,-28,0.0,5.8,1,97,05:40 PM,08:21 AM,09:08 AM,05:40 PM,-23,-32,-22,-32,28,41,91,0.0,1040,-22,10,256,17,BJI
2018-01-02 00:00:00,-11,-21,0.0,2.1,2,100,06:47 PM,09:25 AM,09:08 AM,05:41 PM,-23,-32,-21,-32,36,9,84,0.0,1037,-21,10,250,22,BJI
2018-01-02 03:00:00,-11,-21,0.0,2.1,2,100,06:47 PM,09:25 AM,09:08 AM,05:41 PM,-24,-32,-21,-32,38,97,71,0.0,1034,-20,10,243,22,BJI
2018-01-02 06:00:00,-11,-21,0.0,2.1,2,100,06:47 PM,09:25 AM,09:08 AM,05:41 PM,-23,-31,-20,-31,42,100,74,0.0,1028,-20,10,240,25,BJI
2018-01-02 09:00:00,-11,-21,0.0,2.1,2,100,06:47 PM,09:25 AM,09:08 AM,05:41 PM,-19,-28,-17,-28,39,29,85,0.0,1022,-17,10,230,26,BJI
