date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:43 PM,-18,-18,-11,-18,22,51,56,0.0,1038,-11,10,353,16,BNA
2018-01-01 03:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:43 PM,-18,-19,-12,-19,24,77,60,0.0,1039,-12,10,358,17,BNA
2018-01-01 06:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:43 PM,-18,-21,-14,-21,20,80,68,0.0,1041,-14,10,351,15,BNA
2018-01-01 09:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:43 PM,-18,-19,-12,-19,20,31,59,0.0,1042,-12,10,359,17,BNA
2018-01-01 12:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:43 PM,-18,-13,-8,-13,13,36,43,0.0,1042,-8,10,356,12,BNA
2018-01-01 15:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:43 PM,-20,-13,-7,-13,17,0,35,0.0,1040,-7,10,352,15,BNA
2018-01-01 18:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:43 PM,-20,-14,-9,-14,14,0,39,0.0,1042,-10,10,344,10,BNA
2018-01-01 21:00:00,-7,-14,0.0,8.7,2,97,05:39 PM,07:14 AM,07:58 AM,05:43 PM,-23,-17,-11,-17,18,0,34,0.0,1042,-11,10,2,12,BNA
2018-01-02 00:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:17 AM,07:58 AM,05:44 PM,-24,-19,-13,-19,17,0,38,0.0,1043,-13,10,11,12,BNA
2018-01-02 03:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:17 AM,07:58 AM,05:44 PM,-22,-17,-12,-17,11,0,41,0.0,1042,-13,10,18,10,BNA
2018-01-02 06:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:17 AM,07:58 AM,05:44 PM,-21,-18,-13,-18,10,2,50,0.0,1043,-14,10,30,9,BNA
2018-01-02 09:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:17 AM,07:58 AM,05:44 PM,-21,-15,-11,-15,10,0,41,0.0,1042,-12,10,39,9,BNA
2018-01-02 12:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:17 AM,07:58 AM,05:44 PM,-19,-5,-3,-5,6,0,28,0.0,1039,-6,10,360,5,BNA
2018-01-02 15:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:17 AM,07:58 AM,05:44 PM,-20,-6,-3,-6,8,0,24,0.0,1035,-5,10,1,7,BNA
2018-01-02 18:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:17 AM,07:58 AM,05:44 PM,-19,-10,-7,-10,9,31,38,0.0,1034,-8,10,8,5,BNA
2018-01-02 21:00:00,-5,-14,0.0,8.7,2,100,06:45 PM,08:17 AM,07:58 AM,05:44 PM,-19,-10,-8,-10,6,18,40,0.0,1032,-8,10,32,4,BNA
2018-01-03 00:00:00,0,-8,0.0,8.7,1,89,07:54 PM,09:15 AM,07:58 AM,05:45 PM,-19,-7,-7,-7,2,100,39,0.0,1030,-8,10,207,1,BNA
2018-01-03 03:00:00,0,-8,0.0,8.7,1,89,07:54 PM,09:15 AM,07:58 AM,05:45 PM,-19,-9,-7,-9,5,100,38,0.0,1028,-7,10,191,4,BNA
2018-01-03 06:00:00,0,-8,0.0,8.7,1,89,07:54 PM,09:15 AM,07:58 AM,05:45 PM,-19,-10,-7,-10,8,100,38,0.0,1028,-7,10,249,6,BNA
2018-01-03 09:00:00,0,-8,0.0,8.7,1,89,07:54 PM,09:15 AM,07:58 AM,05:45 PM,-19,-9,-5,-9,10,45,34,0.0,1026,-6,10,221,8,BNA
