date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,27,24,0.0,11.0,6,97,05:52 PM,06:17 AM,07:01 AM,06:04 PM,21,26,26,24,20,5,84,0.0,1016,24,10,104,12,BQN
2018-01-01 03:00:00,27,24,0.0,11.0,6,97,05:52 PM,06:17 AM,07:01 AM,06:04 PM,21,26,26,24,25,9,84,0.0,1016,24,10,100,15,BQN
2018-01-01 06:00:00,27,24,0.0,11.0,6,97,05:52 PM,06:17 AM,07:01 AM,06:04 PM,21,26,26,24,21,20,82,0.0,1017,24,10,106,14,BQN
2018-01-01 09:00:00,27,24,0.0,11.0,6,97,05:52 PM,06:17 AM,07:01 AM,06:04 PM,21,29,29,27,22,16,72,0.0,1018,27,10,82,18,BQN
2018-01-01 12:00:00,27,24,0.0,11.0,6,97,05:52 PM,06:17 AM,07:01 AM,06:04 PM,22,29,29,27,29,25,73,0.0,1016,27,10,72,22,BQN
2018-01-01 15:00:00,27,24,0.0,11.0,6,97,05:52 PM,06:17 AM,07:01 AM,06:04 PM,22,28,28,26,34,18,78,2.5,1015,26,7,78,22,BQN
2018-01-01 18:00:00,27,24,0.0,11.0,6,97,05:52 PM,06:17 AM,07:01 AM,06:04 PM,21,26,26,24,36,18,83,0.0,1017,24,10,85,22,BQN
2018-01-01 21:00:00,27,24,0.0,11.0,6,97,05:52 PM,06:17 AM,07:01 AM,06:04 PM,21,26,26,24,34,5,85,0.0,1017,24,10,85,22,BQN
2018-01-02 00:00:00,27,23,0.0,11.0,6,100,06:57 PM,07:21 AM,07:01 AM,06:04 PM,21,25,25,23,32,6,85,0.0,1016,23,10,89,20,BQN
2018-01-02 03:00:00,27,23,0.0,11.0,6,100,06:57 PM,07:21 AM,07:01 AM,06:04 PM,20,25,25,23,34,4,84,0.0,1015,23,10,90,21,BQN
2018-01-02 06:00:00,27,23,0.0,11.0,6,100,06:57 PM,07:21 AM,07:01 AM,06:04 PM,20,25,25,23,29,2,81,0.0,1016,23,10,94,19,BQN
