date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-18,-27,0.0,8.4,1,97,05:41 PM,08:14 AM,09:00 AM,05:41 PM,-27,-36,-26,-36,19,88,92,0.0,1046,-26,10,299,12,BRD
2018-01-01 03:00:00,-18,-27,0.0,8.4,1,97,05:41 PM,08:14 AM,09:00 AM,05:41 PM,-27,-35,-26,-35,18,76,93,0.0,1046,-26,10,299,12,BRD
2018-01-01 06:00:00,-18,-27,0.0,8.4,1,97,05:41 PM,08:14 AM,09:00 AM,05:41 PM,-27,-34,-27,-34,13,73,94,0.0,1047,-27,2,305,8,BRD
2018-01-01 09:00:00,-18,-27,0.0,8.4,1,97,05:41 PM,08:14 AM,09:00 AM,05:41 PM,-26,-33,-25,-33,16,49,92,0.0,1046,-25,10,289,10,BRD
2018-01-01 12:00:00,-18,-27,0.0,8.4,1,97,05:41 PM,08:14 AM,09:00 AM,05:41 PM,-22,-27,-20,-27,11,10,84,0.0,1045,-20,10,280,9,BRD
2018-01-01 15:00:00,-18,-27,0.0,8.4,1,97,05:41 PM,08:14 AM,09:00 AM,05:41 PM,-20,-26,-18,-26,15,11,84,0.0,1044,-18,10,266,12,BRD
2018-01-01 18:00:00,-18,-27,0.0,8.4,1,97,05:41 PM,08:14 AM,09:00 AM,05:41 PM,-23,-30,-22,-30,19,15,90,0.0,1043,-22,10,267,11,BRD
2018-01-01 21:00:00,-18,-27,0.0,8.4,1,97,05:41 PM,08:14 AM,09:00 AM,05:41 PM,-23,-31,-22,-31,22,35,91,0.0,1041,-22,10,261,13,BRD
2018-01-02 00:00:00,-12,-22,0.0,3.2,2,100,06:48 PM,09:18 AM,09:00 AM,05:42 PM,-23,-32,-22,-32,27,38,87,0.0,1040,-22,10,259,17,BRD
2018-01-02 03:00:00,-12,-22,0.0,3.2,2,100,06:48 PM,09:18 AM,09:00 AM,05:42 PM,-24,-31,-21,-31,26,92,83,0.0,1036,-21,10,252,16,BRD
2018-01-02 06:00:00,-12,-22,0.0,3.2,2,100,06:48 PM,09:18 AM,09:00 AM,05:42 PM,-25,-33,-22,-33,32,93,77,0.0,1032,-22,10,241,19,BRD
2018-01-02 09:00:00,-12,-22,0.0,3.2,2,100,06:48 PM,09:18 AM,09:00 AM,05:42 PM,-21,-30,-19,-30,33,86,91,0.0,1027,-19,10,233,21,BRD
2018-01-02 12:00:00,-12,-22,0.0,3.2,2,100,06:48 PM,09:18 AM,09:00 AM,05:42 PM,-16,-24,-14,-24,39,100,86,0.0,1020,-14,10,238,28,BRD
2018-01-02 15:00:00,-12,-22,0.0,3.2,2,100,06:48 PM,09:18 AM,09:00 AM,05:42 PM,-15,-20,-12,-20,28,91,80,0.0,1017,-12,10,267,21,BRD
2018-01-02 18:00:00,-12,-22,0.0,3.2,2,100,06:48 PM,09:18 AM,09:00 AM,05:42 PM,-16,-22,-15,-22,22,100,92,0.0,1017,-15,10,281,12,BRD
2018-01-02 21:00:00,-12,-22,0.0,3.2,2,100,06:48 PM,09:18 AM,09:00 AM,05:42 PM,-18,-25,-16,-25,28,100,85,0.1,1020,-16,10,334,18,BRD
2018-01-03 00:00:00,-17,-21,0.0,3.2,1,89,08:01 PM,10:11 AM,09:00 AM,05:43 PM,-19,-25,-17,-25,21,100,87,0.0,1023,-17,10,331,13,BRD
2018-01-03 03:00:00,-17,-21,0.0,3.2,1,89,08:01 PM,10:11 AM,09:00 AM,05:43 PM,-20,-27,-18,-27,25,97,87,0.0,1026,-18,10,332,17,BRD
2018-01-03 06:00:00,-17,-21,0.0,3.2,1,89,08:01 PM,10:11 AM,09:00 AM,05:43 PM,-21,-28,-20,-28,21,97,89,0.0,1028,-19,10,330,14,BRD
2018-01-03 09:00:00,-17,-21,0.0,3.2,1,89,08:01 PM,10:11 AM,09:00 AM,05:43 PM,-22,-29,-20,-29,21,94,89,0.0,1030,-20,10,325,14,BRD
2018-01-03 12:00:00,-17,-21,0.0,3.2,1,89,08:01 PM,10:11 AM,09:00 AM,05:43 PM,-20,-26,-18,-26,14,96,81,0.0,1030,-18,10,325,12,BRD
2018-01-03 15:00:00,-17,-21,0.0,3.2,1,89,08:01 PM,10:11 AM,09:00 AM,05:43 PM,-20,-25,-18,-25,16,88,81,0.0,1030,-17,10,320,13,BRD
2018-01-03 18:00:00,-17,-21,0.0,3.2,1,89,08:01 PM,10:11 AM,09:00 AM,05:43 PM,-21,-26,-20,-26,14,96,90,0.0,1032,-20,10,337,8,BRD
2018-01-03 21:00:00,-17,-21,0.0,3.2,1,89,08:01 PM,10:11 AM,09:00 AM,05:43 PM,-22,-28,-21,-28,15,63,92,0.0,1033,-21,10,344,9,BRD
2018-01-04 00:00:00,-17,-22,0.0,8.4,2,81,09:16 PM,10:56 AM,09:00 AM,05:44 PM,-23,-28,-22,-28,12,52,93,0.0,1034,-22,10,12,7,BRD
2018-01-04 03:00:00,-17,-22,0.0,8.4,2,81,09:16 PM,10:56 AM,09:00 AM,05:44 PM,-23,-26,-22,-26,6,48,92,0.0,1034,-22,10,27,4,BRD
2018-01-04 06:00:00,-17,-22,0.0,8.4,2,81,09:16 PM,10:56 AM,09:00 AM,05:44 PM,-23,-27,-22,-27,8,25,91,0.0,1034,-22,10,49,5,BRD
2018-01-04 09:00:00,-17,-22,0.0,8.4,2,81,09:16 PM,10:56 AM,09:00 AM,05:44 PM,-23,-25,-21,-25,5,22,87,0.0,1034,-22,10,80,4,BRD
2018-01-04 12:00:00,-17,-22,0.0,8.4,2,81,09:16 PM,10:56 AM,09:00 AM,05:44 PM,-22,-23,-18,-23,6,33,75,0.0,1034,-18,10,65,5,BRD
2018-01-04 15:00:00,-17,-22,0.0,8.4,2,81,09:16 PM,10:56 AM,09:00 AM,05:44 PM,-20,-19,-16,-19,4,6,71,0.0,1032,-17,10,48,4,BRD
2018-01-04 18:00:00,-17,-22,0.0,8.4,2,81,09:16 PM,10:56 AM,09:00 AM,05:44 PM,-21,-23,-19,-23,8,3,85,0.0,1034,-20,10,28,4,BRD
2018-01-04 21:00:00,-17,-22,0.0,8.4,2,81,09:16 PM,10:56 AM,09:00 AM,05:44 PM,-22,-26,-20,-26,13,0,88,0.0,1034,-20,10,18,6,BRD
2018-01-05 00:00:00,-17,-24,0.0,8.5,2,74,10:29 PM,11:34 AM,09:00 AM,05:45 PM,-23,-28,-22,-28,15,9,90,0.0,1036,-22,10,18,8,BRD
2018-01-05 03:00:00,-17,-24,0.0,8.5,2,74,10:29 PM,11:34 AM,09:00 AM,05:45 PM,-24,-29,-23,-29,14,19,92,0.0,1037,-23,10,8,8,BRD
2018-01-05 06:00:00,-17,-24,0.0,8.5,2,74,10:29 PM,11:34 AM,09:00 AM,05:45 PM,-25,-31,-24,-31,13,9,91,0.0,1038,-24,10,10,8,BRD
2018-01-05 09:00:00,-17,-24,0.0,8.5,2,74,10:29 PM,11:34 AM,09:00 AM,05:45 PM,-25,-30,-24,-30,12,6,87,0.0,1039,-24,10,20,8,BRD
2018-01-05 12:00:00,-17,-24,0.0,8.5,2,74,10:29 PM,11:34 AM,09:00 AM,05:45 PM,-23,-25,-19,-25,9,3,72,0.0,1040,-19,10,29,8,BRD
2018-01-05 15:00:00,-17,-24,0.0,8.5,2,74,10:29 PM,11:34 AM,09:00 AM,05:45 PM,-21,-21,-17,-21,6,1,68,0.0,1039,-17,10,33,5,BRD
2018-01-05 18:00:00,-17,-24,0.0,8.5,2,74,10:29 PM,11:34 AM,09:00 AM,05:45 PM,-23,-24,-20,-24,9,0,81,0.0,1040,-21,10,23,4,BRD
2018-01-05 21:00:00,-17,-24,0.0,8.5,2,74,10:29 PM,11:34 AM,09:00 AM,05:45 PM,-24,-24,-21,-24,7,19,82,0.0,1040,-22,10,50,3,BRD
2018-01-06 00:00:00,-14,-22,0.1,8.5,2,67,11:40 PM,12:05 PM,09:00 AM,05:46 PM,-24,-26,-22,-26,9,6,84,0.0,1040,-22,10,92,4,BRD
2018-01-06 03:00:00,-14,-22,0.1,8.5,2,67,11:40 PM,12:05 PM,09:00 AM,05:46 PM,-24,-28,-22,-28,13,8,84,0.0,1039,-22,10,160,6,BRD
2018-01-06 06:00:00,-14,-22,0.1,8.5,2,67,11:40 PM,12:05 PM,09:00 AM,05:46 PM,-24,-29,-22,-29,19,21,84,0.0,1038,-22,10,163,10,BRD
2018-01-06 09:00:00,-14,-22,0.1,8.5,2,67,11:40 PM,12:05 PM,09:00 AM,05:46 PM,-23,-30,-21,-30,23,24,83,0.0,1036,-21,10,167,14,BRD
2018-01-06 12:00:00,-14,-22,0.1,8.5,2,67,11:40 PM,12:05 PM,09:00 AM,05:46 PM,-19,-25,-16,-25,24,9,74,0.0,1031,-16,10,174,20,BRD
2018-01-06 15:00:00,-14,-22,0.1,8.5,2,67,11:40 PM,12:05 PM,09:00 AM,05:46 PM,-18,-24,-15,-24,32,24,73,0.0,1026,-15,10,170,24,BRD
2018-01-06 18:00:00,-14,-22,0.1,8.5,2,67,11:40 PM,12:05 PM,09:00 AM,05:46 PM,-17,-24,-14,-24,36,100,81,0.0,1023,-14,10,175,26,BRD
2018-01-06 21:00:00,-14,-22,0.1,8.5,2,67,11:40 PM,12:05 PM,09:00 AM,05:46 PM,-16,-24,-14,-24,39,100,85,0.1,1018,-14,5,185,26,BRD
2018-01-07 00:00:00,-3,-13,0.1,3.3,1,59,No moonrise,12:34 PM,08:59 AM,05:47 PM,-14,-23,-13,-23,39,100,88,0.0,1015,-13,10,199,26,BRD
2018-01-07 03:00:00,-3,-13,0.1,3.3,1,59,No moonrise,12:34 PM,08:59 AM,05:47 PM,-12,-18,-10,-18,30,100,91,0.1,1013,-10,8,202,21,BRD
2018-01-07 06:00:00,-3,-13,0.1,3.3,1,59,No moonrise,12:34 PM,08:59 AM,05:47 PM,-13,-19,-12,-19,21,89,91,0.0,1011,-12,10,192,13,BRD
2018-01-07 09:00:00,-3,-13,0.1,3.3,1,59,No moonrise,12:34 PM,08:59 AM,05:47 PM,-12,-17,-11,-17,19,82,93,0.0,1010,-11,10,194,11,BRD
2018-01-07 12:00:00,-3,-13,0.1,3.3,1,59,No moonrise,12:34 PM,08:59 AM,05:47 PM,-7,-11,-7,-11,14,98,93,0.0,1010,-6,10,223,10,BRD
2018-01-07 15:00:00,-3,-13,0.1,3.3,1,59,No moonrise,12:34 PM,08:59 AM,05:47 PM,-4,-8,-3,-8,17,100,93,0.1,1010,-3,10,260,12,BRD
2018-01-07 18:00:00,-3,-13,0.1,3.3,1,59,No moonrise,12:34 PM,08:59 AM,05:47 PM,-6,-9,-5,-9,19,99,94,0.0,1011,-5,10,279,10,BRD
2018-01-07 21:00:00,-3,-13,0.1,3.3,1,59,No moonrise,12:34 PM,08:59 AM,05:47 PM,-7,-11,-6,-11,21,48,95,0.0,1012,-6,2,265,11,BRD
2018-01-08 00:00:00,-2,-7,0.0,8.7,2,52,12:48 AM,01:01 PM,08:59 AM,05:48 PM,-6,-10,-4,-10,34,6,88,0.0,1011,-4,10,266,18,BRD
2018-01-08 03:00:00,-2,-7,0.0,8.7,2,52,12:48 AM,01:01 PM,08:59 AM,05:48 PM,-7,-10,-5,-10,31,4,86,0.0,1012,-5,10,274,15,BRD
2018-01-08 06:00:00,-2,-7,0.0,8.7,2,52,12:48 AM,01:01 PM,08:59 AM,05:48 PM,-6,-10,-5,-10,27,32,89,0.0,1013,-5,10,293,14,BRD
