date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:29 AM,09:12 AM,05:56 PM,-17,-18,-12,-18,21,30,69,0.0,1031,-12,10,225,10,BTM
2018-01-01 03:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:29 AM,09:12 AM,05:56 PM,-18,-18,-13,-18,15,11,66,0.0,1032,-13,10,215,7,BTM
2018-01-01 06:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:29 AM,09:12 AM,05:56 PM,-17,-18,-12,-18,23,3,65,0.0,1033,-12,10,240,11,BTM
2018-01-01 09:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:29 AM,09:12 AM,05:56 PM,-19,-18,-14,-18,11,1,67,0.0,1034,-14,10,245,5,BTM
2018-01-01 12:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:29 AM,09:12 AM,05:56 PM,-11,-9,-6,-9,11,3,70,0.0,1032,-6,10,278,7,BTM
2018-01-01 15:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:29 AM,09:12 AM,05:56 PM,-7,-6,-3,-6,10,4,72,0.0,1030,-3,10,314,8,BTM
2018-01-01 18:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:29 AM,09:12 AM,05:56 PM,-13,-14,-10,-14,17,6,76,0.0,1034,-10,10,326,8,BTM
2018-01-01 21:00:00,-3,-14,0.0,5.8,2,97,05:59 PM,08:29 AM,09:12 AM,05:56 PM,-16,-17,-14,-17,11,7,81,0.0,1037,-14,10,281,5,BTM
2018-01-02 00:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-15,-18,-12,-18,20,4,77,0.0,1039,-12,10,273,10,BTM
2018-01-02 03:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-19,-19,-15,-19,11,2,72,0.0,1040,-15,10,251,5,BTM
2018-01-02 06:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-17,-17,-11,-17,24,0,60,0.0,1040,-11,10,257,12,BTM
2018-01-02 09:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-19,-16,-13,-16,12,0,57,0.0,1040,-12,10,254,6,BTM
2018-01-02 12:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-9,-7,-4,-7,14,0,69,0.0,1037,-4,10,267,8,BTM
2018-01-02 15:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-3,0,0,0,4,3,81,0.0,1033,0,10,246,3,BTM
2018-01-02 18:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-10,-7,-7,-7,5,5,77,0.0,1034,-7,10,206,3,BTM
2018-01-02 21:00:00,0,-15,0.0,5.8,2,100,07:06 PM,09:33 AM,09:12 AM,05:57 PM,-11,-11,-8,-11,11,6,76,0.0,1035,-8,10,199,5,BTM
2018-01-03 00:00:00,1,-8,0.0,4.0,2,89,08:19 PM,10:26 AM,09:12 AM,05:58 PM,-13,-11,-8,-11,10,5,70,0.0,1034,-8,10,207,5,BTM
2018-01-03 03:00:00,1,-8,0.0,4.0,2,89,08:19 PM,10:26 AM,09:12 AM,05:58 PM,-13,-11,-8,-11,14,15,66,0.0,1032,-8,10,188,6,BTM
2018-01-03 06:00:00,1,-8,0.0,4.0,2,89,08:19 PM,10:26 AM,09:12 AM,05:58 PM,-10,-7,-4,-7,17,94,64,0.0,1030,-4,10,234,8,BTM
2018-01-03 09:00:00,1,-8,0.0,4.0,2,89,08:19 PM,10:26 AM,09:12 AM,05:58 PM,-10,-5,-4,-5,7,93,63,0.0,1029,-4,10,236,3,BTM
2018-01-03 12:00:00,1,-8,0.0,4.0,2,89,08:19 PM,10:26 AM,09:12 AM,05:58 PM,-5,-3,-1,-3,10,78,72,0.0,1027,-0,10,217,6,BTM
2018-01-03 15:00:00,1,-8,0.0,4.0,2,89,08:19 PM,10:26 AM,09:12 AM,05:58 PM,-0,-1,1,-1,8,32,94,0.0,1024,1,10,238,5,BTM
2018-01-03 18:00:00,1,-8,0.0,4.0,2,89,08:19 PM,10:26 AM,09:12 AM,05:58 PM,-6,-5,-3,-5,10,31,82,0.0,1026,-3,10,261,5,BTM
2018-01-03 21:00:00,1,-8,0.0,4.0,2,89,08:19 PM,10:26 AM,09:12 AM,05:58 PM,-9,-8,-7,-8,7,14,84,0.0,1028,-7,10,255,3,BTM
2018-01-04 00:00:00,1,-8,0.0,5.8,2,81,09:34 PM,11:11 AM,09:12 AM,05:59 PM,-10,-8,-8,-8,6,10,84,0.0,1029,-8,10,221,3,BTM
2018-01-04 03:00:00,1,-8,0.0,5.8,2,81,09:34 PM,11:11 AM,09:12 AM,05:59 PM,-11,-11,-8,-11,11,9,82,0.0,1029,-8,10,206,5,BTM
2018-01-04 06:00:00,1,-8,0.0,5.8,2,81,09:34 PM,11:11 AM,09:12 AM,05:59 PM,-10,-10,-7,-10,14,8,81,0.0,1028,-7,10,213,7,BTM
2018-01-04 09:00:00,1,-8,0.0,5.8,2,81,09:34 PM,11:11 AM,09:12 AM,05:59 PM,-10,-11,-8,-11,14,8,81,0.0,1027,-8,10,199,6,BTM
2018-01-04 12:00:00,1,-8,0.0,5.8,2,81,09:34 PM,11:11 AM,09:12 AM,05:59 PM,-4,-4,-1,-4,15,9,82,0.0,1024,-1,10,190,9,BTM
2018-01-04 15:00:00,1,-8,0.0,5.8,2,81,09:34 PM,11:11 AM,09:12 AM,05:59 PM,1,-2,1,-2,14,13,96,0.0,1021,1,2,191,9,BTM
2018-01-04 18:00:00,1,-8,0.0,5.8,2,81,09:34 PM,11:11 AM,09:12 AM,05:59 PM,-3,-4,-1,-4,16,18,85,0.0,1022,-1,10,204,8,BTM
2018-01-04 21:00:00,1,-8,0.0,5.8,2,81,09:34 PM,11:11 AM,09:12 AM,05:59 PM,-5,-5,-2,-5,12,44,83,0.0,1023,-2,10,203,6,BTM
