date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-6,-11,0.0,5.2,2,97,05:49 PM,07:40 AM,08:26 AM,05:55 PM,-15,-16,-10,-16,19,16,63,0.0,1032,-10,10,321,13,BWI
2018-01-01 03:00:00,-6,-11,0.0,5.2,2,97,05:49 PM,07:40 AM,08:26 AM,05:55 PM,-15,-17,-10,-17,25,6,65,0.0,1032,-10,10,328,17,BWI
2018-01-01 06:00:00,-6,-11,0.0,5.2,2,97,05:49 PM,07:40 AM,08:26 AM,05:55 PM,-15,-13,-10,-13,7,6,66,0.0,1033,-11,10,314,6,BWI
2018-01-01 09:00:00,-6,-11,0.0,5.2,2,97,05:49 PM,07:40 AM,08:26 AM,05:55 PM,-16,-15,-9,-15,19,34,56,0.0,1033,-9,10,316,15,BWI
2018-01-01 12:00:00,-6,-11,0.0,5.2,2,97,05:49 PM,07:40 AM,08:26 AM,05:55 PM,-16,-13,-7,-13,18,100,46,0.0,1032,-7,10,311,15,BWI
2018-01-01 15:00:00,-6,-11,0.0,5.2,2,97,05:49 PM,07:40 AM,08:26 AM,05:55 PM,-16,-13,-7,-13,23,97,47,0.0,1031,-6,10,295,18,BWI
2018-01-01 18:00:00,-6,-11,0.0,5.2,2,97,05:49 PM,07:40 AM,08:26 AM,05:55 PM,-16,-14,-7,-14,23,99,49,0.0,1032,-7,10,285,16,BWI
2018-01-01 21:00:00,-6,-11,0.0,5.2,2,97,05:49 PM,07:40 AM,08:26 AM,05:55 PM,-18,-18,-9,-18,34,3,50,0.0,1034,-9,10,303,25,BWI
2018-01-02 00:00:00,-5,-11,0.0,8.7,2,100,06:55 PM,08:43 AM,08:26 AM,05:56 PM,-18,-18,-10,-18,27,2,52,0.0,1034,-10,10,296,20,BWI
2018-01-02 03:00:00,-5,-11,0.0,8.7,2,100,06:55 PM,08:43 AM,08:26 AM,05:56 PM,-18,-19,-11,-19,32,2,54,0.0,1035,-11,10,299,23,BWI
2018-01-02 06:00:00,-5,-11,0.0,8.7,2,100,06:55 PM,08:43 AM,08:26 AM,05:56 PM,-18,-19,-11,-19,29,0,57,0.0,1035,-11,10,279,21,BWI
2018-01-02 09:00:00,-5,-11,0.0,8.7,2,100,06:55 PM,08:43 AM,08:26 AM,05:56 PM,-18,-17,-9,-17,24,1,50,0.0,1036,-9,10,288,20,BWI
2018-01-02 12:00:00,-5,-11,0.0,8.7,2,100,06:55 PM,08:43 AM,08:26 AM,05:56 PM,-17,-12,-6,-12,16,3,41,0.0,1033,-6,10,273,14,BWI
2018-01-02 15:00:00,-5,-11,0.0,8.7,2,100,06:55 PM,08:43 AM,08:26 AM,05:56 PM,-17,-10,-5,-10,17,13,38,0.0,1031,-5,10,272,13,BWI
2018-01-02 18:00:00,-5,-11,0.0,8.7,2,100,06:55 PM,08:43 AM,08:26 AM,05:56 PM,-17,-10,-6,-10,14,20,41,0.0,1031,-6,10,228,9,BWI
