date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-13,-18,0.2,4.8,1,97,06:04 PM,08:04 AM,08:50 AM,06:08 PM,-16,-22,-16,-22,20,51,96,0.0,1035,-16,2,286,11,CAK
2018-01-01 03:00:00,-13,-18,0.2,4.8,1,97,06:04 PM,08:04 AM,08:50 AM,06:08 PM,-17,-23,-16,-23,18,89,97,0.0,1035,-17,0,277,10,CAK
2018-01-01 06:00:00,-13,-18,0.2,4.8,1,97,06:04 PM,08:04 AM,08:50 AM,06:08 PM,-18,-23,-18,-23,13,91,96,0.0,1036,-18,2,263,8,CAK
2018-01-01 09:00:00,-13,-18,0.2,4.8,1,97,06:04 PM,08:04 AM,08:50 AM,06:08 PM,-17,-23,-16,-23,19,88,92,0.0,1036,-16,10,268,14,CAK
2018-01-01 12:00:00,-13,-18,0.2,4.8,1,97,06:04 PM,08:04 AM,08:50 AM,06:08 PM,-15,-20,-13,-20,20,95,80,0.0,1036,-13,10,276,17,CAK
2018-01-01 15:00:00,-13,-18,0.2,4.8,1,97,06:04 PM,08:04 AM,08:50 AM,06:08 PM,-15,-21,-13,-21,26,96,81,0.2,1036,-13,5,285,20,CAK
2018-01-01 18:00:00,-13,-18,0.2,4.8,1,97,06:04 PM,08:04 AM,08:50 AM,06:08 PM,-16,-24,-16,-24,23,88,93,0.0,1038,-16,10,250,15,CAK
2018-01-01 21:00:00,-13,-18,0.2,4.8,1,97,06:04 PM,08:04 AM,08:50 AM,06:08 PM,-18,-26,-18,-26,25,82,95,0.0,1039,-18,10,262,15,CAK
2018-01-02 00:00:00,-12,-19,0.0,9.6,1,100,07:11 PM,09:08 AM,08:50 AM,06:09 PM,-19,-25,-18,-25,18,80,95,0.0,1039,-18,2,252,11,CAK
2018-01-02 03:00:00,-12,-19,0.0,9.6,1,100,07:11 PM,09:08 AM,08:50 AM,06:09 PM,-19,-27,-19,-27,20,86,96,0.0,1039,-19,2,250,12,CAK
2018-01-02 06:00:00,-12,-19,0.0,9.6,1,100,07:11 PM,09:08 AM,08:50 AM,06:09 PM,-18,-24,-18,-24,13,100,98,0.0,1039,-18,0,226,8,CAK
2018-01-02 09:00:00,-12,-19,0.0,9.6,1,100,07:11 PM,09:08 AM,08:50 AM,06:09 PM,-17,-26,-16,-26,26,100,93,0.0,1038,-16,10,231,19,CAK
2018-01-02 12:00:00,-12,-19,0.0,9.6,1,100,07:11 PM,09:08 AM,08:50 AM,06:09 PM,-15,-20,-12,-20,22,42,81,0.0,1036,-12,10,221,19,CAK
2018-01-02 15:00:00,-12,-19,0.0,9.6,1,100,07:11 PM,09:08 AM,08:50 AM,06:09 PM,-15,-20,-12,-20,26,20,80,0.0,1033,-12,10,228,20,CAK
2018-01-02 18:00:00,-12,-19,0.0,9.6,1,100,07:11 PM,09:08 AM,08:50 AM,06:09 PM,-16,-23,-15,-23,24,6,88,0.0,1032,-15,10,212,14,CAK
2018-01-02 21:00:00,-12,-19,0.0,9.6,1,100,07:11 PM,09:08 AM,08:50 AM,06:09 PM,-17,-24,-15,-24,28,8,89,0.0,1031,-15,10,221,17,CAK
2018-01-03 00:00:00,-7,-16,0.0,8.2,2,89,08:21 PM,10:04 AM,08:51 AM,06:10 PM,-17,-24,-16,-24,25,7,88,0.0,1029,-16,10,204,14,CAK
2018-01-03 03:00:00,-7,-16,0.0,8.2,2,89,08:21 PM,10:04 AM,08:51 AM,06:10 PM,-18,-24,-16,-24,28,3,85,0.0,1027,-16,10,205,15,CAK
2018-01-03 06:00:00,-7,-16,0.0,8.2,2,89,08:21 PM,10:04 AM,08:51 AM,06:10 PM,-18,-23,-15,-23,25,3,80,0.0,1026,-15,10,199,13,CAK
2018-01-03 09:00:00,-7,-16,0.0,8.2,2,89,08:21 PM,10:04 AM,08:51 AM,06:10 PM,-17,-21,-13,-21,24,27,72,0.0,1024,-13,10,205,17,CAK
2018-01-03 12:00:00,-7,-16,0.0,8.2,2,89,08:21 PM,10:04 AM,08:51 AM,06:10 PM,-13,-15,-8,-15,19,48,67,0.0,1020,-8,10,199,16,CAK
2018-01-03 15:00:00,-7,-16,0.0,8.2,2,89,08:21 PM,10:04 AM,08:51 AM,06:10 PM,-12,-13,-7,-13,20,82,72,0.0,1019,-7,10,218,14,CAK
2018-01-03 18:00:00,-7,-16,0.0,8.2,2,89,08:21 PM,10:04 AM,08:51 AM,06:10 PM,-11,-15,-9,-15,19,100,87,0.0,1020,-9,10,237,12,CAK
2018-01-03 21:00:00,-7,-16,0.0,8.2,2,89,08:21 PM,10:04 AM,08:51 AM,06:10 PM,-12,-17,-12,-17,19,82,95,0.0,1019,-12,10,270,11,CAK
2018-01-04 00:00:00,-11,-16,0.3,4.8,1,81,09:34 PM,10:51 AM,08:51 AM,06:11 PM,-13,-16,-12,-16,9,100,97,0.0,1019,-13,0,261,5,CAK
2018-01-04 03:00:00,-11,-16,0.3,4.8,1,81,09:34 PM,10:51 AM,08:51 AM,06:11 PM,-12,-18,-12,-18,19,100,97,0.1,1019,-12,5,292,12,CAK
2018-01-04 06:00:00,-11,-16,0.3,4.8,1,81,09:34 PM,10:51 AM,08:51 AM,06:11 PM,-13,-18,-12,-18,19,93,90,0.0,1019,-12,10,310,12,CAK
2018-01-04 09:00:00,-11,-16,0.3,4.8,1,81,09:34 PM,10:51 AM,08:51 AM,06:11 PM,-14,-21,-12,-21,29,92,84,0.1,1019,-12,10,318,23,CAK
2018-01-04 12:00:00,-11,-16,0.3,4.8,1,81,09:34 PM,10:51 AM,08:51 AM,06:11 PM,-15,-20,-12,-20,22,100,76,0.0,1019,-11,10,312,19,CAK
2018-01-04 15:00:00,-11,-16,0.3,4.8,1,81,09:34 PM,10:51 AM,08:51 AM,06:11 PM,-16,-23,-13,-23,33,97,81,0.1,1019,-13,5,307,26,CAK
2018-01-04 18:00:00,-11,-16,0.3,4.8,1,81,09:34 PM,10:51 AM,08:51 AM,06:11 PM,-16,-22,-15,-22,21,100,88,0.0,1021,-15,10,292,14,CAK
2018-01-04 21:00:00,-11,-16,0.3,4.8,1,81,09:34 PM,10:51 AM,08:51 AM,06:11 PM,-17,-25,-16,-25,27,98,88,0.1,1021,-16,10,305,19,CAK
2018-01-05 00:00:00,-14,-20,0.0,6.5,1,74,10:43 PM,11:33 AM,08:51 AM,06:12 PM,-19,-26,-18,-26,23,94,90,0.0,1023,-18,10,288,15,CAK
2018-01-05 03:00:00,-14,-20,0.0,6.5,1,74,10:43 PM,11:33 AM,08:51 AM,06:12 PM,-20,-29,-19,-29,29,95,90,0.1,1023,-19,10,292,20,CAK
2018-01-05 06:00:00,-14,-20,0.0,6.5,1,74,10:43 PM,11:33 AM,08:51 AM,06:12 PM,-21,-29,-20,-29,23,83,90,0.0,1025,-20,10,276,15,CAK
2018-01-05 09:00:00,-14,-20,0.0,6.5,1,74,10:43 PM,11:33 AM,08:51 AM,06:12 PM,-21,-29,-19,-29,27,54,83,0.0,1026,-19,10,289,21,CAK
2018-01-05 12:00:00,-14,-20,0.0,6.5,1,74,10:43 PM,11:33 AM,08:51 AM,06:12 PM,-18,-23,-14,-23,24,61,71,0.0,1027,-14,10,284,21,CAK
2018-01-05 15:00:00,-14,-20,0.0,6.5,1,74,10:43 PM,11:33 AM,08:51 AM,06:12 PM,-18,-25,-15,-25,32,80,75,0.0,1027,-15,10,293,24,CAK
2018-01-05 18:00:00,-14,-20,0.0,6.5,1,74,10:43 PM,11:33 AM,08:51 AM,06:12 PM,-18,-25,-17,-25,23,84,88,0.0,1030,-17,10,278,15,CAK
2018-01-05 21:00:00,-14,-20,0.0,6.5,1,74,10:43 PM,11:33 AM,08:51 AM,06:12 PM,-19,-27,-18,-27,26,69,90,0.0,1031,-18,10,288,17,CAK
2018-01-06 00:00:00,-13,-20,0.1,4.8,1,67,11:51 PM,12:08 PM,08:50 AM,06:13 PM,-19,-27,-18,-27,22,80,92,0.0,1032,-18,10,289,14,CAK
2018-01-06 03:00:00,-13,-20,0.1,4.8,1,67,11:51 PM,12:08 PM,08:50 AM,06:13 PM,-19,-27,-18,-27,26,83,91,0.0,1033,-18,10,291,17,CAK
2018-01-06 06:00:00,-13,-20,0.1,4.8,1,67,11:51 PM,12:08 PM,08:50 AM,06:13 PM,-20,-27,-19,-27,19,68,93,0.0,1035,-20,10,266,11,CAK
2018-01-06 09:00:00,-13,-20,0.1,4.8,1,67,11:51 PM,12:08 PM,08:50 AM,06:13 PM,-18,-25,-17,-25,23,95,87,0.0,1035,-17,10,282,17,CAK
2018-01-06 12:00:00,-13,-20,0.1,4.8,1,67,11:51 PM,12:08 PM,08:50 AM,06:13 PM,-17,-22,-13,-22,22,100,76,0.0,1036,-13,10,293,18,CAK
2018-01-06 15:00:00,-13,-20,0.1,4.8,1,67,11:51 PM,12:08 PM,08:50 AM,06:13 PM,-17,-22,-14,-22,23,91,78,0.1,1036,-14,10,298,18,CAK
2018-01-06 18:00:00,-13,-20,0.1,4.8,1,67,11:51 PM,12:08 PM,08:50 AM,06:13 PM,-18,-22,-17,-22,12,79,93,0.0,1038,-17,10,277,7,CAK
2018-01-06 21:00:00,-13,-20,0.1,4.8,1,67,11:51 PM,12:08 PM,08:50 AM,06:13 PM,-18,-22,-18,-22,11,24,94,0.0,1039,-18,10,271,6,CAK
2018-01-07 00:00:00,-5,-18,0.0,6.5,2,59,No moonrise,12:40 PM,08:50 AM,06:14 PM,-18,-21,-17,-21,9,17,90,0.0,1039,-18,10,186,5,CAK
2018-01-07 03:00:00,-5,-18,0.0,6.5,2,59,No moonrise,12:40 PM,08:50 AM,06:14 PM,-19,-24,-17,-24,18,23,90,0.0,1037,-18,10,175,10,CAK
2018-01-07 06:00:00,-5,-18,0.0,6.5,2,59,No moonrise,12:40 PM,08:50 AM,06:14 PM,-18,-24,-17,-24,18,100,90,0.0,1037,-17,10,178,11,CAK
2018-01-07 09:00:00,-5,-18,0.0,6.5,2,59,No moonrise,12:40 PM,08:50 AM,06:14 PM,-16,-22,-14,-22,25,100,80,0.0,1034,-14,10,181,18,CAK
2018-01-07 12:00:00,-5,-18,0.0,6.5,2,59,No moonrise,12:40 PM,08:50 AM,06:14 PM,-13,-16,-9,-16,23,100,69,0.0,1030,-9,10,183,18,CAK
2018-01-07 15:00:00,-5,-18,0.0,6.5,2,59,No moonrise,12:40 PM,08:50 AM,06:14 PM,-11,-13,-6,-13,29,100,67,0.0,1027,-6,10,185,21,CAK
2018-01-07 18:00:00,-5,-18,0.0,6.5,2,59,No moonrise,12:40 PM,08:50 AM,06:14 PM,-12,-12,-6,-12,27,48,65,0.0,1025,-6,10,185,15,CAK
2018-01-07 21:00:00,-5,-18,0.0,6.5,2,59,No moonrise,12:40 PM,08:50 AM,06:14 PM,-11,-12,-5,-12,38,50,63,0.0,1023,-5,10,201,21,CAK
2018-01-08 00:00:00,1,-3,0.6,4.8,1,52,12:55 AM,01:11 PM,08:50 AM,06:15 PM,-9,-9,-3,-9,32,100,63,0.0,1020,-3,10,192,18,CAK
2018-01-08 03:00:00,1,-3,0.6,4.8,1,52,12:55 AM,01:11 PM,08:50 AM,06:15 PM,-6,-9,-3,-9,34,100,81,0.6,1019,-3,2,202,22,CAK
2018-01-08 06:00:00,1,-3,0.6,4.8,1,52,12:55 AM,01:11 PM,08:50 AM,06:15 PM,-1,-6,-0,-6,33,100,93,0.0,1017,-0,10,207,22,CAK
2018-01-08 09:00:00,1,-3,0.6,4.8,1,52,12:55 AM,01:11 PM,08:50 AM,06:15 PM,-0,-5,1,-5,43,100,92,2.0,1017,1,0,227,29,CAK
2018-01-08 12:00:00,1,-3,0.6,4.8,1,52,12:55 AM,01:11 PM,08:50 AM,06:15 PM,0,-4,1,-4,25,100,96,0.0,1017,1,10,227,17,CAK
2018-01-08 15:00:00,1,-3,0.6,4.8,1,52,12:55 AM,01:11 PM,08:50 AM,06:15 PM,0,-4,1,-4,29,98,95,0.1,1017,1,5,240,19,CAK
2018-01-08 18:00:00,1,-3,0.6,4.8,1,52,12:55 AM,01:11 PM,08:50 AM,06:15 PM,-1,-3,-0,-3,17,100,94,0.0,1019,-0,2,222,10,CAK
2018-01-08 21:00:00,1,-3,0.6,4.8,1,52,12:55 AM,01:11 PM,08:50 AM,06:15 PM,-2,-6,-1,-6,30,76,94,0.0,1020,-1,10,239,18,CAK
2018-01-09 00:00:00,0,-3,0.1,6.5,1,45,01:57 AM,01:40 PM,08:50 AM,06:16 PM,-2,-5,-2,-5,15,92,96,0.0,1022,-2,2,244,9,CAK
2018-01-09 03:00:00,0,-3,0.1,6.5,1,45,01:57 AM,01:40 PM,08:50 AM,06:16 PM,-3,-7,-2,-7,19,94,96,0.1,1023,-2,10,276,13,CAK
2018-01-09 06:00:00,0,-3,0.1,6.5,1,45,01:57 AM,01:40 PM,08:50 AM,06:16 PM,-1,-3,-1,-3,9,100,96,0.0,1025,-1,2,241,6,CAK
2018-01-09 09:00:00,0,-3,0.1,6.5,1,45,01:57 AM,01:40 PM,08:50 AM,06:16 PM,-2,-4,-1,-4,13,100,93,0.1,1027,-1,10,268,10,CAK
2018-01-09 12:00:00,0,-3,0.1,6.5,1,45,01:57 AM,01:40 PM,08:50 AM,06:16 PM,-1,-1,0,-1,5,100,91,0.0,1028,0,10,239,4,CAK
