date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-12,-15,0.3,4.8,1,97,06:05 PM,08:07 AM,08:54 AM,06:09 PM,-15,-20,-13,-20,26,65,84,0.0,1035,-13,10,273,14,CLE
2018-01-01 03:00:00,-12,-15,0.3,4.8,1,97,06:05 PM,08:07 AM,08:54 AM,06:09 PM,-15,-22,-14,-22,27,85,92,0.0,1035,-14,10,255,16,CLE
2018-01-01 06:00:00,-12,-15,0.3,4.8,1,97,06:05 PM,08:07 AM,08:54 AM,06:09 PM,-15,-22,-15,-22,22,95,93,0.0,1035,-15,10,250,14,CLE
2018-01-01 09:00:00,-12,-15,0.3,4.8,1,97,06:05 PM,08:07 AM,08:54 AM,06:09 PM,-15,-22,-13,-22,29,99,88,0.2,1036,-13,5,268,21,CLE
2018-01-01 12:00:00,-12,-15,0.3,4.8,1,97,06:05 PM,08:07 AM,08:54 AM,06:09 PM,-15,-21,-12,-21,30,96,79,0.0,1035,-12,10,278,23,CLE
2018-01-01 15:00:00,-12,-15,0.3,4.8,1,97,06:05 PM,08:07 AM,08:54 AM,06:09 PM,-15,-21,-12,-21,34,95,78,0.1,1036,-12,5,283,24,CLE
2018-01-01 18:00:00,-12,-15,0.3,4.8,1,97,06:05 PM,08:07 AM,08:54 AM,06:09 PM,-15,-21,-13,-21,28,95,84,0.0,1037,-13,10,264,18,CLE
2018-01-01 21:00:00,-12,-15,0.3,4.8,1,97,06:05 PM,08:07 AM,08:54 AM,06:09 PM,-16,-24,-14,-24,33,93,89,0.1,1038,-14,5,260,22,CLE
2018-01-02 00:00:00,-12,-16,0.1,9.6,1,100,07:11 PM,09:11 AM,08:54 AM,06:09 PM,-16,-24,-15,-24,27,92,93,0.0,1038,-15,10,247,18,CLE
2018-01-02 03:00:00,-12,-16,0.1,9.6,1,100,07:11 PM,09:11 AM,08:54 AM,06:09 PM,-17,-26,-16,-26,31,86,96,0.1,1038,-16,5,243,21,CLE
2018-01-02 06:00:00,-12,-16,0.1,9.6,1,100,07:11 PM,09:11 AM,08:54 AM,06:09 PM,-16,-23,-15,-23,24,100,94,0.0,1037,-15,10,231,15,CLE
2018-01-02 09:00:00,-12,-16,0.1,9.6,1,100,07:11 PM,09:11 AM,08:54 AM,06:09 PM,-18,-27,-17,-27,39,54,92,0.0,1037,-16,10,232,27,CLE
2018-01-02 12:00:00,-12,-16,0.1,9.6,1,100,07:11 PM,09:11 AM,08:54 AM,06:09 PM,-15,-22,-13,-22,34,13,80,0.0,1035,-13,10,222,26,CLE
2018-01-02 15:00:00,-12,-16,0.1,9.6,1,100,07:11 PM,09:11 AM,08:54 AM,06:09 PM,-15,-22,-12,-22,37,33,78,0.0,1032,-12,10,228,26,CLE
2018-01-02 18:00:00,-12,-16,0.1,9.6,1,100,07:11 PM,09:11 AM,08:54 AM,06:09 PM,-16,-23,-14,-23,36,35,82,0.0,1031,-14,10,218,22,CLE
2018-01-02 21:00:00,-12,-16,0.1,9.6,1,100,07:11 PM,09:11 AM,08:54 AM,06:09 PM,-17,-25,-15,-25,39,41,84,0.0,1030,-15,10,222,24,CLE
2018-01-03 00:00:00,-8,-16,0.1,4.8,2,89,08:22 PM,10:06 AM,08:54 AM,06:10 PM,-18,-25,-16,-25,34,7,84,0.0,1028,-16,10,209,20,CLE
2018-01-03 03:00:00,-8,-16,0.1,4.8,2,89,08:22 PM,10:06 AM,08:54 AM,06:10 PM,-18,-25,-15,-25,37,11,81,0.0,1026,-15,10,206,22,CLE
2018-01-03 06:00:00,-8,-16,0.1,4.8,2,89,08:22 PM,10:06 AM,08:54 AM,06:10 PM,-18,-23,-14,-23,35,17,75,0.0,1024,-14,10,199,20,CLE
