date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-13,-18,0.0,4.8,2,97,06:13 PM,08:07 AM,08:53 AM,06:17 PM,-16,-21,-15,-21,15,48,94,0.0,1037,-15,10,307,9,CMH
2018-01-01 03:00:00,-13,-18,0.0,4.8,2,97,06:13 PM,08:07 AM,08:53 AM,06:17 PM,-16,-22,-16,-22,16,81,95,0.0,1037,-16,2,289,9,CMH
2018-01-01 06:00:00,-13,-18,0.0,4.8,2,97,06:13 PM,08:07 AM,08:53 AM,06:17 PM,-16,-20,-16,-20,9,90,95,0.0,1038,-16,2,284,6,CMH
2018-01-01 09:00:00,-13,-18,0.0,4.8,2,97,06:13 PM,08:07 AM,08:53 AM,06:17 PM,-16,-22,-15,-22,17,72,90,0.0,1039,-15,10,286,13,CMH
2018-01-01 12:00:00,-13,-18,0.0,4.8,2,97,06:13 PM,08:07 AM,08:53 AM,06:17 PM,-15,-19,-13,-19,15,92,82,0.0,1039,-13,10,280,13,CMH
2018-01-01 15:00:00,-13,-18,0.0,4.8,2,97,06:13 PM,08:07 AM,08:53 AM,06:17 PM,-16,-21,-13,-21,21,74,82,0.0,1039,-13,10,288,16,CMH
2018-01-01 18:00:00,-13,-18,0.0,4.8,2,97,06:13 PM,08:07 AM,08:53 AM,06:17 PM,-17,-22,-16,-22,17,78,92,0.0,1041,-16,10,268,10,CMH
2018-01-01 21:00:00,-13,-18,0.0,4.8,2,97,06:13 PM,08:07 AM,08:53 AM,06:17 PM,-19,-25,-18,-25,19,58,92,0.0,1042,-18,10,283,12,CMH
2018-01-02 00:00:00,-13,-19,0.0,9.6,2,100,07:20 PM,09:11 AM,08:54 AM,06:18 PM,-19,-24,-18,-24,12,57,92,0.0,1042,-18,10,281,8,CMH
2018-01-02 03:00:00,-13,-19,0.0,9.6,2,100,07:20 PM,09:11 AM,08:54 AM,06:18 PM,-20,-25,-19,-25,13,48,92,0.0,1042,-19,10,259,8,CMH
2018-01-02 06:00:00,-13,-19,0.0,9.6,2,100,07:20 PM,09:11 AM,08:54 AM,06:18 PM,-19,-23,-19,-23,10,61,93,0.0,1042,-19,10,218,6,CMH
2018-01-02 09:00:00,-13,-19,0.0,9.6,2,100,07:20 PM,09:11 AM,08:54 AM,06:18 PM,-19,-25,-17,-25,17,22,86,0.0,1041,-17,10,230,12,CMH
2018-01-02 12:00:00,-13,-19,0.0,9.6,2,100,07:20 PM,09:11 AM,08:54 AM,06:18 PM,-17,-21,-14,-21,14,7,79,0.0,1039,-14,10,209,11,CMH
2018-01-02 15:00:00,-13,-19,0.0,9.6,2,100,07:20 PM,09:11 AM,08:54 AM,06:18 PM,-16,-20,-13,-20,17,2,82,0.0,1035,-13,10,228,13,CMH
2018-01-02 18:00:00,-13,-19,0.0,9.6,2,100,07:20 PM,09:11 AM,08:54 AM,06:18 PM,-16,-19,-14,-19,14,3,89,0.0,1034,-15,10,206,8,CMH
2018-01-02 21:00:00,-13,-19,0.0,9.6,2,100,07:20 PM,09:11 AM,08:54 AM,06:18 PM,-17,-21,-15,-21,19,5,86,0.0,1032,-15,10,221,10,CMH
2018-01-03 00:00:00,-7,-15,0.0,8.2,2,89,08:30 PM,10:07 AM,08:54 AM,06:19 PM,-18,-21,-15,-21,20,2,81,0.0,1030,-15,10,193,10,CMH
2018-01-03 03:00:00,-7,-15,0.0,8.2,2,89,08:30 PM,10:07 AM,08:54 AM,06:19 PM,-18,-22,-15,-22,20,0,78,0.0,1028,-15,10,201,10,CMH
2018-01-03 06:00:00,-7,-15,0.0,8.2,2,89,08:30 PM,10:07 AM,08:54 AM,06:19 PM,-19,-22,-15,-22,20,4,75,0.0,1026,-15,10,205,10,CMH
2018-01-03 09:00:00,-7,-15,0.0,8.2,2,89,08:30 PM,10:07 AM,08:54 AM,06:19 PM,-16,-19,-13,-19,19,19,72,0.0,1024,-12,10,203,13,CMH
2018-01-03 12:00:00,-7,-15,0.0,8.2,2,89,08:30 PM,10:07 AM,08:54 AM,06:19 PM,-13,-14,-8,-14,15,45,68,0.0,1021,-8,10,204,12,CMH
