date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-0,-11,0.0,8.7,2,97,05:47 PM,07:36 AM,08:17 AM,05:48 PM,-15,-15,-11,-15,11,16,76,0.0,1036,-11,10,174,7,COS
2018-01-01 03:00:00,-0,-11,0.0,8.7,2,97,05:47 PM,07:36 AM,08:17 AM,05:48 PM,-14,-13,-11,-13,8,9,74,0.0,1035,-11,10,146,5,COS
2018-01-01 06:00:00,-0,-11,0.0,8.7,2,97,05:47 PM,07:36 AM,08:17 AM,05:48 PM,-14,-13,-11,-13,10,7,75,0.0,1035,-11,10,180,5,COS
2018-01-01 09:00:00,-0,-11,0.0,8.7,2,97,05:47 PM,07:36 AM,08:17 AM,05:48 PM,-14,-13,-9,-13,14,6,66,0.0,1032,-9,10,186,6,COS
2018-01-01 12:00:00,-0,-11,0.0,8.7,2,97,05:47 PM,07:36 AM,08:17 AM,05:48 PM,-15,-6,-3,-6,8,13,40,0.0,1027,-3,10,191,7,COS
2018-01-01 15:00:00,-0,-11,0.0,8.7,2,97,05:47 PM,07:36 AM,08:17 AM,05:48 PM,-16,-3,-0,-3,11,15,30,0.0,1022,-0,10,177,9,COS
2018-01-01 18:00:00,-0,-11,0.0,8.7,2,97,05:47 PM,07:36 AM,08:17 AM,05:48 PM,-14,-9,-5,-9,18,33,48,0.0,1025,-5,10,261,9,COS
2018-01-01 21:00:00,-0,-11,0.0,8.7,2,97,05:47 PM,07:36 AM,08:17 AM,05:48 PM,-14,-5,-5,-5,5,21,49,0.0,1026,-5,10,83,3,COS
2018-01-02 00:00:00,4,-9,0.0,8.7,2,100,06:54 PM,08:39 AM,08:17 AM,05:49 PM,-12,-10,-7,-10,10,7,68,0.0,1030,-7,10,6,5,COS
2018-01-02 03:00:00,4,-9,0.0,8.7,2,100,06:54 PM,08:39 AM,08:17 AM,05:49 PM,-13,-10,-7,-10,9,5,64,0.0,1032,-8,10,15,5,COS
2018-01-02 06:00:00,4,-9,0.0,8.7,2,100,06:54 PM,08:39 AM,08:17 AM,05:49 PM,-14,-15,-9,-15,24,5,65,0.0,1034,-9,10,354,14,COS
