date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-2,-8,0.0,10.0,2,97,06:28 PM,07:49 AM,08:30 AM,06:32 PM,-19,-11,-5,-11,26,32,33,0.0,1042,-5,10,14,19,DAL
2018-01-01 03:00:00,-2,-8,0.0,10.0,2,97,06:28 PM,07:49 AM,08:30 AM,06:32 PM,-19,-12,-6,-12,27,88,32,0.0,1042,-5,10,16,21,DAL
2018-01-01 06:00:00,-2,-8,0.0,10.0,2,97,06:28 PM,07:49 AM,08:30 AM,06:32 PM,-19,-15,-8,-15,22,80,39,0.0,1045,-8,10,12,18,DAL
2018-01-01 09:00:00,-2,-8,0.0,10.0,2,97,06:28 PM,07:49 AM,08:30 AM,06:32 PM,-20,-15,-8,-15,24,37,36,0.0,1045,-8,10,23,20,DAL
2018-01-01 12:00:00,-2,-8,0.0,10.0,2,97,06:28 PM,07:49 AM,08:30 AM,06:32 PM,-18,-9,-5,-9,14,87,34,0.0,1045,-5,10,28,12,DAL
2018-01-01 15:00:00,-2,-8,0.0,10.0,2,97,06:28 PM,07:49 AM,08:30 AM,06:32 PM,-18,-6,-1,-6,15,6,27,0.0,1041,-2,10,35,13,DAL
2018-01-01 18:00:00,-2,-8,0.0,10.0,2,97,06:28 PM,07:49 AM,08:30 AM,06:32 PM,-16,-7,-3,-7,12,32,35,0.0,1041,-4,10,47,9,DAL
2018-01-01 21:00:00,-2,-8,0.0,10.0,2,97,06:28 PM,07:49 AM,08:30 AM,06:32 PM,-17,-9,-4,-9,18,95,36,0.0,1041,-4,10,47,13,DAL
2018-01-02 00:00:00,-3,-5,0.0,10.0,2,100,07:35 PM,08:52 AM,08:30 AM,06:33 PM,-17,-8,-4,-8,13,10,35,0.0,1040,-4,10,85,11,DAL
2018-01-02 03:00:00,-3,-5,0.0,10.0,2,100,07:35 PM,08:52 AM,08:30 AM,06:33 PM,-17,-8,-4,-8,15,22,36,0.0,1040,-4,10,85,12,DAL
2018-01-02 06:00:00,-3,-5,0.0,10.0,2,100,07:35 PM,08:52 AM,08:30 AM,06:33 PM,-17,-8,-4,-8,11,11,36,0.0,1040,-5,10,73,10,DAL
2018-01-02 09:00:00,-3,-5,0.0,10.0,2,100,07:35 PM,08:52 AM,08:30 AM,06:33 PM,-18,-9,-4,-9,16,44,33,0.0,1040,-5,10,69,13,DAL
2018-01-02 12:00:00,-3,-5,0.0,10.0,2,100,07:35 PM,08:52 AM,08:30 AM,06:33 PM,-17,-7,-4,-7,9,44,33,0.0,1038,-4,10,41,8,DAL
2018-01-02 15:00:00,-3,-5,0.0,10.0,2,100,07:35 PM,08:52 AM,08:30 AM,06:33 PM,-19,-6,-2,-6,11,46,27,0.0,1035,-3,10,10,9,DAL
2018-01-02 18:00:00,-3,-5,0.0,10.0,2,100,07:35 PM,08:52 AM,08:30 AM,06:33 PM,-17,-8,-4,-8,13,100,35,0.0,1036,-4,10,339,10,DAL
2018-01-02 21:00:00,-3,-5,0.0,10.0,2,100,07:35 PM,08:52 AM,08:30 AM,06:33 PM,-16,-7,-4,-7,11,17,38,0.0,1035,-4,10,331,8,DAL
2018-01-03 00:00:00,6,-6,0.0,10.0,2,89,08:43 PM,09:50 AM,08:30 AM,06:34 PM,-16,-6,-3,-6,7,4,36,0.0,1035,-5,10,306,6,DAL
2018-01-03 03:00:00,6,-6,0.0,10.0,2,89,08:43 PM,09:50 AM,08:30 AM,06:34 PM,-13,-5,-1,-5,12,0,39,0.0,1034,-4,10,282,10,DAL
2018-01-03 06:00:00,6,-6,0.0,10.0,2,89,08:43 PM,09:50 AM,08:30 AM,06:34 PM,-13,-5,-2,-5,10,0,43,0.0,1033,-6,10,259,8,DAL
2018-01-03 09:00:00,6,-6,0.0,10.0,2,89,08:43 PM,09:50 AM,08:30 AM,06:34 PM,-14,-4,-0,-4,13,2,33,0.0,1032,-3,10,276,11,DAL
2018-01-03 12:00:00,6,-6,0.0,10.0,2,89,08:43 PM,09:50 AM,08:30 AM,06:34 PM,-11,3,6,3,13,0,28,0.0,1031,4,10,312,11,DAL
2018-01-03 15:00:00,6,-6,0.0,10.0,2,89,08:43 PM,09:50 AM,08:30 AM,06:34 PM,-8,6,8,6,14,0,32,0.0,1028,6,10,330,12,DAL
2018-01-03 18:00:00,6,-6,0.0,10.0,2,89,08:43 PM,09:50 AM,08:30 AM,06:34 PM,-4,4,6,4,15,0,50,0.0,1028,4,10,313,9,DAL
2018-01-03 21:00:00,6,-6,0.0,10.0,2,89,08:43 PM,09:50 AM,08:30 AM,06:34 PM,-4,1,3,1,17,5,57,0.0,1029,2,10,360,8,DAL
2018-01-04 00:00:00,8,-1,0.0,8.3,2,81,09:51 PM,10:40 AM,08:30 AM,06:34 PM,-5,1,3,1,10,3,58,0.0,1029,1,10,36,6,DAL
2018-01-04 03:00:00,8,-1,0.0,8.3,2,81,09:51 PM,10:40 AM,08:30 AM,06:34 PM,-7,-1,1,-1,12,15,57,0.0,1029,-0,10,73,7,DAL
2018-01-04 06:00:00,8,-1,0.0,8.3,2,81,09:51 PM,10:40 AM,08:30 AM,06:34 PM,-7,-1,1,-1,8,5,56,0.0,1030,-1,10,49,6,DAL
2018-01-04 09:00:00,8,-1,0.0,8.3,2,81,09:51 PM,10:40 AM,08:30 AM,06:34 PM,-8,0,2,0,7,32,49,0.0,1031,1,10,78,5,DAL
2018-01-04 12:00:00,8,-1,0.0,8.3,2,81,09:51 PM,10:40 AM,08:30 AM,06:34 PM,-7,5,7,5,7,33,36,0.0,1030,6,10,42,6,DAL
2018-01-04 15:00:00,8,-1,0.0,8.3,2,81,09:51 PM,10:40 AM,08:30 AM,06:34 PM,-7,8,8,8,5,67,33,0.0,1028,8,10,97,5,DAL
2018-01-04 18:00:00,8,-1,0.0,8.3,2,81,09:51 PM,10:40 AM,08:30 AM,06:34 PM,-6,6,6,6,8,100,40,0.0,1027,6,10,79,5,DAL
2018-01-04 21:00:00,8,-1,0.0,8.3,2,81,09:51 PM,10:40 AM,08:30 AM,06:34 PM,-6,4,5,4,13,100,44,0.0,1028,5,10,128,7,DAL
2018-01-05 00:00:00,14,3,0.0,10.1,2,74,10:57 PM,11:25 AM,08:30 AM,06:35 PM,-6,2,4,2,15,100,48,0.0,1028,4,10,165,8,DAL
2018-01-05 03:00:00,14,3,0.0,10.1,2,74,10:57 PM,11:25 AM,08:30 AM,06:35 PM,-5,1,4,1,18,97,52,0.0,1028,4,10,168,9,DAL
2018-01-05 06:00:00,14,3,0.0,10.1,2,74,10:57 PM,11:25 AM,08:30 AM,06:35 PM,-3,4,6,4,12,1,51,0.0,1028,3,10,178,9,DAL
2018-01-05 09:00:00,14,3,0.0,10.1,2,74,10:57 PM,11:25 AM,08:30 AM,06:35 PM,-2,4,7,4,14,0,52,0.0,1028,5,10,193,12,DAL
2018-01-05 12:00:00,14,3,0.0,10.1,2,74,10:57 PM,11:25 AM,08:30 AM,06:35 PM,1,14,15,14,12,0,39,0.0,1027,12,10,218,10,DAL
2018-01-05 15:00:00,14,3,0.0,10.1,2,74,10:57 PM,11:25 AM,08:30 AM,06:35 PM,1,16,16,16,14,0,36,0.0,1025,14,10,198,12,DAL
2018-01-05 18:00:00,14,3,0.0,10.1,2,74,10:57 PM,11:25 AM,08:30 AM,06:35 PM,1,12,12,12,18,8,45,0.0,1025,11,10,163,9,DAL
2018-01-05 21:00:00,14,3,0.0,10.1,2,74,10:57 PM,11:25 AM,08:30 AM,06:35 PM,2,8,10,8,24,21,59,0.0,1026,9,10,166,12,DAL
2018-01-06 00:00:00,15,5,0.0,10.0,3,67,12:00 AM,12:05 PM,08:31 AM,06:36 PM,2,6,8,6,23,7,64,0.0,1026,8,10,168,12,DAL
2018-01-06 03:00:00,15,5,0.0,10.0,3,67,12:00 AM,12:05 PM,08:31 AM,06:36 PM,2,5,8,5,20,6,67,0.0,1026,6,10,173,11,DAL
2018-01-06 06:00:00,15,5,0.0,10.0,3,67,12:00 AM,12:05 PM,08:31 AM,06:36 PM,1,4,6,4,17,5,71,0.0,1027,5,10,165,10,DAL
2018-01-06 09:00:00,15,5,0.0,10.0,3,67,12:00 AM,12:05 PM,08:31 AM,06:36 PM,1,5,7,5,18,3,66,0.0,1027,6,10,169,13,DAL
2018-01-06 12:00:00,15,5,0.0,10.0,3,67,12:00 AM,12:05 PM,08:31 AM,06:36 PM,6,14,14,14,12,4,58,0.0,1027,13,10,172,10,DAL
2018-01-06 15:00:00,15,5,0.0,10.0,3,67,12:00 AM,12:05 PM,08:31 AM,06:36 PM,7,14,15,14,21,32,60,0.0,1024,15,10,160,18,DAL
