date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-2,-13,0.0,8.7,2,97,05:44 PM,07:39 AM,08:20 AM,05:45 PM,-16,-14,-12,-14,5,27,72,0.0,1038,-12,10,66,3,DEN
2018-01-01 03:00:00,-2,-13,0.0,8.7,2,97,05:44 PM,07:39 AM,08:20 AM,05:45 PM,-16,-16,-13,-16,10,13,76,0.0,1037,-13,10,81,6,DEN
2018-01-01 06:00:00,-2,-13,0.0,8.7,2,97,05:44 PM,07:39 AM,08:20 AM,05:45 PM,-16,-14,-12,-14,6,18,74,0.0,1036,-12,10,139,3,DEN
2018-01-01 09:00:00,-2,-13,0.0,8.7,2,97,05:44 PM,07:39 AM,08:20 AM,05:45 PM,-15,-16,-11,-16,16,17,71,0.0,1033,-11,10,79,8,DEN
2018-01-01 12:00:00,-2,-13,0.0,8.7,2,97,05:44 PM,07:39 AM,08:20 AM,05:45 PM,-13,-9,-7,-9,5,50,59,0.0,1029,-7,10,24,4,DEN
2018-01-01 15:00:00,-2,-13,0.0,8.7,2,97,05:44 PM,07:39 AM,08:20 AM,05:45 PM,-13,-6,-2,-6,14,47,44,0.0,1024,-2,10,70,12,DEN
2018-01-01 18:00:00,-2,-13,0.0,8.7,2,97,05:44 PM,07:39 AM,08:20 AM,05:45 PM,-12,-9,-7,-9,7,54,70,0.0,1027,-7,10,7,4,DEN
2018-01-01 21:00:00,-2,-13,0.0,8.7,2,97,05:44 PM,07:39 AM,08:20 AM,05:45 PM,-12,-15,-9,-15,21,7,77,0.0,1029,-9,10,350,13,DEN
2018-01-02 00:00:00,3,-10,0.0,8.7,2,100,06:51 PM,08:42 AM,08:20 AM,05:46 PM,-11,-14,-9,-14,15,5,83,0.0,1033,-9,10,269,9,DEN
2018-01-02 03:00:00,3,-10,0.0,8.7,2,100,06:51 PM,08:42 AM,08:20 AM,05:46 PM,-12,-13,-10,-13,12,18,83,0.0,1034,-9,10,1,6,DEN
2018-01-02 06:00:00,3,-10,0.0,8.7,2,100,06:51 PM,08:42 AM,08:20 AM,05:46 PM,-13,-14,-10,-14,13,11,82,0.0,1036,-10,10,319,6,DEN
2018-01-02 09:00:00,3,-10,0.0,8.7,2,100,06:51 PM,08:42 AM,08:20 AM,05:46 PM,-14,-14,-9,-14,24,0,65,0.0,1036,-9,10,206,12,DEN
2018-01-02 12:00:00,3,-10,0.0,8.7,2,100,06:51 PM,08:42 AM,08:20 AM,05:46 PM,-15,-3,0,-3,10,0,29,0.0,1030,0,10,216,9,DEN
2018-01-02 15:00:00,3,-10,0.0,8.7,2,100,06:51 PM,08:42 AM,08:20 AM,05:46 PM,-17,1,3,1,9,0,22,0.0,1026,3,10,21,7,DEN
2018-01-02 18:00:00,3,-10,0.0,8.7,2,100,06:51 PM,08:42 AM,08:20 AM,05:46 PM,-16,-5,-3,-5,11,0,38,0.0,1029,-3,10,161,5,DEN
2018-01-02 21:00:00,3,-10,0.0,8.7,2,100,06:51 PM,08:42 AM,08:20 AM,05:46 PM,-18,-6,-3,-6,22,0,29,0.0,1032,-3,10,194,10,DEN
2018-01-03 00:00:00,9,-4,0.0,8.7,2,89,08:02 PM,09:38 AM,08:20 AM,05:47 PM,-19,-7,-3,-7,17,0,30,0.0,1032,-3,10,238,8,DEN
2018-01-03 03:00:00,9,-4,0.0,8.7,2,89,08:02 PM,09:38 AM,08:20 AM,05:47 PM,-19,-7,-3,-7,20,0,28,0.0,1031,-3,10,224,9,DEN
2018-01-03 06:00:00,9,-4,0.0,8.7,2,89,08:02 PM,09:38 AM,08:20 AM,05:47 PM,-21,-7,-4,-7,14,0,26,0.0,1032,-4,10,235,7,DEN
2018-01-03 09:00:00,9,-4,0.0,8.7,2,89,08:02 PM,09:38 AM,08:20 AM,05:47 PM,-22,-7,-2,-7,29,11,20,0.0,1030,-2,10,207,14,DEN
2018-01-03 12:00:00,9,-4,0.0,8.7,2,89,08:02 PM,09:38 AM,08:20 AM,05:47 PM,-19,5,8,5,19,34,13,0.0,1024,8,10,140,16,DEN
2018-01-03 15:00:00,9,-4,0.0,8.7,2,89,08:02 PM,09:38 AM,08:20 AM,05:47 PM,-16,7,9,7,20,20,15,0.0,1020,9,10,142,16,DEN
2018-01-03 18:00:00,9,-4,0.0,8.7,2,89,08:02 PM,09:38 AM,08:20 AM,05:47 PM,-14,-3,1,-3,22,7,33,0.0,1022,1,10,123,10,DEN
2018-01-03 21:00:00,9,-4,0.0,8.7,2,89,08:02 PM,09:38 AM,08:20 AM,05:47 PM,-15,-3,-1,-3,16,16,32,0.0,1023,-1,10,261,8,DEN
2018-01-04 00:00:00,8,-3,0.0,8.7,2,81,09:13 PM,10:25 AM,08:20 AM,05:48 PM,-13,-5,-2,-5,17,26,42,0.0,1025,-2,10,290,8,DEN
2018-01-04 03:00:00,8,-3,0.0,8.7,2,81,09:13 PM,10:25 AM,08:20 AM,05:48 PM,-13,-5,-3,-5,10,18,47,0.0,1025,-3,10,267,5,DEN
2018-01-04 06:00:00,8,-3,0.0,8.7,2,81,09:13 PM,10:25 AM,08:20 AM,05:48 PM,-13,-5,-3,-5,11,1,46,0.0,1026,-3,10,277,5,DEN
2018-01-04 09:00:00,8,-3,0.0,8.7,2,81,09:13 PM,10:25 AM,08:20 AM,05:48 PM,-14,-5,-2,-5,17,0,38,0.0,1026,-2,10,215,8,DEN
2018-01-04 12:00:00,8,-3,0.0,8.7,2,81,09:13 PM,10:25 AM,08:20 AM,05:48 PM,-14,7,7,7,3,0,22,0.0,1022,7,10,164,3,DEN
2018-01-04 15:00:00,8,-3,0.0,8.7,2,81,09:13 PM,10:25 AM,08:20 AM,05:48 PM,-12,6,8,6,12,0,22,0.0,1020,8,10,110,10,DEN
2018-01-04 18:00:00,8,-3,0.0,8.7,2,81,09:13 PM,10:25 AM,08:20 AM,05:48 PM,-10,-2,1,-2,23,0,43,0.0,1021,1,10,105,11,DEN
2018-01-04 21:00:00,8,-3,0.0,8.7,2,81,09:13 PM,10:25 AM,08:20 AM,05:48 PM,-11,-4,-0,-4,23,0,43,0.0,1023,-0,10,164,11,DEN
2018-01-05 00:00:00,12,-1,0.0,8.7,2,74,10:22 PM,11:06 AM,08:20 AM,05:48 PM,-12,-4,-1,-4,19,16,40,0.0,1024,-1,10,197,9,DEN
2018-01-05 03:00:00,12,-1,0.0,8.7,2,74,10:22 PM,11:06 AM,08:20 AM,05:48 PM,-14,-4,-1,-4,20,17,34,0.0,1023,-1,10,244,10,DEN
2018-01-05 06:00:00,12,-1,0.0,8.7,2,74,10:22 PM,11:06 AM,08:20 AM,05:48 PM,-14,-4,-1,-4,14,10,39,0.0,1024,-1,10,248,6,DEN
2018-01-05 09:00:00,12,-1,0.0,8.7,2,74,10:22 PM,11:06 AM,08:20 AM,05:48 PM,-14,-3,1,-3,20,10,33,0.0,1023,1,10,221,9,DEN
2018-01-05 12:00:00,12,-1,0.0,8.7,2,74,10:22 PM,11:06 AM,08:20 AM,05:48 PM,-10,10,11,10,6,14,22,0.0,1019,11,10,171,5,DEN
2018-01-05 15:00:00,12,-1,0.0,8.7,2,74,10:22 PM,11:06 AM,08:20 AM,05:48 PM,-7,12,12,12,2,21,25,0.0,1017,12,10,94,1,DEN
2018-01-05 18:00:00,12,-1,0.0,8.7,2,74,10:22 PM,11:06 AM,08:20 AM,05:48 PM,-6,2,3,2,11,26,48,0.0,1020,3,10,117,5,DEN
2018-01-05 21:00:00,12,-1,0.0,8.7,2,74,10:22 PM,11:06 AM,08:20 AM,05:48 PM,-5,1,2,1,11,10,57,0.0,1022,2,10,218,5,DEN
2018-01-06 00:00:00,11,-0,0.0,8.7,2,67,11:29 PM,11:43 AM,08:20 AM,05:49 PM,-6,2,2,2,6,6,58,0.0,1021,2,10,160,3,DEN
2018-01-06 03:00:00,11,-0,0.0,8.7,2,67,11:29 PM,11:43 AM,08:20 AM,05:49 PM,-5,-0,2,-0,13,36,60,0.0,1022,2,10,233,6,DEN
2018-01-06 06:00:00,11,-0,0.0,8.7,2,67,11:29 PM,11:43 AM,08:20 AM,05:49 PM,-6,-2,-0,-2,10,92,65,0.0,1022,-0,10,197,5,DEN
2018-01-06 09:00:00,11,-0,0.0,8.7,2,67,11:29 PM,11:43 AM,08:20 AM,05:49 PM,-8,-1,1,-1,17,5,51,0.0,1020,1,10,252,8,DEN
2018-01-06 12:00:00,11,-0,0.0,8.7,2,67,11:29 PM,11:43 AM,08:20 AM,05:49 PM,-8,8,9,8,7,20,30,0.0,1016,9,10,188,5,DEN
2018-01-06 15:00:00,11,-0,0.0,8.7,2,67,11:29 PM,11:43 AM,08:20 AM,05:49 PM,-7,11,11,11,6,27,27,0.0,1012,11,10,131,4,DEN
2018-01-06 18:00:00,11,-0,0.0,8.7,2,67,11:29 PM,11:43 AM,08:20 AM,05:49 PM,-6,4,5,4,11,48,46,0.0,1011,5,10,91,5,DEN
2018-01-06 21:00:00,11,-0,0.0,8.7,2,67,11:29 PM,11:43 AM,08:20 AM,05:49 PM,-5,5,5,5,2,86,48,0.0,1011,5,10,46,1,DEN
2018-01-07 00:00:00,8,-1,0.0,8.7,1,59,No moonrise,12:15 PM,08:20 AM,05:50 PM,-3,1,4,1,20,100,58,0.0,1010,4,10,354,9,DEN
2018-01-07 03:00:00,8,-1,0.0,8.7,1,59,No moonrise,12:15 PM,08:20 AM,05:50 PM,-2,0,2,0,14,47,74,0.0,1012,2,10,348,6,DEN
2018-01-07 06:00:00,8,-1,0.0,8.7,1,59,No moonrise,12:15 PM,08:20 AM,05:50 PM,-3,-2,-0,-2,13,11,82,0.0,1017,-0,10,16,6,DEN
2018-01-07 09:00:00,8,-1,0.0,8.7,1,59,No moonrise,12:15 PM,08:20 AM,05:50 PM,-3,-1,-1,-1,6,10,85,0.0,1019,-1,10,111,3,DEN
2018-01-07 12:00:00,8,-1,0.0,8.7,1,59,No moonrise,12:15 PM,08:20 AM,05:50 PM,-3,5,5,5,4,7,55,0.0,1018,5,10,149,3,DEN
2018-01-07 15:00:00,8,-1,0.0,8.7,1,59,No moonrise,12:15 PM,08:20 AM,05:50 PM,-4,7,8,7,11,6,42,0.0,1016,8,10,140,9,DEN
2018-01-07 18:00:00,8,-1,0.0,8.7,1,59,No moonrise,12:15 PM,08:20 AM,05:50 PM,-4,1,4,1,26,3,54,0.0,1019,4,10,138,12,DEN
