date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-2,-8,0.0,10.0,2,97,06:29 PM,07:50 AM,08:31 AM,06:33 PM,-19,-11,-5,-11,24,43,32,0.0,1042,-5,10,16,19,DFW
2018-01-01 03:00:00,-2,-8,0.0,10.0,2,97,06:29 PM,07:50 AM,08:31 AM,06:33 PM,-20,-12,-5,-12,25,83,31,0.0,1043,-5,10,17,20,DFW
2018-01-01 06:00:00,-2,-8,0.0,10.0,2,97,06:29 PM,07:50 AM,08:31 AM,06:33 PM,-19,-15,-8,-15,21,79,39,0.0,1045,-8,10,14,17,DFW
2018-01-01 09:00:00,-2,-8,0.0,10.0,2,97,06:29 PM,07:50 AM,08:31 AM,06:33 PM,-20,-15,-8,-15,23,47,36,0.0,1045,-8,10,25,19,DFW
2018-01-01 12:00:00,-2,-8,0.0,10.0,2,97,06:29 PM,07:50 AM,08:31 AM,06:33 PM,-18,-10,-5,-10,13,87,34,0.0,1045,-5,10,30,11,DFW
2018-01-01 15:00:00,-2,-8,0.0,10.0,2,97,06:29 PM,07:50 AM,08:31 AM,06:33 PM,-18,-6,-2,-6,14,6,27,0.0,1041,-2,10,40,12,DFW
2018-01-01 18:00:00,-2,-8,0.0,10.0,2,97,06:29 PM,07:50 AM,08:31 AM,06:33 PM,-16,-7,-3,-7,11,32,35,0.0,1041,-4,10,52,8,DFW
2018-01-01 21:00:00,-2,-8,0.0,10.0,2,97,06:29 PM,07:50 AM,08:31 AM,06:33 PM,-17,-9,-4,-9,17,96,35,0.0,1041,-4,10,54,13,DFW
2018-01-02 00:00:00,-3,-5,0.0,8.3,2,100,07:36 PM,08:53 AM,08:31 AM,06:33 PM,-17,-8,-4,-8,12,11,35,0.0,1040,-4,10,85,10,DFW
2018-01-02 03:00:00,-3,-5,0.0,8.3,2,100,07:36 PM,08:53 AM,08:31 AM,06:33 PM,-17,-8,-4,-8,14,21,35,0.0,1040,-4,10,84,11,DFW
2018-01-02 06:00:00,-3,-5,0.0,8.3,2,100,07:36 PM,08:53 AM,08:31 AM,06:33 PM,-17,-8,-4,-8,10,16,37,0.0,1040,-5,10,75,9,DFW
2018-01-02 09:00:00,-3,-5,0.0,8.3,2,100,07:36 PM,08:53 AM,08:31 AM,06:33 PM,-18,-9,-4,-9,15,44,33,0.0,1040,-4,10,70,13,DFW
2018-01-02 12:00:00,-3,-5,0.0,8.3,2,100,07:36 PM,08:53 AM,08:31 AM,06:33 PM,-17,-7,-4,-7,8,83,34,0.0,1038,-4,10,42,7,DFW
2018-01-02 15:00:00,-3,-5,0.0,8.3,2,100,07:36 PM,08:53 AM,08:31 AM,06:33 PM,-18,-6,-2,-6,10,62,28,0.0,1035,-3,10,12,9,DFW
2018-01-02 18:00:00,-3,-5,0.0,8.3,2,100,07:36 PM,08:53 AM,08:31 AM,06:33 PM,-16,-8,-4,-8,11,54,37,0.0,1036,-4,10,338,9,DFW
2018-01-02 21:00:00,-3,-5,0.0,8.3,2,100,07:36 PM,08:53 AM,08:31 AM,06:33 PM,-15,-7,-4,-7,10,14,40,0.0,1035,-4,10,330,8,DFW
2018-01-03 00:00:00,6,-5,0.0,10.0,2,89,08:44 PM,09:51 AM,08:31 AM,06:34 PM,-15,-4,-2,-4,7,3,38,0.0,1035,-4,10,305,6,DFW
2018-01-03 03:00:00,6,-5,0.0,10.0,2,89,08:44 PM,09:51 AM,08:31 AM,06:34 PM,-14,-5,-2,-5,12,0,39,0.0,1034,-4,10,281,10,DFW
2018-01-03 06:00:00,6,-5,0.0,10.0,2,89,08:44 PM,09:51 AM,08:31 AM,06:34 PM,-14,-5,-2,-5,10,0,41,0.0,1033,-5,10,252,8,DFW
2018-01-03 09:00:00,6,-5,0.0,10.0,2,89,08:44 PM,09:51 AM,08:31 AM,06:34 PM,-16,-5,-1,-5,13,2,32,0.0,1032,-2,10,278,11,DFW
2018-01-03 12:00:00,6,-5,0.0,10.0,2,89,08:44 PM,09:51 AM,08:31 AM,06:34 PM,-11,4,6,4,12,0,28,0.0,1031,4,10,317,10,DFW
2018-01-03 15:00:00,6,-5,0.0,10.0,2,89,08:44 PM,09:51 AM,08:31 AM,06:34 PM,-8,6,8,6,13,0,32,0.0,1028,6,10,336,11,DFW
2018-01-03 18:00:00,6,-5,0.0,10.0,2,89,08:44 PM,09:51 AM,08:31 AM,06:34 PM,-3,5,7,5,14,0,49,0.0,1028,4,10,312,8,DFW
2018-01-03 21:00:00,6,-5,0.0,10.0,2,89,08:44 PM,09:51 AM,08:31 AM,06:34 PM,-4,1,3,1,17,6,56,0.0,1028,2,10,357,8,DFW
2018-01-04 00:00:00,8,-0,0.0,8.3,2,81,09:52 PM,10:41 AM,08:31 AM,06:35 PM,-4,2,4,2,9,4,56,0.0,1029,1,10,42,6,DFW
2018-01-04 03:00:00,8,-0,0.0,8.3,2,81,09:52 PM,10:41 AM,08:31 AM,06:35 PM,-4,3,4,3,8,2,54,0.0,1029,1,10,80,7,DFW
2018-01-04 06:00:00,8,-0,0.0,8.3,2,81,09:52 PM,10:41 AM,08:31 AM,06:35 PM,-7,0,2,0,7,5,53,0.0,1030,-0,10,53,5,DFW
2018-01-04 09:00:00,8,-0,0.0,8.3,2,81,09:52 PM,10:41 AM,08:31 AM,06:35 PM,-8,0,2,0,7,32,48,0.0,1031,1,10,80,5,DFW
2018-01-04 12:00:00,8,-0,0.0,8.3,2,81,09:52 PM,10:41 AM,08:31 AM,06:35 PM,-8,5,7,5,7,32,35,0.0,1030,6,10,45,6,DFW
2018-01-04 15:00:00,8,-0,0.0,8.3,2,81,09:52 PM,10:41 AM,08:31 AM,06:35 PM,-7,8,8,8,6,67,32,0.0,1027,8,10,102,5,DFW
2018-01-04 18:00:00,8,-0,0.0,8.3,2,81,09:52 PM,10:41 AM,08:31 AM,06:35 PM,-7,6,7,6,8,100,37,0.0,1027,6,10,77,5,DFW
2018-01-04 21:00:00,8,-0,0.0,8.3,2,81,09:52 PM,10:41 AM,08:31 AM,06:35 PM,-7,4,6,4,13,98,40,0.0,1028,5,10,127,7,DFW
2018-01-05 00:00:00,14,3,0.0,10.1,2,74,10:57 PM,11:26 AM,08:31 AM,06:36 PM,-6,3,5,3,15,100,45,0.0,1028,5,10,166,8,DFW
2018-01-05 03:00:00,14,3,0.0,10.1,2,74,10:57 PM,11:26 AM,08:31 AM,06:36 PM,-5,2,4,2,16,100,51,0.0,1028,4,10,171,9,DFW
2018-01-05 06:00:00,14,3,0.0,10.1,2,74,10:57 PM,11:26 AM,08:31 AM,06:36 PM,-3,4,6,4,11,0,50,0.0,1028,3,10,179,8,DFW
2018-01-05 09:00:00,14,3,0.0,10.1,2,74,10:57 PM,11:26 AM,08:31 AM,06:36 PM,-2,5,7,5,13,0,52,0.0,1028,5,10,197,11,DFW
2018-01-05 12:00:00,14,3,0.0,10.1,2,74,10:57 PM,11:26 AM,08:31 AM,06:36 PM,1,15,15,15,10,0,39,0.0,1027,12,10,224,8,DFW
2018-01-05 15:00:00,14,3,0.0,10.1,2,74,10:57 PM,11:26 AM,08:31 AM,06:36 PM,1,16,16,16,12,0,35,0.0,1024,14,10,199,10,DFW
2018-01-05 18:00:00,14,3,0.0,10.1,2,74,10:57 PM,11:26 AM,08:31 AM,06:36 PM,-0,12,12,12,17,15,41,0.0,1024,12,10,158,8,DFW
2018-01-05 21:00:00,14,3,0.0,10.1,2,74,10:57 PM,11:26 AM,08:31 AM,06:36 PM,1,9,10,9,22,17,54,0.0,1026,10,10,165,11,DFW
2018-01-06 00:00:00,15,5,0.0,10.0,4,67,No moonrise,12:06 PM,08:31 AM,06:37 PM,2,7,9,7,20,7,59,0.0,1026,8,10,169,11,DFW
2018-01-06 03:00:00,15,5,0.0,10.0,4,67,No moonrise,12:06 PM,08:31 AM,06:37 PM,2,6,8,6,18,5,64,0.0,1026,7,10,172,10,DFW
2018-01-06 06:00:00,15,5,0.0,10.0,4,67,No moonrise,12:06 PM,08:31 AM,06:37 PM,1,4,6,4,16,5,68,0.0,1027,5,10,164,10,DFW
2018-01-06 09:00:00,15,5,0.0,10.0,4,67,No moonrise,12:06 PM,08:31 AM,06:37 PM,1,6,8,6,16,3,63,0.0,1027,7,10,167,12,DFW
2018-01-06 12:00:00,15,5,0.0,10.0,4,67,No moonrise,12:06 PM,08:31 AM,06:37 PM,5,14,14,14,10,3,56,0.0,1026,13,10,169,8,DFW
2018-01-06 15:00:00,15,5,0.0,10.0,4,67,No moonrise,12:06 PM,08:31 AM,06:37 PM,8,15,15,15,20,42,60,0.0,1024,15,10,159,17,DFW
2018-01-06 18:00:00,15,5,0.0,10.0,4,67,No moonrise,12:06 PM,08:31 AM,06:37 PM,8,13,14,13,21,100,66,0.0,1023,14,10,147,12,DFW
2018-01-06 21:00:00,15,5,0.0,10.0,4,67,No moonrise,12:06 PM,08:31 AM,06:37 PM,6,11,13,11,33,94,62,0.0,1022,13,10,153,21,DFW
2018-01-07 00:00:00,15,11,0.0,5.0,4,59,12:00 AM,12:42 PM,08:31 AM,06:37 PM,4,10,12,10,34,52,60,0.0,1021,12,10,154,22,DFW
2018-01-07 03:00:00,15,11,0.0,5.0,4,59,12:00 AM,12:42 PM,08:31 AM,06:37 PM,9,9,12,9,40,100,83,0.0,1020,12,10,170,26,DFW
2018-01-07 06:00:00,15,11,0.0,5.0,4,59,12:00 AM,12:42 PM,08:31 AM,06:37 PM,7,8,11,8,27,100,78,0.0,1018,11,10,150,19,DFW
2018-01-07 09:00:00,15,11,0.0,5.0,4,59,12:00 AM,12:42 PM,08:31 AM,06:37 PM,9,9,12,9,43,100,84,0.1,1016,12,10,174,28,DFW
2018-01-07 12:00:00,15,11,0.0,5.0,4,59,12:00 AM,12:42 PM,08:31 AM,06:37 PM,11,12,13,12,25,100,84,0.0,1013,13,10,173,17,DFW
2018-01-07 15:00:00,15,11,0.0,5.0,4,59,12:00 AM,12:42 PM,08:31 AM,06:37 PM,12,15,15,15,31,100,84,0.1,1011,15,10,193,20,DFW
2018-01-07 18:00:00,15,11,0.0,5.0,4,59,12:00 AM,12:42 PM,08:31 AM,06:37 PM,14,14,14,14,13,100,97,0.0,1012,14,0,175,8,DFW
2018-01-07 21:00:00,15,11,0.0,5.0,4,59,12:00 AM,12:42 PM,08:31 AM,06:37 PM,10,12,13,12,36,13,82,4.1,1013,13,7,311,21,DFW
2018-01-08 00:00:00,14,7,0.0,10.1,4,52,01:00 AM,01:16 PM,08:31 AM,06:38 PM,9,9,11,9,36,27,85,0.0,1016,11,10,351,23,DFW
