date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-16,-26,0.0,8.7,1,97,05:31 PM,08:07 AM,08:54 AM,05:31 PM,-26,-35,-25,-35,22,92,88,0.0,1043,-25,10,312,15,DLH
2018-01-01 03:00:00,-16,-26,0.0,8.7,1,97,05:31 PM,08:07 AM,08:54 AM,05:31 PM,-26,-34,-25,-34,18,90,89,0.0,1044,-25,10,306,13,DLH
2018-01-01 06:00:00,-16,-26,0.0,8.7,1,97,05:31 PM,08:07 AM,08:54 AM,05:31 PM,-27,-35,-26,-35,18,64,90,0.0,1044,-26,10,309,12,DLH
2018-01-01 09:00:00,-16,-26,0.0,8.7,1,97,05:31 PM,08:07 AM,08:54 AM,05:31 PM,-26,-33,-24,-33,18,41,88,0.0,1044,-24,10,296,12,DLH
2018-01-01 12:00:00,-16,-26,0.0,8.7,1,97,05:31 PM,08:07 AM,08:54 AM,05:31 PM,-22,-26,-18,-26,15,6,73,0.0,1042,-18,10,292,12,DLH
2018-01-01 15:00:00,-16,-26,0.0,8.7,1,97,05:31 PM,08:07 AM,08:54 AM,05:31 PM,-20,-24,-16,-24,16,4,71,0.0,1041,-16,10,279,13,DLH
2018-01-01 18:00:00,-16,-26,0.0,8.7,1,97,05:31 PM,08:07 AM,08:54 AM,05:31 PM,-21,-26,-19,-26,20,93,83,0.0,1040,-18,10,273,12,DLH
2018-01-01 21:00:00,-16,-26,0.0,8.7,1,97,05:31 PM,08:07 AM,08:54 AM,05:31 PM,-21,-27,-19,-27,22,17,84,0.0,1039,-19,10,264,14,DLH
2018-01-02 00:00:00,-12,-20,0.1,3.3,2,100,06:38 PM,09:11 AM,08:54 AM,05:32 PM,-21,-28,-19,-28,30,17,81,0.0,1036,-19,10,263,19,DLH
2018-01-02 03:00:00,-12,-20,0.1,3.3,2,100,06:38 PM,09:11 AM,08:54 AM,05:32 PM,-21,-28,-18,-28,29,99,76,0.0,1033,-18,10,259,19,DLH
2018-01-02 06:00:00,-12,-20,0.1,3.3,2,100,06:38 PM,09:11 AM,08:54 AM,05:32 PM,-24,-30,-20,-30,33,99,71,0.0,1030,-20,10,254,21,DLH
2018-01-02 09:00:00,-12,-20,0.1,3.3,2,100,06:38 PM,09:11 AM,08:54 AM,05:32 PM,-23,-29,-19,-29,31,100,72,0.0,1025,-19,10,237,21,DLH
2018-01-02 12:00:00,-12,-20,0.1,3.3,2,100,06:38 PM,09:11 AM,08:54 AM,05:32 PM,-18,-26,-15,-26,33,100,84,0.0,1019,-15,10,236,25,DLH
2018-01-02 15:00:00,-12,-20,0.1,3.3,2,100,06:38 PM,09:11 AM,08:54 AM,05:32 PM,-15,-21,-12,-21,25,100,80,0.0,1016,-12,10,252,20,DLH
2018-01-02 18:00:00,-12,-20,0.1,3.3,2,100,06:38 PM,09:11 AM,08:54 AM,05:32 PM,-15,-20,-14,-20,17,100,90,0.0,1016,-14,10,281,11,DLH
