date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-1,-3,0.3,8.3,1,97,06:53 PM,07:58 AM,08:38 AM,06:57 PM,-14,-6,-1,-6,26,86,35,0.0,1039,-1,10,1,20,DRT
2018-01-01 03:00:00,-1,-3,0.3,8.3,1,97,06:53 PM,07:58 AM,08:38 AM,06:57 PM,-15,-8,-2,-8,28,44,35,0.0,1040,-2,10,2,21,DRT
2018-01-01 06:00:00,-1,-3,0.3,8.3,1,97,06:53 PM,07:58 AM,08:38 AM,06:57 PM,-15,-8,-3,-8,22,50,38,0.0,1042,-3,10,356,17,DRT
2018-01-01 09:00:00,-1,-3,0.3,8.3,1,97,06:53 PM,07:58 AM,08:38 AM,06:57 PM,-11,-8,-3,-8,21,62,52,0.0,1042,-3,10,3,17,DRT
2018-01-01 12:00:00,-1,-3,0.3,8.3,1,97,06:53 PM,07:58 AM,08:38 AM,06:57 PM,-7,-8,-3,-8,15,100,72,0.0,1042,-3,10,352,12,DRT
2018-01-01 15:00:00,-1,-3,0.3,8.3,1,97,06:53 PM,07:58 AM,08:38 AM,06:57 PM,-10,-5,-3,-5,9,40,58,0.3,1038,-3,5,22,5,DRT
2018-01-01 18:00:00,-1,-3,0.3,8.3,1,97,06:53 PM,07:58 AM,08:38 AM,06:57 PM,-9,-2,-1,-2,5,16,52,0.0,1037,-1,10,163,4,DRT
2018-01-01 21:00:00,-1,-3,0.3,8.3,1,97,06:53 PM,07:58 AM,08:38 AM,06:57 PM,-8,-5,-1,-5,13,10,61,0.0,1037,-1,10,156,10,DRT
2018-01-02 00:00:00,3,-3,0.0,10.2,2,100,07:59 PM,09:02 AM,08:38 AM,06:57 PM,-7,-6,-3,-6,13,15,69,0.0,1037,-2,10,134,9,DRT
2018-01-02 03:00:00,3,-3,0.0,10.2,2,100,07:59 PM,09:02 AM,08:38 AM,06:57 PM,-6,-7,-3,-7,14,22,76,0.0,1036,-3,10,114,10,DRT
2018-01-02 06:00:00,3,-3,0.0,10.2,2,100,07:59 PM,09:02 AM,08:38 AM,06:57 PM,-8,-7,-3,-7,14,38,72,0.0,1036,-3,10,120,10,DRT
2018-01-02 09:00:00,3,-3,0.0,10.2,2,100,07:59 PM,09:02 AM,08:38 AM,06:57 PM,-8,-7,-2,-7,18,36,62,0.0,1036,-2,10,120,14,DRT
2018-01-02 12:00:00,3,-3,0.0,10.2,2,100,07:59 PM,09:02 AM,08:38 AM,06:57 PM,-10,-2,1,-2,9,10,43,0.0,1034,1,10,135,8,DRT
2018-01-02 15:00:00,3,-3,0.0,10.2,2,100,07:59 PM,09:02 AM,08:38 AM,06:57 PM,-9,1,3,1,7,16,39,0.0,1031,3,10,349,6,DRT
2018-01-02 18:00:00,3,-3,0.0,10.2,2,100,07:59 PM,09:02 AM,08:38 AM,06:57 PM,-11,-3,2,-3,24,12,39,0.0,1035,2,10,328,17,DRT
