date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,3,2,0.2,5.8,1,97,06:12 PM,09:48 AM,10:24 AM,05:56 PM,2,2,3,2,7,79,91,0.1,978,3,10,69,4,DUT
2018-01-01 03:00:00,3,2,0.2,5.8,1,97,06:12 PM,09:48 AM,10:24 AM,05:56 PM,1,3,3,3,5,75,89,0.0,979,3,10,93,3,DUT
2018-01-01 06:00:00,3,2,0.2,5.8,1,97,06:12 PM,09:48 AM,10:24 AM,05:56 PM,1,1,3,1,10,64,87,0.1,979,3,7,315,7,DUT
2018-01-01 09:00:00,3,2,0.2,5.8,1,97,06:12 PM,09:48 AM,10:24 AM,05:56 PM,1,0,3,0,12,83,86,0.0,980,3,10,296,9,DUT
2018-01-01 12:00:00,3,2,0.2,5.8,1,97,06:12 PM,09:48 AM,10:24 AM,05:56 PM,0,-2,3,-2,27,53,86,0.0,980,3,10,288,20,DUT
2018-01-01 15:00:00,3,2,0.2,5.8,1,97,06:12 PM,09:48 AM,10:24 AM,05:56 PM,0,-2,3,-2,31,58,85,0.0,981,3,10,290,22,DUT
2018-01-01 18:00:00,3,2,0.2,5.8,1,97,06:12 PM,09:48 AM,10:24 AM,05:56 PM,-0,-3,2,-3,34,59,82,0.1,982,2,7,282,24,DUT
2018-01-01 21:00:00,3,2,0.2,5.8,1,97,06:12 PM,09:48 AM,10:24 AM,05:56 PM,-2,-3,2,-3,27,100,76,0.0,984,2,10,276,20,DUT
2018-01-02 00:00:00,3,2,0.1,1.8,1,100,07:23 PM,10:48 AM,10:24 AM,05:57 PM,-2,-3,2,-3,27,100,74,0.0,986,2,10,256,20,DUT
2018-01-02 03:00:00,3,2,0.1,1.8,1,100,07:23 PM,10:48 AM,10:24 AM,05:57 PM,-2,-2,2,-2,20,100,74,0.0,988,2,10,240,14,DUT
2018-01-02 06:00:00,3,2,0.1,1.8,1,100,07:23 PM,10:48 AM,10:24 AM,05:57 PM,-2,-2,2,-2,20,77,74,0.0,989,2,10,228,15,DUT
2018-01-02 09:00:00,3,2,0.1,1.8,1,100,07:23 PM,10:48 AM,10:24 AM,05:57 PM,-3,-1,2,-1,15,80,73,0.0,990,2,10,232,10,DUT
2018-01-02 12:00:00,3,2,0.1,1.8,1,100,07:23 PM,10:48 AM,10:24 AM,05:57 PM,-2,-2,2,-2,18,94,73,0.0,993,2,10,222,13,DUT
2018-01-02 15:00:00,3,2,0.1,1.8,1,100,07:23 PM,10:48 AM,10:24 AM,05:57 PM,-2,-1,2,-1,21,90,74,0.0,996,2,10,224,15,DUT
2018-01-02 18:00:00,3,2,0.1,1.8,1,100,07:23 PM,10:48 AM,10:24 AM,05:57 PM,-1,-2,2,-2,24,46,80,0.1,998,2,7,233,17,DUT
2018-01-02 21:00:00,3,2,0.1,1.8,1,100,07:23 PM,10:48 AM,10:24 AM,05:57 PM,-0,-1,3,-1,26,29,80,0.0,1001,3,10,250,18,DUT
2018-01-03 00:00:00,3,2,0.0,5.8,1,89,08:41 PM,11:37 AM,10:24 AM,05:58 PM,-0,-2,3,-2,29,24,80,0.0,1004,3,10,252,20,DUT
2018-01-03 03:00:00,3,2,0.0,5.8,1,89,08:41 PM,11:37 AM,10:24 AM,05:58 PM,-1,-2,3,-2,30,15,78,0.0,1005,3,10,264,21,DUT
2018-01-03 06:00:00,3,2,0.0,5.8,1,89,08:41 PM,11:37 AM,10:24 AM,05:58 PM,-2,-1,2,-1,20,26,75,0.0,1007,2,10,251,13,DUT
2018-01-03 09:00:00,3,2,0.0,5.8,1,89,08:41 PM,11:37 AM,10:24 AM,05:58 PM,-2,-2,2,-2,17,13,75,0.0,1007,2,10,203,11,DUT
2018-01-03 12:00:00,3,2,0.0,5.8,1,89,08:41 PM,11:37 AM,10:24 AM,05:58 PM,-2,-2,2,-2,18,5,74,0.0,1008,2,10,166,12,DUT
2018-01-03 15:00:00,3,2,0.0,5.8,1,89,08:41 PM,11:37 AM,10:24 AM,05:58 PM,-3,-2,2,-2,26,21,68,0.0,1007,2,10,152,18,DUT
2018-01-03 18:00:00,3,2,0.0,5.8,1,89,08:41 PM,11:37 AM,10:24 AM,05:58 PM,-2,-3,3,-3,44,84,71,0.0,1005,2,2,143,31,DUT
2018-01-03 21:00:00,3,2,0.0,5.8,1,89,08:41 PM,11:37 AM,10:24 AM,05:58 PM,-2,-3,3,-3,50,100,72,0.0,1003,3,10,135,36,DUT
2018-01-04 00:00:00,5,3,0.0,1.8,1,81,10:02 PM,12:14 PM,10:23 AM,05:59 PM,-1,-4,3,-4,67,100,76,0.1,1001,3,0,126,48,DUT
