date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-11,-12,0.4,4.8,1,97,05:56 PM,08:02 AM,08:49 AM,06:00 PM,-14,-19,-12,-19,24,100,83,0.0,1033,-12,10,322,16,ERI
2018-01-01 03:00:00,-11,-12,0.4,4.8,1,97,05:56 PM,08:02 AM,08:49 AM,06:00 PM,-14,-19,-11,-19,27,100,79,0.3,1033,-11,2,301,19,ERI
2018-01-01 06:00:00,-11,-12,0.4,4.8,1,97,05:56 PM,08:02 AM,08:49 AM,06:00 PM,-13,-20,-11,-20,33,100,83,0.0,1033,-11,10,294,24,ERI
2018-01-01 09:00:00,-11,-12,0.4,4.8,1,97,05:56 PM,08:02 AM,08:49 AM,06:00 PM,-13,-20,-11,-20,37,94,84,0.5,1033,-11,0,286,29,ERI
2018-01-01 12:00:00,-11,-12,0.4,4.8,1,97,05:56 PM,08:02 AM,08:49 AM,06:00 PM,-14,-21,-11,-21,39,100,81,0.0,1031,-11,10,286,31,ERI
2018-01-01 15:00:00,-11,-12,0.4,4.8,1,97,05:56 PM,08:02 AM,08:49 AM,06:00 PM,-14,-21,-11,-21,38,100,81,0.2,1032,-11,0,288,29,ERI
2018-01-01 18:00:00,-11,-12,0.4,4.8,1,97,05:56 PM,08:02 AM,08:49 AM,06:00 PM,-14,-21,-12,-21,38,88,82,0.0,1034,-11,10,289,28,ERI
2018-01-01 21:00:00,-11,-12,0.4,4.8,1,97,05:56 PM,08:02 AM,08:49 AM,06:00 PM,-13,-21,-11,-21,37,71,84,0.2,1035,-11,7,288,27,ERI
2018-01-02 00:00:00,-9,-13,0.2,8.2,1,100,07:02 PM,09:06 AM,08:49 AM,06:01 PM,-13,-20,-11,-20,37,80,85,0.0,1034,-11,10,284,27,ERI
2018-01-02 03:00:00,-9,-13,0.2,8.2,1,100,07:02 PM,09:06 AM,08:49 AM,06:01 PM,-12,-19,-10,-19,35,81,85,0.2,1034,-10,5,270,26,ERI
2018-01-02 06:00:00,-9,-13,0.2,8.2,1,100,07:02 PM,09:06 AM,08:49 AM,06:01 PM,-12,-17,-10,-17,30,100,85,0.0,1034,-9,10,240,21,ERI
2018-01-02 09:00:00,-9,-13,0.2,8.2,1,100,07:02 PM,09:06 AM,08:49 AM,06:01 PM,-14,-23,-13,-23,45,100,92,0.1,1033,-13,0,227,33,ERI
2018-01-02 12:00:00,-9,-13,0.2,8.2,1,100,07:02 PM,09:06 AM,08:49 AM,06:01 PM,-13,-21,-11,-21,42,100,88,0.0,1031,-11,10,229,34,ERI
2018-01-02 15:00:00,-9,-13,0.2,8.2,1,100,07:02 PM,09:06 AM,08:49 AM,06:01 PM,-13,-21,-11,-21,44,46,83,0.0,1030,-11,2,228,33,ERI
2018-01-02 18:00:00,-9,-13,0.2,8.2,1,100,07:02 PM,09:06 AM,08:49 AM,06:01 PM,-14,-22,-12,-22,45,29,83,0.0,1029,-12,10,222,29,ERI
2018-01-02 21:00:00,-9,-13,0.2,8.2,1,100,07:02 PM,09:06 AM,08:49 AM,06:01 PM,-15,-24,-13,-24,45,22,84,0.0,1028,-13,7,218,30,ERI
2018-01-03 00:00:00,-8,-15,0.3,6.5,2,89,08:13 PM,10:01 AM,08:49 AM,06:02 PM,-16,-25,-14,-25,47,15,85,0.0,1027,-14,10,213,31,ERI
2018-01-03 03:00:00,-8,-15,0.3,6.5,2,89,08:13 PM,10:01 AM,08:49 AM,06:02 PM,-17,-25,-15,-25,44,33,84,0.0,1026,-15,7,207,28,ERI
2018-01-03 06:00:00,-8,-15,0.3,6.5,2,89,08:13 PM,10:01 AM,08:49 AM,06:02 PM,-17,-24,-14,-24,43,4,79,0.0,1024,-14,10,204,27,ERI
2018-01-03 09:00:00,-8,-15,0.3,6.5,2,89,08:13 PM,10:01 AM,08:49 AM,06:02 PM,-15,-21,-12,-21,40,44,73,0.0,1023,-12,10,205,29,ERI
2018-01-03 12:00:00,-8,-15,0.3,6.5,2,89,08:13 PM,10:01 AM,08:49 AM,06:02 PM,-12,-16,-8,-16,34,99,72,0.0,1019,-8,10,208,26,ERI
2018-01-03 15:00:00,-8,-15,0.3,6.5,2,89,08:13 PM,10:01 AM,08:49 AM,06:02 PM,-11,-15,-8,-15,32,100,76,0.1,1018,-8,10,211,24,ERI
2018-01-03 18:00:00,-8,-15,0.3,6.5,2,89,08:13 PM,10:01 AM,08:49 AM,06:02 PM,-10,-16,-8,-16,35,100,82,0.0,1018,-8,10,226,24,ERI
2018-01-03 21:00:00,-8,-15,0.3,6.5,2,89,08:13 PM,10:01 AM,08:49 AM,06:02 PM,-11,-17,-9,-17,30,100,88,0.3,1018,-9,2,244,19,ERI
2018-01-04 00:00:00,-8,-13,0.3,4.8,1,81,09:26 PM,10:49 AM,08:49 AM,06:03 PM,-10,-14,-9,-14,15,100,90,0.0,1017,-9,10,279,11,ERI
2018-01-04 03:00:00,-8,-13,0.3,4.8,1,81,09:26 PM,10:49 AM,08:49 AM,06:03 PM,-10,-16,-9,-16,29,100,89,0.3,1017,-8,2,330,21,ERI
2018-01-04 06:00:00,-8,-13,0.3,4.8,1,81,09:26 PM,10:49 AM,08:49 AM,06:03 PM,-11,-17,-9,-17,31,100,86,0.0,1016,-9,10,325,22,ERI
