date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-1,-4,0.0,8.3,2,97,06:14 PM,07:40 AM,08:25 AM,06:20 PM,-17,-7,-2,-7,23,55,32,0.0,1029,-2,10,35,17,FLO
2018-01-01 03:00:00,-1,-4,0.0,8.3,2,97,06:14 PM,07:40 AM,08:25 AM,06:20 PM,-18,-9,-3,-9,28,28,31,0.0,1029,-3,10,31,19,FLO
2018-01-01 06:00:00,-1,-4,0.0,8.3,2,97,06:14 PM,07:40 AM,08:25 AM,06:20 PM,-19,-10,-4,-10,25,5,31,0.0,1031,-4,10,34,18,FLO
2018-01-01 09:00:00,-1,-4,0.0,8.3,2,97,06:14 PM,07:40 AM,08:25 AM,06:20 PM,-21,-9,-3,-9,28,32,23,0.0,1032,-3,10,28,24,FLO
2018-01-01 12:00:00,-1,-4,0.0,8.3,2,97,06:14 PM,07:40 AM,08:25 AM,06:20 PM,-21,-6,-1,-6,23,92,20,0.0,1032,-1,10,20,20,FLO
2018-01-01 15:00:00,-1,-4,0.0,8.3,2,97,06:14 PM,07:40 AM,08:25 AM,06:20 PM,-20,-7,-1,-7,24,92,23,0.0,1032,-1,10,16,19,FLO
2018-01-01 18:00:00,-1,-4,0.0,8.3,2,97,06:14 PM,07:40 AM,08:25 AM,06:20 PM,-18,-6,-3,-6,10,20,30,0.0,1034,-3,10,350,6,FLO
2018-01-01 21:00:00,-1,-4,0.0,8.3,2,97,06:14 PM,07:40 AM,08:25 AM,06:20 PM,-19,-8,-3,-8,23,0,29,0.0,1034,-3,10,8,15,FLO
2018-01-02 00:00:00,0,-7,0.0,8.3,2,100,07:20 PM,08:44 AM,08:25 AM,06:21 PM,-20,-10,-4,-10,23,0,29,0.0,1035,-4,10,14,16,FLO
2018-01-02 03:00:00,0,-7,0.0,8.3,2,100,07:20 PM,08:44 AM,08:25 AM,06:21 PM,-19,-12,-5,-12,25,9,32,0.0,1035,-5,10,15,18,FLO
2018-01-02 06:00:00,0,-7,0.0,8.3,2,100,07:20 PM,08:44 AM,08:25 AM,06:21 PM,-20,-13,-7,-13,22,32,34,0.0,1037,-7,10,18,15,FLO
2018-01-02 09:00:00,0,-7,0.0,8.3,2,100,07:20 PM,08:44 AM,08:25 AM,06:21 PM,-21,-10,-4,-10,21,100,26,0.0,1037,-4,10,20,18,FLO
2018-01-02 12:00:00,0,-7,0.0,8.3,2,100,07:20 PM,08:44 AM,08:25 AM,06:21 PM,-21,-4,-1,-4,13,86,20,0.0,1035,-1,10,27,11,FLO
2018-01-02 15:00:00,0,-7,0.0,8.3,2,100,07:20 PM,08:44 AM,08:25 AM,06:21 PM,-20,-3,0,-3,15,22,19,0.0,1033,0,10,33,12,FLO
2018-01-02 18:00:00,0,-7,0.0,8.3,2,100,07:20 PM,08:44 AM,08:25 AM,06:21 PM,-18,-5,-4,-5,8,32,31,0.0,1032,-4,10,52,4,FLO
