date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-5,-11,0.0,5.1,2,97,05:14 PM,07:56 AM,08:38 AM,05:10 PM,-11,-14,-10,-14,16,21,92,0.0,1032,-10,10,28,8,GEG
2018-01-01 03:00:00,-5,-11,0.0,5.1,2,97,05:14 PM,07:56 AM,08:38 AM,05:10 PM,-12,-15,-11,-15,14,28,93,0.0,1035,-11,10,35,7,GEG
2018-01-01 06:00:00,-5,-11,0.0,5.1,2,97,05:14 PM,07:56 AM,08:38 AM,05:10 PM,-12,-16,-11,-16,17,30,92,0.0,1036,-11,10,35,8,GEG
2018-01-01 09:00:00,-5,-11,0.0,5.1,2,97,05:14 PM,07:56 AM,08:38 AM,05:10 PM,-10,-12,-8,-12,11,71,87,0.0,1038,-8,10,36,8,GEG
2018-01-01 12:00:00,-5,-11,0.0,5.1,2,97,05:14 PM,07:56 AM,08:38 AM,05:10 PM,-7,-8,-5,-8,9,82,84,0.0,1037,-5,10,32,8,GEG
2018-01-01 15:00:00,-5,-11,0.0,5.1,2,97,05:14 PM,07:56 AM,08:38 AM,05:10 PM,-8,-12,-7,-12,16,58,93,0.0,1039,-7,10,21,8,GEG
2018-01-01 18:00:00,-5,-11,0.0,5.1,2,97,05:14 PM,07:56 AM,08:38 AM,05:10 PM,-10,-12,-9,-12,14,23,93,0.0,1039,-9,10,29,6,GEG
2018-01-01 21:00:00,-5,-11,0.0,5.1,2,97,05:14 PM,07:56 AM,08:38 AM,05:10 PM,-10,-14,-9,-14,17,22,93,0.0,1041,-9,10,24,8,GEG
2018-01-02 00:00:00,-4,-11,0.0,8.7,2,100,06:22 PM,08:59 AM,08:38 AM,05:11 PM,-11,-14,-10,-14,16,17,92,0.0,1041,-10,10,35,8,GEG
2018-01-02 03:00:00,-4,-11,0.0,8.7,2,100,06:22 PM,08:59 AM,08:38 AM,05:11 PM,-11,-14,-10,-14,15,33,93,0.0,1043,-10,10,39,7,GEG
2018-01-02 06:00:00,-4,-11,0.0,8.7,2,100,06:22 PM,08:59 AM,08:38 AM,05:11 PM,-12,-15,-11,-15,17,28,94,0.0,1042,-11,10,36,8,GEG
2018-01-02 09:00:00,-4,-11,0.0,8.7,2,100,06:22 PM,08:59 AM,08:38 AM,05:11 PM,-9,-12,-8,-12,13,26,88,0.0,1041,-8,10,35,9,GEG
2018-01-02 12:00:00,-4,-11,0.0,8.7,2,100,06:22 PM,08:59 AM,08:38 AM,05:11 PM,-6,-8,-4,-8,12,8,84,0.0,1038,-4,10,34,9,GEG
2018-01-02 15:00:00,-4,-11,0.0,8.7,2,100,06:22 PM,08:59 AM,08:38 AM,05:11 PM,-8,-10,-6,-10,17,34,90,0.0,1037,-6,10,32,9,GEG
2018-01-02 18:00:00,-4,-11,0.0,8.7,2,100,06:22 PM,08:59 AM,08:38 AM,05:11 PM,-7,-10,-6,-10,18,91,89,0.0,1035,-6,10,32,9,GEG
2018-01-02 21:00:00,-4,-11,0.0,8.7,2,100,06:22 PM,08:59 AM,08:38 AM,05:11 PM,-8,-9,-6,-9,14,100,86,0.0,1035,-6,10,34,8,GEG
2018-01-03 00:00:00,-1,-7,0.1,8.7,1,89,07:36 PM,09:52 AM,08:38 AM,05:12 PM,-7,-9,-5,-9,14,83,89,0.1,1033,-5,5,32,8,GEG
