date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-20,-28,0.0,5.8,2,97,05:48 PM,08:32 AM,09:19 AM,05:47 PM,-29,-37,-28,-37,21,17,92,0.0,1048,-28,10,282,10,GFK
2018-01-01 03:00:00,-20,-28,0.0,5.8,2,97,05:48 PM,08:32 AM,09:19 AM,05:47 PM,-29,-36,-28,-36,20,5,91,0.0,1048,-28,10,276,10,GFK
2018-01-01 06:00:00,-20,-28,0.0,5.8,2,97,05:48 PM,08:32 AM,09:19 AM,05:47 PM,-29,-35,-27,-35,17,0,88,0.0,1048,-27,10,279,8,GFK
2018-01-01 09:00:00,-20,-28,0.0,5.8,2,97,05:48 PM,08:32 AM,09:19 AM,05:47 PM,-28,-34,-27,-34,17,1,87,0.0,1047,-27,10,257,8,GFK
2018-01-01 12:00:00,-20,-28,0.0,5.8,2,97,05:48 PM,08:32 AM,09:19 AM,05:47 PM,-23,-29,-21,-29,14,4,87,0.0,1046,-21,10,245,10,GFK
2018-01-01 15:00:00,-20,-28,0.0,5.8,2,97,05:48 PM,08:32 AM,09:19 AM,05:47 PM,-21,-29,-20,-29,19,17,90,0.0,1044,-20,10,229,13,GFK
2018-01-01 18:00:00,-20,-28,0.0,5.8,2,97,05:48 PM,08:32 AM,09:19 AM,05:47 PM,-25,-32,-23,-32,26,13,90,0.0,1043,-23,10,235,13,GFK
2018-01-01 21:00:00,-20,-28,0.0,5.8,2,97,05:48 PM,08:32 AM,09:19 AM,05:47 PM,-25,-33,-24,-33,29,5,87,0.0,1040,-24,10,232,14,GFK
2018-01-02 00:00:00,-10,-22,0.0,3.9,1,100,06:55 PM,09:36 AM,09:19 AM,05:48 PM,-25,-33,-22,-33,35,76,79,0.0,1037,-22,10,223,18,GFK
2018-01-02 03:00:00,-10,-22,0.0,3.9,1,100,06:55 PM,09:36 AM,09:19 AM,05:48 PM,-24,-32,-21,-32,37,50,82,0.0,1032,-21,10,214,19,GFK
2018-01-02 06:00:00,-10,-22,0.0,3.9,1,100,06:55 PM,09:36 AM,09:19 AM,05:48 PM,-22,-31,-20,-31,40,7,85,0.0,1026,-20,10,215,22,GFK
2018-01-02 09:00:00,-10,-22,0.0,3.9,1,100,06:55 PM,09:36 AM,09:19 AM,05:48 PM,-18,-26,-15,-26,40,13,79,0.0,1021,-15,10,236,26,GFK
2018-01-02 12:00:00,-10,-22,0.0,3.9,1,100,06:55 PM,09:36 AM,09:19 AM,05:48 PM,-14,-19,-10,-19,42,15,74,0.0,1017,-10,10,288,29,GFK
2018-01-02 15:00:00,-10,-22,0.0,3.9,1,100,06:55 PM,09:36 AM,09:19 AM,05:48 PM,-12,-18,-10,-18,32,100,82,0.1,1018,-10,10,332,24,GFK
