date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:46 AM,08:30 AM,06:16 PM,-19,-11,-7,-11,14,8,37,0.0,1031,-7,10,57,9,GSO
2018-01-01 03:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:46 AM,08:30 AM,06:16 PM,-18,-13,-7,-13,16,5,44,0.0,1032,-7,10,45,12,GSO
2018-01-01 06:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:46 AM,08:30 AM,06:16 PM,-19,-11,-8,-11,8,14,41,0.0,1034,-8,10,47,6,GSO
2018-01-01 09:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:46 AM,08:30 AM,06:16 PM,-19,-11,-6,-11,15,8,34,0.0,1035,-6,10,7,13,GSO
2018-01-01 12:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:46 AM,08:30 AM,06:16 PM,-21,-8,-4,-8,13,4,24,0.0,1034,-4,10,342,12,GSO
2018-01-01 15:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:46 AM,08:30 AM,06:16 PM,-20,-8,-3,-8,18,0,25,0.0,1033,-3,10,340,15,GSO
2018-01-01 18:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:46 AM,08:30 AM,06:16 PM,-19,-11,-6,-11,16,0,36,0.0,1035,-6,10,324,10,GSO
2018-01-01 21:00:00,-3,-8,0.0,9.9,2,97,06:10 PM,07:46 AM,08:30 AM,06:16 PM,-18,-13,-7,-13,20,0,39,0.0,1036,-7,10,343,13,GSO
2018-01-02 00:00:00,-2,-10,0.0,9.9,2,100,07:17 PM,08:49 AM,08:31 AM,06:17 PM,-20,-13,-8,-13,15,0,39,0.0,1037,-8,10,326,10,GSO
2018-01-02 03:00:00,-2,-10,0.0,9.9,2,100,07:17 PM,08:49 AM,08:31 AM,06:17 PM,-21,-14,-9,-14,14,0,35,0.0,1037,-9,10,355,9,GSO
2018-01-02 06:00:00,-2,-10,0.0,9.9,2,100,07:17 PM,08:49 AM,08:31 AM,06:17 PM,-21,-14,-10,-14,9,0,38,0.0,1038,-10,10,12,7,GSO
2018-01-02 09:00:00,-2,-10,0.0,9.9,2,100,07:17 PM,08:49 AM,08:31 AM,06:17 PM,-23,-11,-7,-11,10,0,26,0.0,1038,-7,10,6,8,GSO
2018-01-02 12:00:00,-2,-10,0.0,9.9,2,100,07:17 PM,08:49 AM,08:31 AM,06:17 PM,-21,0,0,0,2,0,18,0.0,1035,-2,10,326,2,GSO
2018-01-02 15:00:00,-2,-10,0.0,9.9,2,100,07:17 PM,08:49 AM,08:31 AM,06:17 PM,-21,0,0,0,2,0,18,0.0,1032,-2,10,257,2,GSO
2018-01-02 18:00:00,-2,-10,0.0,9.9,2,100,07:17 PM,08:49 AM,08:31 AM,06:17 PM,-20,-7,-4,-7,11,0,28,0.0,1032,-5,10,197,6,GSO
2018-01-02 21:00:00,-2,-10,0.0,9.9,2,100,07:17 PM,08:49 AM,08:31 AM,06:17 PM,-19,-6,-4,-6,7,0,29,0.0,1031,-6,10,215,4,GSO
2018-01-03 00:00:00,0,-6,0.0,6.6,2,89,08:26 PM,09:47 AM,08:31 AM,06:18 PM,-20,-6,-6,-6,5,16,30,0.0,1030,-6,10,217,3,GSO
2018-01-03 03:00:00,0,-6,0.0,6.6,2,89,08:26 PM,09:47 AM,08:31 AM,06:18 PM,-21,-6,-6,-6,5,30,29,0.0,1029,-6,10,238,3,GSO
2018-01-03 06:00:00,0,-6,0.0,6.6,2,89,08:26 PM,09:47 AM,08:31 AM,06:18 PM,-21,-5,-5,-5,5,100,28,0.0,1027,-6,10,22,3,GSO
2018-01-03 09:00:00,0,-6,0.0,6.6,2,89,08:26 PM,09:47 AM,08:31 AM,06:18 PM,-21,-5,-3,-5,7,100,22,0.0,1025,-3,10,43,6,GSO
2018-01-03 12:00:00,0,-6,0.0,6.6,2,89,08:26 PM,09:47 AM,08:31 AM,06:18 PM,-21,-1,0,-1,5,86,19,0.0,1023,0,10,118,4,GSO
2018-01-03 15:00:00,0,-6,0.0,6.6,2,89,08:26 PM,09:47 AM,08:31 AM,06:18 PM,-20,-3,-0,-3,10,92,20,0.0,1018,-0,10,9,8,GSO
2018-01-03 18:00:00,0,-6,0.0,6.6,2,89,08:26 PM,09:47 AM,08:31 AM,06:18 PM,-19,-3,-3,-3,5,23,27,0.0,1018,-3,10,32,3,GSO
2018-01-03 21:00:00,0,-6,0.0,6.6,2,89,08:26 PM,09:47 AM,08:31 AM,06:18 PM,-20,-8,-4,-8,19,15,27,0.0,1015,-4,10,331,10,GSO
2018-01-04 00:00:00,-2,-7,0.0,9.9,2,81,09:35 PM,10:36 AM,08:31 AM,06:18 PM,-16,-8,-4,-8,22,10,36,0.0,1013,-4,10,336,12,GSO
2018-01-04 03:00:00,-2,-7,0.0,9.9,2,81,09:35 PM,10:36 AM,08:31 AM,06:18 PM,-17,-9,-4,-9,28,5,33,0.0,1011,-4,10,317,17,GSO
2018-01-04 06:00:00,-2,-7,0.0,9.9,2,81,09:35 PM,10:36 AM,08:31 AM,06:18 PM,-15,-10,-5,-10,20,4,46,0.0,1010,-5,10,309,13,GSO
2018-01-04 09:00:00,-2,-7,0.0,9.9,2,81,09:35 PM,10:36 AM,08:31 AM,06:18 PM,-17,-11,-4,-11,34,2,34,0.0,1012,-4,10,314,30,GSO
2018-01-04 12:00:00,-2,-7,0.0,9.9,2,81,09:35 PM,10:36 AM,08:31 AM,06:18 PM,-19,-9,-2,-9,30,19,26,0.0,1013,-2,10,308,26,GSO
2018-01-04 15:00:00,-2,-7,0.0,9.9,2,81,09:35 PM,10:36 AM,08:31 AM,06:18 PM,-19,-10,-3,-10,30,3,27,0.0,1014,-3,10,310,26,GSO
2018-01-04 18:00:00,-2,-7,0.0,9.9,2,81,09:35 PM,10:36 AM,08:31 AM,06:18 PM,-19,-12,-6,-12,24,0,37,0.0,1018,-6,10,300,17,GSO
2018-01-04 21:00:00,-2,-7,0.0,9.9,2,81,09:35 PM,10:36 AM,08:31 AM,06:18 PM,-19,-15,-7,-15,33,0,39,0.0,1020,-7,10,311,24,GSO
2018-01-05 00:00:00,-2,-9,0.0,9.9,2,74,10:42 PM,11:20 AM,08:31 AM,06:19 PM,-20,-15,-8,-15,23,0,38,0.0,1021,-8,10,308,17,GSO
2018-01-05 03:00:00,-2,-9,0.0,9.9,2,74,10:42 PM,11:20 AM,08:31 AM,06:19 PM,-19,-14,-9,-14,15,2,41,0.0,1022,-9,10,289,10,GSO
2018-01-05 06:00:00,-2,-9,0.0,9.9,2,74,10:42 PM,11:20 AM,08:31 AM,06:19 PM,-19,-13,-9,-13,12,22,45,0.0,1024,-9,10,268,8,GSO
2018-01-05 09:00:00,-2,-9,0.0,9.9,2,74,10:42 PM,11:20 AM,08:31 AM,06:19 PM,-20,-13,-7,-13,20,3,34,0.0,1026,-7,10,301,17,GSO
2018-01-05 12:00:00,-2,-9,0.0,9.9,2,74,10:42 PM,11:20 AM,08:31 AM,06:19 PM,-22,-8,-3,-8,15,4,22,0.0,1024,-3,10,277,13,GSO
2018-01-05 15:00:00,-2,-9,0.0,9.9,2,74,10:42 PM,11:20 AM,08:31 AM,06:19 PM,-21,-7,-2,-7,18,5,22,0.0,1024,-2,10,288,15,GSO
2018-01-05 18:00:00,-2,-9,0.0,9.9,2,74,10:42 PM,11:20 AM,08:31 AM,06:19 PM,-20,-9,-5,-9,16,2,31,0.0,1027,-5,10,326,9,GSO
2018-01-05 21:00:00,-2,-9,0.0,9.9,2,74,10:42 PM,11:20 AM,08:31 AM,06:19 PM,-20,-12,-6,-12,22,0,33,0.0,1029,-6,10,337,14,GSO
2018-01-06 00:00:00,-4,-10,0.0,9.9,2,67,11:47 PM,11:58 AM,08:31 AM,06:20 PM,-20,-13,-8,-13,13,8,37,0.0,1030,-8,10,324,9,GSO
2018-01-06 03:00:00,-4,-10,0.0,9.9,2,67,11:47 PM,11:58 AM,08:31 AM,06:20 PM,-20,-14,-9,-14,17,6,38,0.0,1031,-9,10,334,12,GSO
2018-01-06 06:00:00,-4,-10,0.0,9.9,2,67,11:47 PM,11:58 AM,08:31 AM,06:20 PM,-21,-15,-10,-15,17,4,37,0.0,1033,-10,10,323,11,GSO
2018-01-06 09:00:00,-4,-10,0.0,9.9,2,67,11:47 PM,11:58 AM,08:31 AM,06:20 PM,-22,-14,-8,-14,21,0,32,0.0,1034,-8,10,336,17,GSO
2018-01-06 12:00:00,-4,-10,0.0,9.9,2,67,11:47 PM,11:58 AM,08:31 AM,06:20 PM,-22,-9,-4,-9,15,0,23,0.0,1033,-4,10,316,13,GSO
2018-01-06 15:00:00,-4,-10,0.0,9.9,2,67,11:47 PM,11:58 AM,08:31 AM,06:20 PM,-22,-9,-4,-9,18,0,23,0.0,1033,-4,10,328,14,GSO
2018-01-06 18:00:00,-4,-10,0.0,9.9,2,67,11:47 PM,11:58 AM,08:31 AM,06:20 PM,-20,-10,-6,-10,12,0,32,0.0,1035,-7,10,4,8,GSO
2018-01-06 21:00:00,-4,-10,0.0,9.9,2,67,11:47 PM,11:58 AM,08:31 AM,06:20 PM,-20,-13,-8,-13,19,0,36,0.0,1036,-8,10,8,12,GSO
2018-01-07 00:00:00,-2,-11,0.0,9.9,2,59,No moonrise,12:33 PM,08:31 AM,06:21 PM,-19,-10,-7,-10,6,0,38,0.0,1038,-9,10,24,5,GSO
2018-01-07 03:00:00,-2,-11,0.0,9.9,2,59,No moonrise,12:33 PM,08:31 AM,06:21 PM,-18,-9,-7,-9,5,0,41,0.0,1038,-10,10,71,4,GSO
2018-01-07 06:00:00,-2,-11,0.0,9.9,2,59,No moonrise,12:33 PM,08:31 AM,06:21 PM,-20,-13,-10,-13,8,0,43,0.0,1039,-11,10,61,6,GSO
