date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-3,-9,0.0,7.0,2,97,05:53 PM,07:16 AM,07:59 AM,05:58 PM,-21,-14,-6,-14,33,0,29,0.0,1035,-6,10,4,23,GTR
2018-01-01 03:00:00,-3,-9,0.0,7.0,2,97,05:53 PM,07:16 AM,07:59 AM,05:58 PM,-20,-14,-7,-14,29,1,36,0.0,1036,-7,10,4,21,GTR
2018-01-01 06:00:00,-3,-9,0.0,7.0,2,97,05:53 PM,07:16 AM,07:59 AM,05:58 PM,-19,-17,-9,-17,29,92,43,0.0,1038,-9,10,5,22,GTR
2018-01-01 09:00:00,-3,-9,0.0,7.0,2,97,05:53 PM,07:16 AM,07:59 AM,05:58 PM,-19,-16,-8,-16,25,81,41,0.0,1039,-8,10,7,21,GTR
2018-01-01 12:00:00,-3,-9,0.0,7.0,2,97,05:53 PM,07:16 AM,07:59 AM,05:58 PM,-19,-10,-4,-10,22,34,30,0.0,1039,-4,10,3,19,GTR
2018-01-01 15:00:00,-3,-9,0.0,7.0,2,97,05:53 PM,07:16 AM,07:59 AM,05:58 PM,-18,-9,-3,-9,23,12,29,0.0,1038,-3,10,4,20,GTR
2018-01-01 18:00:00,-3,-9,0.0,7.0,2,97,05:53 PM,07:16 AM,07:59 AM,05:58 PM,-17,-11,-5,-11,24,0,39,0.0,1039,-5,10,360,15,GTR
2018-01-01 21:00:00,-3,-9,0.0,7.0,2,97,05:53 PM,07:16 AM,07:59 AM,05:58 PM,-17,-13,-7,-13,25,7,43,0.0,1039,-7,10,14,16,GTR
2018-01-02 00:00:00,0,-10,0.0,7.1,2,100,06:59 PM,08:19 AM,07:59 AM,05:59 PM,-18,-14,-8,-14,23,9,42,0.0,1039,-8,10,19,16,GTR
2018-01-02 03:00:00,0,-10,0.0,7.1,2,100,06:59 PM,08:19 AM,07:59 AM,05:59 PM,-20,-14,-8,-14,18,18,40,0.0,1039,-8,10,18,12,GTR
2018-01-02 06:00:00,0,-10,0.0,7.1,2,100,06:59 PM,08:19 AM,07:59 AM,05:59 PM,-21,-17,-10,-17,22,30,38,0.0,1039,-10,10,15,15,GTR
2018-01-02 09:00:00,0,-10,0.0,7.1,2,100,06:59 PM,08:19 AM,07:59 AM,05:59 PM,-22,-14,-8,-14,17,31,30,0.0,1039,-8,10,25,13,GTR
2018-01-02 12:00:00,0,-10,0.0,7.1,2,100,06:59 PM,08:19 AM,07:59 AM,05:59 PM,-22,-6,-2,-6,13,47,20,0.0,1036,-2,10,25,11,GTR
2018-01-02 15:00:00,0,-10,0.0,7.1,2,100,06:59 PM,08:19 AM,07:59 AM,05:59 PM,-21,-3,0,-3,12,82,18,0.0,1032,0,10,16,10,GTR
2018-01-02 18:00:00,0,-10,0.0,7.1,2,100,06:59 PM,08:19 AM,07:59 AM,05:59 PM,-19,-8,-4,-8,15,90,29,0.0,1032,-4,10,1,9,GTR
2018-01-02 21:00:00,0,-10,0.0,7.1,2,100,06:59 PM,08:19 AM,07:59 AM,05:59 PM,-19,-8,-4,-8,13,100,31,0.0,1031,-4,10,4,8,GTR
