date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-17,-27,0.0,6.9,1,97,05:32 PM,08:12 AM,08:59 AM,05:32 PM,-27,-36,-27,-36,17,100,93,0.0,1044,-26,10,311,12,HIB
2018-01-01 03:00:00,-17,-27,0.0,6.9,1,97,05:32 PM,08:12 AM,08:59 AM,05:32 PM,-27,-36,-27,-36,16,100,94,0.0,1045,-27,10,306,11,HIB
2018-01-01 06:00:00,-17,-27,0.0,6.9,1,97,05:32 PM,08:12 AM,08:59 AM,05:32 PM,-27,-36,-27,-36,16,96,95,0.0,1045,-27,2,311,11,HIB
2018-01-01 09:00:00,-17,-27,0.0,6.9,1,97,05:32 PM,08:12 AM,08:59 AM,05:32 PM,-26,-34,-26,-34,15,73,93,0.0,1044,-26,10,296,10,HIB
2018-01-01 12:00:00,-17,-27,0.0,6.9,1,97,05:32 PM,08:12 AM,08:59 AM,05:32 PM,-22,-27,-19,-27,12,13,77,0.0,1043,-19,10,288,11,HIB
2018-01-01 15:00:00,-17,-27,0.0,6.9,1,97,05:32 PM,08:12 AM,08:59 AM,05:32 PM,-21,-24,-17,-24,14,3,74,0.0,1041,-17,10,274,12,HIB
2018-01-01 18:00:00,-17,-27,0.0,6.9,1,97,05:32 PM,08:12 AM,08:59 AM,05:32 PM,-21,-27,-20,-27,18,9,88,0.0,1040,-19,10,268,10,HIB
2018-01-01 21:00:00,-17,-27,0.0,6.9,1,97,05:32 PM,08:12 AM,08:59 AM,05:32 PM,-21,-28,-20,-28,20,40,87,0.0,1038,-20,10,260,13,HIB
2018-01-02 00:00:00,-13,-20,0.1,5.1,2,100,06:39 PM,09:16 AM,08:59 AM,05:33 PM,-21,-29,-19,-29,28,37,84,0.0,1036,-19,10,257,18,HIB
2018-01-02 03:00:00,-13,-20,0.1,5.1,2,100,06:39 PM,09:16 AM,08:59 AM,05:33 PM,-22,-29,-19,-29,27,100,79,0.0,1032,-19,10,251,17,HIB
2018-01-02 06:00:00,-13,-20,0.1,5.1,2,100,06:39 PM,09:16 AM,08:59 AM,05:33 PM,-24,-30,-20,-30,32,100,69,0.0,1028,-20,10,245,20,HIB
2018-01-02 09:00:00,-13,-20,0.1,5.1,2,100,06:39 PM,09:16 AM,08:59 AM,05:33 PM,-22,-28,-19,-28,29,9,75,0.0,1023,-18,10,230,19,HIB
2018-01-02 12:00:00,-13,-20,0.1,5.1,2,100,06:39 PM,09:16 AM,08:59 AM,05:33 PM,-17,-25,-15,-25,30,100,83,0.0,1017,-15,10,242,23,HIB
2018-01-02 15:00:00,-13,-20,0.1,5.1,2,100,06:39 PM,09:16 AM,08:59 AM,05:33 PM,-16,-21,-13,-21,22,100,79,0.1,1015,-13,10,263,17,HIB
2018-01-02 18:00:00,-13,-20,0.1,5.1,2,100,06:39 PM,09:16 AM,08:59 AM,05:33 PM,-16,-22,-16,-22,16,100,94,0.0,1016,-16,2,301,10,HIB
2018-01-02 21:00:00,-13,-20,0.1,5.1,2,100,06:39 PM,09:16 AM,08:59 AM,05:33 PM,-18,-25,-17,-25,23,100,88,0.1,1018,-17,5,345,15,HIB
2018-01-03 00:00:00,-19,-23,0.0,3.3,1,89,07:53 PM,10:09 AM,08:59 AM,05:34 PM,-20,-27,-19,-27,20,100,90,0.0,1022,-19,10,338,13,HIB
2018-01-03 03:00:00,-19,-23,0.0,3.3,1,89,07:53 PM,10:09 AM,08:59 AM,05:34 PM,-21,-29,-20,-29,23,100,91,0.0,1024,-20,10,336,15,HIB
2018-01-03 06:00:00,-19,-23,0.0,3.3,1,89,07:53 PM,10:09 AM,08:59 AM,05:34 PM,-22,-29,-21,-29,19,100,93,0.0,1027,-21,10,337,13,HIB
2018-01-03 09:00:00,-19,-23,0.0,3.3,1,89,07:53 PM,10:09 AM,08:59 AM,05:34 PM,-23,-31,-22,-31,20,100,91,0.0,1028,-22,10,336,14,HIB
2018-01-03 12:00:00,-19,-23,0.0,3.3,1,89,07:53 PM,10:09 AM,08:59 AM,05:34 PM,-22,-27,-19,-27,14,92,79,0.0,1029,-19,10,334,12,HIB
2018-01-03 15:00:00,-19,-23,0.0,3.3,1,89,07:53 PM,10:09 AM,08:59 AM,05:34 PM,-21,-27,-19,-27,14,77,79,0.0,1029,-19,10,332,12,HIB
2018-01-03 18:00:00,-19,-23,0.0,3.3,1,89,07:53 PM,10:09 AM,08:59 AM,05:34 PM,-23,-29,-22,-29,14,94,93,0.0,1031,-22,10,340,9,HIB
2018-01-03 21:00:00,-19,-23,0.0,3.3,1,89,07:53 PM,10:09 AM,08:59 AM,05:34 PM,-24,-30,-23,-30,14,93,96,0.0,1033,-23,2,339,9,HIB
2018-01-04 00:00:00,-18,-25,0.0,6.9,1,81,09:08 PM,10:53 AM,08:59 AM,05:35 PM,-25,-31,-24,-31,12,98,97,0.0,1034,-24,2,348,8,HIB
2018-01-04 03:00:00,-18,-25,0.0,6.9,1,81,09:08 PM,10:53 AM,08:59 AM,05:35 PM,-25,-30,-25,-30,9,90,97,0.0,1034,-25,0,352,5,HIB
2018-01-04 06:00:00,-18,-25,0.0,6.9,1,81,09:08 PM,10:53 AM,08:59 AM,05:35 PM,-26,-31,-25,-31,9,77,97,0.0,1035,-25,0,11,5,HIB
2018-01-04 09:00:00,-18,-25,0.0,6.9,1,81,09:08 PM,10:53 AM,08:59 AM,05:35 PM,-25,-29,-25,-29,7,68,94,0.0,1035,-25,10,9,4,HIB
2018-01-04 12:00:00,-18,-25,0.0,6.9,1,81,09:08 PM,10:53 AM,08:59 AM,05:35 PM,-22,-25,-19,-25,7,38,76,0.0,1034,-19,10,8,6,HIB
2018-01-04 15:00:00,-18,-25,0.0,6.9,1,81,09:08 PM,10:53 AM,08:59 AM,05:35 PM,-21,-23,-18,-23,8,50,76,0.0,1033,-18,10,358,6,HIB
2018-01-04 18:00:00,-18,-25,0.0,6.9,1,81,09:08 PM,10:53 AM,08:59 AM,05:35 PM,-23,-27,-22,-27,11,25,94,0.0,1035,-22,10,357,6,HIB
2018-01-04 21:00:00,-18,-25,0.0,6.9,1,81,09:08 PM,10:53 AM,08:59 AM,05:35 PM,-24,-30,-23,-30,14,50,95,0.0,1035,-23,2,360,8,HIB
2018-01-05 00:00:00,-19,-27,0.0,8.7,1,74,10:22 PM,11:30 AM,08:58 AM,05:36 PM,-25,-32,-25,-32,14,80,95,0.0,1037,-25,2,1,9,HIB
2018-01-05 03:00:00,-19,-27,0.0,8.7,1,74,10:22 PM,11:30 AM,08:58 AM,05:36 PM,-26,-34,-26,-34,15,66,95,0.0,1038,-26,2,2,9,HIB
2018-01-05 06:00:00,-19,-27,0.0,8.7,1,74,10:22 PM,11:30 AM,08:58 AM,05:36 PM,-28,-35,-27,-35,13,40,92,0.0,1039,-27,10,5,8,HIB
2018-01-05 09:00:00,-19,-27,0.0,8.7,1,74,10:22 PM,11:30 AM,08:58 AM,05:36 PM,-28,-34,-27,-34,13,39,90,0.0,1040,-27,10,9,9,HIB
2018-01-05 12:00:00,-19,-27,0.0,8.7,1,74,10:22 PM,11:30 AM,08:58 AM,05:36 PM,-24,-28,-21,-28,9,4,76,0.0,1040,-21,10,357,8,HIB
2018-01-05 15:00:00,-19,-27,0.0,8.7,1,74,10:22 PM,11:30 AM,08:58 AM,05:36 PM,-23,-24,-19,-24,8,0,74,0.0,1039,-19,10,354,6,HIB
2018-01-05 18:00:00,-19,-27,0.0,8.7,1,74,10:22 PM,11:30 AM,08:58 AM,05:36 PM,-24,-28,-23,-28,10,0,90,0.0,1040,-23,10,346,5,HIB
2018-01-05 21:00:00,-19,-27,0.0,8.7,1,74,10:22 PM,11:30 AM,08:58 AM,05:36 PM,-25,-28,-24,-28,9,9,92,0.0,1040,-24,10,348,5,HIB
2018-01-06 00:00:00,-13,-24,0.5,5.1,2,67,11:34 PM,12:01 PM,08:58 AM,05:37 PM,-25,-27,-24,-27,7,17,92,0.0,1040,-24,10,10,3,HIB
2018-01-06 03:00:00,-13,-24,0.5,5.1,2,67,11:34 PM,12:01 PM,08:58 AM,05:37 PM,-25,-24,-24,-24,4,13,91,0.0,1039,-24,10,142,2,HIB
