date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,23,20,0.0,10.9,6,97,06:06 PM,06:41 AM,07:10 AM,06:01 PM,16,20,20,20,19,51,78,0.0,1019,20,10,77,12,HNL
2018-01-01 03:00:00,23,20,0.0,10.9,6,97,06:06 PM,06:41 AM,07:10 AM,06:01 PM,16,20,20,20,26,39,78,0.1,1018,20,10,80,17,HNL
2018-01-01 06:00:00,23,20,0.0,10.9,6,97,06:06 PM,06:41 AM,07:10 AM,06:01 PM,17,21,24,21,14,31,77,0.0,1019,21,10,90,10,HNL
2018-01-01 09:00:00,23,20,0.0,10.9,6,97,06:06 PM,06:41 AM,07:10 AM,06:01 PM,17,25,25,23,18,18,66,0.0,1019,23,10,85,16,HNL
2018-01-01 12:00:00,23,20,0.0,10.9,6,97,06:06 PM,06:41 AM,07:10 AM,06:01 PM,16,25,25,23,13,20,65,0.0,1017,23,10,86,12,HNL
2018-01-01 15:00:00,23,20,0.0,10.9,6,97,06:06 PM,06:41 AM,07:10 AM,06:01 PM,17,22,25,22,19,51,72,0.1,1017,22,10,67,14,HNL
2018-01-01 18:00:00,23,20,0.0,10.9,6,97,06:06 PM,06:41 AM,07:10 AM,06:01 PM,17,22,24,22,15,49,76,0.0,1019,21,10,58,11,HNL
2018-01-01 21:00:00,23,20,0.0,10.9,6,97,06:06 PM,06:41 AM,07:10 AM,06:01 PM,17,21,21,21,24,46,79,0.2,1020,21,9,63,17,HNL
2018-01-02 00:00:00,23,20,0.0,10.9,6,100,07:12 PM,07:45 AM,07:10 AM,06:02 PM,17,20,20,20,17,31,80,0.0,1019,20,10,71,11,HNL
2018-01-02 03:00:00,23,20,0.0,10.9,6,100,07:12 PM,07:45 AM,07:10 AM,06:02 PM,17,20,20,20,26,47,81,0.1,1019,20,10,74,18,HNL
2018-01-02 06:00:00,23,20,0.0,10.9,6,100,07:12 PM,07:45 AM,07:10 AM,06:02 PM,16,21,21,21,19,36,76,0.0,1020,21,10,79,14,HNL
2018-01-02 09:00:00,23,20,0.0,10.9,6,100,07:12 PM,07:45 AM,07:10 AM,06:02 PM,16,25,25,23,21,44,68,0.0,1020,23,10,82,18,HNL
2018-01-02 12:00:00,23,20,0.0,10.9,6,100,07:12 PM,07:45 AM,07:10 AM,06:02 PM,16,25,25,22,19,45,67,0.0,1019,22,10,62,16,HNL
2018-01-02 15:00:00,23,20,0.0,10.9,6,100,07:12 PM,07:45 AM,07:10 AM,06:02 PM,16,21,21,21,29,40,73,0.1,1019,21,10,63,22,HNL
2018-01-02 18:00:00,23,20,0.0,10.9,6,100,07:12 PM,07:45 AM,07:10 AM,06:02 PM,16,20,20,20,24,21,80,0.0,1019,20,10,72,16,HNL
2018-01-02 21:00:00,23,20,0.0,10.9,6,100,07:12 PM,07:45 AM,07:10 AM,06:02 PM,16,20,20,20,30,19,80,0.0,1021,20,10,68,21,HNL
2018-01-03 00:00:00,23,20,0.0,10.9,5,89,08:17 PM,08:43 AM,07:10 AM,06:03 PM,16,20,20,20,22,79,81,0.0,1020,20,10,67,14,HNL
2018-01-03 03:00:00,23,20,0.0,10.9,5,89,08:17 PM,08:43 AM,07:10 AM,06:03 PM,16,20,20,20,30,62,78,0.1,1020,20,10,76,22,HNL
2018-01-03 06:00:00,23,20,0.0,10.9,5,89,08:17 PM,08:43 AM,07:10 AM,06:03 PM,15,21,21,21,21,26,72,0.0,1021,21,10,82,15,HNL
2018-01-03 09:00:00,23,20,0.0,10.9,5,89,08:17 PM,08:43 AM,07:10 AM,06:03 PM,16,25,25,22,26,21,65,0.0,1021,22,10,80,23,HNL
2018-01-03 12:00:00,23,20,0.0,10.9,5,89,08:17 PM,08:43 AM,07:10 AM,06:03 PM,15,25,25,23,19,4,63,0.0,1020,23,10,71,17,HNL
2018-01-03 15:00:00,23,20,0.0,10.9,5,89,08:17 PM,08:43 AM,07:10 AM,06:03 PM,16,21,24,21,29,9,71,0.0,1019,21,10,65,24,HNL
2018-01-03 18:00:00,23,20,0.0,10.9,5,89,08:17 PM,08:43 AM,07:10 AM,06:03 PM,16,20,20,20,27,24,79,0.0,1020,20,10,66,18,HNL
2018-01-03 21:00:00,23,20,0.0,10.9,5,89,08:17 PM,08:43 AM,07:10 AM,06:03 PM,16,20,20,20,35,23,79,0.0,1020,20,10,77,25,HNL
2018-01-04 00:00:00,23,20,0.0,10.9,6,81,09:21 PM,09:37 AM,07:10 AM,06:03 PM,16,20,20,20,25,16,78,0.0,1019,20,10,74,16,HNL
2018-01-04 03:00:00,23,20,0.0,10.9,6,81,09:21 PM,09:37 AM,07:10 AM,06:03 PM,16,20,20,20,31,33,77,0.0,1020,20,10,71,21,HNL
2018-01-04 06:00:00,23,20,0.0,10.9,6,81,09:21 PM,09:37 AM,07:10 AM,06:03 PM,16,21,21,21,25,28,73,0.0,1020,21,10,73,18,HNL
