date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-8,-12,0.0,8.7,2,97,05:16 PM,07:20 AM,08:08 AM,05:22 PM,-12,-21,-10,-21,44,25,85,0.0,1022,-10,10,318,39,HYA
2018-01-01 03:00:00,-8,-12,0.0,8.7,2,97,05:16 PM,07:20 AM,08:08 AM,05:22 PM,-12,-22,-11,-22,46,31,91,0.0,1022,-11,2,322,40,HYA
2018-01-01 06:00:00,-8,-12,0.0,8.7,2,97,05:16 PM,07:20 AM,08:08 AM,05:22 PM,-13,-24,-12,-24,47,44,94,0.0,1023,-12,10,314,41,HYA
2018-01-01 09:00:00,-8,-12,0.0,8.7,2,97,05:16 PM,07:20 AM,08:08 AM,05:22 PM,-13,-23,-12,-23,43,59,92,0.0,1023,-12,10,320,38,HYA
2018-01-01 12:00:00,-8,-12,0.0,8.7,2,97,05:16 PM,07:20 AM,08:08 AM,05:22 PM,-13,-20,-9,-20,42,40,76,0.0,1022,-9,10,310,37,HYA
2018-01-01 15:00:00,-8,-12,0.0,8.7,2,97,05:16 PM,07:20 AM,08:08 AM,05:22 PM,-13,-18,-8,-18,49,9,70,0.0,1023,-8,10,306,42,HYA
2018-01-01 18:00:00,-8,-12,0.0,8.7,2,97,05:16 PM,07:20 AM,08:08 AM,05:22 PM,-13,-20,-9,-20,51,0,73,0.0,1024,-9,10,309,45,HYA
2018-01-01 21:00:00,-8,-12,0.0,8.7,2,97,05:16 PM,07:20 AM,08:08 AM,05:22 PM,-13,-19,-8,-19,52,4,71,0.0,1025,-8,10,311,45,HYA
2018-01-02 00:00:00,-2,-9,0.0,8.7,2,100,06:22 PM,08:23 AM,08:08 AM,05:23 PM,-13,-18,-8,-18,41,45,69,0.0,1024,-8,10,296,36,HYA
2018-01-02 03:00:00,-2,-9,0.0,8.7,2,100,06:22 PM,08:23 AM,08:08 AM,05:23 PM,-11,-17,-7,-17,43,86,73,0.0,1024,-7,10,295,37,HYA
2018-01-02 06:00:00,-2,-9,0.0,8.7,2,100,06:22 PM,08:23 AM,08:08 AM,05:23 PM,-12,-19,-9,-19,46,96,81,0.0,1025,-9,10,300,40,HYA
2018-01-02 09:00:00,-2,-9,0.0,8.7,2,100,06:22 PM,08:23 AM,08:08 AM,05:23 PM,-13,-19,-9,-19,39,45,77,0.0,1026,-9,10,303,34,HYA
2018-01-02 12:00:00,-2,-9,0.0,8.7,2,100,06:22 PM,08:23 AM,08:08 AM,05:23 PM,-14,-17,-8,-17,34,14,60,0.0,1025,-8,10,295,29,HYA
2018-01-02 15:00:00,-2,-9,0.0,8.7,2,100,06:22 PM,08:23 AM,08:08 AM,05:23 PM,-12,-14,-6,-14,34,44,59,0.0,1025,-5,10,289,30,HYA
2018-01-02 18:00:00,-2,-9,0.0,8.7,2,100,06:22 PM,08:23 AM,08:08 AM,05:23 PM,-11,-11,-4,-11,32,8,59,0.0,1025,-4,10,270,27,HYA
2018-01-02 21:00:00,-2,-9,0.0,8.7,2,100,06:22 PM,08:23 AM,08:08 AM,05:23 PM,-7,-9,-2,-9,43,4,65,0.0,1025,-2,10,271,37,HYA
2018-01-03 00:00:00,2,-4,0.0,6.9,2,89,07:33 PM,09:20 AM,08:08 AM,05:24 PM,-8,-11,-3,-11,40,14,66,0.0,1025,-3,10,280,35,HYA
2018-01-03 03:00:00,2,-4,0.0,6.9,2,89,07:33 PM,09:20 AM,08:08 AM,05:24 PM,-9,-10,-4,-10,30,47,64,0.0,1025,-3,10,282,25,HYA
2018-01-03 06:00:00,2,-4,0.0,6.9,2,89,07:33 PM,09:20 AM,08:08 AM,05:24 PM,-10,-10,-4,-10,22,100,63,0.0,1026,-4,10,281,17,HYA
2018-01-03 09:00:00,2,-4,0.0,6.9,2,89,07:33 PM,09:20 AM,08:08 AM,05:24 PM,-9,-8,-3,-8,19,6,61,0.0,1027,-3,10,234,14,HYA
2018-01-03 12:00:00,2,-4,0.0,6.9,2,89,07:33 PM,09:20 AM,08:08 AM,05:24 PM,-7,-5,0,-5,26,88,57,0.0,1025,0,10,231,20,HYA
2018-01-03 15:00:00,2,-4,0.0,6.9,2,89,07:33 PM,09:20 AM,08:08 AM,05:24 PM,-7,-4,1,-4,27,9,54,0.0,1024,1,10,218,21,HYA
2018-01-03 18:00:00,2,-4,0.0,6.9,2,89,07:33 PM,09:20 AM,08:08 AM,05:24 PM,-7,-2,1,-2,17,9,54,0.0,1023,1,10,191,12,HYA
2018-01-03 21:00:00,2,-4,0.0,6.9,2,89,07:33 PM,09:20 AM,08:08 AM,05:24 PM,-4,-1,2,-1,16,31,62,0.0,1021,2,10,125,12,HYA
