date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-0,-5,0.0,9.9,1,97,06:06 PM,07:33 AM,08:18 AM,06:13 PM,-14,-8,-2,-8,23,71,38,0.0,1027,-2,10,24,17,ILM
2018-01-01 03:00:00,-0,-5,0.0,9.9,1,97,06:06 PM,07:33 AM,08:18 AM,06:13 PM,-15,-10,-4,-10,29,43,41,0.0,1028,-4,10,14,22,ILM
2018-01-01 06:00:00,-0,-5,0.0,9.9,1,97,06:06 PM,07:33 AM,08:18 AM,06:13 PM,-16,-11,-5,-11,26,8,40,0.0,1030,-5,10,23,20,ILM
2018-01-01 09:00:00,-0,-5,0.0,9.9,1,97,06:06 PM,07:33 AM,08:18 AM,06:13 PM,-17,-10,-3,-10,28,16,32,0.0,1031,-3,10,15,24,ILM
2018-01-01 12:00:00,-0,-5,0.0,9.9,1,97,06:06 PM,07:33 AM,08:18 AM,06:13 PM,-17,-6,-0,-6,23,53,28,0.0,1031,-0,10,16,20,ILM
2018-01-01 15:00:00,-0,-5,0.0,9.9,1,97,06:06 PM,07:33 AM,08:18 AM,06:13 PM,-17,-7,-1,-7,25,84,29,0.0,1030,-1,10,5,21,ILM
2018-01-01 18:00:00,-0,-5,0.0,9.9,1,97,06:06 PM,07:33 AM,08:18 AM,06:13 PM,-16,-8,-3,-8,21,53,35,0.0,1032,-3,10,359,14,ILM
2018-01-01 21:00:00,-0,-5,0.0,9.9,1,97,06:06 PM,07:33 AM,08:18 AM,06:13 PM,-16,-9,-4,-9,25,0,36,0.0,1033,-4,10,4,17,ILM
2018-01-02 00:00:00,1,-5,0.0,8.3,2,100,07:12 PM,08:36 AM,08:18 AM,06:13 PM,-17,-9,-4,-9,22,0,36,0.0,1033,-4,10,8,15,ILM
2018-01-02 03:00:00,1,-5,0.0,8.3,2,100,07:12 PM,08:36 AM,08:18 AM,06:13 PM,-16,-10,-4,-10,25,6,38,0.0,1034,-4,10,4,18,ILM
2018-01-02 06:00:00,1,-5,0.0,8.3,2,100,07:12 PM,08:36 AM,08:18 AM,06:13 PM,-16,-11,-5,-11,22,25,41,0.0,1035,-5,10,11,17,ILM
2018-01-02 09:00:00,1,-5,0.0,8.3,2,100,07:12 PM,08:36 AM,08:18 AM,06:13 PM,-17,-9,-3,-9,22,92,32,0.0,1035,-3,10,11,19,ILM
2018-01-02 12:00:00,1,-5,0.0,8.3,2,100,07:12 PM,08:36 AM,08:18 AM,06:13 PM,-17,-4,0,-4,15,100,26,0.0,1034,0,10,21,13,ILM
2018-01-02 15:00:00,1,-5,0.0,8.3,2,100,07:12 PM,08:36 AM,08:18 AM,06:13 PM,-17,-3,1,-3,16,46,25,0.0,1032,1,10,14,13,ILM
2018-01-02 18:00:00,1,-5,0.0,8.3,2,100,07:12 PM,08:36 AM,08:18 AM,06:13 PM,-15,-6,-3,-6,15,32,36,0.0,1032,-3,10,14,8,ILM
2018-01-02 21:00:00,1,-5,0.0,8.3,2,100,07:12 PM,08:36 AM,08:18 AM,06:13 PM,-15,-7,-3,-7,17,4,38,0.0,1031,-3,10,28,10,ILM
2018-01-03 00:00:00,2,-3,4.6,5.0,2,89,08:21 PM,09:34 AM,08:18 AM,06:14 PM,-15,-7,-3,-7,19,24,39,0.0,1029,-3,10,37,12,ILM
2018-01-03 03:00:00,2,-3,4.6,5.0,2,89,08:21 PM,09:34 AM,08:18 AM,06:14 PM,-14,-7,-3,-7,22,47,40,0.0,1027,-2,10,32,15,ILM
2018-01-03 06:00:00,2,-3,4.6,5.0,2,89,08:21 PM,09:34 AM,08:18 AM,06:14 PM,-15,-7,-2,-7,22,52,36,0.0,1025,-2,10,33,16,ILM
2018-01-03 09:00:00,2,-3,4.6,5.0,2,89,08:21 PM,09:34 AM,08:18 AM,06:14 PM,-11,-4,1,-4,23,91,43,0.0,1022,1,10,35,19,ILM
2018-01-03 12:00:00,2,-3,4.6,5.0,2,89,08:21 PM,09:34 AM,08:18 AM,06:14 PM,-7,-1,2,-1,17,100,50,0.0,1017,2,10,9,13,ILM
2018-01-03 15:00:00,2,-3,4.6,5.0,2,89,08:21 PM,09:34 AM,08:18 AM,06:14 PM,-4,-5,0,-5,31,94,76,1.2,1014,0,6,343,22,ILM
2018-01-03 18:00:00,2,-3,4.6,5.0,2,89,08:21 PM,09:34 AM,08:18 AM,06:14 PM,-2,-7,-1,-7,29,100,95,0.0,1012,-1,10,341,22,ILM
2018-01-03 21:00:00,2,-3,4.6,5.0,2,89,08:21 PM,09:34 AM,08:18 AM,06:14 PM,-2,-9,-2,-9,41,100,94,5.4,1008,-2,2,343,31,ILM
2018-01-04 00:00:00,1,-4,0.1,10.0,1,81,09:30 PM,10:24 AM,08:18 AM,06:15 PM,-3,-9,-2,-9,37,100,92,0.0,1006,-2,10,327,26,ILM
2018-01-04 03:00:00,1,-4,0.1,10.0,1,81,09:30 PM,10:24 AM,08:18 AM,06:15 PM,-4,-8,-2,-8,41,16,82,0.1,1008,-2,5,309,27,ILM
2018-01-04 06:00:00,1,-4,0.1,10.0,1,81,09:30 PM,10:24 AM,08:18 AM,06:15 PM,-8,-10,-4,-10,29,4,77,0.0,1008,-4,10,298,17,ILM
2018-01-04 09:00:00,1,-4,0.1,10.0,1,81,09:30 PM,10:24 AM,08:18 AM,06:15 PM,-7,-6,-1,-6,27,5,61,0.0,1011,-1,10,303,22,ILM
2018-01-04 12:00:00,1,-4,0.1,10.0,1,81,09:30 PM,10:24 AM,08:18 AM,06:15 PM,-5,-3,1,-3,22,4,63,0.0,1011,1,10,293,18,ILM
2018-01-04 15:00:00,1,-4,0.1,10.0,1,81,09:30 PM,10:24 AM,08:18 AM,06:15 PM,-6,-5,1,-5,28,0,61,0.0,1012,1,10,297,20,ILM
2018-01-04 18:00:00,1,-4,0.1,10.0,1,81,09:30 PM,10:24 AM,08:18 AM,06:15 PM,-8,-8,-3,-8,28,0,70,0.0,1015,-3,10,303,14,ILM
2018-01-04 21:00:00,1,-4,0.1,10.0,1,81,09:30 PM,10:24 AM,08:18 AM,06:15 PM,-10,-11,-4,-11,34,0,63,0.0,1018,-4,10,309,20,ILM
2018-01-05 00:00:00,1,-8,0.0,10.0,2,74,10:36 PM,11:09 AM,08:18 AM,06:16 PM,-11,-12,-7,-12,24,0,72,0.0,1020,-7,10,307,14,ILM
2018-01-05 03:00:00,1,-8,0.0,10.0,2,74,10:36 PM,11:09 AM,08:18 AM,06:16 PM,-12,-13,-7,-13,27,0,68,0.0,1022,-7,10,311,16,ILM
2018-01-05 06:00:00,1,-8,0.0,10.0,2,74,10:36 PM,11:09 AM,08:18 AM,06:16 PM,-12,-14,-8,-14,22,5,71,0.0,1024,-8,10,315,13,ILM
2018-01-05 09:00:00,1,-8,0.0,10.0,2,74,10:36 PM,11:09 AM,08:18 AM,06:16 PM,-12,-9,-4,-9,18,2,52,0.0,1026,-4,10,313,15,ILM
2018-01-05 12:00:00,1,-8,0.0,10.0,2,74,10:36 PM,11:09 AM,08:18 AM,06:16 PM,-10,-3,0,-3,13,3,44,0.0,1024,0,10,300,11,ILM
2018-01-05 15:00:00,1,-8,0.0,10.0,2,74,10:36 PM,11:09 AM,08:18 AM,06:16 PM,-9,-3,1,-3,15,4,47,0.0,1025,1,10,302,11,ILM
2018-01-05 18:00:00,1,-8,0.0,10.0,2,74,10:36 PM,11:09 AM,08:18 AM,06:16 PM,-10,-5,-3,-5,14,3,58,0.0,1026,-3,10,335,7,ILM
2018-01-05 21:00:00,1,-8,0.0,10.0,2,74,10:36 PM,11:09 AM,08:18 AM,06:16 PM,-10,-6,-4,-6,13,3,63,0.0,1027,-4,10,344,6,ILM
2018-01-06 00:00:00,-1,-7,0.0,10.0,2,67,11:40 PM,11:48 AM,08:18 AM,06:17 PM,-9,-9,-4,-9,21,2,69,0.0,1028,-4,10,9,12,ILM
2018-01-06 03:00:00,-1,-7,0.0,10.0,2,67,11:40 PM,11:48 AM,08:18 AM,06:17 PM,-11,-12,-6,-12,23,27,68,0.0,1030,-6,10,16,14,ILM
2018-01-06 06:00:00,-1,-7,0.0,10.0,2,67,11:40 PM,11:48 AM,08:18 AM,06:17 PM,-12,-13,-7,-13,20,7,70,0.0,1031,-7,10,13,13,ILM
2018-01-06 09:00:00,-1,-7,0.0,10.0,2,67,11:40 PM,11:48 AM,08:18 AM,06:17 PM,-13,-10,-4,-10,19,5,52,0.0,1032,-4,10,353,16,ILM
2018-01-06 12:00:00,-1,-7,0.0,10.0,2,67,11:40 PM,11:48 AM,08:18 AM,06:17 PM,-11,-6,-1,-6,14,14,46,0.0,1032,-1,10,350,12,ILM
