date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-13,-20,0.0,6.9,2,97,05:17 PM,07:47 AM,08:34 AM,05:19 PM,-23,-30,-20,-30,24,62,79,0.0,1036,-20,10,286,17,IMT
2018-01-01 03:00:00,-13,-20,0.0,6.9,2,97,05:17 PM,07:47 AM,08:34 AM,05:19 PM,-21,-28,-19,-28,23,69,81,0.0,1036,-19,10,291,16,IMT
2018-01-01 06:00:00,-13,-20,0.0,6.9,2,97,05:17 PM,07:47 AM,08:34 AM,05:19 PM,-21,-28,-19,-28,23,91,82,0.0,1037,-19,10,306,15,IMT
2018-01-01 09:00:00,-13,-20,0.0,6.9,2,97,05:17 PM,07:47 AM,08:34 AM,05:19 PM,-20,-26,-17,-26,22,89,78,0.0,1037,-17,10,309,16,IMT
2018-01-01 12:00:00,-13,-20,0.0,6.9,2,97,05:17 PM,07:47 AM,08:34 AM,05:19 PM,-19,-21,-14,-21,16,59,68,0.0,1036,-14,10,304,14,IMT
2018-01-01 15:00:00,-13,-20,0.0,6.9,2,97,05:17 PM,07:47 AM,08:34 AM,05:19 PM,-17,-20,-13,-20,17,13,69,0.0,1036,-13,10,294,14,IMT
2018-01-01 18:00:00,-13,-20,0.0,6.9,2,97,05:17 PM,07:47 AM,08:34 AM,05:19 PM,-18,-22,-16,-22,17,14,82,0.0,1036,-16,10,288,10,IMT
2018-01-01 21:00:00,-13,-20,0.0,6.9,2,97,05:17 PM,07:47 AM,08:34 AM,05:19 PM,-19,-24,-16,-24,23,13,75,0.0,1035,-16,10,281,14,IMT
2018-01-02 00:00:00,-11,-15,0.5,5.1,2,100,06:24 PM,08:50 AM,08:34 AM,05:20 PM,-20,-24,-15,-24,26,49,66,0.0,1033,-15,10,282,17,IMT
2018-01-02 03:00:00,-11,-15,0.5,5.1,2,100,06:24 PM,08:50 AM,08:34 AM,05:20 PM,-20,-22,-14,-22,28,18,58,0.0,1031,-14,10,273,18,IMT
2018-01-02 06:00:00,-11,-15,0.5,5.1,2,100,06:24 PM,08:50 AM,08:34 AM,05:20 PM,-20,-23,-14,-23,33,97,59,0.0,1029,-14,10,272,21,IMT
2018-01-02 09:00:00,-11,-15,0.5,5.1,2,100,06:24 PM,08:50 AM,08:34 AM,05:20 PM,-20,-22,-14,-22,28,99,56,0.0,1026,-14,10,262,19,IMT
2018-01-02 12:00:00,-11,-15,0.5,5.1,2,100,06:24 PM,08:50 AM,08:34 AM,05:20 PM,-20,-19,-11,-19,26,99,48,0.0,1022,-11,10,256,21,IMT
2018-01-02 15:00:00,-11,-15,0.5,5.1,2,100,06:24 PM,08:50 AM,08:34 AM,05:20 PM,-16,-19,-11,-19,26,9,62,0.0,1018,-11,10,236,19,IMT
2018-01-02 18:00:00,-11,-15,0.5,5.1,2,100,06:24 PM,08:50 AM,08:34 AM,05:20 PM,-15,-19,-12,-19,20,100,76,0.0,1015,-12,10,235,14,IMT
2018-01-02 21:00:00,-11,-15,0.5,5.1,2,100,06:24 PM,08:50 AM,08:34 AM,05:20 PM,-15,-20,-13,-20,20,100,83,0.6,1015,-13,2,259,14,IMT
2018-01-03 00:00:00,-12,-17,0.3,3.3,1,89,07:37 PM,09:45 AM,08:34 AM,05:21 PM,-15,-20,-13,-20,19,100,84,0.0,1014,-13,10,267,14,IMT
2018-01-03 03:00:00,-12,-17,0.3,3.3,1,89,07:37 PM,09:45 AM,08:34 AM,05:21 PM,-15,-20,-13,-20,18,100,85,0.3,1014,-13,2,296,13,IMT
2018-01-03 06:00:00,-12,-17,0.3,3.3,1,89,07:37 PM,09:45 AM,08:34 AM,05:21 PM,-16,-22,-14,-22,25,69,83,0.0,1016,-14,10,321,17,IMT
2018-01-03 09:00:00,-12,-17,0.3,3.3,1,89,07:37 PM,09:45 AM,08:34 AM,05:21 PM,-17,-22,-13,-22,27,77,76,0.0,1018,-13,10,333,20,IMT
2018-01-03 12:00:00,-12,-17,0.3,3.3,1,89,07:37 PM,09:45 AM,08:34 AM,05:21 PM,-17,-20,-12,-20,22,100,62,0.0,1019,-12,10,330,19,IMT
2018-01-03 15:00:00,-12,-17,0.3,3.3,1,89,07:37 PM,09:45 AM,08:34 AM,05:21 PM,-18,-21,-13,-21,23,98,66,0.1,1020,-13,10,333,18,IMT
2018-01-03 18:00:00,-12,-17,0.3,3.3,1,89,07:37 PM,09:45 AM,08:34 AM,05:21 PM,-19,-23,-16,-23,17,74,79,0.0,1024,-16,10,330,12,IMT
2018-01-03 21:00:00,-12,-17,0.3,3.3,1,89,07:37 PM,09:45 AM,08:34 AM,05:21 PM,-19,-25,-17,-25,21,55,81,0.0,1025,-17,10,333,14,IMT
2018-01-04 00:00:00,-14,-19,0.0,5.1,2,81,08:52 PM,10:30 AM,08:33 AM,05:22 PM,-20,-27,-18,-27,24,39,81,0.0,1026,-18,10,331,16,IMT
2018-01-04 03:00:00,-14,-19,0.0,5.1,2,81,08:52 PM,10:30 AM,08:33 AM,05:22 PM,-20,-26,-18,-26,21,36,82,0.0,1027,-18,10,329,14,IMT
2018-01-04 06:00:00,-14,-19,0.0,5.1,2,81,08:52 PM,10:30 AM,08:33 AM,05:22 PM,-21,-27,-19,-27,22,43,81,0.0,1028,-19,10,333,15,IMT
2018-01-04 09:00:00,-14,-19,0.0,5.1,2,81,08:52 PM,10:30 AM,08:33 AM,05:22 PM,-20,-26,-18,-26,21,48,78,0.0,1028,-17,10,332,15,IMT
2018-01-04 12:00:00,-14,-19,0.0,5.1,2,81,08:52 PM,10:30 AM,08:33 AM,05:22 PM,-19,-22,-14,-22,18,77,64,0.0,1028,-14,10,339,15,IMT
2018-01-04 15:00:00,-14,-19,0.0,5.1,2,81,08:52 PM,10:30 AM,08:33 AM,05:22 PM,-19,-22,-14,-22,17,82,65,0.0,1027,-14,10,336,14,IMT
2018-01-04 18:00:00,-14,-19,0.0,5.1,2,81,08:52 PM,10:30 AM,08:33 AM,05:22 PM,-20,-26,-18,-26,20,24,83,0.0,1028,-18,10,328,13,IMT
2018-01-04 21:00:00,-14,-19,0.0,5.1,2,81,08:52 PM,10:30 AM,08:33 AM,05:22 PM,-20,-26,-18,-26,20,21,84,0.0,1028,-18,10,324,13,IMT
2018-01-05 00:00:00,-16,-19,0.0,5.1,2,74,10:05 PM,11:08 AM,08:33 AM,05:23 PM,-20,-27,-18,-27,24,21,84,0.0,1028,-18,10,327,15,IMT
2018-01-05 03:00:00,-16,-19,0.0,5.1,2,74,10:05 PM,11:08 AM,08:33 AM,05:23 PM,-21,-27,-18,-27,23,22,82,0.0,1029,-18,10,326,15,IMT
2018-01-05 06:00:00,-16,-19,0.0,5.1,2,74,10:05 PM,11:08 AM,08:33 AM,05:23 PM,-21,-28,-19,-28,26,25,82,0.0,1030,-19,10,331,17,IMT
2018-01-05 09:00:00,-16,-19,0.0,5.1,2,74,10:05 PM,11:08 AM,08:33 AM,05:23 PM,-21,-27,-18,-27,24,22,76,0.0,1031,-18,10,331,17,IMT
2018-01-05 12:00:00,-16,-19,0.0,5.1,2,74,10:05 PM,11:08 AM,08:33 AM,05:23 PM,-21,-24,-16,-24,19,64,63,0.0,1032,-16,10,336,17,IMT
2018-01-05 15:00:00,-16,-19,0.0,5.1,2,74,10:05 PM,11:08 AM,08:33 AM,05:23 PM,-20,-24,-16,-24,20,65,65,0.0,1032,-16,10,327,16,IMT
2018-01-05 18:00:00,-16,-19,0.0,5.1,2,74,10:05 PM,11:08 AM,08:33 AM,05:23 PM,-20,-26,-18,-26,19,38,81,0.0,1034,-18,10,319,12,IMT
2018-01-05 21:00:00,-16,-19,0.0,5.1,2,74,10:05 PM,11:08 AM,08:33 AM,05:23 PM,-20,-26,-18,-26,18,44,85,0.0,1034,-18,10,319,12,IMT
2018-01-06 00:00:00,-13,-20,0.0,8.7,2,67,11:16 PM,11:40 AM,08:33 AM,05:24 PM,-20,-27,-19,-27,21,39,87,0.0,1035,-19,10,327,13,IMT
