date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-18,-23,0.0,8.7,1,97,06:28 PM,08:21 AM,09:06 AM,06:31 PM,-19,-27,-19,-27,26,72,94,0.0,1039,-18,10,302,14,IND
2018-01-01 03:00:00,-18,-23,0.0,8.7,1,97,06:28 PM,08:21 AM,09:06 AM,06:31 PM,-21,-29,-20,-29,25,33,93,0.0,1040,-20,10,305,14,IND
2018-01-01 06:00:00,-18,-23,0.0,8.7,1,97,06:28 PM,08:21 AM,09:06 AM,06:31 PM,-24,-31,-23,-31,19,27,93,0.0,1042,-23,10,298,11,IND
2018-01-01 09:00:00,-18,-23,0.0,8.7,1,97,06:28 PM,08:21 AM,09:06 AM,06:31 PM,-23,-32,-22,-32,23,35,91,0.0,1043,-22,10,297,15,IND
2018-01-01 12:00:00,-18,-23,0.0,8.7,1,97,06:28 PM,08:21 AM,09:06 AM,06:31 PM,-20,-27,-19,-27,17,13,85,0.0,1043,-19,10,290,14,IND
2018-01-01 15:00:00,-18,-23,0.0,8.7,1,97,06:28 PM,08:21 AM,09:06 AM,06:31 PM,-20,-26,-18,-26,19,15,86,0.0,1042,-18,10,284,15,IND
2018-01-01 18:00:00,-18,-23,0.0,8.7,1,97,06:28 PM,08:21 AM,09:06 AM,06:31 PM,-22,-29,-21,-29,20,30,94,0.0,1044,-21,10,287,10,IND
2018-01-01 21:00:00,-18,-23,0.0,8.7,1,97,06:28 PM,08:21 AM,09:06 AM,06:31 PM,-23,-30,-22,-30,19,34,94,0.0,1044,-22,2,288,10,IND
2018-01-02 00:00:00,-14,-25,0.0,8.7,1,100,07:35 PM,09:25 AM,09:06 AM,06:32 PM,-24,-31,-23,-31,18,27,94,0.0,1044,-23,2,288,9,IND
2018-01-02 03:00:00,-14,-25,0.0,8.7,1,100,07:35 PM,09:25 AM,09:06 AM,06:32 PM,-24,-30,-23,-30,15,18,93,0.0,1043,-23,10,265,8,IND
2018-01-02 06:00:00,-14,-25,0.0,8.7,1,100,07:35 PM,09:25 AM,09:06 AM,06:32 PM,-25,-32,-24,-32,19,11,92,0.0,1043,-25,10,248,10,IND
2018-01-02 09:00:00,-14,-25,0.0,8.7,1,100,07:35 PM,09:25 AM,09:06 AM,06:32 PM,-22,-28,-20,-28,15,9,88,0.0,1042,-21,10,244,10,IND
2018-01-02 12:00:00,-14,-25,0.0,8.7,1,100,07:35 PM,09:25 AM,09:06 AM,06:32 PM,-18,-23,-16,-23,15,7,82,0.0,1040,-16,10,247,12,IND
2018-01-02 15:00:00,-14,-25,0.0,8.7,1,100,07:35 PM,09:25 AM,09:06 AM,06:32 PM,-16,-21,-14,-21,17,7,84,0.0,1036,-14,10,243,13,IND
2018-01-02 18:00:00,-14,-25,0.0,8.7,1,100,07:35 PM,09:25 AM,09:06 AM,06:32 PM,-18,-21,-16,-21,14,12,88,0.0,1033,-17,10,209,7,IND
2018-01-02 21:00:00,-14,-25,0.0,8.7,1,100,07:35 PM,09:25 AM,09:06 AM,06:32 PM,-19,-23,-16,-23,25,6,81,0.0,1031,-16,10,199,12,IND
2018-01-03 00:00:00,-7,-15,0.0,3.5,2,89,08:45 PM,10:21 AM,09:07 AM,06:33 PM,-19,-23,-15,-23,30,7,76,0.0,1028,-15,10,212,14,IND
2018-01-03 03:00:00,-7,-15,0.0,3.5,2,89,08:45 PM,10:21 AM,09:07 AM,06:33 PM,-18,-23,-15,-23,31,26,78,0.0,1026,-15,10,206,15,IND
2018-01-03 06:00:00,-7,-15,0.0,3.5,2,89,08:45 PM,10:21 AM,09:07 AM,06:33 PM,-16,-20,-13,-20,22,57,77,0.0,1024,-13,10,202,13,IND
2018-01-03 09:00:00,-7,-15,0.0,3.5,2,89,08:45 PM,10:21 AM,09:07 AM,06:33 PM,-14,-19,-11,-19,28,46,76,0.0,1022,-11,10,223,18,IND
2018-01-03 12:00:00,-7,-15,0.0,3.5,2,89,08:45 PM,10:21 AM,09:07 AM,06:33 PM,-11,-15,-8,-15,22,93,77,0.0,1021,-8,10,250,18,IND
2018-01-03 15:00:00,-7,-15,0.0,3.5,2,89,08:45 PM,10:21 AM,09:07 AM,06:33 PM,-9,-14,-7,-14,23,100,86,0.0,1020,-7,10,274,18,IND
2018-01-03 18:00:00,-7,-15,0.0,3.5,2,89,08:45 PM,10:21 AM,09:07 AM,06:33 PM,-14,-18,-13,-18,19,80,91,0.0,1023,-13,10,320,10,IND
2018-01-03 21:00:00,-7,-15,0.0,3.5,2,89,08:45 PM,10:21 AM,09:07 AM,06:33 PM,-16,-22,-15,-22,26,39,94,0.0,1024,-15,10,302,13,IND
2018-01-04 00:00:00,-12,-19,0.0,3.5,1,81,09:56 PM,11:09 AM,09:07 AM,06:34 PM,-17,-24,-16,-24,26,98,97,0.0,1024,-16,10,289,14,IND
2018-01-04 03:00:00,-12,-19,0.0,3.5,1,81,09:56 PM,11:09 AM,09:07 AM,06:34 PM,-18,-26,-17,-26,28,87,95,0.0,1025,-17,10,305,15,IND
2018-01-04 06:00:00,-12,-19,0.0,3.5,1,81,09:56 PM,11:09 AM,09:07 AM,06:34 PM,-20,-27,-19,-27,21,72,95,0.0,1026,-19,2,310,11,IND
2018-01-04 09:00:00,-12,-19,0.0,3.5,1,81,09:56 PM,11:09 AM,09:07 AM,06:34 PM,-17,-25,-17,-25,23,70,93,0.0,1027,-17,10,314,15,IND
2018-01-04 12:00:00,-12,-19,0.0,3.5,1,81,09:56 PM,11:09 AM,09:07 AM,06:34 PM,-14,-19,-12,-19,16,71,90,0.0,1027,-12,10,300,13,IND
2018-01-04 15:00:00,-12,-19,0.0,3.5,1,81,09:56 PM,11:09 AM,09:07 AM,06:34 PM,-14,-21,-13,-21,23,93,89,0.0,1026,-13,10,295,18,IND
2018-01-04 18:00:00,-12,-19,0.0,3.5,1,81,09:56 PM,11:09 AM,09:07 AM,06:34 PM,-17,-24,-17,-24,22,84,96,0.0,1028,-17,2,286,12,IND
2018-01-04 21:00:00,-12,-19,0.0,3.5,1,81,09:56 PM,11:09 AM,09:07 AM,06:34 PM,-19,-27,-19,-27,25,54,96,0.0,1028,-19,2,301,12,IND
2018-01-05 00:00:00,-13,-22,0.0,8.7,1,74,11:05 PM,11:51 AM,09:07 AM,06:35 PM,-20,-28,-20,-28,24,21,94,0.0,1029,-20,2,278,12,IND
2018-01-05 03:00:00,-13,-22,0.0,8.7,1,74,11:05 PM,11:51 AM,09:07 AM,06:35 PM,-21,-28,-20,-28,23,11,93,0.0,1029,-20,10,288,12,IND
2018-01-05 06:00:00,-13,-22,0.0,8.7,1,74,11:05 PM,11:51 AM,09:07 AM,06:35 PM,-21,-26,-20,-26,12,3,92,0.0,1030,-22,10,297,6,IND
2018-01-05 09:00:00,-13,-22,0.0,8.7,1,74,11:05 PM,11:51 AM,09:07 AM,06:35 PM,-20,-26,-18,-26,20,4,86,0.0,1031,-18,10,293,13,IND
