date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-19,-29,0.0,5.8,1,97,05:30 PM,08:19 AM,09:06 AM,05:29 PM,-29,-37,-28,-37,17,100,96,0.0,1044,-28,2,273,10,INL
2018-01-01 03:00:00,-19,-29,0.0,5.8,1,97,05:30 PM,08:19 AM,09:06 AM,05:29 PM,-29,-38,-29,-38,17,96,97,0.0,1045,-29,2,267,10,INL
2018-01-01 06:00:00,-19,-29,0.0,5.8,1,97,05:30 PM,08:19 AM,09:06 AM,05:29 PM,-28,-37,-28,-37,18,98,97,0.0,1044,-28,0,275,10,INL
2018-01-01 09:00:00,-19,-29,0.0,5.8,1,97,05:30 PM,08:19 AM,09:06 AM,05:29 PM,-27,-36,-27,-36,19,94,96,0.0,1044,-27,2,267,11,INL
2018-01-01 12:00:00,-19,-29,0.0,5.8,1,97,05:30 PM,08:19 AM,09:06 AM,05:29 PM,-22,-29,-21,-29,16,26,86,0.0,1042,-21,10,266,13,INL
2018-01-01 15:00:00,-19,-29,0.0,5.8,1,97,05:30 PM,08:19 AM,09:06 AM,05:29 PM,-21,-27,-19,-27,17,25,83,0.0,1040,-19,10,257,13,INL
2018-01-01 18:00:00,-19,-29,0.0,5.8,1,97,05:30 PM,08:19 AM,09:06 AM,05:29 PM,-22,-30,-21,-30,23,32,90,0.0,1039,-21,10,252,14,INL
2018-01-01 21:00:00,-19,-29,0.0,5.8,1,97,05:30 PM,08:19 AM,09:06 AM,05:29 PM,-23,-32,-22,-32,27,69,89,0.0,1036,-22,10,251,17,INL
2018-01-02 00:00:00,-14,-20,0.1,2.1,2,100,06:37 PM,09:22 AM,09:06 AM,05:30 PM,-22,-31,-20,-31,34,39,86,0.0,1033,-20,10,250,22,INL
2018-01-02 03:00:00,-14,-20,0.1,2.1,2,100,06:37 PM,09:22 AM,09:06 AM,05:30 PM,-22,-30,-20,-30,31,100,78,0.0,1029,-20,10,246,19,INL
2018-01-02 06:00:00,-14,-20,0.1,2.1,2,100,06:37 PM,09:22 AM,09:06 AM,05:30 PM,-23,-30,-20,-30,34,100,73,0.0,1024,-20,10,243,22,INL
2018-01-02 09:00:00,-14,-20,0.1,2.1,2,100,06:37 PM,09:22 AM,09:06 AM,05:30 PM,-20,-27,-18,-27,26,60,83,0.0,1019,-18,10,232,17,INL
2018-01-02 12:00:00,-14,-20,0.1,2.1,2,100,06:37 PM,09:22 AM,09:06 AM,05:30 PM,-18,-24,-15,-24,23,100,82,0.0,1015,-15,10,257,19,INL
2018-01-02 15:00:00,-14,-20,0.1,2.1,2,100,06:37 PM,09:22 AM,09:06 AM,05:30 PM,-16,-21,-14,-21,14,100,86,0.1,1014,-14,5,270,11,INL
2018-01-02 18:00:00,-14,-20,0.1,2.1,2,100,06:37 PM,09:22 AM,09:06 AM,05:30 PM,-18,-24,-17,-24,18,100,93,0.0,1018,-17,10,333,11,INL
2018-01-02 21:00:00,-14,-20,0.1,2.1,2,100,06:37 PM,09:22 AM,09:06 AM,05:30 PM,-20,-27,-19,-27,20,100,93,0.0,1021,-19,10,340,12,INL
