date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-6,-12,0.0,8.7,2,97,05:30 PM,07:29 AM,08:17 AM,05:36 PM,-14,-20,-11,-20,31,61,77,0.0,1026,-11,10,328,27,ISP
2018-01-01 03:00:00,-6,-12,0.0,8.7,2,97,05:30 PM,07:29 AM,08:17 AM,05:36 PM,-15,-21,-11,-21,34,29,75,0.0,1027,-11,10,326,30,ISP
2018-01-01 06:00:00,-6,-12,0.0,8.7,2,97,05:30 PM,07:29 AM,08:17 AM,05:36 PM,-16,-22,-12,-22,31,0,73,0.0,1028,-12,10,322,27,ISP
2018-01-01 09:00:00,-6,-12,0.0,8.7,2,97,05:30 PM,07:29 AM,08:17 AM,05:36 PM,-15,-20,-11,-20,34,10,70,0.0,1028,-11,10,324,29,ISP
2018-01-01 12:00:00,-6,-12,0.0,8.7,2,97,05:30 PM,07:29 AM,08:17 AM,05:36 PM,-15,-18,-9,-18,30,5,60,0.0,1027,-9,10,316,26,ISP
2018-01-01 15:00:00,-6,-12,0.0,8.7,2,97,05:30 PM,07:29 AM,08:17 AM,05:36 PM,-15,-16,-7,-16,32,51,54,0.0,1028,-7,10,316,28,ISP
2018-01-01 18:00:00,-6,-12,0.0,8.7,2,97,05:30 PM,07:29 AM,08:17 AM,05:36 PM,-15,-15,-7,-15,28,71,54,0.0,1028,-7,10,300,22,ISP
2018-01-01 21:00:00,-6,-12,0.0,8.7,2,97,05:30 PM,07:29 AM,08:17 AM,05:36 PM,-13,-15,-7,-15,37,73,60,0.0,1028,-6,10,289,32,ISP
2018-01-02 00:00:00,-3,-8,0.0,7.0,2,100,06:36 PM,08:32 AM,08:17 AM,05:37 PM,-12,-16,-7,-16,39,43,68,0.0,1027,-7,10,288,34,ISP
2018-01-02 03:00:00,-3,-8,0.0,7.0,2,100,06:36 PM,08:32 AM,08:17 AM,05:37 PM,-12,-17,-7,-17,47,42,65,0.0,1028,-7,10,301,41,ISP
