date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-12,-17,0.3,6.9,1,97,05:39 PM,07:48 AM,08:35 AM,05:44 PM,-17,-25,-16,-25,25,100,92,0.0,1031,-16,10,300,17,ITH
2018-01-01 03:00:00,-12,-17,0.3,6.9,1,97,05:39 PM,07:48 AM,08:35 AM,05:44 PM,-17,-25,-16,-25,23,95,92,0.1,1031,-16,5,305,15,ITH
2018-01-01 06:00:00,-12,-17,0.3,6.9,1,97,05:39 PM,07:48 AM,08:35 AM,05:44 PM,-18,-26,-17,-26,23,96,94,0.0,1032,-17,10,293,15,ITH
2018-01-01 09:00:00,-12,-17,0.3,6.9,1,97,05:39 PM,07:48 AM,08:35 AM,05:44 PM,-18,-23,-16,-23,16,32,85,0.0,1032,-16,10,296,12,ITH
2018-01-01 12:00:00,-12,-17,0.3,6.9,1,97,05:39 PM,07:48 AM,08:35 AM,05:44 PM,-17,-20,-13,-20,16,89,73,0.0,1029,-13,10,271,13,ITH
2018-01-01 15:00:00,-12,-17,0.3,6.9,1,97,05:39 PM,07:48 AM,08:35 AM,05:44 PM,-15,-18,-12,-18,17,59,79,0.1,1028,-12,10,270,12,ITH
2018-01-01 18:00:00,-12,-17,0.3,6.9,1,97,05:39 PM,07:48 AM,08:35 AM,05:44 PM,-16,-22,-14,-22,32,78,82,0.0,1028,-14,10,264,21,ITH
2018-01-01 21:00:00,-12,-17,0.3,6.9,1,97,05:39 PM,07:48 AM,08:35 AM,05:44 PM,-15,-22,-13,-22,36,100,84,0.2,1029,-13,5,295,27,ITH
2018-01-02 00:00:00,-9,-15,0.2,6.9,1,100,06:45 PM,08:51 AM,08:35 AM,05:45 PM,-16,-24,-14,-24,32,100,87,0.0,1029,-14,10,308,22,ITH
2018-01-02 03:00:00,-9,-15,0.2,6.9,1,100,06:45 PM,08:51 AM,08:35 AM,05:45 PM,-16,-22,-15,-22,19,100,93,0.2,1030,-15,5,303,12,ITH
2018-01-02 06:00:00,-9,-15,0.2,6.9,1,100,06:45 PM,08:51 AM,08:35 AM,05:45 PM,-14,-18,-13,-18,16,100,92,0.0,1030,-12,10,277,10,ITH
2018-01-02 09:00:00,-9,-15,0.2,6.9,1,100,06:45 PM,08:51 AM,08:35 AM,05:45 PM,-13,-18,-10,-18,27,68,81,0.1,1029,-10,10,260,19,ITH
2018-01-02 12:00:00,-9,-15,0.2,6.9,1,100,06:45 PM,08:51 AM,08:35 AM,05:45 PM,-12,-17,-9,-17,30,47,74,0.0,1026,-9,10,242,23,ITH
2018-01-02 15:00:00,-9,-15,0.2,6.9,1,100,06:45 PM,08:51 AM,08:35 AM,05:45 PM,-13,-17,-9,-17,27,10,76,0.0,1026,-9,10,245,18,ITH
2018-01-02 18:00:00,-9,-15,0.2,6.9,1,100,06:45 PM,08:51 AM,08:35 AM,05:45 PM,-16,-19,-13,-19,19,73,82,0.0,1026,-13,10,249,9,ITH
2018-01-02 21:00:00,-9,-15,0.2,6.9,1,100,06:45 PM,08:51 AM,08:35 AM,05:45 PM,-17,-20,-14,-20,18,91,81,0.0,1026,-14,10,227,9,ITH
2018-01-03 00:00:00,-8,-15,0.0,8.7,1,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-17,-20,-14,-20,19,85,81,0.0,1026,-14,10,205,9,ITH
2018-01-03 03:00:00,-8,-15,0.0,8.7,1,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-17,-21,-14,-21,24,32,81,0.0,1026,-14,10,184,12,ITH
2018-01-03 06:00:00,-8,-15,0.0,8.7,1,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-18,-22,-15,-22,26,5,79,0.0,1026,-15,10,187,13,ITH
2018-01-03 09:00:00,-8,-15,0.0,8.7,1,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-16,-18,-12,-18,20,0,70,0.0,1025,-12,10,184,14,ITH
2018-01-03 12:00:00,-8,-15,0.0,8.7,1,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-14,-15,-8,-15,21,0,62,0.0,1021,-8,10,190,16,ITH
2018-01-03 15:00:00,-8,-15,0.0,8.7,1,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-13,-14,-8,-14,22,17,65,0.0,1019,-8,10,174,13,ITH
2018-01-03 18:00:00,-8,-15,0.0,8.7,1,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-14,-16,-9,-16,30,41,66,0.0,1019,-9,10,176,15,ITH
2018-01-03 21:00:00,-8,-15,0.0,8.7,1,89,07:57 PM,09:47 AM,08:35 AM,05:46 PM,-14,-17,-11,-17,20,23,78,0.0,1019,-11,10,167,10,ITH
2018-01-04 00:00:00,-8,-14,0.4,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-12,-13,-9,-13,14,83,80,0.0,1017,-9,10,185,7,ITH
2018-01-04 03:00:00,-8,-14,0.4,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-12,-10,-10,-10,3,80,84,0.0,1014,-10,10,247,2,ITH
2018-01-04 06:00:00,-8,-14,0.4,3.4,1,81,09:10 PM,10:34 AM,08:35 AM,05:47 PM,-11,-16,-10,-16,17,100,93,0.0,1011,-10,10,340,11,ITH
