date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-2,-8,0.0,10.0,2,97,06:02 PM,07:19 AM,08:02 AM,06:06 PM,-20,-13,-6,-13,32,0,32,0.0,1035,-6,10,9,22,JAN
2018-01-01 03:00:00,-2,-8,0.0,10.0,2,97,06:02 PM,07:19 AM,08:02 AM,06:06 PM,-20,-14,-7,-14,28,0,33,0.0,1036,-7,10,10,20,JAN
2018-01-01 06:00:00,-2,-8,0.0,10.0,2,97,06:02 PM,07:19 AM,08:02 AM,06:06 PM,-19,-15,-8,-15,28,31,41,0.0,1038,-8,10,8,21,JAN
2018-01-01 09:00:00,-2,-8,0.0,10.0,2,97,06:02 PM,07:19 AM,08:02 AM,06:06 PM,-18,-14,-7,-14,24,72,39,0.0,1040,-7,10,9,19,JAN
2018-01-01 12:00:00,-2,-8,0.0,10.0,2,97,06:02 PM,07:19 AM,08:02 AM,06:06 PM,-18,-10,-4,-10,23,19,30,0.0,1040,-4,10,9,20,JAN
2018-01-01 15:00:00,-2,-8,0.0,10.0,2,97,06:02 PM,07:19 AM,08:02 AM,06:06 PM,-18,-7,-2,-7,23,12,27,0.0,1038,-2,10,8,20,JAN
2018-01-01 18:00:00,-2,-8,0.0,10.0,2,97,06:02 PM,07:19 AM,08:02 AM,06:06 PM,-17,-9,-4,-9,22,15,37,0.0,1038,-4,10,4,13,JAN
2018-01-01 21:00:00,-2,-8,0.0,10.0,2,97,06:02 PM,07:19 AM,08:02 AM,06:06 PM,-17,-12,-6,-12,24,32,41,0.0,1039,-6,10,22,15,JAN
2018-01-02 00:00:00,1,-9,0.0,10.1,1,100,07:08 PM,08:23 AM,08:02 AM,06:07 PM,-18,-14,-7,-14,26,99,43,0.0,1039,-7,10,29,18,JAN
2018-01-02 03:00:00,1,-9,0.0,10.1,1,100,07:08 PM,08:23 AM,08:02 AM,06:07 PM,-18,-13,-8,-13,20,7,42,0.0,1039,-8,10,36,14,JAN
2018-01-02 06:00:00,1,-9,0.0,10.1,1,100,07:08 PM,08:23 AM,08:02 AM,06:07 PM,-19,-15,-9,-15,25,10,44,0.0,1039,-9,10,39,17,JAN
2018-01-02 09:00:00,1,-9,0.0,10.1,1,100,07:08 PM,08:23 AM,08:02 AM,06:07 PM,-19,-12,-7,-12,16,18,35,0.0,1038,-7,10,42,13,JAN
2018-01-02 12:00:00,1,-9,0.0,10.1,1,100,07:08 PM,08:23 AM,08:02 AM,06:07 PM,-20,-6,-1,-6,15,33,22,0.0,1036,-1,10,38,13,JAN
2018-01-02 15:00:00,1,-9,0.0,10.1,1,100,07:08 PM,08:23 AM,08:02 AM,06:07 PM,-20,-2,1,-2,12,17,19,0.0,1033,1,10,25,10,JAN
2018-01-02 18:00:00,1,-9,0.0,10.1,1,100,07:08 PM,08:23 AM,08:02 AM,06:07 PM,-17,-7,-4,-7,18,33,34,0.0,1032,-4,10,13,9,JAN
2018-01-02 21:00:00,1,-9,0.0,10.1,1,100,07:08 PM,08:23 AM,08:02 AM,06:07 PM,-17,-8,-5,-8,14,75,37,0.0,1031,-4,10,24,8,JAN
2018-01-03 00:00:00,3,-6,0.0,10.1,1,89,08:15 PM,09:21 AM,08:02 AM,06:08 PM,-17,-7,-4,-7,13,100,36,0.0,1030,-4,10,8,8,JAN
2018-01-03 03:00:00,3,-6,0.0,10.1,1,89,08:15 PM,09:21 AM,08:02 AM,06:08 PM,-16,-6,-4,-6,8,81,36,0.0,1029,-4,10,323,5,JAN
2018-01-03 06:00:00,3,-6,0.0,10.1,1,89,08:15 PM,09:21 AM,08:02 AM,06:08 PM,-16,-11,-6,-11,20,31,45,0.0,1029,-6,10,341,12,JAN
2018-01-03 09:00:00,3,-6,0.0,10.1,1,89,08:15 PM,09:21 AM,08:02 AM,06:08 PM,-18,-7,-3,-7,11,8,31,0.0,1029,-3,10,337,9,JAN
2018-01-03 12:00:00,3,-6,0.0,10.1,1,89,08:15 PM,09:21 AM,08:02 AM,06:08 PM,-18,-2,1,-2,16,7,21,0.0,1027,1,10,324,14,JAN
2018-01-03 15:00:00,3,-6,0.0,10.1,1,89,08:15 PM,09:21 AM,08:02 AM,06:08 PM,-15,-1,3,-1,16,3,26,0.0,1024,3,10,304,14,JAN
2018-01-03 18:00:00,3,-6,0.0,10.1,1,89,08:15 PM,09:21 AM,08:02 AM,06:08 PM,-10,-4,-2,-4,11,0,52,0.0,1025,-3,10,298,5,JAN
2018-01-03 21:00:00,3,-6,0.0,10.1,1,89,08:15 PM,09:21 AM,08:02 AM,06:08 PM,-11,-6,-3,-6,15,0,56,0.0,1026,-4,10,294,7,JAN
2018-01-04 00:00:00,3,-5,0.0,10.1,2,81,09:24 PM,10:12 AM,08:02 AM,06:09 PM,-11,-7,-4,-7,14,1,59,0.0,1026,-4,10,348,7,JAN
2018-01-04 03:00:00,3,-5,0.0,10.1,2,81,09:24 PM,10:12 AM,08:02 AM,06:09 PM,-11,-7,-4,-7,13,3,61,0.0,1026,-5,10,335,6,JAN
2018-01-04 06:00:00,3,-5,0.0,10.1,2,81,09:24 PM,10:12 AM,08:02 AM,06:09 PM,-12,-9,-5,-9,19,9,58,0.0,1027,-5,10,344,9,JAN
2018-01-04 09:00:00,3,-5,0.0,10.1,2,81,09:24 PM,10:12 AM,08:02 AM,06:09 PM,-11,-5,-1,-5,15,20,48,0.0,1028,-1,10,358,12,JAN
2018-01-04 12:00:00,3,-5,0.0,10.1,2,81,09:24 PM,10:12 AM,08:02 AM,06:09 PM,-11,-1,3,-1,16,12,35,0.0,1028,3,10,342,14,JAN
2018-01-04 15:00:00,3,-5,0.0,10.1,2,81,09:24 PM,10:12 AM,08:02 AM,06:09 PM,-10,0,4,0,16,0,36,0.0,1027,3,10,334,14,JAN
2018-01-04 18:00:00,3,-5,0.0,10.1,2,81,09:24 PM,10:12 AM,08:02 AM,06:09 PM,-9,-4,-2,-4,15,2,56,0.0,1028,-2,10,349,7,JAN
