date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,8,2,0.0,5.1,1,97,06:30 PM,07:40 AM,08:24 AM,06:37 PM,7,5,8,5,16,100,93,0.0,1022,8,10,358,12,JAX
2018-01-01 03:00:00,8,2,0.0,5.1,1,97,06:30 PM,07:40 AM,08:24 AM,06:37 PM,7,5,8,5,20,100,93,1.8,1022,8,9,2,15,JAX
2018-01-01 06:00:00,8,2,0.0,5.1,1,97,06:30 PM,07:40 AM,08:24 AM,06:37 PM,2,-0,4,-0,30,100,87,0.0,1024,4,10,13,24,JAX
2018-01-01 09:00:00,8,2,0.0,5.1,1,97,06:30 PM,07:40 AM,08:24 AM,06:37 PM,1,-2,3,-2,32,100,88,0.8,1026,3,9,9,25,JAX
2018-01-01 12:00:00,8,2,0.0,5.1,1,97,06:30 PM,07:40 AM,08:24 AM,06:37 PM,-2,-3,3,-3,31,100,72,0.0,1027,3,10,15,25,JAX
2018-01-01 15:00:00,8,2,0.0,5.1,1,97,06:30 PM,07:40 AM,08:24 AM,06:37 PM,-5,-0,4,-0,30,100,52,0.0,1027,4,10,11,24,JAX
2018-01-01 18:00:00,8,2,0.0,5.1,1,97,06:30 PM,07:40 AM,08:24 AM,06:37 PM,-9,-2,3,-2,30,100,41,0.0,1029,3,10,10,23,JAX
2018-01-01 21:00:00,8,2,0.0,5.1,1,97,06:30 PM,07:40 AM,08:24 AM,06:37 PM,-9,-3,2,-3,32,74,43,0.0,1030,2,10,12,25,JAX
2018-01-02 00:00:00,5,1,0.0,10.1,1,100,07:36 PM,08:44 AM,08:24 AM,06:38 PM,-7,-4,1,-4,32,100,54,0.0,1030,1,10,15,25,JAX
2018-01-02 03:00:00,5,1,0.0,10.1,1,100,07:36 PM,08:44 AM,08:24 AM,06:38 PM,-6,-4,2,-4,33,84,58,0.0,1030,2,10,20,26,JAX
2018-01-02 06:00:00,5,1,0.0,10.1,1,100,07:36 PM,08:44 AM,08:24 AM,06:38 PM,-6,-5,1,-5,33,47,59,0.0,1031,1,10,17,25,JAX
2018-01-02 09:00:00,5,1,0.0,10.1,1,100,07:36 PM,08:44 AM,08:24 AM,06:38 PM,-4,-2,3,-2,30,29,61,0.0,1031,3,10,23,26,JAX
2018-01-02 12:00:00,5,1,0.0,10.1,1,100,07:36 PM,08:44 AM,08:24 AM,06:38 PM,-3,-0,5,-0,29,28,59,0.0,1030,4,10,20,25,JAX
2018-01-02 15:00:00,5,1,0.0,10.1,1,100,07:36 PM,08:44 AM,08:24 AM,06:38 PM,-2,1,5,1,27,42,60,0.0,1028,5,10,30,23,JAX
2018-01-02 18:00:00,5,1,0.0,10.1,1,100,07:36 PM,08:44 AM,08:24 AM,06:38 PM,-4,-2,3,-2,34,47,61,0.0,1028,3,10,18,26,JAX
2018-01-02 21:00:00,5,1,0.0,10.1,1,100,07:36 PM,08:44 AM,08:24 AM,06:38 PM,-1,1,5,1,28,64,67,0.0,1026,5,10,32,21,JAX
2018-01-03 00:00:00,5,1,0.0,6.7,1,89,08:44 PM,09:43 AM,08:24 AM,06:38 PM,-1,-1,4,-1,28,100,72,0.0,1023,4,10,14,21,JAX
2018-01-03 03:00:00,5,1,0.0,6.7,1,89,08:44 PM,09:43 AM,08:24 AM,06:38 PM,3,1,5,1,24,100,88,1.5,1021,5,9,16,19,JAX
2018-01-03 06:00:00,5,1,0.0,6.7,1,89,08:44 PM,09:43 AM,08:24 AM,06:38 PM,2,-2,3,-2,24,100,93,0.0,1019,3,10,8,21,JAX
2018-01-03 09:00:00,5,1,0.0,6.7,1,89,08:44 PM,09:43 AM,08:24 AM,06:38 PM,2,-3,2,-3,32,100,95,13.3,1019,2,5,327,22,JAX
2018-01-03 12:00:00,5,1,0.0,6.7,1,89,08:44 PM,09:43 AM,08:24 AM,06:38 PM,3,-1,4,-1,24,77,94,0.0,1018,4,10,340,20,JAX
2018-01-03 15:00:00,5,1,0.0,6.7,1,89,08:44 PM,09:43 AM,08:24 AM,06:38 PM,2,-0,4,-0,24,78,89,0.0,1016,4,10,321,19,JAX
2018-01-03 18:00:00,5,1,0.0,6.7,1,89,08:44 PM,09:43 AM,08:24 AM,06:38 PM,-1,-3,1,-3,24,3,82,0.0,1017,1,10,320,17,JAX
2018-01-03 21:00:00,5,1,0.0,6.7,1,89,08:44 PM,09:43 AM,08:24 AM,06:38 PM,-4,-4,1,-4,27,5,69,0.0,1018,1,10,303,18,JAX
2018-01-04 00:00:00,6,-1,0.0,10.2,2,81,09:51 PM,10:34 AM,08:24 AM,06:39 PM,-7,-4,1,-4,27,0,56,0.0,1017,0,10,290,17,JAX
2018-01-04 03:00:00,6,-1,0.0,10.2,2,81,09:51 PM,10:34 AM,08:24 AM,06:39 PM,-7,-5,0,-5,30,0,56,0.0,1018,0,10,299,19,JAX
2018-01-04 06:00:00,6,-1,0.0,10.2,2,81,09:51 PM,10:34 AM,08:24 AM,06:39 PM,-8,-5,-1,-5,25,0,57,0.0,1018,-1,10,285,17,JAX
2018-01-04 09:00:00,6,-1,0.0,10.2,2,81,09:51 PM,10:34 AM,08:24 AM,06:39 PM,-9,-2,2,-2,23,0,44,0.0,1019,2,10,282,20,JAX
2018-01-04 12:00:00,6,-1,0.0,10.2,2,81,09:51 PM,10:34 AM,08:24 AM,06:39 PM,-5,2,6,2,22,4,46,0.0,1019,6,10,273,19,JAX
2018-01-04 15:00:00,6,-1,0.0,10.2,2,81,09:51 PM,10:34 AM,08:24 AM,06:39 PM,-2,3,7,3,25,2,54,0.0,1019,6,10,285,22,JAX
2018-01-04 18:00:00,6,-1,0.0,10.2,2,81,09:51 PM,10:34 AM,08:24 AM,06:39 PM,-5,1,4,1,25,0,52,0.0,1020,4,10,282,14,JAX
2018-01-04 21:00:00,6,-1,0.0,10.2,2,81,09:51 PM,10:34 AM,08:24 AM,06:39 PM,-6,-2,3,-2,29,0,52,0.0,1023,3,10,302,17,JAX
2018-01-05 00:00:00,8,-2,0.0,10.0,2,74,10:56 PM,11:20 AM,08:24 AM,06:40 PM,-8,-3,1,-3,22,0,53,0.0,1024,1,10,314,13,JAX
2018-01-05 03:00:00,8,-2,0.0,10.0,2,74,10:56 PM,11:20 AM,08:24 AM,06:40 PM,-9,-5,-1,-5,20,0,53,0.0,1025,-1,10,322,13,JAX
2018-01-05 06:00:00,8,-2,0.0,10.0,2,74,10:56 PM,11:20 AM,08:24 AM,06:40 PM,-10,-6,-2,-6,17,0,52,0.0,1027,-2,10,325,12,JAX
2018-01-05 09:00:00,8,-2,0.0,10.0,2,74,10:56 PM,11:20 AM,08:24 AM,06:40 PM,-11,-1,2,-1,12,3,38,0.0,1029,2,10,323,10,JAX
2018-01-05 12:00:00,8,-2,0.0,10.0,2,74,10:56 PM,11:20 AM,08:24 AM,06:40 PM,-12,5,7,5,9,6,24,0.0,1028,7,10,289,8,JAX
2018-01-05 15:00:00,8,-2,0.0,10.0,2,74,10:56 PM,11:20 AM,08:24 AM,06:40 PM,-8,7,8,7,12,100,30,0.0,1027,8,10,291,9,JAX
2018-01-05 18:00:00,8,-2,0.0,10.0,2,74,10:56 PM,11:20 AM,08:24 AM,06:40 PM,-6,2,4,2,15,51,45,0.0,1028,4,10,261,8,JAX
2018-01-05 21:00:00,8,-2,0.0,10.0,2,74,10:56 PM,11:20 AM,08:24 AM,06:40 PM,-6,1,4,1,17,32,50,0.0,1029,3,10,273,9,JAX
2018-01-06 00:00:00,9,1,0.0,10.2,2,67,11:57 PM,12:01 PM,08:24 AM,06:41 PM,-6,-0,3,-0,16,7,55,0.0,1030,2,10,287,9,JAX
2018-01-06 03:00:00,9,1,0.0,10.2,2,67,11:57 PM,12:01 PM,08:24 AM,06:41 PM,-6,-2,2,-2,18,3,58,0.0,1030,1,10,316,10,JAX
2018-01-06 06:00:00,9,1,0.0,10.2,2,67,11:57 PM,12:01 PM,08:24 AM,06:41 PM,-7,-3,1,-3,23,3,54,0.0,1031,1,10,347,14,JAX
2018-01-06 09:00:00,9,1,0.0,10.2,2,67,11:57 PM,12:01 PM,08:24 AM,06:41 PM,-8,1,4,1,18,3,40,0.0,1032,4,10,352,15,JAX
2018-01-06 12:00:00,9,1,0.0,10.2,2,67,11:57 PM,12:01 PM,08:24 AM,06:41 PM,-6,6,8,6,13,3,37,0.0,1031,8,10,360,12,JAX
2018-01-06 15:00:00,9,1,0.0,10.2,2,67,11:57 PM,12:01 PM,08:24 AM,06:41 PM,-4,7,9,7,12,4,38,0.0,1030,9,10,1,10,JAX
2018-01-06 18:00:00,9,1,0.0,10.2,2,67,11:57 PM,12:01 PM,08:24 AM,06:41 PM,-4,3,5,3,12,7,53,0.0,1032,5,10,18,7,JAX
2018-01-06 21:00:00,9,1,0.0,10.2,2,67,11:57 PM,12:01 PM,08:24 AM,06:41 PM,-4,2,4,2,16,5,56,0.0,1033,4,10,18,9,JAX
