date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,15,5,0.0,8.7,3,97,05:38 PM,07:13 AM,07:52 AM,05:38 PM,-9,9,9,9,5,2,26,0.0,1021,7,10,13,2,LAS
2018-01-01 03:00:00,15,5,0.0,8.7,3,97,05:38 PM,07:13 AM,07:52 AM,05:38 PM,-8,7,7,7,7,3,34,0.0,1022,5,10,10,3,LAS
2018-01-01 06:00:00,15,5,0.0,8.7,3,97,05:38 PM,07:13 AM,07:52 AM,05:38 PM,-7,7,7,7,3,4,37,0.0,1023,5,10,35,1,LAS
2018-01-01 09:00:00,15,5,0.0,8.7,3,97,05:38 PM,07:13 AM,07:52 AM,05:38 PM,-9,12,12,12,2,4,21,0.0,1024,11,10,252,2,LAS
2018-01-01 12:00:00,15,5,0.0,8.7,3,97,05:38 PM,07:13 AM,07:52 AM,05:38 PM,-9,17,17,17,4,4,16,0.0,1022,15,10,85,3,LAS
2018-01-01 15:00:00,15,5,0.0,8.7,3,97,05:38 PM,07:13 AM,07:52 AM,05:38 PM,-6,15,15,15,2,0,22,0.0,1021,13,10,121,1,LAS
2018-01-01 18:00:00,15,5,0.0,8.7,3,97,05:38 PM,07:13 AM,07:52 AM,05:38 PM,-8,11,11,11,2,5,25,0.0,1021,10,10,346,1,LAS
2018-01-01 21:00:00,15,5,0.0,8.7,3,97,05:38 PM,07:13 AM,07:52 AM,05:38 PM,-9,9,9,9,3,74,26,0.0,1023,9,10,226,1,LAS
2018-01-02 00:00:00,16,7,0.0,3.7,4,100,06:44 PM,08:16 AM,07:52 AM,05:38 PM,-9,9,9,9,9,32,26,0.0,1023,8,10,2,4,LAS
2018-01-02 03:00:00,16,7,0.0,3.7,4,100,06:44 PM,08:16 AM,07:52 AM,05:38 PM,-7,8,8,8,9,7,33,0.0,1024,7,10,357,4,LAS
2018-01-02 06:00:00,16,7,0.0,3.7,4,100,06:44 PM,08:16 AM,07:52 AM,05:38 PM,-6,7,8,7,15,18,36,0.0,1025,7,10,7,7,LAS
2018-01-02 09:00:00,16,7,0.0,3.7,4,100,06:44 PM,08:16 AM,07:52 AM,05:38 PM,-5,13,13,13,7,73,28,0.0,1026,13,10,8,5,LAS
2018-01-02 12:00:00,16,7,0.0,3.7,4,100,06:44 PM,08:16 AM,07:52 AM,05:38 PM,-7,16,16,16,17,96,20,0.0,1022,16,10,35,15,LAS
2018-01-02 15:00:00,16,7,0.0,3.7,4,100,06:44 PM,08:16 AM,07:52 AM,05:38 PM,-7,14,14,14,4,100,23,0.0,1023,13,10,93,2,LAS
2018-01-02 18:00:00,16,7,0.0,3.7,4,100,06:44 PM,08:16 AM,07:52 AM,05:38 PM,-8,12,12,12,10,100,25,0.0,1023,11,10,360,5,LAS
2018-01-02 21:00:00,16,7,0.0,3.7,4,100,06:44 PM,08:16 AM,07:52 AM,05:38 PM,-8,10,11,10,17,100,26,0.0,1024,11,10,42,8,LAS
2018-01-03 00:00:00,14,5,0.0,8.7,2,89,07:54 PM,09:12 AM,07:52 AM,05:39 PM,-9,8,9,8,13,100,28,0.0,1023,9,10,19,6,LAS
2018-01-03 03:00:00,14,5,0.0,8.7,2,89,07:54 PM,09:12 AM,07:52 AM,05:39 PM,-8,8,8,8,9,4,30,0.0,1024,7,10,26,4,LAS
2018-01-03 06:00:00,14,5,0.0,8.7,2,89,07:54 PM,09:12 AM,07:52 AM,05:39 PM,-10,7,7,7,8,6,30,0.0,1024,5,10,62,4,LAS
2018-01-03 09:00:00,14,5,0.0,8.7,2,89,07:54 PM,09:12 AM,07:52 AM,05:39 PM,-12,11,12,11,7,20,18,0.0,1023,11,10,45,6,LAS
2018-01-03 12:00:00,14,5,0.0,8.7,2,89,07:54 PM,09:12 AM,07:52 AM,05:39 PM,-14,15,15,15,6,15,13,0.0,1020,14,10,57,5,LAS
