date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-11,-17,0.2,4.8,1,97,05:58 PM,07:54 AM,08:40 AM,06:02 PM,-16,-21,-16,-21,13,76,96,0.0,1034,-16,2,266,8,LBE
2018-01-01 03:00:00,-11,-17,0.2,4.8,1,97,05:58 PM,07:54 AM,08:40 AM,06:02 PM,-17,-21,-17,-21,11,100,97,0.0,1034,-17,10,263,6,LBE
2018-01-01 06:00:00,-11,-17,0.2,4.8,1,97,05:58 PM,07:54 AM,08:40 AM,06:02 PM,-18,-23,-17,-23,13,100,97,0.0,1034,-17,0,250,8,LBE
2018-01-01 09:00:00,-11,-17,0.2,4.8,1,97,05:58 PM,07:54 AM,08:40 AM,06:02 PM,-16,-21,-15,-21,13,89,87,0.1,1034,-15,10,257,10,LBE
2018-01-01 12:00:00,-11,-17,0.2,4.8,1,97,05:58 PM,07:54 AM,08:40 AM,06:02 PM,-15,-19,-11,-19,21,100,75,0.0,1033,-11,10,274,18,LBE
2018-01-01 15:00:00,-11,-17,0.2,4.8,1,97,05:58 PM,07:54 AM,08:40 AM,06:02 PM,-16,-21,-12,-21,25,100,76,0.2,1034,-12,5,281,19,LBE
2018-01-01 18:00:00,-11,-17,0.2,4.8,1,97,05:58 PM,07:54 AM,08:40 AM,06:02 PM,-17,-23,-15,-23,24,98,85,0.0,1036,-15,10,278,16,LBE
2018-01-01 21:00:00,-11,-17,0.2,4.8,1,97,05:58 PM,07:54 AM,08:40 AM,06:02 PM,-17,-24,-16,-24,24,82,89,0.0,1037,-16,10,275,15,LBE
2018-01-02 00:00:00,-11,-17,0.1,9.6,1,100,07:04 PM,08:58 AM,08:40 AM,06:03 PM,-17,-24,-17,-24,21,96,93,0.0,1037,-17,10,257,14,LBE
2018-01-02 03:00:00,-11,-17,0.1,9.6,1,100,07:04 PM,08:58 AM,08:40 AM,06:03 PM,-18,-25,-17,-25,21,91,94,0.1,1038,-17,10,255,14,LBE
2018-01-02 06:00:00,-11,-17,0.1,9.6,1,100,07:04 PM,08:58 AM,08:40 AM,06:03 PM,-17,-23,-17,-23,14,100,95,0.0,1038,-17,2,245,9,LBE
2018-01-02 09:00:00,-11,-17,0.1,9.6,1,100,07:04 PM,08:58 AM,08:40 AM,06:03 PM,-17,-24,-15,-24,21,98,84,0.0,1037,-15,10,239,17,LBE
2018-01-02 12:00:00,-11,-17,0.1,9.6,1,100,07:04 PM,08:58 AM,08:40 AM,06:03 PM,-15,-18,-12,-18,17,55,75,0.0,1035,-11,10,244,14,LBE
2018-01-02 15:00:00,-11,-17,0.1,9.6,1,100,07:04 PM,08:58 AM,08:40 AM,06:03 PM,-15,-18,-11,-18,19,12,77,0.0,1032,-11,10,244,15,LBE
2018-01-02 18:00:00,-11,-17,0.1,9.6,1,100,07:04 PM,08:58 AM,08:40 AM,06:03 PM,-16,-20,-14,-20,16,10,88,0.0,1032,-14,10,222,9,LBE
2018-01-02 21:00:00,-11,-17,0.1,9.6,1,100,07:04 PM,08:58 AM,08:40 AM,06:03 PM,-17,-21,-15,-21,20,31,86,0.0,1031,-15,10,225,10,LBE
2018-01-03 00:00:00,-5,-16,0.0,9.6,2,89,08:14 PM,09:54 AM,08:40 AM,06:04 PM,-18,-21,-16,-21,16,5,87,0.0,1030,-16,10,215,8,LBE
2018-01-03 03:00:00,-5,-16,0.0,9.6,2,89,08:14 PM,09:54 AM,08:40 AM,06:04 PM,-18,-22,-16,-22,15,0,85,0.0,1029,-16,10,195,7,LBE
2018-01-03 06:00:00,-5,-16,0.0,9.6,2,89,08:14 PM,09:54 AM,08:40 AM,06:04 PM,-19,-21,-16,-21,14,3,79,0.0,1027,-16,10,175,6,LBE
2018-01-03 09:00:00,-5,-16,0.0,9.6,2,89,08:14 PM,09:54 AM,08:40 AM,06:04 PM,-16,-15,-10,-15,12,6,61,0.0,1025,-10,10,205,9,LBE
2018-01-03 12:00:00,-5,-16,0.0,9.6,2,89,08:14 PM,09:54 AM,08:40 AM,06:04 PM,-13,-9,-5,-9,10,31,53,0.0,1021,-5,10,203,8,LBE
2018-01-03 15:00:00,-5,-16,0.0,9.6,2,89,08:14 PM,09:54 AM,08:40 AM,06:04 PM,-11,-9,-5,-9,13,32,62,0.0,1019,-5,10,194,9,LBE
2018-01-03 18:00:00,-5,-16,0.0,9.6,2,89,08:14 PM,09:54 AM,08:40 AM,06:04 PM,-13,-13,-9,-13,11,10,74,0.0,1019,-10,10,194,5,LBE
2018-01-03 21:00:00,-5,-16,0.0,9.6,2,89,08:14 PM,09:54 AM,08:40 AM,06:04 PM,-14,-14,-11,-14,9,18,78,0.0,1019,-11,10,238,4,LBE
2018-01-04 00:00:00,-9,-15,0.0,4.8,1,81,09:26 PM,10:42 AM,08:40 AM,06:05 PM,-14,-12,-12,-12,3,72,89,0.0,1017,-13,10,244,1,LBE
2018-01-04 03:00:00,-9,-15,0.0,4.8,1,81,09:26 PM,10:42 AM,08:40 AM,06:05 PM,-13,-18,-12,-18,15,100,97,0.0,1015,-12,2,303,9,LBE
2018-01-04 06:00:00,-9,-15,0.0,4.8,1,81,09:26 PM,10:42 AM,08:40 AM,06:05 PM,-12,-18,-12,-18,15,100,95,0.0,1014,-12,2,298,10,LBE
2018-01-04 09:00:00,-9,-15,0.0,4.8,1,81,09:26 PM,10:42 AM,08:40 AM,06:05 PM,-12,-18,-10,-18,29,100,81,0.0,1013,-10,10,315,24,LBE
2018-01-04 12:00:00,-9,-15,0.0,4.8,1,81,09:26 PM,10:42 AM,08:40 AM,06:05 PM,-14,-17,-9,-17,25,100,69,0.0,1013,-9,10,303,22,LBE
2018-01-04 15:00:00,-9,-15,0.0,4.8,1,81,09:26 PM,10:42 AM,08:40 AM,06:05 PM,-15,-20,-11,-20,32,100,75,0.0,1014,-11,10,300,25,LBE
2018-01-04 18:00:00,-9,-15,0.0,4.8,1,81,09:26 PM,10:42 AM,08:40 AM,06:05 PM,-17,-23,-14,-23,29,100,79,0.0,1017,-14,10,288,20,LBE
2018-01-04 21:00:00,-9,-15,0.0,4.8,1,81,09:26 PM,10:42 AM,08:40 AM,06:05 PM,-18,-25,-15,-25,33,100,82,0.0,1017,-15,10,288,24,LBE
2018-01-05 00:00:00,-14,-19,0.2,4.8,1,74,10:35 PM,11:23 AM,08:40 AM,06:06 PM,-18,-26,-16,-26,31,100,85,0.0,1018,-16,10,278,22,LBE
2018-01-05 03:00:00,-14,-19,0.2,4.8,1,74,10:35 PM,11:23 AM,08:40 AM,06:06 PM,-19,-28,-18,-28,31,100,87,0.0,1019,-18,10,279,22,LBE
2018-01-05 06:00:00,-14,-19,0.2,4.8,1,74,10:35 PM,11:23 AM,08:40 AM,06:06 PM,-20,-29,-19,-29,27,100,89,0.0,1022,-19,10,275,18,LBE
2018-01-05 09:00:00,-14,-19,0.2,4.8,1,74,10:35 PM,11:23 AM,08:40 AM,06:06 PM,-20,-28,-18,-28,26,100,83,0.1,1023,-18,5,271,21,LBE
2018-01-05 12:00:00,-14,-19,0.2,4.8,1,74,10:35 PM,11:23 AM,08:40 AM,06:06 PM,-19,-23,-14,-23,23,100,69,0.0,1023,-14,10,277,20,LBE
2018-01-05 15:00:00,-14,-19,0.2,4.8,1,74,10:35 PM,11:23 AM,08:40 AM,06:06 PM,-19,-24,-15,-24,29,100,69,0.1,1024,-15,10,286,23,LBE
2018-01-05 18:00:00,-14,-19,0.2,4.8,1,74,10:35 PM,11:23 AM,08:40 AM,06:06 PM,-19,-24,-16,-24,21,100,82,0.0,1027,-16,10,275,14,LBE
2018-01-05 21:00:00,-14,-19,0.2,4.8,1,74,10:35 PM,11:23 AM,08:40 AM,06:06 PM,-19,-26,-17,-26,26,100,87,0.1,1028,-17,10,281,18,LBE
2018-01-06 00:00:00,-14,-19,0.3,4.8,1,67,11:43 PM,11:59 AM,08:40 AM,06:07 PM,-19,-27,-18,-27,24,100,90,0.0,1029,-18,10,278,16,LBE
2018-01-06 03:00:00,-14,-19,0.3,4.8,1,67,11:43 PM,11:59 AM,08:40 AM,06:07 PM,-20,-28,-19,-28,25,96,89,0.1,1030,-18,10,280,17,LBE
2018-01-06 06:00:00,-14,-19,0.3,4.8,1,67,11:43 PM,11:59 AM,08:40 AM,06:07 PM,-20,-27,-19,-27,20,100,90,0.0,1032,-19,10,275,13,LBE
2018-01-06 09:00:00,-14,-19,0.3,4.8,1,67,11:43 PM,11:59 AM,08:40 AM,06:07 PM,-19,-26,-17,-26,25,100,80,0.1,1033,-17,5,289,20,LBE
2018-01-06 12:00:00,-14,-19,0.3,4.8,1,67,11:43 PM,11:59 AM,08:40 AM,06:07 PM,-18,-22,-14,-22,22,100,68,0.0,1034,-14,10,293,19,LBE
2018-01-06 15:00:00,-14,-19,0.3,4.8,1,67,11:43 PM,11:59 AM,08:40 AM,06:07 PM,-18,-23,-14,-23,24,100,72,0.1,1034,-14,5,293,19,LBE
2018-01-06 18:00:00,-14,-19,0.3,4.8,1,67,11:43 PM,11:59 AM,08:40 AM,06:07 PM,-18,-22,-17,-22,13,100,92,0.0,1037,-17,10,282,8,LBE
2018-01-06 21:00:00,-14,-19,0.3,4.8,1,67,11:43 PM,11:59 AM,08:40 AM,06:07 PM,-18,-24,-18,-24,16,71,96,0.0,1037,-18,10,285,9,LBE
2018-01-07 00:00:00,-5,-20,0.0,9.7,1,59,No moonrise,12:32 PM,08:40 AM,06:08 PM,-20,-23,-19,-23,8,66,98,0.0,1039,-20,0,254,4,LBE
2018-01-07 03:00:00,-5,-20,0.0,9.7,1,59,No moonrise,12:32 PM,08:40 AM,06:08 PM,-20,-24,-20,-24,10,45,97,0.0,1038,-20,0,198,5,LBE
2018-01-07 06:00:00,-5,-20,0.0,9.7,1,59,No moonrise,12:32 PM,08:40 AM,06:08 PM,-21,-24,-20,-24,10,21,93,0.0,1039,-20,10,162,5,LBE
2018-01-07 09:00:00,-5,-20,0.0,9.7,1,59,No moonrise,12:32 PM,08:40 AM,06:08 PM,-19,-18,-14,-18,7,48,65,0.0,1037,-14,10,166,6,LBE
2018-01-07 12:00:00,-5,-20,0.0,9.7,1,59,No moonrise,12:32 PM,08:40 AM,06:08 PM,-15,-10,-7,-10,7,48,52,0.0,1032,-6,10,197,6,LBE
2018-01-07 15:00:00,-5,-20,0.0,9.7,1,59,No moonrise,12:32 PM,08:40 AM,06:08 PM,-11,-8,-5,-8,12,45,62,0.0,1029,-5,10,193,8,LBE
2018-01-07 18:00:00,-5,-20,0.0,9.7,1,59,No moonrise,12:32 PM,08:40 AM,06:08 PM,-12,-12,-8,-12,14,44,77,0.0,1029,-8,10,148,7,LBE
2018-01-07 21:00:00,-5,-20,0.0,9.7,1,59,No moonrise,12:32 PM,08:40 AM,06:08 PM,-12,-12,-7,-12,20,35,69,0.0,1027,-7,10,186,9,LBE
2018-01-08 00:00:00,1,-4,2.0,4.8,1,52,12:47 AM,01:02 PM,08:40 AM,06:09 PM,-10,-7,-4,-7,18,77,60,0.0,1024,-4,10,191,9,LBE
2018-01-08 03:00:00,1,-4,2.0,4.8,1,52,12:47 AM,01:02 PM,08:40 AM,06:09 PM,-7,-5,-2,-5,19,100,70,0.1,1022,-2,10,190,9,LBE
2018-01-08 06:00:00,1,-4,2.0,4.8,1,52,12:47 AM,01:02 PM,08:40 AM,06:09 PM,-5,-4,-0,-4,21,100,72,0.0,1021,-0,10,217,11,LBE
2018-01-08 09:00:00,1,-4,2.0,4.8,1,52,12:47 AM,01:02 PM,08:40 AM,06:09 PM,-1,-6,-0,-6,39,100,92,2.3,1020,-0,2,227,26,LBE
2018-01-08 12:00:00,1,-4,2.0,4.8,1,52,12:47 AM,01:02 PM,08:40 AM,06:09 PM,-1,-5,1,-5,30,100,88,0.0,1018,1,10,234,21,LBE
2018-01-08 15:00:00,1,-4,2.0,4.8,1,52,12:47 AM,01:02 PM,08:40 AM,06:09 PM,-1,-5,1,-5,30,100,91,0.0,1018,1,10,239,20,LBE
2018-01-08 18:00:00,1,-4,2.0,4.8,1,52,12:47 AM,01:02 PM,08:40 AM,06:09 PM,-1,-3,0,-3,18,96,93,0.0,1019,0,10,258,12,LBE
2018-01-08 21:00:00,1,-4,2.0,4.8,1,52,12:47 AM,01:02 PM,08:40 AM,06:09 PM,-1,-5,-0,-5,27,95,93,0.0,1020,-0,10,250,18,LBE
2018-01-09 00:00:00,1,-4,0.2,6.5,1,45,01:49 AM,01:33 PM,08:40 AM,06:10 PM,-1,-5,-0,-5,22,100,92,0.0,1021,-0,10,251,15,LBE
2018-01-09 03:00:00,1,-4,0.2,6.5,1,45,01:49 AM,01:33 PM,08:40 AM,06:10 PM,-2,-6,-1,-6,24,99,94,0.1,1022,-1,5,268,16,LBE
2018-01-09 06:00:00,1,-4,0.2,6.5,1,45,01:49 AM,01:33 PM,08:40 AM,06:10 PM,-2,-4,-1,-4,16,100,93,0.0,1024,-1,10,278,10,LBE
2018-01-09 09:00:00,1,-4,0.2,6.5,1,45,01:49 AM,01:33 PM,08:40 AM,06:10 PM,-2,-5,-1,-5,19,99,89,0.2,1026,-1,5,270,14,LBE
2018-01-09 12:00:00,1,-4,0.2,6.5,1,45,01:49 AM,01:33 PM,08:40 AM,06:10 PM,-2,-2,1,-2,11,100,85,0.0,1026,1,10,271,9,LBE
2018-01-09 15:00:00,1,-4,0.2,6.5,1,45,01:49 AM,01:33 PM,08:40 AM,06:10 PM,-2,-2,0,-2,10,78,87,0.0,1027,0,10,266,8,LBE
2018-01-09 18:00:00,1,-4,0.2,6.5,1,45,01:49 AM,01:33 PM,08:40 AM,06:10 PM,-3,-3,-2,-3,7,29,93,0.0,1028,-2,10,30,3,LBE
2018-01-09 21:00:00,1,-4,0.2,6.5,1,45,01:49 AM,01:33 PM,08:40 AM,06:10 PM,-4,-4,-4,-4,7,47,93,0.0,1030,-4,10,106,3,LBE
2018-01-10 00:00:00,6,-4,0.0,9.7,2,38,02:48 AM,02:03 PM,08:40 AM,06:11 PM,-5,-6,-3,-6,11,19,90,0.0,1029,-3,10,117,5,LBE
2018-01-10 03:00:00,6,-4,0.0,9.7,2,38,02:48 AM,02:03 PM,08:40 AM,06:11 PM,-5,-6,-4,-6,14,21,88,0.0,1029,-4,10,108,6,LBE
2018-01-10 06:00:00,6,-4,0.0,9.7,2,38,02:48 AM,02:03 PM,08:40 AM,06:11 PM,-5,-6,-3,-6,12,27,91,0.0,1028,-3,10,112,6,LBE
2018-01-10 09:00:00,6,-4,0.0,9.7,2,38,02:48 AM,02:03 PM,08:40 AM,06:11 PM,-0,-1,2,-1,15,58,87,0.0,1028,2,10,135,8,LBE
2018-01-10 12:00:00,6,-4,0.0,9.7,2,38,02:48 AM,02:03 PM,08:40 AM,06:11 PM,4,6,6,6,5,56,87,0.0,1025,6,10,128,3,LBE
2018-01-10 15:00:00,6,-4,0.0,9.7,2,38,02:48 AM,02:03 PM,08:40 AM,06:11 PM,3,3,5,3,17,88,91,0.0,1024,5,10,132,9,LBE
2018-01-10 18:00:00,6,-4,0.0,9.7,2,38,02:48 AM,02:03 PM,08:40 AM,06:11 PM,1,0,3,0,21,27,89,0.0,1024,3,10,126,10,LBE
2018-01-10 21:00:00,6,-4,0.0,9.7,2,38,02:48 AM,02:03 PM,08:40 AM,06:11 PM,1,-1,2,-1,19,29,92,0.0,1025,2,10,135,9,LBE
2018-01-11 00:00:00,13,2,0.0,9.7,3,30,03:47 AM,02:35 PM,08:39 AM,06:12 PM,1,0,3,0,17,21,92,0.0,1024,3,10,137,8,LBE
2018-01-11 03:00:00,13,2,0.0,9.7,3,30,03:47 AM,02:35 PM,08:39 AM,06:12 PM,1,0,2,0,16,20,92,0.0,1024,2,10,133,8,LBE
2018-01-11 06:00:00,13,2,0.0,9.7,3,30,03:47 AM,02:35 PM,08:39 AM,06:12 PM,3,3,4,3,11,37,92,0.0,1024,4,10,98,5,LBE
2018-01-11 09:00:00,13,2,0.0,9.7,3,30,03:47 AM,02:35 PM,08:39 AM,06:12 PM,6,5,7,5,16,52,92,0.0,1025,7,10,137,8,LBE
2018-01-11 12:00:00,13,2,0.0,9.7,3,30,03:47 AM,02:35 PM,08:39 AM,06:12 PM,11,13,13,13,8,28,87,0.0,1020,13,10,149,5,LBE
2018-01-11 15:00:00,13,2,0.0,9.7,3,30,03:47 AM,02:35 PM,08:39 AM,06:12 PM,10,10,12,10,33,21,90,0.0,1019,12,10,148,17,LBE
2018-01-11 18:00:00,13,2,0.0,9.7,3,30,03:47 AM,02:35 PM,08:39 AM,06:12 PM,11,11,13,11,36,100,89,0.0,1016,13,10,153,17,LBE
2018-01-11 21:00:00,13,2,0.0,9.7,3,30,03:47 AM,02:35 PM,08:39 AM,06:12 PM,10,10,11,10,26,63,92,2.9,1015,11,8,171,12,LBE
2018-01-12 00:00:00,13,-0,0.0,6.6,2,23,04:44 AM,03:10 PM,08:39 AM,06:13 PM,10,9,11,9,25,100,95,0.0,1012,11,2,142,12,LBE
2018-01-12 03:00:00,13,-0,0.0,6.6,2,23,04:44 AM,03:10 PM,08:39 AM,06:13 PM,10,10,11,10,16,100,95,3.5,1009,11,7,171,8,LBE
2018-01-12 06:00:00,13,-0,0.0,6.6,2,23,04:44 AM,03:10 PM,08:39 AM,06:13 PM,10,10,10,10,11,100,97,0.0,1007,10,0,166,5,LBE
2018-01-12 09:00:00,13,-0,0.0,6.6,2,23,04:44 AM,03:10 PM,08:39 AM,06:13 PM,10,10,11,10,17,68,97,0.9,1006,11,9,152,8,LBE
2018-01-12 12:00:00,13,-0,0.0,6.6,2,23,04:44 AM,03:10 PM,08:39 AM,06:13 PM,13,13,13,13,16,37,94,0.0,1005,13,2,162,8,LBE
2018-01-12 15:00:00,13,-0,0.0,6.6,2,23,04:44 AM,03:10 PM,08:39 AM,06:13 PM,8,7,9,7,19,100,94,0.5,1005,8,10,335,12,LBE
2018-01-12 18:00:00,13,-0,0.0,6.6,2,23,04:44 AM,03:10 PM,08:39 AM,06:13 PM,2,0,2,0,10,100,95,0.0,1006,2,2,338,8,LBE
2018-01-12 21:00:00,13,-0,0.0,6.6,2,23,04:44 AM,03:10 PM,08:39 AM,06:13 PM,-1,-5,-0,-5,22,100,95,4.3,1007,-0,3,346,17,LBE
2018-01-13 00:00:00,-5,-12,0.2,4.9,1,16,05:40 AM,03:48 PM,08:39 AM,06:14 PM,-5,-11,-5,-11,25,100,95,0.0,1009,-5,10,335,18,LBE
2018-01-13 03:00:00,-5,-12,0.2,4.9,1,16,05:40 AM,03:48 PM,08:39 AM,06:14 PM,-9,-16,-9,-16,32,100,95,0.0,1014,-8,10,327,23,LBE
2018-01-13 06:00:00,-5,-12,0.2,4.9,1,16,05:40 AM,03:48 PM,08:39 AM,06:14 PM,-11,-17,-10,-17,22,100,90,0.0,1020,-10,10,317,16,LBE
2018-01-13 09:00:00,-5,-12,0.2,4.9,1,16,05:40 AM,03:48 PM,08:39 AM,06:14 PM,-12,-18,-10,-18,24,100,85,0.2,1024,-10,5,321,20,LBE
2018-01-13 12:00:00,-5,-12,0.2,4.9,1,16,05:40 AM,03:48 PM,08:39 AM,06:14 PM,-12,-16,-9,-16,21,93,78,0.0,1027,-9,10,306,18,LBE
2018-01-13 15:00:00,-5,-12,0.2,4.9,1,16,05:40 AM,03:48 PM,08:39 AM,06:14 PM,-13,-17,-10,-17,23,97,79,0.1,1030,-10,10,313,18,LBE
2018-01-13 18:00:00,-5,-12,0.2,4.9,1,16,05:40 AM,03:48 PM,08:39 AM,06:14 PM,-14,-18,-12,-18,17,95,83,0.0,1034,-12,10,312,12,LBE
2018-01-13 21:00:00,-5,-12,0.2,4.9,1,16,05:40 AM,03:48 PM,08:39 AM,06:14 PM,-14,-19,-12,-19,18,72,90,0.0,1036,-12,10,314,12,LBE
2018-01-14 00:00:00,-9,-16,0.0,6.6,1,9,06:33 AM,04:31 PM,08:39 AM,06:15 PM,-14,-19,-14,-19,12,73,96,0.0,1038,-14,2,300,8,LBE
2018-01-14 03:00:00,-9,-16,0.0,6.6,1,9,06:33 AM,04:31 PM,08:39 AM,06:15 PM,-15,-19,-15,-19,9,76,97,0.0,1040,-15,2,301,5,LBE
2018-01-14 06:00:00,-9,-16,0.0,6.6,1,9,06:33 AM,04:31 PM,08:39 AM,06:15 PM,-16,-16,-16,-16,5,99,97,0.0,1041,-16,0,281,3,LBE
2018-01-14 09:00:00,-9,-16,0.0,6.6,1,9,06:33 AM,04:31 PM,08:39 AM,06:15 PM,-15,-15,-12,-15,6,78,81,0.0,1042,-12,10,351,5,LBE
2018-01-14 12:00:00,-9,-16,0.0,6.6,1,9,06:33 AM,04:31 PM,08:39 AM,06:15 PM,-14,-11,-9,-11,5,78,67,0.0,1040,-9,10,26,4,LBE
2018-01-14 15:00:00,-9,-16,0.0,6.6,1,9,06:33 AM,04:31 PM,08:39 AM,06:15 PM,-14,-12,-9,-12,6,53,69,0.0,1038,-9,10,49,5,LBE
2018-01-14 18:00:00,-9,-16,0.0,6.6,1,9,06:33 AM,04:31 PM,08:39 AM,06:15 PM,-14,-15,-13,-15,7,100,87,0.0,1038,-13,10,88,4,LBE
2018-01-14 21:00:00,-9,-16,0.0,6.6,1,9,06:33 AM,04:31 PM,08:39 AM,06:15 PM,-14,-17,-12,-17,14,18,83,0.0,1038,-12,10,104,8,LBE
2018-01-15 00:00:00,-4,-13,0.4,4.9,2,1,07:24 AM,05:18 PM,08:38 AM,06:16 PM,-15,-18,-11,-18,19,51,76,0.0,1036,-11,10,119,12,LBE
2018-01-15 03:00:00,-4,-13,0.4,4.9,2,1,07:24 AM,05:18 PM,08:38 AM,06:16 PM,-15,-17,-12,-17,15,74,81,0.0,1036,-12,10,117,9,LBE
2018-01-15 06:00:00,-4,-13,0.4,4.9,2,1,07:24 AM,05:18 PM,08:38 AM,06:16 PM,-16,-19,-13,-19,17,97,78,0.0,1035,-13,10,126,9,LBE
2018-01-15 09:00:00,-4,-13,0.4,4.9,2,1,07:24 AM,05:18 PM,08:38 AM,06:16 PM,-14,-14,-9,-14,12,100,68,0.0,1034,-9,10,138,9,LBE
2018-01-15 12:00:00,-4,-13,0.4,4.9,2,1,07:24 AM,05:18 PM,08:38 AM,06:16 PM,-11,-11,-6,-11,12,69,68,0.0,1032,-6,10,136,10,LBE
2018-01-15 15:00:00,-4,-13,0.4,4.9,2,1,07:24 AM,05:18 PM,08:38 AM,06:16 PM,-8,-8,-4,-8,11,89,74,0.0,1030,-4,10,144,9,LBE
2018-01-15 18:00:00,-4,-13,0.4,4.9,2,1,07:24 AM,05:18 PM,08:38 AM,06:16 PM,-8,-10,-7,-10,10,84,90,0.0,1030,-7,10,115,6,LBE
2018-01-15 21:00:00,-4,-13,0.4,4.9,2,1,07:24 AM,05:18 PM,08:38 AM,06:16 PM,-9,-11,-7,-11,16,100,81,0.4,1030,-7,2,127,9,LBE
2018-01-16 00:00:00,-1,-11,0.8,4.9,1,0,08:11 AM,06:08 PM,08:38 AM,06:17 PM,-8,-8,-6,-8,8,100,86,0.0,1030,-6,10,184,4,LBE
2018-01-16 03:00:00,-1,-11,0.8,4.9,1,0,08:11 AM,06:08 PM,08:38 AM,06:17 PM,-5,-7,-4,-7,9,100,96,0.8,1030,-4,2,211,6,LBE
2018-01-16 06:00:00,-1,-11,0.8,4.9,1,0,08:11 AM,06:08 PM,08:38 AM,06:17 PM,-5,-4,-4,-4,3,100,98,0.0,1031,-5,0,223,2,LBE
2018-01-16 09:00:00,-1,-11,0.8,4.9,1,0,08:11 AM,06:08 PM,08:38 AM,06:17 PM,-4,-5,-3,-5,7,100,90,0.0,1031,-3,10,204,5,LBE
2018-01-16 12:00:00,-1,-11,0.8,4.9,1,0,08:11 AM,06:08 PM,08:38 AM,06:17 PM,-3,-4,-1,-4,8,100,88,0.0,1029,-1,10,235,7,LBE
2018-01-16 15:00:00,-1,-11,0.8,4.9,1,0,08:11 AM,06:08 PM,08:38 AM,06:17 PM,-4,-8,-4,-8,13,100,95,0.1,1030,-4,5,284,10,LBE
2018-01-16 18:00:00,-1,-11,0.8,4.9,1,0,08:11 AM,06:08 PM,08:38 AM,06:17 PM,-8,-12,-8,-12,12,100,95,0.0,1032,-8,2,289,9,LBE
2018-01-16 21:00:00,-1,-11,0.8,4.9,1,0,08:11 AM,06:08 PM,08:38 AM,06:17 PM,-11,-16,-11,-16,14,100,94,0.0,1033,-11,10,296,10,LBE
2018-01-17 00:00:00,-11,-17,0.1,4.9,1,0,08:53 AM,07:02 PM,08:37 AM,06:18 PM,-14,-18,-14,-18,9,100,98,0.0,1034,-14,0,278,6,LBE
2018-01-17 03:00:00,-11,-17,0.1,4.9,1,0,08:53 AM,07:02 PM,08:37 AM,06:18 PM,-17,-21,-17,-21,9,99,98,0.0,1035,-17,0,271,6,LBE
2018-01-17 06:00:00,-11,-17,0.1,4.9,1,0,08:53 AM,07:02 PM,08:37 AM,06:18 PM,-18,-22,-17,-22,9,99,99,0.0,1036,-17,0,258,6,LBE
2018-01-17 09:00:00,-11,-17,0.1,4.9,1,0,08:53 AM,07:02 PM,08:37 AM,06:18 PM,-16,-20,-15,-20,8,98,90,0.0,1035,-15,10,270,7,LBE
2018-01-17 12:00:00,-11,-17,0.1,4.9,1,0,08:53 AM,07:02 PM,08:37 AM,06:18 PM,-13,-16,-11,-16,10,91,83,0.0,1033,-11,10,280,8,LBE
