date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-5,-10,0.0,9.9,1,97,06:05 PM,07:34 AM,08:16 AM,06:09 PM,-19,-15,-7,-15,27,69,37,0.0,1041,-7,10,24,20,LIT
2018-01-01 03:00:00,-5,-10,0.0,9.9,1,97,06:05 PM,07:34 AM,08:16 AM,06:09 PM,-19,-15,-8,-15,24,32,40,0.0,1042,-8,10,21,17,LIT
2018-01-01 06:00:00,-5,-10,0.0,9.9,1,97,06:05 PM,07:34 AM,08:16 AM,06:09 PM,-20,-17,-10,-17,22,9,44,0.0,1044,-10,10,15,16,LIT
2018-01-01 09:00:00,-5,-10,0.0,9.9,1,97,06:05 PM,07:34 AM,08:16 AM,06:09 PM,-20,-16,-9,-16,21,3,40,0.0,1045,-9,10,20,17,LIT
2018-01-01 12:00:00,-5,-10,0.0,9.9,1,97,06:05 PM,07:34 AM,08:16 AM,06:09 PM,-22,-12,-6,-12,15,0,28,0.0,1045,-6,10,23,13,LIT
2018-01-01 15:00:00,-5,-10,0.0,9.9,1,97,06:05 PM,07:34 AM,08:16 AM,06:09 PM,-22,-10,-5,-10,15,0,24,0.0,1042,-5,10,27,13,LIT
2018-01-01 18:00:00,-5,-10,0.0,9.9,1,97,06:05 PM,07:34 AM,08:16 AM,06:09 PM,-22,-11,-7,-11,13,4,29,0.0,1043,-7,10,27,9,LIT
2018-01-01 21:00:00,-5,-10,0.0,9.9,1,97,06:05 PM,07:34 AM,08:16 AM,06:09 PM,-24,-13,-8,-13,16,8,26,0.0,1043,-8,10,40,11,LIT
2018-01-02 00:00:00,-4,-10,0.0,5.0,2,100,07:11 PM,08:37 AM,08:16 AM,06:10 PM,-26,-15,-9,-15,21,26,23,0.0,1043,-9,10,50,15,LIT
2018-01-02 03:00:00,-4,-10,0.0,5.0,2,100,07:11 PM,08:37 AM,08:16 AM,06:10 PM,-26,-16,-9,-16,20,62,24,0.0,1042,-9,10,49,14,LIT
2018-01-02 06:00:00,-4,-10,0.0,5.0,2,100,07:11 PM,08:37 AM,08:16 AM,06:10 PM,-25,-16,-10,-16,16,98,26,0.0,1042,-10,10,58,12,LIT
2018-01-02 09:00:00,-4,-10,0.0,5.0,2,100,07:11 PM,08:37 AM,08:16 AM,06:10 PM,-25,-14,-9,-14,14,100,25,0.0,1042,-9,10,48,10,LIT
2018-01-02 12:00:00,-4,-10,0.0,5.0,2,100,07:11 PM,08:37 AM,08:16 AM,06:10 PM,-25,-9,-6,-9,10,100,20,0.0,1040,-6,10,56,8,LIT
2018-01-02 15:00:00,-4,-10,0.0,5.0,2,100,07:11 PM,08:37 AM,08:16 AM,06:10 PM,-24,-7,-4,-7,8,85,19,0.0,1036,-4,10,39,7,LIT
2018-01-02 18:00:00,-4,-10,0.0,5.0,2,100,07:11 PM,08:37 AM,08:16 AM,06:10 PM,-23,-7,-5,-7,5,100,24,0.0,1035,-5,10,39,4,LIT
2018-01-02 21:00:00,-4,-10,0.0,5.0,2,100,07:11 PM,08:37 AM,08:16 AM,06:10 PM,-22,-5,-5,-5,3,47,24,0.0,1033,-5,10,67,2,LIT
2018-01-03 00:00:00,3,-7,0.0,9.9,2,89,08:20 PM,09:35 AM,08:16 AM,06:10 PM,-23,-10,-7,-10,10,30,26,0.0,1031,-7,10,252,6,LIT
2018-01-03 03:00:00,3,-7,0.0,9.9,2,89,08:20 PM,09:35 AM,08:16 AM,06:10 PM,-23,-10,-7,-10,11,25,26,0.0,1030,-7,10,262,7,LIT
2018-01-03 06:00:00,3,-7,0.0,9.9,2,89,08:20 PM,09:35 AM,08:16 AM,06:10 PM,-23,-11,-7,-11,11,14,28,0.0,1029,-7,10,231,6,LIT
2018-01-03 09:00:00,3,-7,0.0,9.9,2,89,08:20 PM,09:35 AM,08:16 AM,06:10 PM,-21,-9,-5,-9,17,5,25,0.0,1029,-5,10,265,12,LIT
2018-01-03 12:00:00,3,-7,0.0,9.9,2,89,08:20 PM,09:35 AM,08:16 AM,06:10 PM,-17,-2,1,-2,13,0,23,0.0,1027,1,10,293,11,LIT
2018-01-03 15:00:00,3,-7,0.0,9.9,2,89,08:20 PM,09:35 AM,08:16 AM,06:10 PM,-13,-0,3,-0,17,0,30,0.0,1025,3,10,303,14,LIT
2018-01-03 18:00:00,3,-7,0.0,9.9,2,89,08:20 PM,09:35 AM,08:16 AM,06:10 PM,-11,-5,-2,-5,14,0,52,0.0,1026,-2,10,311,6,LIT
2018-01-03 21:00:00,3,-7,0.0,9.9,2,89,08:20 PM,09:35 AM,08:16 AM,06:10 PM,-10,-7,-3,-7,20,2,57,0.0,1027,-3,10,326,9,LIT
2018-01-04 00:00:00,3,-4,0.0,10.0,2,81,09:29 PM,10:24 AM,08:16 AM,06:11 PM,-10,-7,-3,-7,17,6,61,0.0,1028,-3,10,327,9,LIT
