date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-5,-10,0.0,9.8,2,97,06:04 PM,07:46 AM,08:31 AM,06:10 PM,-16,-11,-9,-11,6,19,57,0.0,1032,-9,10,44,4,LYH
2018-01-01 03:00:00,-5,-10,0.0,9.8,2,97,06:04 PM,07:46 AM,08:31 AM,06:10 PM,-16,-9,-9,-9,4,9,57,0.0,1033,-9,10,17,3,LYH
2018-01-01 06:00:00,-5,-10,0.0,9.8,2,97,06:04 PM,07:46 AM,08:31 AM,06:10 PM,-17,-10,-10,-10,3,6,54,0.0,1035,-10,10,316,2,LYH
2018-01-01 09:00:00,-5,-10,0.0,9.8,2,97,06:04 PM,07:46 AM,08:31 AM,06:10 PM,-20,-12,-7,-12,12,5,34,0.0,1035,-7,10,333,10,LYH
2018-01-01 12:00:00,-5,-10,0.0,9.8,2,97,06:04 PM,07:46 AM,08:31 AM,06:10 PM,-21,-9,-5,-9,13,11,27,0.0,1034,-5,10,309,12,LYH
2018-01-01 15:00:00,-5,-10,0.0,9.8,2,97,06:04 PM,07:46 AM,08:31 AM,06:10 PM,-20,-10,-5,-10,17,6,29,0.0,1033,-5,10,309,14,LYH
2018-01-01 18:00:00,-5,-10,0.0,9.8,2,97,06:04 PM,07:46 AM,08:31 AM,06:10 PM,-19,-12,-8,-12,11,0,43,0.0,1035,-8,10,305,7,LYH
2018-01-01 21:00:00,-5,-10,0.0,9.8,2,97,06:04 PM,07:46 AM,08:31 AM,06:10 PM,-19,-14,-9,-14,13,0,47,0.0,1036,-9,10,307,8,LYH
2018-01-02 00:00:00,-2,-12,0.0,9.8,2,100,07:11 PM,08:49 AM,08:31 AM,06:11 PM,-20,-13,-11,-13,6,0,45,0.0,1037,-11,10,305,4,LYH
2018-01-02 03:00:00,-2,-12,0.0,9.8,2,100,07:11 PM,08:49 AM,08:31 AM,06:11 PM,-21,-15,-11,-15,9,0,45,0.0,1038,-11,10,319,5,LYH
2018-01-02 06:00:00,-2,-12,0.0,9.8,2,100,07:11 PM,08:49 AM,08:31 AM,06:11 PM,-21,-16,-12,-16,10,0,49,0.0,1038,-12,10,298,6,LYH
2018-01-02 09:00:00,-2,-12,0.0,9.8,2,100,07:11 PM,08:49 AM,08:31 AM,06:11 PM,-22,-11,-8,-11,6,0,32,0.0,1038,-8,10,302,5,LYH
2018-01-02 12:00:00,-2,-12,0.0,9.8,2,100,07:11 PM,08:49 AM,08:31 AM,06:11 PM,-22,-5,-3,-5,6,0,22,0.0,1035,-3,10,283,5,LYH
2018-01-02 15:00:00,-2,-12,0.0,9.8,2,100,07:11 PM,08:49 AM,08:31 AM,06:11 PM,-22,-4,-2,-4,6,0,21,0.0,1032,-2,10,248,5,LYH
2018-01-02 18:00:00,-2,-12,0.0,9.8,2,100,07:11 PM,08:49 AM,08:31 AM,06:11 PM,-21,-10,-7,-10,11,0,32,0.0,1032,-7,10,213,5,LYH
2018-01-02 21:00:00,-2,-12,0.0,9.8,2,100,07:11 PM,08:49 AM,08:31 AM,06:11 PM,-21,-9,-7,-9,9,0,33,0.0,1032,-7,10,234,4,LYH
2018-01-03 00:00:00,0,-9,0.0,4.9,2,89,08:20 PM,09:46 AM,08:31 AM,06:12 PM,-20,-10,-8,-10,8,0,38,0.0,1030,-8,10,285,4,LYH
2018-01-03 03:00:00,0,-9,0.0,4.9,2,89,08:20 PM,09:46 AM,08:31 AM,06:12 PM,-20,-9,-9,-9,6,18,40,0.0,1029,-9,10,270,3,LYH
2018-01-03 06:00:00,0,-9,0.0,4.9,2,89,08:20 PM,09:46 AM,08:31 AM,06:12 PM,-19,-8,-8,-8,5,61,41,0.0,1028,-8,10,290,3,LYH
2018-01-03 09:00:00,0,-9,0.0,4.9,2,89,08:20 PM,09:46 AM,08:31 AM,06:12 PM,-20,-3,-3,-3,2,83,27,0.0,1025,-3,10,272,2,LYH
2018-01-03 12:00:00,0,-9,0.0,4.9,2,89,08:20 PM,09:46 AM,08:31 AM,06:12 PM,-20,-2,0,-2,6,85,21,0.0,1022,0,10,204,5,LYH
2018-01-03 15:00:00,0,-9,0.0,4.9,2,89,08:20 PM,09:46 AM,08:31 AM,06:12 PM,-19,-1,-1,-1,5,74,22,0.0,1018,-1,10,350,4,LYH
2018-01-03 18:00:00,0,-9,0.0,4.9,2,89,08:20 PM,09:46 AM,08:31 AM,06:12 PM,-19,-3,-3,-3,0,100,27,0.0,1018,-3,10,213,0,LYH
2018-01-03 21:00:00,0,-9,0.0,4.9,2,89,08:20 PM,09:46 AM,08:31 AM,06:12 PM,-17,-6,-4,-6,10,47,34,0.0,1016,-4,10,358,5,LYH
2018-01-04 00:00:00,-3,-9,0.0,9.8,2,81,09:30 PM,10:35 AM,08:31 AM,06:12 PM,-17,-8,-4,-8,16,25,36,0.0,1013,-4,10,324,9,LYH
2018-01-04 03:00:00,-3,-9,0.0,9.8,2,81,09:30 PM,10:35 AM,08:31 AM,06:12 PM,-18,-9,-4,-9,23,9,32,0.0,1010,-4,10,318,14,LYH
