date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-20,-27,-18,-27,23,5,88,0.0,1040,-18,10,301,16,MDW
2018-01-01 03:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-21,-29,-20,-29,24,20,91,0.0,1041,-20,10,299,18,MDW
2018-01-01 06:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-22,-31,-21,-31,20,30,91,0.0,1042,-21,10,292,15,MDW
2018-01-01 09:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-22,-31,-21,-31,22,33,91,0.0,1042,-21,10,287,17,MDW
2018-01-01 12:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-20,-26,-18,-26,15,17,88,0.0,1042,-18,10,277,13,MDW
2018-01-01 15:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-18,-25,-17,-25,19,11,86,0.0,1042,-17,10,281,16,MDW
2018-01-01 18:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-20,-28,-19,-28,20,34,92,0.0,1043,-19,10,261,14,MDW
2018-01-01 21:00:00,-17,-21,0.0,8.7,2,97,05:28 PM,07:33 AM,08:18 AM,05:31 PM,-20,-28,-20,-28,20,38,93,0.0,1043,-20,10,273,14,MDW
2018-01-02 00:00:00,-14,-22,0.0,8.7,2,100,06:35 PM,08:36 AM,08:18 AM,05:32 PM,-21,-29,-20,-29,21,15,92,0.0,1042,-21,10,261,13,MDW
2018-01-02 03:00:00,-14,-22,0.0,8.7,2,100,06:35 PM,08:36 AM,08:18 AM,05:32 PM,-20,-27,-19,-27,19,6,89,0.0,1041,-19,10,259,14,MDW
