date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-6,-11,0.0,8.7,2,97,05:55 PM,07:25 AM,08:08 AM,05:59 PM,-20,-17,-9,-17,30,37,42,0.0,1039,-9,10,12,23,MEM
2018-01-01 03:00:00,-6,-11,0.0,8.7,2,97,05:55 PM,07:25 AM,08:08 AM,05:59 PM,-19,-18,-10,-18,29,7,47,0.0,1040,-10,10,14,22,MEM
2018-01-01 06:00:00,-6,-11,0.0,8.7,2,97,05:55 PM,07:25 AM,08:08 AM,05:59 PM,-19,-19,-11,-19,24,25,54,0.0,1042,-11,10,15,18,MEM
2018-01-01 09:00:00,-6,-11,0.0,8.7,2,97,05:55 PM,07:25 AM,08:08 AM,05:59 PM,-19,-19,-11,-19,25,7,50,0.0,1043,-10,10,19,20,MEM
2018-01-01 12:00:00,-6,-11,0.0,8.7,2,97,05:55 PM,07:25 AM,08:08 AM,05:59 PM,-20,-13,-7,-13,17,0,36,0.0,1044,-7,10,15,15,MEM
2018-01-01 15:00:00,-6,-11,0.0,8.7,2,97,05:55 PM,07:25 AM,08:08 AM,05:59 PM,-21,-12,-6,-12,19,0,29,0.0,1042,-6,10,11,17,MEM
2018-01-01 18:00:00,-6,-11,0.0,8.7,2,97,05:55 PM,07:25 AM,08:08 AM,05:59 PM,-24,-15,-8,-15,23,0,26,0.0,1042,-8,10,8,16,MEM
2018-01-01 21:00:00,-6,-11,0.0,8.7,2,97,05:55 PM,07:25 AM,08:08 AM,05:59 PM,-27,-16,-9,-16,23,2,22,0.0,1042,-9,10,24,16,MEM
2018-01-02 00:00:00,-4,-12,0.0,8.3,2,100,07:01 PM,08:28 AM,08:08 AM,06:00 PM,-26,-18,-11,-18,23,6,26,0.0,1043,-11,10,32,17,MEM
2018-01-02 03:00:00,-4,-12,0.0,8.3,2,100,07:01 PM,08:28 AM,08:08 AM,06:00 PM,-25,-18,-11,-18,19,22,29,0.0,1043,-11,10,30,14,MEM
2018-01-02 06:00:00,-4,-12,0.0,8.3,2,100,07:01 PM,08:28 AM,08:08 AM,06:00 PM,-25,-18,-12,-18,17,49,33,0.0,1043,-12,10,40,12,MEM
2018-01-02 09:00:00,-4,-12,0.0,8.3,2,100,07:01 PM,08:28 AM,08:08 AM,06:00 PM,-24,-17,-11,-17,17,48,31,0.0,1042,-11,10,45,13,MEM
2018-01-02 12:00:00,-4,-12,0.0,8.3,2,100,07:01 PM,08:28 AM,08:08 AM,06:00 PM,-23,-10,-6,-10,10,45,24,0.0,1040,-6,10,41,9,MEM
2018-01-02 15:00:00,-4,-12,0.0,8.3,2,100,07:01 PM,08:28 AM,08:08 AM,06:00 PM,-22,-7,-4,-7,10,65,22,0.0,1036,-4,10,14,9,MEM
2018-01-02 18:00:00,-4,-12,0.0,8.3,2,100,07:01 PM,08:28 AM,08:08 AM,06:00 PM,-21,-9,-5,-9,11,100,27,0.0,1034,-6,10,11,8,MEM
2018-01-02 21:00:00,-4,-12,0.0,8.3,2,100,07:01 PM,08:28 AM,08:08 AM,06:00 PM,-21,-8,-5,-8,8,100,28,0.0,1033,-6,10,9,6,MEM
2018-01-03 00:00:00,1,-7,0.0,9.9,2,89,08:10 PM,09:26 AM,08:08 AM,06:01 PM,-20,-6,-6,-6,1,45,30,0.0,1031,-6,10,267,1,MEM
2018-01-03 03:00:00,1,-7,0.0,9.9,2,89,08:10 PM,09:26 AM,08:08 AM,06:01 PM,-20,-9,-6,-9,10,80,30,0.0,1029,-6,10,285,8,MEM
2018-01-03 06:00:00,1,-7,0.0,9.9,2,89,08:10 PM,09:26 AM,08:08 AM,06:01 PM,-20,-8,-6,-8,5,100,33,0.0,1029,-7,10,251,4,MEM
2018-01-03 09:00:00,1,-7,0.0,9.9,2,89,08:10 PM,09:26 AM,08:08 AM,06:01 PM,-21,-9,-5,-9,13,24,27,0.0,1028,-5,10,248,10,MEM
2018-01-03 12:00:00,1,-7,0.0,9.9,2,89,08:10 PM,09:26 AM,08:08 AM,06:01 PM,-20,-4,-0,-4,15,5,21,0.0,1025,-0,10,261,13,MEM
2018-01-03 15:00:00,1,-7,0.0,9.9,2,89,08:10 PM,09:26 AM,08:08 AM,06:01 PM,-16,-4,1,-4,21,0,26,0.0,1024,1,10,286,17,MEM
2018-01-03 18:00:00,1,-7,0.0,9.9,2,89,08:10 PM,09:26 AM,08:08 AM,06:01 PM,-10,-3,-1,-3,7,0,49,0.0,1025,-3,10,288,5,MEM
2018-01-03 21:00:00,1,-7,0.0,9.9,2,89,08:10 PM,09:26 AM,08:08 AM,06:01 PM,-11,-7,-3,-7,21,2,54,0.0,1026,-3,10,324,12,MEM
2018-01-04 00:00:00,-2,-6,0.0,9.9,2,81,09:19 PM,10:16 AM,08:08 AM,06:02 PM,-10,-7,-3,-7,15,12,59,0.0,1026,-3,10,349,9,MEM
2018-01-04 03:00:00,-2,-6,0.0,9.9,2,81,09:19 PM,10:16 AM,08:08 AM,06:02 PM,-11,-9,-4,-9,21,5,59,0.0,1027,-4,10,353,14,MEM
2018-01-04 06:00:00,-2,-6,0.0,9.9,2,81,09:19 PM,10:16 AM,08:08 AM,06:02 PM,-14,-11,-6,-11,15,21,56,0.0,1028,-6,10,357,11,MEM
2018-01-04 09:00:00,-2,-6,0.0,9.9,2,81,09:19 PM,10:16 AM,08:08 AM,06:02 PM,-16,-12,-6,-12,19,0,47,0.0,1029,-6,10,3,15,MEM
2018-01-04 12:00:00,-2,-6,0.0,9.9,2,81,09:19 PM,10:16 AM,08:08 AM,06:02 PM,-18,-8,-4,-8,12,0,33,0.0,1030,-4,10,356,10,MEM
