date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-13,-21,0.0,9.7,2,97,06:13 PM,08:03 AM,08:46 AM,06:15 PM,-23,-28,-20,-28,19,24,73,0.0,1051,-20,10,13,14,MHK
2018-01-01 03:00:00,-13,-21,0.0,9.7,2,97,06:13 PM,08:03 AM,08:46 AM,06:15 PM,-24,-28,-20,-28,15,11,72,0.0,1051,-20,10,355,10,MHK
2018-01-01 06:00:00,-13,-21,0.0,9.7,2,97,06:13 PM,08:03 AM,08:46 AM,06:15 PM,-25,-27,-21,-27,11,4,70,0.0,1052,-21,10,354,8,MHK
2018-01-01 09:00:00,-13,-21,0.0,9.7,2,97,06:13 PM,08:03 AM,08:46 AM,06:15 PM,-25,-26,-20,-26,11,4,65,0.0,1051,-20,10,356,8,MHK
2018-01-01 12:00:00,-13,-21,0.0,9.7,2,97,06:13 PM,08:03 AM,08:46 AM,06:15 PM,-25,-20,-16,-20,7,9,44,0.0,1050,-16,10,36,6,MHK
2018-01-01 15:00:00,-13,-21,0.0,9.7,2,97,06:13 PM,08:03 AM,08:46 AM,06:15 PM,-25,-16,-13,-16,7,19,35,0.0,1046,-13,10,85,6,MHK
2018-01-01 18:00:00,-13,-21,0.0,9.7,2,97,06:13 PM,08:03 AM,08:46 AM,06:15 PM,-25,-19,-14,-19,12,17,41,0.0,1046,-14,10,88,8,MHK
2018-01-01 21:00:00,-13,-21,0.0,9.7,2,97,06:13 PM,08:03 AM,08:46 AM,06:15 PM,-25,-20,-15,-20,12,10,44,0.0,1045,-15,10,115,8,MHK
2018-01-02 00:00:00,-5,-16,0.0,9.7,2,100,07:20 PM,09:07 AM,08:46 AM,06:15 PM,-24,-20,-16,-20,10,8,46,0.0,1045,-16,10,103,6,MHK
2018-01-02 03:00:00,-5,-16,0.0,9.7,2,100,07:20 PM,09:07 AM,08:46 AM,06:15 PM,-25,-19,-16,-19,8,7,47,0.0,1045,-16,10,138,5,MHK
2018-01-02 06:00:00,-5,-16,0.0,9.7,2,100,07:20 PM,09:07 AM,08:46 AM,06:15 PM,-24,-20,-16,-20,11,9,49,0.0,1044,-16,10,169,6,MHK
