date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-13,-20,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-23,-30,-20,-30,29,5,74,0.0,1025,-20,10,311,19,MHT
2018-01-01 03:00:00,-13,-20,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-23,-30,-20,-30,31,1,75,0.0,1025,-20,10,311,20,MHT
2018-01-01 06:00:00,-13,-20,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-24,-31,-20,-31,33,4,72,0.0,1026,-20,10,310,21,MHT
2018-01-01 09:00:00,-13,-20,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-21,-27,-17,-27,28,5,68,0.0,1026,-17,10,313,22,MHT
2018-01-01 12:00:00,-13,-20,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-19,-22,-13,-22,25,3,63,0.0,1024,-13,10,309,20,MHT
2018-01-01 15:00:00,-13,-20,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-19,-24,-15,-24,27,0,68,0.0,1025,-15,10,304,18,MHT
2018-01-01 18:00:00,-13,-20,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-21,-24,-17,-24,20,8,73,0.0,1026,-17,10,296,12,MHT
2018-01-01 21:00:00,-13,-20,0.0,8.7,2,97,05:17 PM,07:28 AM,08:17 AM,05:22 PM,-21,-24,-18,-24,15,13,80,0.0,1026,-18,10,281,8,MHT
2018-01-02 00:00:00,-10,-19,0.0,5.2,2,100,06:23 PM,08:32 AM,08:17 AM,05:23 PM,-21,-24,-19,-24,13,54,83,0.0,1024,-19,10,284,7,MHT
2018-01-02 03:00:00,-10,-19,0.0,5.2,2,100,06:23 PM,08:32 AM,08:17 AM,05:23 PM,-21,-25,-19,-25,17,38,84,0.0,1026,-19,10,290,9,MHT
2018-01-02 06:00:00,-10,-19,0.0,5.2,2,100,06:23 PM,08:32 AM,08:17 AM,05:23 PM,-21,-26,-19,-26,16,4,82,0.0,1027,-19,10,293,10,MHT
2018-01-02 09:00:00,-10,-19,0.0,5.2,2,100,06:23 PM,08:32 AM,08:17 AM,05:23 PM,-19,-22,-15,-22,17,15,68,0.0,1027,-15,10,290,14,MHT
2018-01-02 12:00:00,-10,-19,0.0,5.2,2,100,06:23 PM,08:32 AM,08:17 AM,05:23 PM,-17,-17,-11,-17,14,94,60,0.0,1025,-11,10,275,12,MHT
2018-01-02 15:00:00,-10,-19,0.0,5.2,2,100,06:23 PM,08:32 AM,08:17 AM,05:23 PM,-14,-14,-11,-14,10,99,76,0.0,1024,-11,10,250,6,MHT
2018-01-02 18:00:00,-10,-19,0.0,5.2,2,100,06:23 PM,08:32 AM,08:17 AM,05:23 PM,-14,-18,-12,-18,23,23,82,0.0,1023,-12,10,201,12,MHT
2018-01-02 21:00:00,-10,-19,0.0,5.2,2,100,06:23 PM,08:32 AM,08:17 AM,05:23 PM,-12,-16,-10,-16,26,7,81,0.0,1023,-10,10,229,14,MHT
2018-01-03 00:00:00,-4,-14,0.0,8.7,2,89,07:35 PM,09:28 AM,08:17 AM,05:24 PM,-13,-17,-11,-17,25,5,81,0.0,1024,-11,10,249,14,MHT
2018-01-03 03:00:00,-4,-14,0.0,8.7,2,89,07:35 PM,09:28 AM,08:17 AM,05:24 PM,-14,-17,-12,-17,17,32,87,0.0,1025,-12,10,252,8,MHT
2018-01-03 06:00:00,-4,-14,0.0,8.7,2,89,07:35 PM,09:28 AM,08:17 AM,05:24 PM,-15,-16,-13,-16,10,80,88,0.0,1026,-14,10,241,5,MHT
2018-01-03 09:00:00,-4,-14,0.0,8.7,2,89,07:35 PM,09:28 AM,08:17 AM,05:24 PM,-11,-8,-7,-8,4,27,70,0.0,1026,-7,10,248,4,MHT
2018-01-03 12:00:00,-4,-14,0.0,8.7,2,89,07:35 PM,09:28 AM,08:17 AM,05:24 PM,-9,-6,-3,-6,9,4,61,0.0,1024,-4,10,178,8,MHT
2018-01-03 15:00:00,-4,-14,0.0,8.7,2,89,07:35 PM,09:28 AM,08:17 AM,05:24 PM,-10,-9,-6,-9,12,33,75,0.0,1023,-6,10,173,7,MHT
2018-01-03 18:00:00,-4,-14,0.0,8.7,2,89,07:35 PM,09:28 AM,08:17 AM,05:24 PM,-12,-11,-9,-11,8,80,80,0.0,1023,-9,10,171,4,MHT
2018-01-03 21:00:00,-4,-14,0.0,8.7,2,89,07:35 PM,09:28 AM,08:17 AM,05:24 PM,-13,-10,-10,-10,4,29,78,0.0,1022,-10,10,196,2,MHT
2018-01-04 00:00:00,-3,-10,2.7,3.4,2,81,08:47 PM,10:14 AM,08:17 AM,05:25 PM,-13,-11,-10,-11,7,48,76,0.0,1019,-10,10,3,3,MHT
2018-01-04 03:00:00,-3,-10,2.7,3.4,2,81,08:47 PM,10:14 AM,08:17 AM,05:25 PM,-13,-14,-8,-14,22,100,70,0.0,1014,-8,10,4,13,MHT
2018-01-04 06:00:00,-3,-10,2.7,3.4,2,81,08:47 PM,10:14 AM,08:17 AM,05:25 PM,-10,-16,-10,-16,22,100,94,0.0,1009,-10,10,4,14,MHT
2018-01-04 09:00:00,-3,-10,2.7,3.4,2,81,08:47 PM,10:14 AM,08:17 AM,05:25 PM,-5,-12,-5,-12,34,100,95,3.1,1000,-5,2,19,24,MHT
2018-01-04 12:00:00,-3,-10,2.7,3.4,2,81,08:47 PM,10:14 AM,08:17 AM,05:25 PM,-3,-9,-3,-9,35,100,95,0.0,989,-3,10,345,23,MHT
2018-01-04 15:00:00,-3,-10,2.7,3.4,2,81,08:47 PM,10:14 AM,08:17 AM,05:25 PM,-4,-11,-3,-11,45,100,92,2.7,983,-3,0,336,30,MHT
2018-01-04 18:00:00,-3,-10,2.7,3.4,2,81,08:47 PM,10:14 AM,08:17 AM,05:25 PM,-7,-13,-5,-13,52,84,83,0.0,983,-4,10,313,35,MHT
2018-01-04 21:00:00,-3,-10,2.7,3.4,2,81,08:47 PM,10:14 AM,08:17 AM,05:25 PM,-10,-16,-6,-16,62,62,76,0.0,986,-6,10,307,40,MHT
2018-01-05 00:00:00,-8,-17,0.0,3.4,2,74,09:59 PM,10:54 AM,08:17 AM,05:26 PM,-10,-15,-8,-15,30,53,81,0.0,990,-8,10,286,19,MHT
2018-01-05 03:00:00,-8,-17,0.0,3.4,2,74,09:59 PM,10:54 AM,08:17 AM,05:26 PM,-13,-19,-10,-19,38,40,80,0.0,993,-10,10,291,25,MHT
2018-01-05 06:00:00,-8,-17,0.0,3.4,2,74,09:59 PM,10:54 AM,08:17 AM,05:26 PM,-15,-21,-13,-21,29,92,83,0.0,996,-13,10,279,19,MHT
2018-01-05 09:00:00,-8,-17,0.0,3.4,2,74,09:59 PM,10:54 AM,08:17 AM,05:26 PM,-16,-24,-13,-24,36,70,78,0.0,999,-13,10,287,28,MHT
2018-01-05 12:00:00,-8,-17,0.0,3.4,2,74,09:59 PM,10:54 AM,08:17 AM,05:26 PM,-15,-22,-12,-22,33,100,78,0.0,999,-12,10,277,27,MHT
2018-01-05 15:00:00,-8,-17,0.0,3.4,2,74,09:59 PM,10:54 AM,08:17 AM,05:26 PM,-18,-25,-15,-25,39,100,77,0.0,1003,-15,10,282,27,MHT
2018-01-05 18:00:00,-8,-17,0.0,3.4,2,74,09:59 PM,10:54 AM,08:17 AM,05:26 PM,-19,-26,-16,-26,31,86,79,0.0,1005,-16,10,283,19,MHT
2018-01-05 21:00:00,-8,-17,0.0,3.4,2,74,09:59 PM,10:54 AM,08:17 AM,05:26 PM,-20,-28,-17,-28,40,53,76,0.0,1008,-17,10,286,26,MHT
2018-01-06 00:00:00,-14,-20,0.0,3.4,2,67,11:08 PM,11:29 AM,08:17 AM,05:27 PM,-21,-28,-18,-28,32,19,79,0.0,1009,-18,10,277,19,MHT
