date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,2,-3,0.0,10.0,1,97,05:57 PM,07:08 AM,07:51 AM,06:03 PM,-5,-7,-1,-7,37,95,71,0.0,1029,-1,10,5,28,MOB
2018-01-01 03:00:00,2,-3,0.0,10.0,1,97,05:57 PM,07:08 AM,07:51 AM,06:03 PM,-10,-9,-2,-9,34,100,54,0.0,1031,-2,10,5,26,MOB
2018-01-01 06:00:00,2,-3,0.0,10.0,1,97,05:57 PM,07:08 AM,07:51 AM,06:03 PM,-12,-10,-3,-10,35,95,49,0.0,1032,-3,10,358,28,MOB
2018-01-01 09:00:00,2,-3,0.0,10.0,1,97,05:57 PM,07:08 AM,07:51 AM,06:03 PM,-13,-9,-2,-9,31,77,43,0.0,1034,-2,10,3,27,MOB
2018-01-01 12:00:00,2,-3,0.0,10.0,1,97,05:57 PM,07:08 AM,07:51 AM,06:03 PM,-12,-5,1,-5,32,44,36,0.0,1034,1,10,1,28,MOB
2018-01-01 15:00:00,2,-3,0.0,10.0,1,97,05:57 PM,07:08 AM,07:51 AM,06:03 PM,-12,-3,2,-3,29,7,33,0.0,1033,2,10,8,26,MOB
2018-01-01 18:00:00,2,-3,0.0,10.0,1,97,05:57 PM,07:08 AM,07:51 AM,06:03 PM,-12,-7,-1,-7,31,32,43,0.0,1034,-1,10,4,23,MOB
2018-01-01 21:00:00,2,-3,0.0,10.0,1,97,05:57 PM,07:08 AM,07:51 AM,06:03 PM,-12,-8,-2,-8,30,57,46,0.0,1035,-2,10,18,22,MOB
2018-01-02 00:00:00,5,-5,0.0,10.5,1,100,07:03 PM,08:12 AM,07:51 AM,06:04 PM,-12,-10,-3,-10,34,100,51,0.0,1035,-3,10,16,26,MOB
2018-01-02 03:00:00,5,-5,0.0,10.5,1,100,07:03 PM,08:12 AM,07:51 AM,06:04 PM,-12,-10,-4,-10,28,100,51,0.0,1035,-4,10,25,21,MOB
2018-01-02 06:00:00,5,-5,0.0,10.5,1,100,07:03 PM,08:12 AM,07:51 AM,06:04 PM,-12,-12,-5,-12,30,100,57,0.0,1035,-5,10,21,23,MOB
