date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,17,10,0.0,9.8,4,97,06:04 PM,07:42 AM,08:19 AM,06:03 PM,10,12,12,12,6,28,88,0.0,1022,11,10,83,4,MRY
2018-01-01 03:00:00,17,10,0.0,9.8,4,97,06:04 PM,07:42 AM,08:19 AM,06:03 PM,12,14,14,14,5,0,87,0.0,1023,11,10,93,5,MRY
2018-01-01 06:00:00,17,10,0.0,9.8,4,97,06:04 PM,07:42 AM,08:19 AM,06:03 PM,11,13,13,13,7,0,85,0.0,1023,10,10,48,6,MRY
2018-01-01 09:00:00,17,10,0.0,9.8,4,97,06:04 PM,07:42 AM,08:19 AM,06:03 PM,11,15,15,15,8,0,75,0.0,1024,13,10,47,7,MRY
2018-01-01 12:00:00,17,10,0.0,9.8,4,97,06:04 PM,07:42 AM,08:19 AM,06:03 PM,10,18,18,18,9,7,59,0.0,1022,17,10,359,8,MRY
2018-01-01 15:00:00,17,10,0.0,9.8,4,97,06:04 PM,07:42 AM,08:19 AM,06:03 PM,9,14,15,14,17,85,68,0.0,1021,15,10,310,10,MRY
2018-01-01 18:00:00,17,10,0.0,9.8,4,97,06:04 PM,07:42 AM,08:19 AM,06:03 PM,9,15,14,15,9,6,72,0.0,1021,13,10,48,5,MRY
2018-01-01 21:00:00,17,10,0.0,9.8,4,97,06:04 PM,07:42 AM,08:19 AM,06:03 PM,10,14,14,14,5,8,78,0.0,1022,13,10,104,3,MRY
2018-01-02 00:00:00,18,13,0.0,9.8,4,100,07:11 PM,08:45 AM,08:20 AM,06:03 PM,9,14,14,14,14,19,68,0.0,1021,14,10,99,7,MRY
2018-01-02 03:00:00,18,13,0.0,9.8,4,100,07:11 PM,08:45 AM,08:20 AM,06:03 PM,7,14,14,14,16,24,65,0.0,1022,13,10,133,8,MRY
2018-01-02 06:00:00,18,13,0.0,9.8,4,100,07:11 PM,08:45 AM,08:20 AM,06:03 PM,7,14,14,14,11,42,63,0.0,1021,13,10,139,5,MRY
2018-01-02 09:00:00,18,13,0.0,9.8,4,100,07:11 PM,08:45 AM,08:20 AM,06:03 PM,8,16,16,16,6,64,62,0.0,1021,15,10,135,4,MRY
2018-01-02 12:00:00,18,13,0.0,9.8,4,100,07:11 PM,08:45 AM,08:20 AM,06:03 PM,9,18,18,18,7,54,54,0.0,1020,18,10,274,5,MRY
2018-01-02 15:00:00,18,13,0.0,9.8,4,100,07:11 PM,08:45 AM,08:20 AM,06:03 PM,10,16,16,16,3,27,69,0.0,1019,15,10,318,2,MRY
2018-01-02 18:00:00,18,13,0.0,9.8,4,100,07:11 PM,08:45 AM,08:20 AM,06:03 PM,8,15,15,15,14,4,64,0.0,1018,14,10,80,7,MRY
2018-01-02 21:00:00,18,13,0.0,9.8,4,100,07:11 PM,08:45 AM,08:20 AM,06:03 PM,6,13,13,13,12,81,63,0.0,1019,13,10,146,6,MRY
2018-01-03 00:00:00,15,13,0.0,6.6,4,89,08:20 PM,09:41 AM,08:20 AM,06:04 PM,7,15,15,15,12,3,57,0.0,1018,13,10,137,6,MRY
2018-01-03 03:00:00,15,13,0.0,6.6,4,89,08:20 PM,09:41 AM,08:20 AM,06:04 PM,5,14,14,14,16,5,55,0.0,1017,13,10,151,8,MRY
2018-01-03 06:00:00,15,13,0.0,6.6,4,89,08:20 PM,09:41 AM,08:20 AM,06:04 PM,4,14,14,14,17,20,50,0.0,1017,14,10,139,8,MRY
2018-01-03 09:00:00,15,13,0.0,6.6,4,89,08:20 PM,09:41 AM,08:20 AM,06:04 PM,6,15,15,15,17,98,55,0.0,1017,15,10,168,10,MRY
2018-01-03 12:00:00,15,13,0.0,6.6,4,89,08:20 PM,09:41 AM,08:20 AM,06:04 PM,9,14,14,14,16,67,71,1.7,1016,14,9,120,9,MRY
2018-01-03 15:00:00,15,13,0.0,6.6,4,89,08:20 PM,09:41 AM,08:20 AM,06:04 PM,10,13,15,13,27,84,76,0.0,1016,15,10,123,16,MRY
2018-01-03 18:00:00,15,13,0.0,6.6,4,89,08:20 PM,09:41 AM,08:20 AM,06:04 PM,11,13,14,13,27,40,80,0.3,1016,14,9,138,13,MRY
2018-01-03 21:00:00,15,13,0.0,6.6,4,89,08:20 PM,09:41 AM,08:20 AM,06:04 PM,12,13,14,13,14,78,89,0.0,1016,13,10,140,8,MRY
2018-01-04 00:00:00,17,14,0.0,9.9,3,81,09:30 PM,10:30 AM,08:20 AM,06:05 PM,12,13,14,13,26,53,84,0.8,1017,14,10,150,14,MRY
2018-01-04 03:00:00,17,14,0.0,9.9,3,81,09:30 PM,10:30 AM,08:20 AM,06:05 PM,12,13,14,13,26,35,86,0.0,1017,14,10,129,14,MRY
2018-01-04 06:00:00,17,14,0.0,9.9,3,81,09:30 PM,10:30 AM,08:20 AM,06:05 PM,12,13,14,13,26,32,88,0.0,1018,14,10,152,13,MRY
2018-01-04 09:00:00,17,14,0.0,9.9,3,81,09:30 PM,10:30 AM,08:20 AM,06:05 PM,13,15,15,15,26,39,83,0.0,1019,15,10,147,17,MRY
2018-01-04 12:00:00,17,14,0.0,9.9,3,81,09:30 PM,10:30 AM,08:20 AM,06:05 PM,13,17,17,17,23,65,77,0.0,1018,17,10,181,15,MRY
2018-01-04 15:00:00,17,14,0.0,9.9,3,81,09:30 PM,10:30 AM,08:20 AM,06:05 PM,13,16,16,16,29,48,83,0.0,1018,16,10,179,17,MRY
2018-01-04 18:00:00,17,14,0.0,9.9,3,81,09:30 PM,10:30 AM,08:20 AM,06:05 PM,13,13,15,13,29,27,91,0.1,1019,14,10,170,15,MRY
2018-01-04 21:00:00,17,14,0.0,9.9,3,81,09:30 PM,10:30 AM,08:20 AM,06:05 PM,13,14,15,14,27,69,92,0.0,1021,15,10,155,14,MRY
2018-01-05 00:00:00,17,12,0.0,6.6,3,74,10:37 PM,11:13 AM,08:20 AM,06:06 PM,13,14,15,14,25,34,91,0.2,1021,15,9,153,13,MRY
2018-01-05 03:00:00,17,12,0.0,6.6,3,74,10:37 PM,11:13 AM,08:20 AM,06:06 PM,13,14,15,14,21,64,91,0.0,1021,14,10,147,11,MRY
2018-01-05 06:00:00,17,12,0.0,6.6,3,74,10:37 PM,11:13 AM,08:20 AM,06:06 PM,13,14,14,14,22,75,91,0.0,1021,14,10,167,12,MRY
2018-01-05 09:00:00,17,12,0.0,6.6,3,74,10:37 PM,11:13 AM,08:20 AM,06:06 PM,13,16,16,16,16,57,81,0.0,1023,16,10,158,10,MRY
2018-01-05 12:00:00,17,12,0.0,6.6,3,74,10:37 PM,11:13 AM,08:20 AM,06:06 PM,14,17,17,17,15,97,82,0.1,1022,17,10,207,10,MRY
2018-01-05 15:00:00,17,12,0.0,6.6,3,74,10:37 PM,11:13 AM,08:20 AM,06:06 PM,13,14,14,14,15,100,94,0.0,1022,14,10,294,10,MRY
2018-01-05 18:00:00,17,12,0.0,6.6,3,74,10:37 PM,11:13 AM,08:20 AM,06:06 PM,13,13,14,13,11,92,94,0.5,1023,13,2,334,8,MRY
2018-01-05 21:00:00,17,12,0.0,6.6,3,74,10:37 PM,11:13 AM,08:20 AM,06:06 PM,11,11,12,11,15,79,90,0.0,1023,12,10,328,10,MRY
2018-01-06 00:00:00,14,11,0.0,9.9,3,67,11:42 PM,11:50 AM,08:20 AM,06:07 PM,10,11,12,11,15,86,88,0.5,1023,12,2,341,10,MRY
2018-01-06 03:00:00,14,11,0.0,9.9,3,67,11:42 PM,11:50 AM,08:20 AM,06:07 PM,10,13,13,13,6,71,87,0.0,1022,12,10,328,4,MRY
2018-01-06 06:00:00,14,11,0.0,9.9,3,67,11:42 PM,11:50 AM,08:20 AM,06:07 PM,10,12,12,12,10,46,84,0.1,1022,12,10,339,7,MRY
2018-01-06 09:00:00,14,11,0.0,9.9,3,67,11:42 PM,11:50 AM,08:20 AM,06:07 PM,9,13,13,13,8,14,77,0.0,1024,13,10,337,7,MRY
2018-01-06 12:00:00,14,11,0.0,9.9,3,67,11:42 PM,11:50 AM,08:20 AM,06:07 PM,10,14,15,14,14,4,72,0.0,1023,14,10,327,12,MRY
2018-01-06 15:00:00,14,11,0.0,9.9,3,67,11:42 PM,11:50 AM,08:20 AM,06:07 PM,11,15,15,15,10,0,77,0.0,1022,13,10,318,8,MRY
