date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-19,-26,0.0,6.9,1,97,05:42 PM,08:05 AM,08:51 AM,05:43 PM,-26,-34,-25,-34,22,64,90,0.0,1046,-25,10,293,14,MSP
2018-01-01 03:00:00,-19,-26,0.0,6.9,1,97,05:42 PM,08:05 AM,08:51 AM,05:43 PM,-25,-34,-24,-34,19,54,92,0.0,1047,-25,10,299,13,MSP
2018-01-01 06:00:00,-19,-26,0.0,6.9,1,97,05:42 PM,08:05 AM,08:51 AM,05:43 PM,-26,-32,-25,-32,11,70,95,0.0,1047,-26,2,316,8,MSP
2018-01-01 09:00:00,-19,-26,0.0,6.9,1,97,05:42 PM,08:05 AM,08:51 AM,05:43 PM,-25,-33,-25,-33,15,69,94,0.0,1047,-25,2,294,10,MSP
2018-01-01 12:00:00,-19,-26,0.0,6.9,1,97,05:42 PM,08:05 AM,08:51 AM,05:43 PM,-21,-25,-20,-25,7,26,87,0.0,1046,-20,10,294,6,MSP
2018-01-01 15:00:00,-19,-26,0.0,6.9,1,97,05:42 PM,08:05 AM,08:51 AM,05:43 PM,-20,-26,-18,-26,14,16,86,0.0,1045,-19,10,274,12,MSP
2018-01-01 18:00:00,-19,-26,0.0,6.9,1,97,05:42 PM,08:05 AM,08:51 AM,05:43 PM,-22,-27,-21,-27,13,18,92,0.0,1045,-21,10,251,8,MSP
2018-01-01 21:00:00,-19,-26,0.0,6.9,1,97,05:42 PM,08:05 AM,08:51 AM,05:43 PM,-22,-29,-21,-29,19,28,92,0.0,1044,-22,10,255,11,MSP
2018-01-02 00:00:00,-11,-23,0.1,5.1,2,100,06:49 PM,09:09 AM,08:51 AM,05:44 PM,-23,-30,-22,-30,20,25,91,0.0,1042,-22,10,253,12,MSP
2018-01-02 03:00:00,-11,-23,0.1,5.1,2,100,06:49 PM,09:09 AM,08:51 AM,05:44 PM,-23,-30,-21,-30,21,22,89,0.0,1040,-22,10,245,13,MSP
2018-01-02 06:00:00,-11,-23,0.1,5.1,2,100,06:49 PM,09:09 AM,08:51 AM,05:44 PM,-25,-32,-23,-32,23,3,79,0.0,1037,-23,10,241,14,MSP
2018-01-02 09:00:00,-11,-23,0.1,5.1,2,100,06:49 PM,09:09 AM,08:51 AM,05:44 PM,-22,-31,-21,-31,29,42,90,0.0,1033,-21,10,225,18,MSP
2018-01-02 12:00:00,-11,-23,0.1,5.1,2,100,06:49 PM,09:09 AM,08:51 AM,05:44 PM,-16,-24,-14,-24,31,70,85,0.0,1026,-14,10,227,23,MSP
2018-01-02 15:00:00,-11,-23,0.1,5.1,2,100,06:49 PM,09:09 AM,08:51 AM,05:44 PM,-13,-20,-11,-20,34,92,83,0.0,1021,-11,10,233,24,MSP
2018-01-02 18:00:00,-11,-23,0.1,5.1,2,100,06:49 PM,09:09 AM,08:51 AM,05:44 PM,-13,-19,-12,-19,23,100,90,0.0,1018,-12,10,241,15,MSP
2018-01-02 21:00:00,-11,-23,0.1,5.1,2,100,06:49 PM,09:09 AM,08:51 AM,05:44 PM,-14,-20,-13,-20,26,100,88,0.1,1019,-13,10,290,17,MSP
2018-01-03 00:00:00,-14,-19,0.0,3.4,1,89,08:01 PM,10:03 AM,08:51 AM,05:45 PM,-16,-21,-14,-21,22,100,88,0.0,1021,-14,10,317,14,MSP
2018-01-03 03:00:00,-14,-19,0.0,3.4,1,89,08:01 PM,10:03 AM,08:51 AM,05:45 PM,-18,-25,-16,-25,29,100,87,0.0,1023,-16,10,327,19,MSP
2018-01-03 06:00:00,-14,-19,0.0,3.4,1,89,08:01 PM,10:03 AM,08:51 AM,05:45 PM,-19,-26,-17,-26,23,100,88,0.0,1026,-17,10,323,14,MSP
2018-01-03 09:00:00,-14,-19,0.0,3.4,1,89,08:01 PM,10:03 AM,08:51 AM,05:45 PM,-19,-27,-18,-27,25,98,88,0.0,1028,-18,10,322,17,MSP
2018-01-03 12:00:00,-14,-19,0.0,3.4,1,89,08:01 PM,10:03 AM,08:51 AM,05:45 PM,-18,-24,-16,-24,15,100,83,0.0,1029,-16,10,318,13,MSP
2018-01-03 15:00:00,-14,-19,0.0,3.4,1,89,08:01 PM,10:03 AM,08:51 AM,05:45 PM,-18,-24,-16,-24,19,98,84,0.0,1029,-16,10,316,15,MSP
2018-01-03 18:00:00,-14,-19,0.0,3.4,1,89,08:01 PM,10:03 AM,08:51 AM,05:45 PM,-19,-23,-18,-23,11,93,92,0.0,1031,-18,10,313,7,MSP
