date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-2,-6,0.0,8.3,2,97,06:04 PM,07:33 AM,08:18 AM,06:10 PM,-18,-10,-4,-10,21,50,34,0.0,1028,-4,10,25,15,OAJ
2018-01-01 03:00:00,-2,-6,0.0,8.3,2,97,06:04 PM,07:33 AM,08:18 AM,06:10 PM,-18,-12,-6,-12,28,19,38,0.0,1029,-6,10,15,19,OAJ
2018-01-01 06:00:00,-2,-6,0.0,8.3,2,97,06:04 PM,07:33 AM,08:18 AM,06:10 PM,-20,-13,-6,-13,24,22,32,0.0,1031,-6,10,22,17,OAJ
2018-01-01 09:00:00,-2,-6,0.0,8.3,2,97,06:04 PM,07:33 AM,08:18 AM,06:10 PM,-20,-11,-4,-11,27,57,27,0.0,1031,-4,10,13,23,OAJ
2018-01-01 12:00:00,-2,-6,0.0,8.3,2,97,06:04 PM,07:33 AM,08:18 AM,06:10 PM,-20,-7,-2,-7,21,72,23,0.0,1031,-2,10,10,18,OAJ
2018-01-01 15:00:00,-2,-6,0.0,8.3,2,97,06:04 PM,07:33 AM,08:18 AM,06:10 PM,-20,-8,-2,-8,24,81,25,0.0,1031,-2,10,1,19,OAJ
2018-01-01 18:00:00,-2,-6,0.0,8.3,2,97,06:04 PM,07:33 AM,08:18 AM,06:10 PM,-19,-8,-5,-8,14,16,31,0.0,1033,-5,10,356,9,OAJ
2018-01-01 21:00:00,-2,-6,0.0,8.3,2,97,06:04 PM,07:33 AM,08:18 AM,06:10 PM,-19,-9,-5,-9,19,0,31,0.0,1034,-5,10,359,12,OAJ
2018-01-02 00:00:00,-1,-7,0.0,9.9,2,100,07:10 PM,08:36 AM,08:18 AM,06:11 PM,-19,-9,-5,-9,16,0,32,0.0,1033,-5,10,357,11,OAJ
2018-01-02 03:00:00,-1,-7,0.0,9.9,2,100,07:10 PM,08:36 AM,08:18 AM,06:11 PM,-19,-11,-6,-11,22,2,34,0.0,1034,-5,10,3,15,OAJ
2018-01-02 06:00:00,-1,-7,0.0,9.9,2,100,07:10 PM,08:36 AM,08:18 AM,06:11 PM,-20,-13,-7,-13,19,10,33,0.0,1035,-7,10,14,13,OAJ
2018-01-02 09:00:00,-1,-7,0.0,9.9,2,100,07:10 PM,08:36 AM,08:18 AM,06:11 PM,-21,-10,-5,-10,19,36,27,0.0,1036,-5,10,11,17,OAJ
2018-01-02 12:00:00,-1,-7,0.0,9.9,2,100,07:10 PM,08:36 AM,08:18 AM,06:11 PM,-20,-5,-1,-5,13,81,21,0.0,1034,-1,10,15,12,OAJ
2018-01-02 15:00:00,-1,-7,0.0,9.9,2,100,07:10 PM,08:36 AM,08:18 AM,06:11 PM,-20,-5,-1,-5,15,16,22,0.0,1032,-1,10,1,12,OAJ
2018-01-02 18:00:00,-1,-7,0.0,9.9,2,100,07:10 PM,08:36 AM,08:18 AM,06:11 PM,-18,-7,-4,-7,9,13,33,0.0,1032,-5,10,24,5,OAJ
2018-01-02 21:00:00,-1,-7,0.0,9.9,2,100,07:10 PM,08:36 AM,08:18 AM,06:11 PM,-19,-8,-5,-8,10,18,33,0.0,1031,-5,10,48,6,OAJ
2018-01-03 00:00:00,2,-6,0.0,5.0,2,89,08:18 PM,09:34 AM,08:18 AM,06:12 PM,-20,-9,-6,-9,12,8,31,0.0,1030,-6,10,56,7,OAJ
2018-01-03 03:00:00,2,-6,0.0,5.0,2,89,08:18 PM,09:34 AM,08:18 AM,06:12 PM,-20,-10,-5,-10,16,49,31,0.0,1028,-5,10,37,9,OAJ
2018-01-03 06:00:00,2,-6,0.0,5.0,2,89,08:18 PM,09:34 AM,08:18 AM,06:12 PM,-21,-10,-5,-10,20,51,27,0.0,1026,-5,10,41,14,OAJ
2018-01-03 09:00:00,2,-6,0.0,5.0,2,89,08:18 PM,09:34 AM,08:18 AM,06:12 PM,-15,-6,-2,-6,18,63,34,0.0,1023,-2,10,40,14,OAJ
2018-01-03 12:00:00,2,-6,0.0,5.0,2,89,08:18 PM,09:34 AM,08:18 AM,06:12 PM,-10,-2,2,-2,16,100,42,0.0,1019,2,10,19,12,OAJ
2018-01-03 15:00:00,2,-6,0.0,5.0,2,89,08:18 PM,09:34 AM,08:18 AM,06:12 PM,-7,-4,1,-4,23,100,58,0.2,1015,1,2,349,17,OAJ
2018-01-03 18:00:00,2,-6,0.0,5.0,2,89,08:18 PM,09:34 AM,08:18 AM,06:12 PM,-3,-7,-1,-7,27,100,91,0.0,1013,-1,10,344,19,OAJ
2018-01-03 21:00:00,2,-6,0.0,5.0,2,89,08:18 PM,09:34 AM,08:18 AM,06:12 PM,-3,-9,-2,-9,42,100,94,1.1,1008,-2,3,344,28,OAJ
2018-01-04 00:00:00,-0,-6,0.0,9.9,1,81,09:28 PM,10:24 AM,08:18 AM,06:12 PM,-4,-10,-3,-10,41,100,94,0.0,1005,-3,10,335,27,OAJ
2018-01-04 03:00:00,-0,-6,0.0,9.9,1,81,09:28 PM,10:24 AM,08:18 AM,06:12 PM,-4,-9,-2,-9,44,49,85,0.0,1006,-2,10,313,29,OAJ
2018-01-04 06:00:00,-0,-6,0.0,9.9,1,81,09:28 PM,10:24 AM,08:18 AM,06:12 PM,-8,-11,-6,-11,24,3,86,0.0,1008,-6,10,286,12,OAJ
2018-01-04 09:00:00,-0,-6,0.0,9.9,1,81,09:28 PM,10:24 AM,08:18 AM,06:12 PM,-7,-8,-2,-8,31,5,69,0.0,1010,-2,10,299,22,OAJ
2018-01-04 12:00:00,-0,-6,0.0,9.9,1,81,09:28 PM,10:24 AM,08:18 AM,06:12 PM,-5,-5,-0,-5,22,15,69,0.0,1010,-0,10,294,17,OAJ
2018-01-04 15:00:00,-0,-6,0.0,9.9,1,81,09:28 PM,10:24 AM,08:18 AM,06:12 PM,-6,-6,-1,-6,25,6,71,0.0,1012,-1,10,294,16,OAJ
2018-01-04 18:00:00,-0,-6,0.0,9.9,1,81,09:28 PM,10:24 AM,08:18 AM,06:12 PM,-9,-10,-6,-10,17,0,81,0.0,1014,-6,10,283,8,OAJ
2018-01-04 21:00:00,-0,-6,0.0,9.9,1,81,09:28 PM,10:24 AM,08:18 AM,06:12 PM,-10,-13,-6,-13,32,0,72,0.0,1018,-6,10,301,17,OAJ
2018-01-05 00:00:00,-2,-10,0.0,10.0,2,74,10:34 PM,11:08 AM,08:18 AM,06:13 PM,-12,-14,-9,-14,19,0,82,0.0,1020,-9,10,281,9,OAJ
2018-01-05 03:00:00,-2,-10,0.0,10.0,2,74,10:34 PM,11:08 AM,08:18 AM,06:13 PM,-13,-15,-9,-15,25,0,75,0.0,1022,-9,10,295,13,OAJ
2018-01-05 06:00:00,-2,-10,0.0,10.0,2,74,10:34 PM,11:08 AM,08:18 AM,06:13 PM,-13,-16,-10,-16,22,7,80,0.0,1024,-10,10,294,11,OAJ
2018-01-05 09:00:00,-2,-10,0.0,10.0,2,74,10:34 PM,11:08 AM,08:18 AM,06:13 PM,-12,-12,-5,-12,24,0,61,0.0,1025,-5,10,306,19,OAJ
2018-01-05 12:00:00,-2,-10,0.0,10.0,2,74,10:34 PM,11:08 AM,08:18 AM,06:13 PM,-10,-6,-2,-6,16,3,55,0.0,1024,-2,10,300,14,OAJ
2018-01-05 15:00:00,-2,-10,0.0,10.0,2,74,10:34 PM,11:08 AM,08:18 AM,06:13 PM,-9,-5,-2,-5,14,0,59,0.0,1024,-2,10,300,10,OAJ
2018-01-05 18:00:00,-2,-10,0.0,10.0,2,74,10:34 PM,11:08 AM,08:18 AM,06:13 PM,-10,-6,-5,-6,7,2,71,0.0,1026,-6,10,352,3,OAJ
2018-01-05 21:00:00,-2,-10,0.0,10.0,2,74,10:34 PM,11:08 AM,08:18 AM,06:13 PM,-11,-10,-7,-10,12,3,71,0.0,1028,-7,10,352,6,OAJ
2018-01-06 00:00:00,-4,-11,0.0,10.0,2,67,11:38 PM,11:48 AM,08:18 AM,06:14 PM,-12,-13,-8,-13,18,2,77,0.0,1029,-8,10,11,9,OAJ
2018-01-06 03:00:00,-4,-11,0.0,10.0,2,67,11:38 PM,11:48 AM,08:18 AM,06:14 PM,-13,-14,-10,-14,15,4,77,0.0,1030,-10,10,0,7,OAJ
2018-01-06 06:00:00,-4,-11,0.0,10.0,2,67,11:38 PM,11:48 AM,08:18 AM,06:14 PM,-14,-15,-11,-15,13,6,81,0.0,1031,-11,10,3,6,OAJ
2018-01-06 09:00:00,-4,-11,0.0,10.0,2,67,11:38 PM,11:48 AM,08:18 AM,06:14 PM,-13,-12,-6,-12,19,6,59,0.0,1033,-6,10,335,15,OAJ
2018-01-06 12:00:00,-4,-11,0.0,10.0,2,67,11:38 PM,11:48 AM,08:18 AM,06:14 PM,-11,-8,-4,-8,13,0,55,0.0,1032,-4,10,337,11,OAJ
2018-01-06 15:00:00,-4,-11,0.0,10.0,2,67,11:38 PM,11:48 AM,08:18 AM,06:14 PM,-11,-9,-4,-9,16,0,60,0.0,1032,-4,10,340,12,OAJ
2018-01-06 18:00:00,-4,-11,0.0,10.0,2,67,11:38 PM,11:48 AM,08:18 AM,06:14 PM,-11,-11,-8,-11,11,0,77,0.0,1034,-8,10,347,5,OAJ
2018-01-06 21:00:00,-4,-11,0.0,10.0,2,67,11:38 PM,11:48 AM,08:18 AM,06:14 PM,-13,-14,-9,-14,20,0,74,0.0,1035,-9,10,355,9,OAJ
