date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,16,10,0.0,9.8,4,97,06:03 PM,07:47 AM,08:24 AM,06:01 PM,10,11,11,11,2,46,92,0.0,1022,11,10,219,1,OAK
2018-01-01 03:00:00,16,10,0.0,9.8,4,97,06:03 PM,07:47 AM,08:24 AM,06:01 PM,10,11,11,11,2,53,94,0.0,1023,11,10,170,1,OAK
2018-01-01 06:00:00,16,10,0.0,9.8,4,97,06:03 PM,07:47 AM,08:24 AM,06:01 PM,10,11,11,11,4,37,92,0.0,1023,10,10,341,3,OAK
2018-01-01 09:00:00,16,10,0.0,9.8,4,97,06:03 PM,07:47 AM,08:24 AM,06:01 PM,9,13,13,13,4,12,80,0.0,1024,12,10,123,4,OAK
2018-01-01 12:00:00,16,10,0.0,9.8,4,97,06:03 PM,07:47 AM,08:24 AM,06:01 PM,9,18,18,18,8,2,56,0.0,1022,16,10,37,7,OAK
2018-01-01 15:00:00,16,10,0.0,9.8,4,97,06:03 PM,07:47 AM,08:24 AM,06:01 PM,9,17,17,17,1,2,59,0.0,1022,15,10,7,1,OAK
2018-01-01 18:00:00,16,10,0.0,9.8,4,97,06:03 PM,07:47 AM,08:24 AM,06:01 PM,7,15,15,15,7,7,61,0.0,1021,14,10,55,4,OAK
2018-01-01 21:00:00,16,10,0.0,9.8,4,97,06:03 PM,07:47 AM,08:24 AM,06:01 PM,7,14,14,14,7,5,63,0.0,1022,13,10,129,4,OAK
2018-01-02 00:00:00,16,12,0.0,9.8,4,100,07:10 PM,08:49 AM,08:24 AM,06:02 PM,6,14,14,14,10,7,59,0.0,1022,13,10,64,6,OAK
2018-01-02 03:00:00,16,12,0.0,9.8,4,100,07:10 PM,08:49 AM,08:24 AM,06:02 PM,5,13,13,13,9,12,59,0.0,1022,12,10,115,5,OAK
2018-01-02 06:00:00,16,12,0.0,9.8,4,100,07:10 PM,08:49 AM,08:24 AM,06:02 PM,4,12,12,12,12,29,59,0.0,1022,12,10,58,6,OAK
2018-01-02 09:00:00,16,12,0.0,9.8,4,100,07:10 PM,08:49 AM,08:24 AM,06:02 PM,5,14,14,14,6,50,57,0.0,1022,13,10,96,5,OAK
2018-01-02 12:00:00,16,12,0.0,9.8,4,100,07:10 PM,08:49 AM,08:24 AM,06:02 PM,6,17,17,17,9,49,51,0.0,1020,16,10,45,7,OAK
2018-01-02 15:00:00,16,12,0.0,9.8,4,100,07:10 PM,08:49 AM,08:24 AM,06:02 PM,8,15,15,15,6,51,60,0.0,1020,15,10,79,4,OAK
2018-01-02 18:00:00,16,12,0.0,9.8,4,100,07:10 PM,08:49 AM,08:24 AM,06:02 PM,7,15,15,15,11,5,61,0.0,1019,14,10,74,6,OAK
2018-01-02 21:00:00,16,12,0.0,9.8,4,100,07:10 PM,08:49 AM,08:24 AM,06:02 PM,7,14,14,14,9,5,62,0.0,1019,13,10,106,5,OAK
