date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,24,22,0.0,8.7,6,97,06:01 PM,06:34 AM,07:03 AM,05:56 PM,17,25,25,22,27,0,70,0.0,1018,22,10,91,19,OGG
2018-01-01 03:00:00,24,22,0.0,8.7,6,97,06:01 PM,06:34 AM,07:03 AM,05:56 PM,17,25,25,22,32,0,73,0.0,1018,22,10,91,22,OGG
2018-01-01 06:00:00,24,22,0.0,8.7,6,97,06:01 PM,06:34 AM,07:03 AM,05:56 PM,17,25,25,23,24,0,70,0.0,1019,23,10,97,17,OGG
2018-01-01 09:00:00,24,22,0.0,8.7,6,97,06:01 PM,06:34 AM,07:03 AM,05:56 PM,17,26,26,24,28,0,65,0.0,1019,24,10,85,22,OGG
2018-01-01 12:00:00,24,22,0.0,8.7,6,97,06:01 PM,06:34 AM,07:03 AM,05:56 PM,17,25,25,24,28,0,65,0.0,1017,24,10,86,22,OGG
2018-01-01 15:00:00,24,22,0.0,8.7,6,97,06:01 PM,06:34 AM,07:03 AM,05:56 PM,17,25,25,24,30,0,67,0.0,1017,24,10,83,23,OGG
2018-01-01 18:00:00,24,22,0.0,8.7,6,97,06:01 PM,06:34 AM,07:03 AM,05:56 PM,17,25,25,23,25,0,72,0.0,1019,23,10,93,17,OGG
2018-01-01 21:00:00,24,22,0.0,8.7,6,97,06:01 PM,06:34 AM,07:03 AM,05:56 PM,17,25,25,22,32,0,73,0.0,1020,22,10,87,22,OGG
2018-01-02 00:00:00,23,22,0.0,8.7,6,100,07:06 PM,07:38 AM,07:03 AM,05:57 PM,17,22,25,22,27,0,73,0.0,1019,22,10,91,19,OGG
2018-01-02 03:00:00,23,22,0.0,8.7,6,100,07:06 PM,07:38 AM,07:03 AM,05:57 PM,16,22,24,22,32,0,72,0.0,1019,22,10,86,23,OGG
2018-01-02 06:00:00,23,22,0.0,8.7,6,100,07:06 PM,07:38 AM,07:03 AM,05:57 PM,16,25,25,22,23,0,69,0.0,1020,22,10,89,17,OGG
2018-01-02 09:00:00,23,22,0.0,8.7,6,100,07:06 PM,07:38 AM,07:03 AM,05:57 PM,17,25,25,24,28,0,65,0.0,1020,23,10,86,22,OGG
2018-01-02 12:00:00,23,22,0.0,8.7,6,100,07:06 PM,07:38 AM,07:03 AM,05:57 PM,16,25,25,23,29,0,66,0.0,1019,23,10,69,24,OGG
2018-01-02 15:00:00,23,22,0.0,8.7,6,100,07:06 PM,07:38 AM,07:03 AM,05:57 PM,16,25,25,22,34,0,69,0.0,1019,22,10,67,26,OGG
2018-01-02 18:00:00,23,22,0.0,8.7,6,100,07:06 PM,07:38 AM,07:03 AM,05:57 PM,16,22,24,22,31,6,71,0.0,1019,22,10,86,22,OGG
2018-01-02 21:00:00,23,22,0.0,8.7,6,100,07:06 PM,07:38 AM,07:03 AM,05:57 PM,16,22,24,22,36,1,71,0.0,1021,22,10,78,26,OGG
2018-01-03 00:00:00,23,22,0.0,8.7,6,89,08:11 PM,08:36 AM,07:03 AM,05:58 PM,16,22,25,22,29,2,69,0.0,1020,22,10,82,20,OGG
2018-01-03 03:00:00,23,22,0.0,8.7,6,89,08:11 PM,08:36 AM,07:03 AM,05:58 PM,16,22,24,22,35,2,70,0.0,1020,22,10,78,25,OGG
2018-01-03 06:00:00,23,22,0.0,8.7,6,89,08:11 PM,08:36 AM,07:03 AM,05:58 PM,15,25,25,22,29,0,65,0.0,1021,22,10,83,22,OGG
2018-01-03 09:00:00,23,22,0.0,8.7,6,89,08:11 PM,08:36 AM,07:03 AM,05:58 PM,16,25,25,23,34,3,63,0.0,1021,23,10,76,27,OGG
2018-01-03 12:00:00,23,22,0.0,8.7,6,89,08:11 PM,08:36 AM,07:03 AM,05:58 PM,15,25,25,23,31,0,63,0.0,1019,23,10,69,25,OGG
2018-01-03 15:00:00,23,22,0.0,8.7,6,89,08:11 PM,08:36 AM,07:03 AM,05:58 PM,16,25,25,22,37,0,67,0.0,1019,22,10,66,28,OGG
2018-01-03 18:00:00,23,22,0.0,8.7,6,89,08:11 PM,08:36 AM,07:03 AM,05:58 PM,16,22,24,22,34,2,72,0.0,1020,22,10,71,25,OGG
2018-01-03 21:00:00,23,22,0.0,8.7,6,89,08:11 PM,08:36 AM,07:03 AM,05:58 PM,17,22,24,22,45,0,75,0.0,1020,22,10,77,33,OGG
2018-01-04 00:00:00,24,21,0.0,8.7,6,81,09:15 PM,09:31 AM,07:04 AM,05:58 PM,17,22,25,22,36,4,72,0.0,1019,22,10,83,25,OGG
2018-01-04 03:00:00,24,21,0.0,8.7,6,81,09:15 PM,09:31 AM,07:04 AM,05:58 PM,17,22,25,22,40,6,73,0.0,1019,22,10,84,28,OGG
2018-01-04 06:00:00,24,21,0.0,8.7,6,81,09:15 PM,09:31 AM,07:04 AM,05:58 PM,17,25,25,22,32,0,70,0.0,1020,22,10,83,23,OGG
2018-01-04 09:00:00,24,21,0.0,8.7,6,81,09:15 PM,09:31 AM,07:04 AM,05:58 PM,17,25,25,24,35,0,66,0.0,1021,24,10,81,28,OGG
2018-01-04 12:00:00,24,21,0.0,8.7,6,81,09:15 PM,09:31 AM,07:04 AM,05:58 PM,17,25,25,24,35,0,65,0.0,1019,24,10,78,28,OGG
2018-01-04 15:00:00,24,21,0.0,8.7,6,81,09:15 PM,09:31 AM,07:04 AM,05:58 PM,17,25,25,23,39,0,69,0.0,1020,23,10,77,30,OGG
2018-01-04 18:00:00,24,21,0.0,8.7,6,81,09:15 PM,09:31 AM,07:04 AM,05:58 PM,17,22,25,22,35,0,73,0.0,1021,22,10,81,25,OGG
2018-01-04 21:00:00,24,21,0.0,8.7,6,81,09:15 PM,09:31 AM,07:04 AM,05:58 PM,16,21,24,21,42,0,73,0.0,1022,21,10,76,30,OGG
2018-01-05 00:00:00,23,21,0.0,8.7,6,74,10:15 PM,10:18 AM,07:04 AM,05:59 PM,16,22,24,22,29,0,70,0.0,1021,22,10,83,21,OGG
2018-01-05 03:00:00,23,21,0.0,8.7,6,74,10:15 PM,10:18 AM,07:04 AM,05:59 PM,16,21,24,21,39,0,72,0.0,1021,21,10,84,28,OGG
