date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-7,-14,0.0,9.9,2,97,06:26 PM,07:58 AM,08:39 AM,06:29 PM,-22,-20,-11,-20,28,54,40,0.0,1046,-11,10,22,21,OKC
2018-01-01 03:00:00,-7,-14,0.0,9.9,2,97,06:26 PM,07:58 AM,08:39 AM,06:29 PM,-22,-21,-12,-21,27,17,43,0.0,1047,-12,10,16,19,OKC
2018-01-01 06:00:00,-7,-14,0.0,9.9,2,97,06:26 PM,07:58 AM,08:39 AM,06:29 PM,-22,-23,-14,-23,25,3,52,0.0,1049,-14,10,13,18,OKC
2018-01-01 09:00:00,-7,-14,0.0,9.9,2,97,06:26 PM,07:58 AM,08:39 AM,06:29 PM,-22,-22,-14,-22,23,3,49,0.0,1048,-14,10,21,17,OKC
2018-01-01 12:00:00,-7,-14,0.0,9.9,2,97,06:26 PM,07:58 AM,08:39 AM,06:29 PM,-22,-16,-10,-16,14,4,36,0.0,1048,-10,10,42,12,OKC
2018-01-01 15:00:00,-7,-14,0.0,9.9,2,97,06:26 PM,07:58 AM,08:39 AM,06:29 PM,-22,-12,-7,-12,15,4,28,0.0,1044,-7,10,51,13,OKC
2018-01-01 18:00:00,-7,-14,0.0,9.9,2,97,06:26 PM,07:58 AM,08:39 AM,06:29 PM,-21,-13,-8,-13,14,9,36,0.0,1043,-9,10,68,10,OKC
2018-01-01 21:00:00,-7,-14,0.0,9.9,2,97,06:26 PM,07:58 AM,08:39 AM,06:29 PM,-21,-15,-9,-15,16,11,38,0.0,1042,-10,10,80,11,OKC
2018-01-02 00:00:00,-5,-11,0.0,8.3,2,100,07:32 PM,09:01 AM,08:39 AM,06:29 PM,-22,-16,-10,-16,16,34,39,0.0,1042,-11,10,87,11,OKC
2018-01-02 03:00:00,-5,-11,0.0,8.3,2,100,07:32 PM,09:01 AM,08:39 AM,06:29 PM,-22,-15,-10,-15,11,47,37,0.0,1042,-10,10,85,9,OKC
2018-01-02 06:00:00,-5,-11,0.0,8.3,2,100,07:32 PM,09:01 AM,08:39 AM,06:29 PM,-21,-13,-10,-13,7,87,40,0.0,1042,-10,10,82,5,OKC
2018-01-02 09:00:00,-5,-11,0.0,8.3,2,100,07:32 PM,09:01 AM,08:39 AM,06:29 PM,-21,-12,-9,-12,7,85,37,0.0,1041,-9,10,67,5,OKC
2018-01-02 12:00:00,-5,-11,0.0,8.3,2,100,07:32 PM,09:01 AM,08:39 AM,06:29 PM,-19,-9,-7,-9,6,98,37,0.0,1041,-7,10,328,5,OKC
2018-01-02 15:00:00,-5,-11,0.0,8.3,2,100,07:32 PM,09:01 AM,08:39 AM,06:29 PM,-19,-8,-5,-8,9,32,33,0.0,1037,-5,10,333,8,OKC
2018-01-02 18:00:00,-5,-11,0.0,8.3,2,100,07:32 PM,09:01 AM,08:39 AM,06:29 PM,-19,-10,-7,-10,8,22,39,0.0,1036,-8,10,288,5,OKC
2018-01-02 21:00:00,-5,-11,0.0,8.3,2,100,07:32 PM,09:01 AM,08:39 AM,06:29 PM,-19,-12,-7,-12,13,7,40,0.0,1034,-8,10,257,9,OKC
2018-01-03 00:00:00,4,-8,0.0,9.9,2,89,08:41 PM,09:58 AM,08:40 AM,06:30 PM,-20,-13,-8,-13,20,2,37,0.0,1033,-8,10,238,13,OKC
2018-01-03 03:00:00,4,-8,0.0,9.9,2,89,08:41 PM,09:58 AM,08:40 AM,06:30 PM,-19,-14,-7,-14,32,2,38,0.0,1031,-7,10,248,18,OKC
2018-01-03 06:00:00,4,-8,0.0,9.9,2,89,08:41 PM,09:58 AM,08:40 AM,06:30 PM,-18,-13,-7,-13,31,6,40,0.0,1031,-7,10,282,15,OKC
2018-01-03 09:00:00,4,-8,0.0,9.9,2,89,08:41 PM,09:58 AM,08:40 AM,06:30 PM,-13,-10,-4,-10,35,2,46,0.0,1031,-3,10,339,22,OKC
2018-01-03 12:00:00,4,-8,0.0,9.9,2,89,08:41 PM,09:58 AM,08:40 AM,06:30 PM,-8,-2,3,-2,23,0,43,0.0,1031,3,10,344,20,OKC
2018-01-03 15:00:00,4,-8,0.0,9.9,2,89,08:41 PM,09:58 AM,08:40 AM,06:30 PM,-8,0,4,0,20,0,40,0.0,1028,4,10,343,18,OKC
2018-01-03 18:00:00,4,-8,0.0,9.9,2,89,08:41 PM,09:58 AM,08:40 AM,06:30 PM,-7,-2,0,-2,17,9,59,0.0,1029,-0,10,345,8,OKC
2018-01-03 21:00:00,4,-8,0.0,9.9,2,89,08:41 PM,09:58 AM,08:40 AM,06:30 PM,-7,-3,-0,-3,13,3,62,0.0,1029,-2,10,36,7,OKC
2018-01-04 00:00:00,5,-3,0.0,9.9,2,81,09:50 PM,10:48 AM,08:40 AM,06:31 PM,-8,-2,-1,-2,8,7,60,0.0,1029,-2,10,79,4,OKC
2018-01-04 03:00:00,5,-3,0.0,9.9,2,81,09:50 PM,10:48 AM,08:40 AM,06:31 PM,-8,-4,-1,-4,11,9,60,0.0,1029,-3,10,62,6,OKC
