date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,24,15,0.0,8.7,5,97,05:53 PM,07:18 AM,07:56 AM,05:52 PM,7,21,21,21,2,0,41,0.0,1021,16,10,262,1,ONT
2018-01-01 03:00:00,24,15,0.0,8.7,5,97,05:53 PM,07:18 AM,07:56 AM,05:52 PM,7,20,20,20,2,0,43,0.0,1021,15,10,114,1,ONT
2018-01-01 06:00:00,24,15,0.0,8.7,5,97,05:53 PM,07:18 AM,07:56 AM,05:52 PM,-0,17,17,17,5,4,31,0.0,1021,15,10,23,3,ONT
2018-01-01 09:00:00,24,15,0.0,8.7,5,97,05:53 PM,07:18 AM,07:56 AM,05:52 PM,-1,21,22,21,1,7,22,0.0,1022,20,10,80,1,ONT
2018-01-01 12:00:00,24,15,0.0,8.7,5,97,05:53 PM,07:18 AM,07:56 AM,05:52 PM,-4,24,24,25,2,19,14,0.0,1020,24,10,272,2,ONT
2018-01-01 15:00:00,24,15,0.0,8.7,5,97,05:53 PM,07:18 AM,07:56 AM,05:52 PM,1,23,23,23,5,10,23,0.0,1020,22,10,273,4,ONT
2018-01-01 18:00:00,24,15,0.0,8.7,5,97,05:53 PM,07:18 AM,07:56 AM,05:52 PM,3,20,20,20,7,11,33,0.0,1021,19,10,269,5,ONT
2018-01-01 21:00:00,24,15,0.0,8.7,5,97,05:53 PM,07:18 AM,07:56 AM,05:52 PM,2,19,19,19,8,5,32,0.0,1021,18,10,58,4,ONT
2018-01-02 00:00:00,27,17,0.0,8.7,6,100,06:59 PM,08:21 AM,07:56 AM,05:53 PM,-1,19,19,19,6,8,25,0.0,1021,18,10,307,4,ONT
2018-01-02 03:00:00,27,17,0.0,8.7,6,100,06:59 PM,08:21 AM,07:56 AM,05:53 PM,-1,18,18,18,7,12,26,0.0,1022,17,10,334,4,ONT
2018-01-02 06:00:00,27,17,0.0,8.7,6,100,06:59 PM,08:21 AM,07:56 AM,05:53 PM,-5,18,18,18,9,22,21,0.0,1022,17,10,358,4,ONT
2018-01-02 09:00:00,27,17,0.0,8.7,6,100,06:59 PM,08:21 AM,07:56 AM,05:53 PM,-5,23,22,23,7,21,15,0.0,1022,22,10,32,6,ONT
2018-01-02 12:00:00,27,17,0.0,8.7,6,100,06:59 PM,08:21 AM,07:56 AM,05:53 PM,-6,26,26,28,6,11,11,0.0,1019,27,10,5,5,ONT
2018-01-02 15:00:00,27,17,0.0,8.7,6,100,06:59 PM,08:21 AM,07:56 AM,05:53 PM,-1,24,24,26,4,6,17,0.0,1019,24,10,4,4,ONT
2018-01-02 18:00:00,27,17,0.0,8.7,6,100,06:59 PM,08:21 AM,07:56 AM,05:53 PM,-4,22,22,22,15,6,16,0.0,1020,21,10,17,8,ONT
2018-01-02 21:00:00,27,17,0.0,8.7,6,100,06:59 PM,08:21 AM,07:56 AM,05:53 PM,-8,21,21,21,21,9,13,0.0,1020,20,10,35,10,ONT
2018-01-03 00:00:00,24,18,0.0,8.7,6,89,08:08 PM,09:19 AM,07:57 AM,05:54 PM,-6,20,20,20,18,8,16,0.0,1019,19,10,27,9,ONT
2018-01-03 03:00:00,24,18,0.0,8.7,6,89,08:08 PM,09:19 AM,07:57 AM,05:54 PM,-4,19,19,19,20,10,20,0.0,1019,18,10,45,9,ONT
2018-01-03 06:00:00,24,18,0.0,8.7,6,89,08:08 PM,09:19 AM,07:57 AM,05:54 PM,-5,18,18,18,18,25,21,0.0,1019,18,10,24,9,ONT
2018-01-03 09:00:00,24,18,0.0,8.7,6,89,08:08 PM,09:19 AM,07:57 AM,05:54 PM,-4,22,22,22,7,50,17,0.0,1020,22,10,55,5,ONT
2018-01-03 12:00:00,24,18,0.0,8.7,6,89,08:08 PM,09:19 AM,07:57 AM,05:54 PM,-6,23,23,24,5,50,13,0.0,1018,24,10,212,5,ONT
2018-01-03 15:00:00,24,18,0.0,8.7,6,89,08:08 PM,09:19 AM,07:57 AM,05:54 PM,-8,23,23,23,1,29,12,0.0,1018,22,10,135,1,ONT
2018-01-03 18:00:00,24,18,0.0,8.7,6,89,08:08 PM,09:19 AM,07:57 AM,05:54 PM,-5,21,21,21,1,11,16,0.0,1018,20,10,328,1,ONT
2018-01-03 21:00:00,24,18,0.0,8.7,6,89,08:08 PM,09:19 AM,07:57 AM,05:54 PM,-6,20,20,20,1,7,17,0.0,1019,18,10,226,1,ONT
2018-01-04 00:00:00,22,16,0.0,8.7,5,81,09:16 PM,10:08 AM,07:57 AM,05:55 PM,-2,19,19,19,1,10,24,0.0,1020,17,10,218,1,ONT
2018-01-04 03:00:00,22,16,0.0,8.7,5,81,09:16 PM,10:08 AM,07:57 AM,05:55 PM,-3,18,18,18,4,8,23,0.0,1019,16,10,276,3,ONT
2018-01-04 06:00:00,22,16,0.0,8.7,5,81,09:16 PM,10:08 AM,07:57 AM,05:55 PM,-2,17,17,17,1,8,27,0.0,1020,16,10,259,0,ONT
2018-01-04 09:00:00,22,16,0.0,8.7,5,81,09:16 PM,10:08 AM,07:57 AM,05:55 PM,-3,21,21,21,3,15,20,0.0,1021,20,10,169,3,ONT
2018-01-04 12:00:00,22,16,0.0,8.7,5,81,09:16 PM,10:08 AM,07:57 AM,05:55 PM,5,24,24,23,5,13,31,0.0,1019,22,10,225,5,ONT
2018-01-04 15:00:00,22,16,0.0,8.7,5,81,09:16 PM,10:08 AM,07:57 AM,05:55 PM,8,22,24,22,7,29,41,0.0,1019,22,10,240,6,ONT
2018-01-04 18:00:00,22,16,0.0,8.7,5,81,09:16 PM,10:08 AM,07:57 AM,05:55 PM,9,20,20,20,2,11,48,0.0,1020,19,10,310,1,ONT
2018-01-04 21:00:00,22,16,0.0,8.7,5,81,09:16 PM,10:08 AM,07:57 AM,05:55 PM,10,20,20,20,7,4,55,0.0,1021,18,10,270,5,ONT
2018-01-05 00:00:00,22,16,0.0,7.0,5,74,10:22 PM,10:52 AM,07:57 AM,05:56 PM,10,18,18,18,2,15,59,0.0,1022,17,10,296,2,ONT
2018-01-05 03:00:00,22,16,0.0,7.0,5,74,10:22 PM,10:52 AM,07:57 AM,05:56 PM,10,17,17,17,7,17,60,0.0,1021,16,10,71,5,ONT
2018-01-05 06:00:00,22,16,0.0,7.0,5,74,10:22 PM,10:52 AM,07:57 AM,05:56 PM,9,18,18,18,3,9,57,0.0,1021,16,10,276,2,ONT
2018-01-05 09:00:00,22,16,0.0,7.0,5,74,10:22 PM,10:52 AM,07:57 AM,05:56 PM,10,21,21,21,2,6,51,0.0,1023,19,10,196,1,ONT
2018-01-05 12:00:00,22,16,0.0,7.0,5,74,10:22 PM,10:52 AM,07:57 AM,05:56 PM,9,23,24,23,7,10,43,0.0,1021,22,10,230,6,ONT
2018-01-05 15:00:00,22,16,0.0,7.0,5,74,10:22 PM,10:52 AM,07:57 AM,05:56 PM,10,21,21,21,5,100,49,0.0,1021,20,10,240,4,ONT
