date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-4,-7,0.0,9.8,2,97,05:54 PM,07:34 AM,08:19 AM,06:00 PM,-15,-14,-6,-14,32,4,51,0.0,1030,-6,10,355,24,PHF
2018-01-01 03:00:00,-4,-7,0.0,9.8,2,97,05:54 PM,07:34 AM,08:19 AM,06:00 PM,-15,-15,-7,-15,35,3,52,0.0,1031,-7,10,347,27,PHF
2018-01-01 06:00:00,-4,-7,0.0,9.8,2,97,05:54 PM,07:34 AM,08:19 AM,06:00 PM,-14,-15,-7,-15,32,0,55,0.0,1032,-7,10,349,24,PHF
2018-01-01 09:00:00,-4,-7,0.0,9.8,2,97,05:54 PM,07:34 AM,08:19 AM,06:00 PM,-15,-14,-6,-14,30,0,47,0.0,1033,-6,10,344,26,PHF
2018-01-01 12:00:00,-4,-7,0.0,9.8,2,97,05:54 PM,07:34 AM,08:19 AM,06:00 PM,-17,-10,-4,-10,24,13,36,0.0,1032,-4,10,352,21,PHF
2018-01-01 15:00:00,-4,-7,0.0,9.8,2,97,05:54 PM,07:34 AM,08:19 AM,06:00 PM,-17,-10,-4,-10,26,0,35,0.0,1032,-4,10,329,21,PHF
2018-01-01 18:00:00,-4,-7,0.0,9.8,2,97,05:54 PM,07:34 AM,08:19 AM,06:00 PM,-18,-10,-5,-10,19,0,37,0.0,1033,-5,10,351,13,PHF
2018-01-01 21:00:00,-4,-7,0.0,9.8,2,97,05:54 PM,07:34 AM,08:19 AM,06:00 PM,-17,-11,-5,-11,25,0,38,0.0,1034,-5,10,325,18,PHF
2018-01-02 00:00:00,-3,-9,0.0,9.8,2,100,07:00 PM,08:37 AM,08:20 AM,06:01 PM,-16,-14,-7,-14,31,0,46,0.0,1034,-7,10,353,24,PHF
2018-01-02 03:00:00,-3,-9,0.0,9.8,2,100,07:00 PM,08:37 AM,08:20 AM,06:01 PM,-16,-16,-8,-16,33,0,51,0.0,1035,-8,10,343,25,PHF
2018-01-02 06:00:00,-3,-9,0.0,9.8,2,100,07:00 PM,08:37 AM,08:20 AM,06:01 PM,-17,-16,-9,-16,26,0,52,0.0,1036,-9,10,350,19,PHF
2018-01-02 09:00:00,-3,-9,0.0,9.8,2,100,07:00 PM,08:37 AM,08:20 AM,06:01 PM,-17,-14,-7,-14,22,0,45,0.0,1037,-7,10,343,19,PHF
2018-01-02 12:00:00,-3,-9,0.0,9.8,2,100,07:00 PM,08:37 AM,08:20 AM,06:01 PM,-18,-9,-4,-9,15,0,32,0.0,1034,-4,10,322,13,PHF
2018-01-02 15:00:00,-3,-9,0.0,9.8,2,100,07:00 PM,08:37 AM,08:20 AM,06:01 PM,-19,-8,-3,-8,16,0,28,0.0,1032,-3,10,306,12,PHF
2018-01-02 18:00:00,-3,-9,0.0,9.8,2,100,07:00 PM,08:37 AM,08:20 AM,06:01 PM,-18,-7,-5,-7,10,0,35,0.0,1032,-5,10,298,6,PHF
2018-01-02 21:00:00,-3,-9,0.0,9.8,2,100,07:00 PM,08:37 AM,08:20 AM,06:01 PM,-17,-7,-4,-7,9,0,36,0.0,1032,-5,10,281,5,PHF
2018-01-03 00:00:00,1,-5,0.0,6.6,2,89,08:09 PM,09:35 AM,08:20 AM,06:01 PM,-17,-7,-5,-7,9,0,38,0.0,1030,-5,10,267,5,PHF
2018-01-03 03:00:00,1,-5,0.0,6.6,2,89,08:09 PM,09:35 AM,08:20 AM,06:01 PM,-16,-7,-5,-7,9,7,40,0.0,1029,-5,10,208,5,PHF
2018-01-03 06:00:00,1,-5,0.0,6.6,2,89,08:09 PM,09:35 AM,08:20 AM,06:01 PM,-15,-7,-5,-7,8,16,43,0.0,1028,-5,10,284,5,PHF
2018-01-03 09:00:00,1,-5,0.0,6.6,2,89,08:09 PM,09:35 AM,08:20 AM,06:01 PM,-13,-4,-2,-4,8,67,41,0.0,1026,-2,10,40,6,PHF
2018-01-03 12:00:00,1,-5,0.0,6.6,2,89,08:09 PM,09:35 AM,08:20 AM,06:01 PM,-7,-3,1,-3,16,83,54,0.0,1022,1,10,54,13,PHF
2018-01-03 15:00:00,1,-5,0.0,6.6,2,89,08:09 PM,09:35 AM,08:20 AM,06:01 PM,-6,-4,1,-4,25,54,60,0.0,1018,1,10,27,19,PHF
2018-01-03 18:00:00,1,-5,0.0,6.6,2,89,08:09 PM,09:35 AM,08:20 AM,06:01 PM,-4,-5,1,-5,31,100,72,0.0,1016,1,10,24,22,PHF
2018-01-03 21:00:00,1,-5,0.0,6.6,2,89,08:09 PM,09:35 AM,08:20 AM,06:01 PM,-1,-7,-0,-7,39,100,93,2.6,1011,-0,0,6,28,PHF
2018-01-04 00:00:00,-1,-6,0.1,8.3,1,81,09:19 PM,10:24 AM,08:20 AM,06:02 PM,-1,-8,-1,-8,48,100,97,0.0,1007,-1,10,5,35,PHF
2018-01-04 03:00:00,-1,-6,0.1,8.3,1,81,09:19 PM,10:24 AM,08:20 AM,06:02 PM,-3,-11,-2,-11,64,100,94,6.0,1002,-2,0,339,45,PHF
2018-01-04 06:00:00,-1,-6,0.1,8.3,1,81,09:19 PM,10:24 AM,08:20 AM,06:02 PM,-5,-12,-4,-12,52,100,90,0.0,1002,-3,10,337,38,PHF
2018-01-04 09:00:00,-1,-6,0.1,8.3,1,81,09:19 PM,10:24 AM,08:20 AM,06:02 PM,-6,-13,-4,-13,55,100,86,1.9,1005,-4,0,312,40,PHF
2018-01-04 12:00:00,-1,-6,0.1,8.3,1,81,09:19 PM,10:24 AM,08:20 AM,06:02 PM,-7,-11,-3,-11,41,100,78,0.0,1005,-3,10,312,32,PHF
2018-01-04 15:00:00,-1,-6,0.1,8.3,1,81,09:19 PM,10:24 AM,08:20 AM,06:02 PM,-8,-9,-2,-9,37,31,64,0.1,1007,-2,7,299,26,PHF
2018-01-04 18:00:00,-1,-6,0.1,8.3,1,81,09:19 PM,10:24 AM,08:20 AM,06:02 PM,-11,-11,-4,-11,34,4,60,0.0,1010,-4,10,323,21,PHF
2018-01-04 21:00:00,-1,-6,0.1,8.3,1,81,09:19 PM,10:24 AM,08:20 AM,06:02 PM,-12,-15,-6,-15,47,0,62,0.0,1014,-6,10,305,31,PHF
2018-01-05 00:00:00,-4,-10,0.0,9.8,2,74,10:27 PM,11:07 AM,08:20 AM,06:03 PM,-13,-15,-8,-15,33,0,65,0.0,1016,-8,10,315,21,PHF
2018-01-05 03:00:00,-4,-10,0.0,9.8,2,74,10:27 PM,11:07 AM,08:20 AM,06:03 PM,-14,-17,-9,-17,38,0,65,0.0,1018,-9,10,293,25,PHF
2018-01-05 06:00:00,-4,-10,0.0,9.8,2,74,10:27 PM,11:07 AM,08:20 AM,06:03 PM,-15,-17,-10,-17,31,0,67,0.0,1020,-10,10,276,20,PHF
2018-01-05 09:00:00,-4,-10,0.0,9.8,2,74,10:27 PM,11:07 AM,08:20 AM,06:03 PM,-13,-15,-6,-15,38,0,59,0.0,1022,-6,10,290,32,PHF
2018-01-05 12:00:00,-4,-10,0.0,9.8,2,74,10:27 PM,11:07 AM,08:20 AM,06:03 PM,-13,-11,-4,-11,29,0,50,0.0,1021,-4,10,296,25,PHF
2018-01-05 15:00:00,-4,-10,0.0,9.8,2,74,10:27 PM,11:07 AM,08:20 AM,06:03 PM,-13,-11,-4,-11,34,7,48,0.0,1022,-4,10,289,25,PHF
2018-01-05 18:00:00,-4,-10,0.0,9.8,2,74,10:27 PM,11:07 AM,08:20 AM,06:03 PM,-14,-13,-7,-13,28,2,54,0.0,1025,-6,10,309,16,PHF
2018-01-05 21:00:00,-4,-10,0.0,9.8,2,74,10:27 PM,11:07 AM,08:20 AM,06:03 PM,-15,-15,-8,-15,32,0,57,0.0,1027,-8,10,306,19,PHF
2018-01-06 00:00:00,-6,-11,0.0,9.8,2,67,11:33 PM,11:45 AM,08:20 AM,06:04 PM,-15,-15,-9,-15,22,0,62,0.0,1028,-9,10,303,13,PHF
2018-01-06 03:00:00,-6,-11,0.0,9.8,2,67,11:33 PM,11:45 AM,08:20 AM,06:04 PM,-15,-16,-10,-16,26,0,67,0.0,1029,-10,10,287,15,PHF
2018-01-06 06:00:00,-6,-11,0.0,9.8,2,67,11:33 PM,11:45 AM,08:20 AM,06:04 PM,-15,-17,-11,-17,21,0,72,0.0,1030,-11,10,293,12,PHF
2018-01-06 09:00:00,-6,-11,0.0,9.8,2,67,11:33 PM,11:45 AM,08:20 AM,06:04 PM,-15,-15,-8,-15,24,0,57,0.0,1031,-8,10,313,19,PHF
2018-01-06 12:00:00,-6,-11,0.0,9.8,2,67,11:33 PM,11:45 AM,08:20 AM,06:04 PM,-15,-12,-6,-12,19,0,49,0.0,1031,-6,10,313,17,PHF
2018-01-06 15:00:00,-6,-11,0.0,9.8,2,67,11:33 PM,11:45 AM,08:20 AM,06:04 PM,-15,-13,-6,-13,26,0,48,0.0,1032,-6,10,308,19,PHF
2018-01-06 18:00:00,-6,-11,0.0,9.8,2,67,11:33 PM,11:45 AM,08:20 AM,06:04 PM,-16,-14,-8,-14,28,0,53,0.0,1034,-8,10,331,17,PHF
