date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-20,-27,0.0,8.7,2,97,06:13 PM,08:33 AM,09:17 AM,06:12 PM,-28,-33,-26,-33,17,0,87,0.0,1052,-26,10,284,8,PIR
2018-01-01 03:00:00,-20,-27,0.0,8.7,2,97,06:13 PM,08:33 AM,09:17 AM,06:12 PM,-28,-32,-27,-32,11,0,87,0.0,1051,-27,10,285,5,PIR
2018-01-01 06:00:00,-20,-27,0.0,8.7,2,97,06:13 PM,08:33 AM,09:17 AM,06:12 PM,-29,-27,-27,-27,3,0,85,0.0,1050,-27,10,216,1,PIR
2018-01-01 09:00:00,-20,-27,0.0,8.7,2,97,06:13 PM,08:33 AM,09:17 AM,06:12 PM,-29,-32,-27,-32,11,0,85,0.0,1049,-27,10,171,5,PIR
2018-01-01 12:00:00,-20,-27,0.0,8.7,2,97,06:13 PM,08:33 AM,09:17 AM,06:12 PM,-24,-27,-21,-27,9,0,76,0.0,1047,-21,10,144,7,PIR
2018-01-01 15:00:00,-20,-27,0.0,8.7,2,97,06:13 PM,08:33 AM,09:17 AM,06:12 PM,-22,-27,-20,-27,14,0,81,0.0,1044,-20,10,118,10,PIR
2018-01-01 18:00:00,-20,-27,0.0,8.7,2,97,06:13 PM,08:33 AM,09:17 AM,06:12 PM,-24,-31,-23,-31,21,39,92,0.0,1044,-23,10,132,10,PIR
2018-01-01 21:00:00,-20,-27,0.0,8.7,2,97,06:13 PM,08:33 AM,09:17 AM,06:12 PM,-23,-29,-23,-29,16,86,97,0.0,1043,-23,0,130,8,PIR
2018-01-02 00:00:00,-2,-22,0.0,8.7,1,100,07:20 PM,09:37 AM,09:18 AM,06:13 PM,-22,-27,-22,-27,13,73,98,0.0,1042,-22,0,179,6,PIR
2018-01-02 03:00:00,-2,-22,0.0,8.7,1,100,07:20 PM,09:37 AM,09:18 AM,06:13 PM,-21,-28,-21,-28,17,64,97,0.0,1040,-21,0,250,8,PIR
2018-01-02 06:00:00,-2,-22,0.0,8.7,1,100,07:20 PM,09:37 AM,09:18 AM,06:13 PM,-21,-29,-20,-29,30,13,94,0.0,1036,-20,10,247,14,PIR
2018-01-02 09:00:00,-2,-22,0.0,8.7,1,100,07:20 PM,09:37 AM,09:18 AM,06:13 PM,-19,-26,-18,-26,31,33,87,0.0,1033,-18,10,241,15,PIR
2018-01-02 12:00:00,-2,-22,0.0,8.7,1,100,07:20 PM,09:37 AM,09:18 AM,06:13 PM,-12,-15,-7,-15,41,40,70,0.0,1026,-7,10,255,26,PIR
2018-01-02 15:00:00,-2,-22,0.0,8.7,1,100,07:20 PM,09:37 AM,09:18 AM,06:13 PM,-8,-9,-2,-9,43,22,66,0.0,1023,-2,10,290,28,PIR
2018-01-02 18:00:00,-2,-22,0.0,8.7,1,100,07:20 PM,09:37 AM,09:18 AM,06:13 PM,-8,-12,-5,-12,52,20,75,0.0,1024,-5,10,307,25,PIR
2018-01-02 21:00:00,-2,-22,0.0,8.7,1,100,07:20 PM,09:37 AM,09:18 AM,06:13 PM,-8,-12,-6,-12,36,91,85,0.0,1026,-6,10,317,20,PIR
2018-01-03 00:00:00,-7,-11,0.0,3.4,2,89,08:32 PM,10:31 AM,09:17 AM,06:14 PM,-9,-14,-7,-14,31,39,87,0.0,1029,-7,10,336,19,PIR
