date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-11,-16,0.0,6.5,2,97,06:01 PM,07:58 AM,08:44 AM,06:05 PM,-16,-20,-15,-20,13,16,90,0.0,1034,-15,10,285,8,PIT
2018-01-01 03:00:00,-11,-16,0.0,6.5,2,97,06:01 PM,07:58 AM,08:44 AM,06:05 PM,-16,-20,-15,-20,13,56,92,0.0,1035,-15,10,284,8,PIT
2018-01-01 06:00:00,-11,-16,0.0,6.5,2,97,06:01 PM,07:58 AM,08:44 AM,06:05 PM,-17,-21,-16,-21,12,79,94,0.0,1035,-16,10,271,7,PIT
2018-01-01 09:00:00,-11,-16,0.0,6.5,2,97,06:01 PM,07:58 AM,08:44 AM,06:05 PM,-16,-20,-13,-20,14,51,83,0.0,1035,-13,10,264,11,PIT
2018-01-01 12:00:00,-11,-16,0.0,6.5,2,97,06:01 PM,07:58 AM,08:44 AM,06:05 PM,-15,-18,-11,-18,18,94,71,0.0,1034,-11,10,274,15,PIT
2018-01-01 15:00:00,-11,-16,0.0,6.5,2,97,06:01 PM,07:58 AM,08:44 AM,06:05 PM,-16,-19,-12,-19,22,96,71,0.0,1035,-12,10,286,17,PIT
2018-01-01 18:00:00,-11,-16,0.0,6.5,2,97,06:01 PM,07:58 AM,08:44 AM,06:05 PM,-17,-21,-14,-21,20,80,79,0.0,1037,-14,10,272,13,PIT
2018-01-01 21:00:00,-11,-16,0.0,6.5,2,97,06:01 PM,07:58 AM,08:44 AM,06:05 PM,-17,-23,-15,-23,21,64,87,0.0,1038,-15,10,270,14,PIT
2018-01-02 00:00:00,-10,-16,0.0,8.2,1,100,07:07 PM,09:02 AM,08:44 AM,06:06 PM,-17,-22,-16,-22,17,88,90,0.0,1038,-15,10,257,11,PIT
2018-01-02 03:00:00,-10,-16,0.0,8.2,1,100,07:07 PM,09:02 AM,08:44 AM,06:06 PM,-17,-24,-16,-24,17,82,92,0.0,1039,-16,10,253,12,PIT
2018-01-02 06:00:00,-10,-16,0.0,8.2,1,100,07:07 PM,09:02 AM,08:44 AM,06:06 PM,-17,-21,-16,-21,12,100,93,0.0,1039,-16,10,232,8,PIT
2018-01-02 09:00:00,-10,-16,0.0,8.2,1,100,07:07 PM,09:02 AM,08:44 AM,06:06 PM,-17,-22,-15,-22,20,100,82,0.0,1038,-15,10,227,15,PIT
2018-01-02 12:00:00,-10,-16,0.0,8.2,1,100,07:07 PM,09:02 AM,08:44 AM,06:06 PM,-15,-17,-11,-17,15,86,70,0.0,1036,-11,10,229,13,PIT
2018-01-02 15:00:00,-10,-16,0.0,8.2,1,100,07:07 PM,09:02 AM,08:44 AM,06:06 PM,-15,-17,-10,-17,19,19,72,0.0,1033,-10,10,235,15,PIT
2018-01-02 18:00:00,-10,-16,0.0,8.2,1,100,07:07 PM,09:02 AM,08:44 AM,06:06 PM,-15,-18,-13,-18,15,9,82,0.0,1033,-13,10,217,9,PIT
2018-01-02 21:00:00,-10,-16,0.0,8.2,1,100,07:07 PM,09:02 AM,08:44 AM,06:06 PM,-16,-20,-13,-20,20,16,81,0.0,1031,-13,10,225,12,PIT
2018-01-03 00:00:00,-6,-16,0.0,9.6,2,89,08:17 PM,09:58 AM,08:44 AM,06:07 PM,-17,-20,-14,-20,15,7,82,0.0,1030,-14,10,212,9,PIT
2018-01-03 03:00:00,-6,-16,0.0,9.6,2,89,08:17 PM,09:58 AM,08:44 AM,06:07 PM,-17,-20,-15,-20,15,1,82,0.0,1028,-15,10,199,8,PIT
2018-01-03 06:00:00,-6,-16,0.0,9.6,2,89,08:17 PM,09:58 AM,08:44 AM,06:07 PM,-17,-18,-14,-18,9,0,81,0.0,1027,-16,10,178,5,PIT
2018-01-03 09:00:00,-6,-16,0.0,9.6,2,89,08:17 PM,09:58 AM,08:44 AM,06:07 PM,-17,-17,-11,-17,13,0,64,0.0,1025,-11,10,202,10,PIT
2018-01-03 12:00:00,-6,-16,0.0,9.6,2,89,08:17 PM,09:58 AM,08:44 AM,06:07 PM,-14,-11,-6,-11,11,13,52,0.0,1021,-6,10,190,9,PIT
2018-01-03 15:00:00,-6,-16,0.0,9.6,2,89,08:17 PM,09:58 AM,08:44 AM,06:07 PM,-12,-10,-6,-10,15,17,59,0.0,1019,-6,10,186,11,PIT
2018-01-03 18:00:00,-6,-16,0.0,9.6,2,89,08:17 PM,09:58 AM,08:44 AM,06:07 PM,-13,-12,-8,-12,12,44,71,0.0,1019,-9,10,254,6,PIT
2018-01-03 21:00:00,-6,-16,0.0,9.6,2,89,08:17 PM,09:58 AM,08:44 AM,06:07 PM,-12,-12,-9,-12,9,80,79,0.0,1019,-9,10,271,5,PIT
2018-01-04 00:00:00,-9,-14,0.1,4.8,1,81,09:29 PM,10:46 AM,08:44 AM,06:08 PM,-12,-11,-11,-11,3,100,93,0.0,1018,-11,10,292,2,PIT
2018-01-04 03:00:00,-9,-14,0.1,4.8,1,81,09:29 PM,10:46 AM,08:44 AM,06:08 PM,-12,-17,-12,-17,15,90,95,0.0,1017,-12,2,294,9,PIT
2018-01-04 06:00:00,-9,-14,0.1,4.8,1,81,09:29 PM,10:46 AM,08:44 AM,06:08 PM,-11,-15,-10,-15,12,100,92,0.0,1016,-10,10,295,8,PIT
2018-01-04 09:00:00,-9,-14,0.1,4.8,1,81,09:29 PM,10:46 AM,08:44 AM,06:08 PM,-14,-18,-10,-18,29,89,72,0.0,1016,-10,10,313,22,PIT
2018-01-04 12:00:00,-9,-14,0.1,4.8,1,81,09:29 PM,10:46 AM,08:44 AM,06:08 PM,-15,-16,-9,-16,20,100,63,0.0,1016,-9,10,307,17,PIT
2018-01-04 15:00:00,-9,-14,0.1,4.8,1,81,09:29 PM,10:46 AM,08:44 AM,06:08 PM,-16,-19,-11,-19,26,100,69,0.1,1016,-11,5,303,22,PIT
2018-01-04 18:00:00,-9,-14,0.1,4.8,1,81,09:29 PM,10:46 AM,08:44 AM,06:08 PM,-17,-21,-14,-21,22,100,75,0.0,1019,-14,10,287,16,PIT
2018-01-04 21:00:00,-9,-14,0.1,4.8,1,81,09:29 PM,10:46 AM,08:44 AM,06:08 PM,-18,-23,-15,-23,26,100,77,0.0,1019,-14,10,292,19,PIT
2018-01-05 00:00:00,-13,-18,0.0,4.8,1,74,10:39 PM,11:27 AM,08:44 AM,06:09 PM,-18,-24,-16,-24,23,99,81,0.0,1021,-16,10,277,17,PIT
2018-01-05 03:00:00,-13,-18,0.0,4.8,1,74,10:39 PM,11:27 AM,08:44 AM,06:09 PM,-20,-26,-17,-26,24,98,81,0.0,1021,-17,10,284,18,PIT
2018-01-05 06:00:00,-13,-18,0.0,4.8,1,74,10:39 PM,11:27 AM,08:44 AM,06:09 PM,-21,-27,-18,-27,21,96,82,0.0,1024,-18,10,275,15,PIT
