date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-9,-13,0.2,3.3,1,97,06:04 PM,08:32 AM,09:20 AM,06:06 PM,-16,-21,-13,-21,26,64,76,0.0,1030,-13,10,280,17,PLN
2018-01-01 03:00:00,-9,-13,0.2,3.3,1,97,06:04 PM,08:32 AM,09:20 AM,06:06 PM,-15,-22,-13,-22,33,72,80,0.0,1031,-13,10,292,22,PLN
2018-01-01 06:00:00,-9,-13,0.2,3.3,1,97,06:04 PM,08:32 AM,09:20 AM,06:06 PM,-15,-21,-12,-21,30,100,78,0.0,1031,-12,10,300,21,PLN
2018-01-01 09:00:00,-9,-13,0.2,3.3,1,97,06:04 PM,08:32 AM,09:20 AM,06:06 PM,-15,-20,-12,-20,29,100,78,0.2,1032,-12,5,310,21,PLN
2018-01-01 12:00:00,-9,-13,0.2,3.3,1,97,06:04 PM,08:32 AM,09:20 AM,06:06 PM,-14,-18,-10,-18,30,100,71,0.0,1032,-10,10,295,24,PLN
2018-01-01 15:00:00,-9,-13,0.2,3.3,1,97,06:04 PM,08:32 AM,09:20 AM,06:06 PM,-14,-18,-10,-18,32,100,72,0.0,1032,-10,10,291,23,PLN
2018-01-01 18:00:00,-9,-13,0.2,3.3,1,97,06:04 PM,08:32 AM,09:20 AM,06:06 PM,-12,-16,-9,-16,25,100,79,0.0,1032,-9,10,284,16,PLN
2018-01-01 21:00:00,-9,-13,0.2,3.3,1,97,06:04 PM,08:32 AM,09:20 AM,06:06 PM,-12,-17,-9,-17,32,97,81,0.0,1031,-9,10,272,21,PLN
2018-01-02 00:00:00,-7,-9,0.1,5.1,1,100,07:11 PM,09:36 AM,09:20 AM,06:07 PM,-11,-17,-9,-17,31,100,86,0.0,1029,-9,10,260,21,PLN
2018-01-02 03:00:00,-7,-9,0.1,5.1,1,100,07:11 PM,09:36 AM,09:20 AM,06:07 PM,-12,-18,-9,-18,39,62,80,0.1,1027,-9,7,263,26,PLN
2018-01-02 06:00:00,-7,-9,0.1,5.1,1,100,07:11 PM,09:36 AM,09:20 AM,06:07 PM,-13,-17,-9,-17,39,27,73,0.0,1025,-9,10,268,24,PLN
2018-01-02 09:00:00,-7,-9,0.1,5.1,1,100,07:11 PM,09:36 AM,09:20 AM,06:07 PM,-13,-18,-9,-18,45,11,70,0.0,1023,-9,10,266,31,PLN
2018-01-02 12:00:00,-7,-9,0.1,5.1,1,100,07:11 PM,09:36 AM,09:20 AM,06:07 PM,-11,-16,-7,-16,40,68,75,0.0,1020,-7,10,255,30,PLN
2018-01-02 15:00:00,-7,-9,0.1,5.1,1,100,07:11 PM,09:36 AM,09:20 AM,06:07 PM,-12,-17,-8,-17,45,54,74,0.0,1018,-8,2,245,32,PLN
2018-01-02 18:00:00,-7,-9,0.1,5.1,1,100,07:11 PM,09:36 AM,09:20 AM,06:07 PM,-10,-15,-7,-15,36,100,80,0.0,1016,-7,10,240,25,PLN
2018-01-02 21:00:00,-7,-9,0.1,5.1,1,100,07:11 PM,09:36 AM,09:20 AM,06:07 PM,-9,-15,-7,-15,37,100,83,0.3,1015,-7,0,246,27,PLN
2018-01-03 00:00:00,-7,-13,1.4,3.3,1,89,08:24 PM,10:30 AM,09:20 AM,06:08 PM,-9,-16,-8,-16,31,100,90,0.0,1013,-8,10,250,22,PLN
2018-01-03 03:00:00,-7,-13,1.4,3.3,1,89,08:24 PM,10:30 AM,09:20 AM,06:08 PM,-11,-16,-9,-16,24,100,89,0.9,1012,-9,2,248,17,PLN
2018-01-03 06:00:00,-7,-13,1.4,3.3,1,89,08:24 PM,10:30 AM,09:20 AM,06:08 PM,-11,-15,-9,-15,16,100,91,0.0,1012,-9,10,270,11,PLN
2018-01-03 09:00:00,-7,-13,1.4,3.3,1,89,08:24 PM,10:30 AM,09:20 AM,06:08 PM,-9,-14,-8,-14,22,100,88,0.4,1012,-8,2,279,17,PLN
2018-01-03 12:00:00,-7,-13,1.4,3.3,1,89,08:24 PM,10:30 AM,09:20 AM,06:08 PM,-10,-15,-7,-15,28,100,78,0.0,1012,-7,10,316,23,PLN
2018-01-03 15:00:00,-7,-13,1.4,3.3,1,89,08:24 PM,10:30 AM,09:20 AM,06:08 PM,-13,-19,-10,-19,33,100,77,0.2,1014,-10,5,327,24,PLN
2018-01-03 18:00:00,-7,-13,1.4,3.3,1,89,08:24 PM,10:30 AM,09:20 AM,06:08 PM,-14,-19,-12,-19,26,100,81,0.0,1018,-12,10,324,18,PLN
2018-01-03 21:00:00,-7,-13,1.4,3.3,1,89,08:24 PM,10:30 AM,09:20 AM,06:08 PM,-15,-21,-13,-21,23,95,84,0.2,1020,-13,5,348,17,PLN
2018-01-04 00:00:00,-17,-20,0.0,3.3,1,81,09:38 PM,11:16 AM,09:20 AM,06:09 PM,-18,-25,-17,-25,21,93,86,0.0,1022,-17,10,357,15,PLN
2018-01-04 03:00:00,-17,-20,0.0,3.3,1,81,09:38 PM,11:16 AM,09:20 AM,06:09 PM,-20,-27,-19,-27,20,88,89,0.0,1024,-19,10,11,14,PLN
2018-01-04 06:00:00,-17,-20,0.0,3.3,1,81,09:38 PM,11:16 AM,09:20 AM,06:09 PM,-21,-27,-19,-27,20,96,88,0.0,1025,-19,10,3,13,PLN
2018-01-04 09:00:00,-17,-20,0.0,3.3,1,81,09:38 PM,11:16 AM,09:20 AM,06:09 PM,-21,-29,-20,-29,22,72,88,0.0,1025,-20,10,9,15,PLN
2018-01-04 12:00:00,-17,-20,0.0,3.3,1,81,09:38 PM,11:16 AM,09:20 AM,06:09 PM,-20,-27,-18,-27,20,100,80,0.0,1025,-18,10,1,17,PLN
2018-01-04 15:00:00,-17,-20,0.0,3.3,1,81,09:38 PM,11:16 AM,09:20 AM,06:09 PM,-20,-26,-18,-26,21,94,81,0.0,1025,-18,10,356,16,PLN
2018-01-04 18:00:00,-17,-20,0.0,3.3,1,81,09:38 PM,11:16 AM,09:20 AM,06:09 PM,-20,-26,-19,-26,18,96,87,0.0,1026,-19,10,353,12,PLN
2018-01-04 21:00:00,-17,-20,0.0,3.3,1,81,09:38 PM,11:16 AM,09:20 AM,06:09 PM,-21,-28,-20,-28,17,83,90,0.0,1025,-20,10,22,11,PLN
2018-01-05 00:00:00,-15,-23,0.2,3.3,2,74,10:51 PM,11:54 AM,09:20 AM,06:10 PM,-24,-31,-22,-31,17,55,90,0.0,1026,-22,10,23,11,PLN
2018-01-05 03:00:00,-15,-23,0.2,3.3,2,74,10:51 PM,11:54 AM,09:20 AM,06:10 PM,-24,-31,-23,-31,15,79,92,0.0,1026,-23,10,11,9,PLN
2018-01-05 06:00:00,-15,-23,0.2,3.3,2,74,10:51 PM,11:54 AM,09:20 AM,06:10 PM,-24,-32,-23,-32,18,100,94,0.0,1027,-23,10,3,12,PLN
2018-01-05 09:00:00,-15,-23,0.2,3.3,2,74,10:51 PM,11:54 AM,09:20 AM,06:10 PM,-23,-29,-22,-29,12,100,93,0.0,1028,-22,10,8,8,PLN
2018-01-05 12:00:00,-15,-23,0.2,3.3,2,74,10:51 PM,11:54 AM,09:20 AM,06:10 PM,-21,-26,-19,-26,12,100,84,0.0,1029,-19,10,332,10,PLN
2018-01-05 15:00:00,-15,-23,0.2,3.3,2,74,10:51 PM,11:54 AM,09:20 AM,06:10 PM,-18,-24,-15,-24,23,100,78,0.1,1028,-15,5,333,18,PLN
2018-01-05 18:00:00,-15,-23,0.2,3.3,2,74,10:51 PM,11:54 AM,09:20 AM,06:10 PM,-18,-23,-17,-23,18,100,88,0.0,1029,-17,10,334,11,PLN
2018-01-05 21:00:00,-15,-23,0.2,3.3,2,74,10:51 PM,11:54 AM,09:20 AM,06:10 PM,-18,-24,-17,-24,16,100,91,0.2,1030,-17,5,21,11,PLN
2018-01-06 00:00:00,-16,-24,0.0,6.9,1,67,No moonrise,12:26 PM,09:19 AM,06:11 PM,-23,-29,-22,-29,14,79,91,0.0,1032,-22,10,28,9,PLN
2018-01-06 03:00:00,-16,-24,0.0,6.9,1,67,No moonrise,12:26 PM,09:19 AM,06:11 PM,-24,-28,-23,-28,7,71,92,0.0,1033,-23,10,33,4,PLN
2018-01-06 06:00:00,-16,-24,0.0,6.9,1,67,No moonrise,12:26 PM,09:19 AM,06:11 PM,-25,-24,-24,-24,3,54,93,0.0,1035,-24,10,47,2,PLN
2018-01-06 09:00:00,-16,-24,0.0,6.9,1,67,No moonrise,12:26 PM,09:19 AM,06:11 PM,-23,-22,-22,-22,4,29,89,0.0,1035,-22,10,49,3,PLN
2018-01-06 12:00:00,-16,-24,0.0,6.9,1,67,No moonrise,12:26 PM,09:19 AM,06:11 PM,-20,-17,-17,-17,2,55,80,0.0,1036,-17,10,217,1,PLN
2018-01-06 15:00:00,-16,-24,0.0,6.9,1,67,No moonrise,12:26 PM,09:19 AM,06:11 PM,-18,-21,-16,-21,10,60,84,0.0,1035,-16,10,204,7,PLN
2018-01-06 18:00:00,-16,-24,0.0,6.9,1,67,No moonrise,12:26 PM,09:19 AM,06:11 PM,-18,-24,-17,-24,21,54,88,0.0,1034,-17,10,174,12,PLN
2018-01-06 21:00:00,-16,-24,0.0,6.9,1,67,No moonrise,12:26 PM,09:19 AM,06:11 PM,-17,-24,-16,-24,28,75,88,0.0,1031,-16,10,185,17,PLN
2018-01-07 00:00:00,-2,-13,0.3,3.3,1,59,12:02 AM,12:55 PM,09:19 AM,06:12 PM,-15,-22,-13,-22,36,100,86,0.0,1028,-13,10,197,23,PLN
2018-01-07 03:00:00,-2,-13,0.3,3.3,1,59,12:02 AM,12:55 PM,09:19 AM,06:12 PM,-13,-20,-11,-20,38,100,84,0.1,1024,-11,5,201,26,PLN
2018-01-07 06:00:00,-2,-13,0.3,3.3,1,59,12:02 AM,12:55 PM,09:19 AM,06:12 PM,-12,-18,-9,-18,39,100,80,0.0,1021,-9,10,206,26,PLN
2018-01-07 09:00:00,-2,-13,0.3,3.3,1,59,12:02 AM,12:55 PM,09:19 AM,06:12 PM,-10,-17,-8,-17,47,100,82,0.3,1018,-8,0,209,32,PLN
2018-01-07 12:00:00,-2,-13,0.3,3.3,1,59,12:02 AM,12:55 PM,09:19 AM,06:12 PM,-6,-12,-4,-12,44,100,85,0.0,1014,-4,10,229,32,PLN
2018-01-07 15:00:00,-2,-13,0.3,3.3,1,59,12:02 AM,12:55 PM,09:19 AM,06:12 PM,-6,-11,-3,-11,39,100,84,0.2,1012,-3,0,237,28,PLN
2018-01-07 18:00:00,-2,-13,0.3,3.3,1,59,12:02 AM,12:55 PM,09:19 AM,06:12 PM,-5,-9,-3,-9,31,100,87,0.0,1011,-3,10,229,21,PLN
2018-01-07 21:00:00,-2,-13,0.3,3.3,1,59,12:02 AM,12:55 PM,09:19 AM,06:12 PM,-4,-9,-2,-9,34,100,89,0.3,1010,-2,2,238,24,PLN
2018-01-08 00:00:00,-1,-4,1.3,3.4,1,52,01:09 AM,01:23 PM,09:19 AM,06:13 PM,-3,-8,-2,-8,28,100,92,0.0,1008,-2,10,239,19,PLN
2018-01-08 03:00:00,-1,-4,1.3,3.4,1,52,01:09 AM,01:23 PM,09:19 AM,06:13 PM,-3,-7,-2,-7,27,100,95,1.5,1007,-2,2,263,19,PLN
