date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,1,-3,0.0,8.7,2,97,05:15 PM,07:52 AM,08:33 AM,05:11 PM,-6,-4,-3,-4,8,14,78,0.0,1031,-2,10,81,4,PUW
2018-01-01 03:00:00,1,-3,0.0,8.7,2,97,05:15 PM,07:52 AM,08:33 AM,05:11 PM,-6,-5,-3,-5,7,17,81,0.0,1034,-3,10,92,4,PUW
2018-01-01 06:00:00,1,-3,0.0,8.7,2,97,05:15 PM,07:52 AM,08:33 AM,05:11 PM,-6,-5,-4,-5,8,42,81,0.0,1035,-3,10,67,4,PUW
2018-01-01 09:00:00,1,-3,0.0,8.7,2,97,05:15 PM,07:52 AM,08:33 AM,05:11 PM,-6,-3,-1,-3,6,44,72,0.0,1036,-1,10,74,5,PUW
2018-01-01 12:00:00,1,-3,0.0,8.7,2,97,05:15 PM,07:52 AM,08:33 AM,05:11 PM,-5,0,1,0,4,46,65,0.0,1035,1,10,38,4,PUW
2018-01-01 15:00:00,1,-3,0.0,8.7,2,97,05:15 PM,07:52 AM,08:33 AM,05:11 PM,-5,-4,-2,-4,10,23,79,0.0,1038,-2,10,37,6,PUW
2018-01-01 18:00:00,1,-3,0.0,8.7,2,97,05:15 PM,07:52 AM,08:33 AM,05:11 PM,-6,-5,-3,-5,8,7,82,0.0,1038,-3,10,66,4,PUW
2018-01-01 21:00:00,1,-3,0.0,8.7,2,97,05:15 PM,07:52 AM,08:33 AM,05:11 PM,-6,-5,-3,-5,10,4,82,0.0,1040,-3,10,66,5,PUW
2018-01-02 00:00:00,1,-4,0.0,6.9,2,100,06:23 PM,08:54 AM,08:33 AM,05:12 PM,-6,-5,-3,-5,10,1,81,0.0,1039,-3,10,77,5,PUW
2018-01-02 03:00:00,1,-4,0.0,6.9,2,100,06:23 PM,08:54 AM,08:33 AM,05:12 PM,-7,-6,-4,-6,12,4,80,0.0,1041,-4,10,82,6,PUW
2018-01-02 06:00:00,1,-4,0.0,6.9,2,100,06:23 PM,08:54 AM,08:33 AM,05:12 PM,-7,-7,-4,-7,14,21,79,0.0,1040,-4,10,80,7,PUW
2018-01-02 09:00:00,1,-4,0.0,6.9,2,100,06:23 PM,08:54 AM,08:33 AM,05:12 PM,-7,-4,-2,-4,11,69,68,0.0,1039,-1,10,94,8,PUW
2018-01-02 12:00:00,1,-4,0.0,6.9,2,100,06:23 PM,08:54 AM,08:33 AM,05:12 PM,-5,-1,2,-1,9,30,62,0.0,1036,1,10,71,8,PUW
2018-01-02 15:00:00,1,-4,0.0,6.9,2,100,06:23 PM,08:54 AM,08:33 AM,05:12 PM,-5,-4,-1,-4,13,16,76,0.0,1036,-1,10,65,7,PUW
2018-01-02 18:00:00,1,-4,0.0,6.9,2,100,06:23 PM,08:54 AM,08:33 AM,05:12 PM,-5,-4,-1,-4,16,51,77,0.0,1034,-1,10,89,8,PUW
2018-01-02 21:00:00,1,-4,0.0,6.9,2,100,06:23 PM,08:54 AM,08:33 AM,05:12 PM,-5,-3,-1,-3,11,52,74,0.0,1034,-1,10,72,5,PUW
2018-01-03 00:00:00,3,-2,0.2,8.7,1,89,07:37 PM,09:47 AM,08:33 AM,05:13 PM,-5,-3,-1,-3,9,70,74,0.0,1032,-1,10,50,5,PUW
2018-01-03 03:00:00,3,-2,0.2,8.7,1,89,07:37 PM,09:47 AM,08:33 AM,05:13 PM,-4,-3,-1,-3,7,99,80,0.0,1033,-1,10,72,4,PUW
2018-01-03 06:00:00,3,-2,0.2,8.7,1,89,07:37 PM,09:47 AM,08:33 AM,05:13 PM,-3,-3,-1,-3,8,47,86,0.3,1031,-1,5,23,4,PUW
2018-01-03 09:00:00,3,-2,0.2,8.7,1,89,07:37 PM,09:47 AM,08:33 AM,05:13 PM,-4,-0,0,-0,5,10,73,0.0,1031,0,10,65,4,PUW
2018-01-03 12:00:00,3,-2,0.2,8.7,1,89,07:37 PM,09:47 AM,08:33 AM,05:13 PM,-3,2,3,2,4,4,68,0.0,1028,3,10,40,4,PUW
2018-01-03 15:00:00,3,-2,0.2,8.7,1,89,07:37 PM,09:47 AM,08:33 AM,05:13 PM,-3,-2,-0,-2,9,4,80,0.0,1028,-0,10,34,4,PUW
2018-01-03 18:00:00,3,-2,0.2,8.7,1,89,07:37 PM,09:47 AM,08:33 AM,05:13 PM,-4,-3,-1,-3,10,4,83,0.0,1028,-1,10,67,5,PUW
