date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-11,-17,0.0,8.7,2,97,05:20 PM,07:25 AM,08:13 AM,05:26 PM,-20,-24,-15,-24,23,2,65,0.0,1024,-15,10,320,16,PVD
2018-01-01 03:00:00,-11,-17,0.0,8.7,2,97,05:20 PM,07:25 AM,08:13 AM,05:26 PM,-21,-24,-16,-24,25,0,64,0.0,1024,-16,10,321,17,PVD
2018-01-01 06:00:00,-11,-17,0.0,8.7,2,97,05:20 PM,07:25 AM,08:13 AM,05:26 PM,-22,-26,-17,-26,27,2,64,0.0,1025,-17,10,314,18,PVD
2018-01-01 09:00:00,-11,-17,0.0,8.7,2,97,05:20 PM,07:25 AM,08:13 AM,05:26 PM,-22,-23,-14,-23,24,3,53,0.0,1026,-14,10,320,19,PVD
2018-01-01 12:00:00,-11,-17,0.0,8.7,2,97,05:20 PM,07:25 AM,08:13 AM,05:26 PM,-21,-18,-11,-18,20,0,44,0.0,1024,-11,10,306,18,PVD
2018-01-01 15:00:00,-11,-17,0.0,8.7,2,97,05:20 PM,07:25 AM,08:13 AM,05:26 PM,-20,-19,-11,-19,27,0,50,0.0,1025,-11,10,303,19,PVD
2018-01-01 18:00:00,-11,-17,0.0,8.7,2,97,05:20 PM,07:25 AM,08:13 AM,05:26 PM,-19,-21,-13,-21,24,4,60,0.0,1026,-13,10,294,16,PVD
2018-01-01 21:00:00,-11,-17,0.0,8.7,2,97,05:20 PM,07:25 AM,08:13 AM,05:26 PM,-18,-20,-13,-20,21,17,65,0.0,1026,-13,10,294,13,PVD
2018-01-02 00:00:00,-7,-13,0.0,8.7,2,100,06:26 PM,08:28 AM,08:13 AM,05:27 PM,-18,-20,-13,-20,23,48,66,0.0,1025,-13,10,271,14,PVD
2018-01-02 03:00:00,-7,-13,0.0,8.7,2,100,06:26 PM,08:28 AM,08:13 AM,05:27 PM,-16,-20,-12,-20,26,35,70,0.0,1026,-12,10,287,17,PVD
2018-01-02 06:00:00,-7,-13,0.0,8.7,2,100,06:26 PM,08:28 AM,08:13 AM,05:27 PM,-18,-21,-14,-21,24,15,71,0.0,1027,-13,10,296,16,PVD
2018-01-02 09:00:00,-7,-13,0.0,8.7,2,100,06:26 PM,08:28 AM,08:13 AM,05:27 PM,-19,-19,-12,-19,22,7,53,0.0,1028,-12,10,298,18,PVD
2018-01-02 12:00:00,-7,-13,0.0,8.7,2,100,06:26 PM,08:28 AM,08:13 AM,05:27 PM,-17,-14,-8,-14,18,48,47,0.0,1026,-8,10,297,15,PVD
2018-01-02 15:00:00,-7,-13,0.0,8.7,2,100,06:26 PM,08:28 AM,08:13 AM,05:27 PM,-14,-13,-8,-13,18,46,59,0.0,1025,-8,10,269,12,PVD
2018-01-02 18:00:00,-7,-13,0.0,8.7,2,100,06:26 PM,08:28 AM,08:13 AM,05:27 PM,-13,-13,-8,-13,22,5,69,0.0,1025,-8,10,238,12,PVD
2018-01-02 21:00:00,-7,-13,0.0,8.7,2,100,06:26 PM,08:28 AM,08:13 AM,05:27 PM,-11,-13,-7,-13,26,9,72,0.0,1025,-7,10,261,15,PVD
2018-01-03 00:00:00,-2,-10,0.0,6.9,2,89,07:38 PM,09:24 AM,08:13 AM,05:28 PM,-13,-15,-8,-15,28,20,69,0.0,1025,-8,10,269,17,PVD
2018-01-03 03:00:00,-2,-10,0.0,6.9,2,89,07:38 PM,09:24 AM,08:13 AM,05:28 PM,-13,-14,-9,-14,19,82,73,0.0,1026,-9,10,275,11,PVD
2018-01-03 06:00:00,-2,-10,0.0,6.9,2,89,07:38 PM,09:24 AM,08:13 AM,05:28 PM,-13,-13,-10,-13,10,93,75,0.0,1026,-10,10,279,5,PVD
2018-01-03 09:00:00,-2,-10,0.0,6.9,2,89,07:38 PM,09:24 AM,08:13 AM,05:28 PM,-13,-9,-5,-9,11,6,55,0.0,1027,-5,10,224,9,PVD
