date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:40 AM,08:25 AM,06:12 PM,-18,-11,-6,-11,18,10,38,0.0,1031,-6,10,31,13,RDU
2018-01-01 03:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:40 AM,08:25 AM,06:12 PM,-19,-13,-7,-13,24,5,37,0.0,1031,-7,10,27,17,RDU
2018-01-01 06:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:40 AM,08:25 AM,06:12 PM,-20,-13,-8,-13,16,6,36,0.0,1033,-8,10,33,12,RDU
2018-01-01 09:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:40 AM,08:25 AM,06:12 PM,-20,-11,-5,-11,19,5,30,0.0,1034,-5,10,18,17,RDU
2018-01-01 12:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:40 AM,08:25 AM,06:12 PM,-20,-7,-3,-7,14,32,25,0.0,1034,-3,10,354,12,RDU
2018-01-01 15:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:40 AM,08:25 AM,06:12 PM,-20,-8,-3,-8,19,1,25,0.0,1033,-3,10,348,15,RDU
2018-01-01 18:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:40 AM,08:25 AM,06:12 PM,-17,-7,-4,-7,8,0,35,0.0,1034,-6,10,324,6,RDU
2018-01-01 21:00:00,-3,-8,0.0,9.9,2,97,06:06 PM,07:40 AM,08:25 AM,06:12 PM,-18,-12,-6,-12,24,0,36,0.0,1035,-6,10,341,16,RDU
2018-01-02 00:00:00,-1,-10,0.0,9.9,2,100,07:12 PM,08:44 AM,08:25 AM,06:13 PM,-19,-14,-8,-14,22,0,38,0.0,1035,-8,10,338,15,RDU
2018-01-02 03:00:00,-1,-10,0.0,9.9,2,100,07:12 PM,08:44 AM,08:25 AM,06:13 PM,-20,-15,-8,-15,23,0,38,0.0,1036,-8,10,353,15,RDU
2018-01-02 06:00:00,-1,-10,0.0,9.9,2,100,07:12 PM,08:44 AM,08:25 AM,06:13 PM,-20,-14,-9,-14,13,0,41,0.0,1037,-10,10,351,10,RDU
2018-01-02 09:00:00,-1,-10,0.0,9.9,2,100,07:12 PM,08:44 AM,08:25 AM,06:13 PM,-20,-9,-5,-9,10,0,30,0.0,1037,-6,10,18,9,RDU
2018-01-02 12:00:00,-1,-10,0.0,9.9,2,100,07:12 PM,08:44 AM,08:25 AM,06:13 PM,-18,1,2,1,4,0,21,0.0,1035,-1,10,341,3,RDU
2018-01-02 15:00:00,-1,-10,0.0,9.9,2,100,07:12 PM,08:44 AM,08:25 AM,06:13 PM,-19,0,1,0,5,0,21,0.0,1033,-2,10,326,4,RDU
2018-01-02 18:00:00,-1,-10,0.0,9.9,2,100,07:12 PM,08:44 AM,08:25 AM,06:13 PM,-17,-2,-2,-2,2,0,30,0.0,1032,-5,10,235,2,RDU
2018-01-02 21:00:00,-1,-10,0.0,9.9,2,100,07:12 PM,08:44 AM,08:25 AM,06:13 PM,-18,-3,-3,-3,0,0,31,0.0,1032,-5,10,282,0,RDU
2018-01-03 00:00:00,0,-6,0.9,4.9,2,89,08:21 PM,09:41 AM,08:26 AM,06:14 PM,-19,-5,-5,-5,4,12,33,0.0,1031,-6,10,174,2,RDU
2018-01-03 03:00:00,0,-6,0.9,4.9,2,89,08:21 PM,09:41 AM,08:26 AM,06:14 PM,-19,-5,-5,-5,1,24,33,0.0,1029,-6,10,63,1,RDU
2018-01-03 06:00:00,0,-6,0.9,4.9,2,89,08:21 PM,09:41 AM,08:26 AM,06:14 PM,-20,-9,-6,-9,10,100,32,0.0,1027,-6,10,37,6,RDU
2018-01-03 09:00:00,0,-6,0.9,4.9,2,89,08:21 PM,09:41 AM,08:26 AM,06:14 PM,-20,-6,-2,-6,11,79,25,0.0,1025,-3,10,41,9,RDU
2018-01-03 12:00:00,0,-6,0.9,4.9,2,89,08:21 PM,09:41 AM,08:26 AM,06:14 PM,-19,-2,0,-2,9,78,21,0.0,1022,0,10,31,8,RDU
2018-01-03 15:00:00,0,-6,0.9,4.9,2,89,08:21 PM,09:41 AM,08:26 AM,06:14 PM,-18,-4,0,-4,17,77,24,0.0,1018,0,10,0,12,RDU
