date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-16,-24,0.0,6.9,1,97,05:24 PM,07:52 AM,08:38 AM,05:25 PM,-25,-33,-23,-33,22,93,88,0.0,1039,-23,10,296,15,RHI
2018-01-01 03:00:00,-16,-24,0.0,6.9,1,97,05:24 PM,07:52 AM,08:38 AM,05:25 PM,-25,-33,-23,-33,20,98,89,0.0,1040,-23,10,297,14,RHI
2018-01-01 06:00:00,-16,-24,0.0,6.9,1,97,05:24 PM,07:52 AM,08:38 AM,05:25 PM,-25,-33,-24,-33,19,95,91,0.0,1040,-24,10,310,13,RHI
2018-01-01 09:00:00,-16,-24,0.0,6.9,1,97,05:24 PM,07:52 AM,08:38 AM,05:25 PM,-24,-32,-23,-32,17,72,88,0.0,1041,-23,10,306,13,RHI
2018-01-01 12:00:00,-16,-24,0.0,6.9,1,97,05:24 PM,07:52 AM,08:38 AM,05:25 PM,-21,-24,-17,-24,12,8,72,0.0,1040,-17,10,305,10,RHI
2018-01-01 15:00:00,-16,-24,0.0,6.9,1,97,05:24 PM,07:52 AM,08:38 AM,05:25 PM,-19,-23,-16,-23,15,6,73,0.0,1039,-16,10,288,13,RHI
2018-01-01 18:00:00,-16,-24,0.0,6.9,1,97,05:24 PM,07:52 AM,08:38 AM,05:25 PM,-20,-25,-18,-25,17,24,86,0.0,1039,-18,10,282,10,RHI
2018-01-01 21:00:00,-16,-24,0.0,6.9,1,97,05:24 PM,07:52 AM,08:38 AM,05:25 PM,-21,-27,-19,-27,20,23,85,0.0,1038,-19,10,273,13,RHI
2018-01-02 00:00:00,-14,-19,0.4,3.3,2,100,06:30 PM,08:55 AM,08:38 AM,05:26 PM,-22,-28,-19,-28,26,29,79,0.0,1036,-19,10,273,16,RHI
2018-01-02 03:00:00,-14,-19,0.4,3.3,2,100,06:30 PM,08:55 AM,08:38 AM,05:26 PM,-22,-27,-18,-27,26,11,72,0.0,1034,-18,10,264,17,RHI
2018-01-02 06:00:00,-14,-19,0.4,3.3,2,100,06:30 PM,08:55 AM,08:38 AM,05:26 PM,-22,-29,-19,-29,32,100,75,0.0,1032,-19,10,264,20,RHI
2018-01-02 09:00:00,-14,-19,0.4,3.3,2,100,06:30 PM,08:55 AM,08:38 AM,05:26 PM,-23,-28,-18,-28,27,100,68,0.0,1028,-18,10,251,18,RHI
2018-01-02 12:00:00,-14,-19,0.4,3.3,2,100,06:30 PM,08:55 AM,08:38 AM,05:26 PM,-20,-24,-15,-24,29,100,65,0.0,1023,-15,10,245,22,RHI
2018-01-02 15:00:00,-14,-19,0.4,3.3,2,100,06:30 PM,08:55 AM,08:38 AM,05:26 PM,-17,-23,-14,-23,27,82,80,0.0,1019,-14,10,228,21,RHI
2018-01-02 18:00:00,-14,-19,0.4,3.3,2,100,06:30 PM,08:55 AM,08:38 AM,05:26 PM,-16,-22,-14,-22,21,100,86,0.0,1016,-14,10,235,15,RHI
2018-01-02 21:00:00,-14,-19,0.4,3.3,2,100,06:30 PM,08:55 AM,08:38 AM,05:26 PM,-16,-22,-15,-22,20,100,88,0.5,1016,-15,2,252,14,RHI
2018-01-03 00:00:00,-13,-17,0.3,3.3,1,89,07:44 PM,09:50 AM,08:38 AM,05:27 PM,-15,-21,-15,-21,15,100,94,0.0,1015,-15,2,274,10,RHI
2018-01-03 03:00:00,-13,-17,0.3,3.3,1,89,07:44 PM,09:50 AM,08:38 AM,05:27 PM,-16,-22,-15,-22,20,100,88,0.1,1017,-15,5,314,14,RHI
2018-01-03 06:00:00,-13,-17,0.3,3.3,1,89,07:44 PM,09:50 AM,08:38 AM,05:27 PM,-17,-23,-15,-23,22,100,88,0.0,1019,-15,10,329,15,RHI
2018-01-03 09:00:00,-13,-17,0.3,3.3,1,89,07:44 PM,09:50 AM,08:38 AM,05:27 PM,-17,-23,-15,-23,24,97,82,0.1,1021,-15,5,340,17,RHI
2018-01-03 12:00:00,-13,-17,0.3,3.3,1,89,07:44 PM,09:50 AM,08:38 AM,05:27 PM,-17,-21,-13,-21,21,100,68,0.0,1022,-13,10,339,18,RHI
2018-01-03 15:00:00,-13,-17,0.3,3.3,1,89,07:44 PM,09:50 AM,08:38 AM,05:27 PM,-17,-22,-14,-22,21,100,73,0.1,1023,-14,5,333,17,RHI
2018-01-03 18:00:00,-13,-17,0.3,3.3,1,89,07:44 PM,09:50 AM,08:38 AM,05:27 PM,-18,-24,-17,-24,17,100,85,0.0,1026,-16,10,327,12,RHI
2018-01-03 21:00:00,-13,-17,0.3,3.3,1,89,07:44 PM,09:50 AM,08:38 AM,05:27 PM,-18,-24,-17,-24,17,95,90,0.1,1027,-17,10,329,11,RHI
2018-01-04 00:00:00,-15,-19,0.1,3.3,1,81,08:58 PM,10:35 AM,08:38 AM,05:28 PM,-19,-25,-18,-25,18,96,91,0.0,1029,-18,10,343,12,RHI
2018-01-04 03:00:00,-15,-19,0.1,3.3,1,81,08:58 PM,10:35 AM,08:38 AM,05:28 PM,-19,-24,-18,-24,13,96,94,0.1,1030,-18,10,341,8,RHI
2018-01-04 06:00:00,-15,-19,0.1,3.3,1,81,08:58 PM,10:35 AM,08:38 AM,05:28 PM,-20,-26,-20,-26,15,90,93,0.0,1031,-19,10,342,10,RHI
2018-01-04 09:00:00,-15,-19,0.1,3.3,1,81,08:58 PM,10:35 AM,08:38 AM,05:28 PM,-20,-25,-19,-25,13,93,89,0.0,1031,-19,10,348,9,RHI
2018-01-04 12:00:00,-15,-19,0.1,3.3,1,81,08:58 PM,10:35 AM,08:38 AM,05:28 PM,-19,-22,-15,-22,14,81,71,0.0,1030,-15,10,350,12,RHI
2018-01-04 15:00:00,-15,-19,0.1,3.3,1,81,08:58 PM,10:35 AM,08:38 AM,05:28 PM,-18,-21,-15,-21,14,93,72,0.1,1029,-15,5,344,12,RHI
2018-01-04 18:00:00,-15,-19,0.1,3.3,1,81,08:58 PM,10:35 AM,08:38 AM,05:28 PM,-19,-24,-18,-24,13,86,91,0.0,1030,-18,10,347,8,RHI
2018-01-04 21:00:00,-15,-19,0.1,3.3,1,81,08:58 PM,10:35 AM,08:38 AM,05:28 PM,-19,-25,-19,-25,13,97,95,0.0,1030,-19,2,322,8,RHI
2018-01-05 00:00:00,-16,-19,0.1,3.3,1,74,10:11 PM,11:13 AM,08:38 AM,05:29 PM,-20,-26,-19,-26,15,93,95,0.0,1031,-19,2,329,10,RHI
2018-01-05 03:00:00,-16,-19,0.1,3.3,1,74,10:11 PM,11:13 AM,08:38 AM,05:29 PM,-19,-25,-19,-25,14,96,94,0.1,1031,-19,10,329,9,RHI
2018-01-05 06:00:00,-16,-19,0.1,3.3,1,74,10:11 PM,11:13 AM,08:38 AM,05:29 PM,-20,-27,-19,-27,17,93,93,0.0,1033,-19,10,349,11,RHI
2018-01-05 09:00:00,-16,-19,0.1,3.3,1,74,10:11 PM,11:13 AM,08:38 AM,05:29 PM,-20,-27,-19,-27,17,92,86,0.0,1034,-19,10,352,12,RHI
2018-01-05 12:00:00,-16,-19,0.1,3.3,1,74,10:11 PM,11:13 AM,08:38 AM,05:29 PM,-20,-24,-16,-24,17,82,69,0.0,1034,-16,10,350,14,RHI
2018-01-05 15:00:00,-16,-19,0.1,3.3,1,74,10:11 PM,11:13 AM,08:38 AM,05:29 PM,-20,-23,-16,-23,17,90,71,0.1,1034,-16,10,339,14,RHI
2018-01-05 18:00:00,-16,-19,0.1,3.3,1,74,10:11 PM,11:13 AM,08:38 AM,05:29 PM,-20,-24,-18,-24,13,88,90,0.0,1036,-18,10,332,8,RHI
2018-01-05 21:00:00,-16,-19,0.1,3.3,1,74,10:11 PM,11:13 AM,08:38 AM,05:29 PM,-20,-26,-19,-26,17,91,93,0.0,1036,-19,10,310,11,RHI
2018-01-06 00:00:00,-14,-21,0.0,5.1,1,67,11:21 PM,11:46 AM,08:38 AM,05:30 PM,-20,-27,-19,-27,17,92,94,0.0,1037,-19,10,319,11,RHI
2018-01-06 03:00:00,-14,-21,0.0,5.1,1,67,11:21 PM,11:46 AM,08:38 AM,05:30 PM,-20,-26,-20,-26,13,96,97,0.0,1038,-20,2,308,8,RHI
2018-01-06 06:00:00,-14,-21,0.0,5.1,1,67,11:21 PM,11:46 AM,08:38 AM,05:30 PM,-21,-26,-21,-26,11,92,98,0.0,1038,-21,0,313,6,RHI
2018-01-06 09:00:00,-14,-21,0.0,5.1,1,67,11:21 PM,11:46 AM,08:38 AM,05:30 PM,-20,-22,-19,-22,6,86,93,0.0,1038,-19,10,285,4,RHI
2018-01-06 12:00:00,-14,-21,0.0,5.1,1,67,11:21 PM,11:46 AM,08:38 AM,05:30 PM,-19,-19,-14,-19,7,34,69,0.0,1036,-14,10,189,6,RHI
2018-01-06 15:00:00,-14,-21,0.0,5.1,1,67,11:21 PM,11:46 AM,08:38 AM,05:30 PM,-18,-22,-15,-22,16,100,77,0.0,1033,-14,10,198,13,RHI
2018-01-06 18:00:00,-14,-21,0.0,5.1,1,67,11:21 PM,11:46 AM,08:38 AM,05:30 PM,-18,-24,-16,-24,20,100,85,0.0,1031,-16,10,192,14,RHI
2018-01-06 21:00:00,-14,-21,0.0,5.1,1,67,11:21 PM,11:46 AM,08:38 AM,05:30 PM,-19,-25,-16,-25,30,100,80,0.0,1027,-16,10,193,20,RHI
2018-01-07 00:00:00,-6,-15,0.1,3.3,1,59,No moonrise,12:14 PM,08:38 AM,05:31 PM,-19,-25,-15,-25,38,87,69,0.0,1022,-15,10,201,25,RHI
2018-01-07 03:00:00,-6,-15,0.1,3.3,1,59,No moonrise,12:14 PM,08:38 AM,05:31 PM,-15,-22,-13,-22,38,100,86,0.1,1019,-13,5,208,25,RHI
2018-01-07 06:00:00,-6,-15,0.1,3.3,1,59,No moonrise,12:14 PM,08:38 AM,05:31 PM,-13,-20,-11,-20,33,100,89,0.0,1016,-11,10,219,22,RHI
2018-01-07 09:00:00,-6,-15,0.1,3.3,1,59,No moonrise,12:14 PM,08:38 AM,05:31 PM,-12,-19,-11,-19,27,100,88,0.0,1014,-11,10,223,19,RHI
2018-01-07 12:00:00,-6,-15,0.1,3.3,1,59,No moonrise,12:14 PM,08:38 AM,05:31 PM,-10,-14,-7,-14,20,100,82,0.0,1012,-7,10,222,17,RHI
2018-01-07 15:00:00,-6,-15,0.1,3.3,1,59,No moonrise,12:14 PM,08:38 AM,05:31 PM,-8,-12,-7,-12,19,97,88,0.0,1011,-7,10,234,15,RHI
2018-01-07 18:00:00,-6,-15,0.1,3.3,1,59,No moonrise,12:14 PM,08:38 AM,05:31 PM,-8,-12,-7,-12,16,100,95,0.0,1010,-7,2,230,10,RHI
2018-01-07 21:00:00,-6,-15,0.1,3.3,1,59,No moonrise,12:14 PM,08:38 AM,05:31 PM,-6,-11,-6,-11,20,100,95,0.0,1010,-6,10,255,13,RHI
2018-01-08 00:00:00,-2,-7,0.0,6.9,1,52,12:28 AM,12:42 PM,08:37 AM,05:32 PM,-6,-11,-6,-11,19,100,95,0.0,1009,-6,2,277,12,RHI
2018-01-08 03:00:00,-2,-7,0.0,6.9,1,52,12:28 AM,12:42 PM,08:37 AM,05:32 PM,-6,-11,-5,-11,20,96,94,0.0,1010,-5,10,278,13,RHI
2018-01-08 06:00:00,-2,-7,0.0,6.9,1,52,12:28 AM,12:42 PM,08:37 AM,05:32 PM,-6,-11,-5,-11,25,90,95,0.0,1010,-5,10,274,17,RHI
2018-01-08 09:00:00,-2,-7,0.0,6.9,1,52,12:28 AM,12:42 PM,08:37 AM,05:32 PM,-6,-11,-4,-11,28,88,88,0.0,1011,-4,10,286,19,RHI
2018-01-08 12:00:00,-2,-7,0.0,6.9,1,52,12:28 AM,12:42 PM,08:37 AM,05:32 PM,-5,-8,-2,-8,26,42,76,0.0,1011,-2,10,294,21,RHI
2018-01-08 15:00:00,-2,-7,0.0,6.9,1,52,12:28 AM,12:42 PM,08:37 AM,05:32 PM,-7,-8,-2,-8,25,9,73,0.0,1014,-2,10,295,19,RHI
2018-01-08 18:00:00,-2,-7,0.0,6.9,1,52,12:28 AM,12:42 PM,08:37 AM,05:32 PM,-7,-10,-5,-10,21,30,89,0.0,1016,-5,10,291,12,RHI
2018-01-08 21:00:00,-2,-7,0.0,6.9,1,52,12:28 AM,12:42 PM,08:37 AM,05:32 PM,-8,-12,-7,-12,19,28,92,0.0,1019,-7,10,297,10,RHI
2018-01-09 00:00:00,-3,-10,0.0,6.9,1,45,01:34 AM,01:09 PM,08:37 AM,05:33 PM,-9,-12,-9,-12,12,38,95,0.0,1022,-9,2,307,6,RHI
2018-01-09 03:00:00,-3,-10,0.0,6.9,1,45,01:34 AM,01:09 PM,08:37 AM,05:33 PM,-10,-11,-10,-11,8,75,94,0.0,1023,-10,10,345,4,RHI
