date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-4,-9,0.0,9.8,2,97,05:56 PM,07:38 AM,08:24 AM,06:02 PM,-18,-13,-8,-13,18,5,44,0.0,1031,-8,10,10,13,RIC
2018-01-01 03:00:00,-4,-9,0.0,9.8,2,97,05:56 PM,07:38 AM,08:24 AM,06:02 PM,-17,-14,-8,-14,19,6,47,0.0,1032,-8,10,356,13,RIC
2018-01-01 06:00:00,-4,-9,0.0,9.8,2,97,05:56 PM,07:38 AM,08:24 AM,06:02 PM,-17,-14,-9,-14,15,4,50,0.0,1033,-9,10,349,10,RIC
2018-01-01 09:00:00,-4,-9,0.0,9.8,2,97,05:56 PM,07:38 AM,08:24 AM,06:02 PM,-18,-13,-7,-13,17,4,39,0.0,1034,-7,10,345,15,RIC
2018-01-01 12:00:00,-4,-9,0.0,9.8,2,97,05:56 PM,07:38 AM,08:24 AM,06:02 PM,-20,-9,-4,-9,14,36,28,0.0,1033,-4,10,342,12,RIC
2018-01-01 15:00:00,-4,-9,0.0,9.8,2,97,05:56 PM,07:38 AM,08:24 AM,06:02 PM,-21,-9,-4,-9,14,6,26,0.0,1032,-4,10,323,12,RIC
2018-01-01 18:00:00,-4,-9,0.0,9.8,2,97,05:56 PM,07:38 AM,08:24 AM,06:02 PM,-20,-7,-5,-7,6,2,30,0.0,1033,-6,10,4,5,RIC
2018-01-01 21:00:00,-4,-9,0.0,9.8,2,97,05:56 PM,07:38 AM,08:24 AM,06:02 PM,-19,-12,-7,-12,19,0,35,0.0,1035,-7,10,329,13,RIC
2018-01-02 00:00:00,-3,-10,0.0,9.8,2,100,07:02 PM,08:42 AM,08:24 AM,06:03 PM,-20,-14,-8,-14,15,0,38,0.0,1035,-8,10,15,11,RIC
2018-01-02 03:00:00,-3,-10,0.0,9.8,2,100,07:02 PM,08:42 AM,08:24 AM,06:03 PM,-20,-15,-9,-15,16,0,42,0.0,1036,-9,10,355,11,RIC
