date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-10,-18,0.1,5.2,1,97,05:42 PM,07:55 AM,08:42 AM,05:47 PM,-16,-23,-15,-23,23,95,90,0.0,1032,-15,10,302,15,ROC
2018-01-01 03:00:00,-10,-18,0.1,5.2,1,97,05:42 PM,07:55 AM,08:42 AM,05:47 PM,-17,-23,-16,-23,18,88,89,0.1,1032,-16,5,290,11,ROC
2018-01-01 06:00:00,-10,-18,0.1,5.2,1,97,05:42 PM,07:55 AM,08:42 AM,05:47 PM,-19,-25,-18,-25,22,59,90,0.0,1032,-18,10,262,12,ROC
2018-01-01 09:00:00,-10,-18,0.1,5.2,1,97,05:42 PM,07:55 AM,08:42 AM,05:47 PM,-16,-22,-15,-22,21,46,86,0.0,1031,-15,10,223,14,ROC
2018-01-01 12:00:00,-10,-18,0.1,5.2,1,97,05:42 PM,07:55 AM,08:42 AM,05:47 PM,-13,-19,-10,-19,31,100,78,0.0,1028,-10,10,254,24,ROC
2018-01-01 15:00:00,-10,-18,0.1,5.2,1,97,05:42 PM,07:55 AM,08:42 AM,05:47 PM,-14,-20,-11,-20,41,63,81,0.0,1027,-11,2,255,28,ROC
2018-01-01 18:00:00,-10,-18,0.1,5.2,1,97,05:42 PM,07:55 AM,08:42 AM,05:47 PM,-13,-21,-11,-21,48,100,84,0.0,1028,-11,10,282,34,ROC
2018-01-01 21:00:00,-10,-18,0.1,5.2,1,97,05:42 PM,07:55 AM,08:42 AM,05:47 PM,-14,-22,-12,-22,45,100,85,0.2,1029,-12,0,301,31,ROC
2018-01-02 00:00:00,-7,-13,0.2,5.2,1,100,06:49 PM,08:58 AM,08:42 AM,05:48 PM,-14,-21,-13,-21,27,100,89,0.0,1030,-13,10,307,18,ROC
2018-01-02 03:00:00,-7,-13,0.2,5.2,1,100,06:49 PM,08:58 AM,08:42 AM,05:48 PM,-13,-19,-12,-19,20,100,91,0.2,1030,-12,5,273,13,ROC
2018-01-02 06:00:00,-7,-13,0.2,5.2,1,100,06:49 PM,08:58 AM,08:42 AM,05:48 PM,-12,-19,-10,-19,38,100,85,0.0,1029,-10,10,262,24,ROC
2018-01-02 09:00:00,-7,-13,0.2,5.2,1,100,06:49 PM,08:58 AM,08:42 AM,05:48 PM,-11,-17,-8,-17,44,48,80,0.0,1027,-8,2,253,31,ROC
2018-01-02 12:00:00,-7,-13,0.2,5.2,1,100,06:49 PM,08:58 AM,08:42 AM,05:48 PM,-10,-17,-7,-17,55,86,79,0.0,1025,-7,10,246,41,ROC
2018-01-02 15:00:00,-7,-13,0.2,5.2,1,100,06:49 PM,08:58 AM,08:42 AM,05:48 PM,-11,-18,-8,-18,57,94,79,0.0,1024,-8,2,251,40,ROC
2018-01-02 18:00:00,-7,-13,0.2,5.2,1,100,06:49 PM,08:58 AM,08:42 AM,05:48 PM,-13,-19,-10,-19,43,86,82,0.0,1025,-10,10,241,27,ROC
2018-01-02 21:00:00,-7,-13,0.2,5.2,1,100,06:49 PM,08:58 AM,08:42 AM,05:48 PM,-12,-19,-10,-19,40,95,84,0.0,1024,-10,10,246,27,ROC
2018-01-03 00:00:00,-6,-13,0.0,5.2,2,89,08:00 PM,09:54 AM,08:42 AM,05:48 PM,-14,-21,-11,-21,42,36,80,0.0,1024,-11,10,232,27,ROC
2018-01-03 03:00:00,-6,-13,0.0,5.2,2,89,08:00 PM,09:54 AM,08:42 AM,05:48 PM,-15,-22,-12,-22,42,8,78,0.0,1024,-12,9,230,25,ROC
2018-01-03 06:00:00,-6,-13,0.0,5.2,2,89,08:00 PM,09:54 AM,08:42 AM,05:48 PM,-17,-22,-13,-22,40,66,74,0.0,1023,-13,10,219,22,ROC
2018-01-03 09:00:00,-6,-13,0.0,5.2,2,89,08:00 PM,09:54 AM,08:42 AM,05:48 PM,-14,-19,-10,-19,33,10,70,0.0,1022,-10,10,221,23,ROC
2018-01-03 12:00:00,-6,-13,0.0,5.2,2,89,08:00 PM,09:54 AM,08:42 AM,05:48 PM,-12,-13,-7,-13,27,74,67,0.0,1019,-6,10,213,20,ROC
2018-01-03 15:00:00,-6,-13,0.0,5.2,2,89,08:00 PM,09:54 AM,08:42 AM,05:48 PM,-9,-11,-6,-11,22,61,76,0.0,1017,-6,10,220,14,ROC
2018-01-03 18:00:00,-6,-13,0.0,5.2,2,89,08:00 PM,09:54 AM,08:42 AM,05:48 PM,-10,-13,-7,-13,28,90,75,0.0,1017,-7,10,225,15,ROC
2018-01-03 21:00:00,-6,-13,0.0,5.2,2,89,08:00 PM,09:54 AM,08:42 AM,05:48 PM,-12,-16,-9,-16,32,100,78,0.0,1017,-9,10,209,15,ROC
2018-01-04 00:00:00,-7,-14,0.0,3.4,1,81,09:13 PM,10:40 AM,08:42 AM,05:49 PM,-11,-14,-9,-14,21,79,84,0.0,1016,-9,10,225,12,ROC
2018-01-04 03:00:00,-7,-14,0.0,3.4,1,81,09:13 PM,10:40 AM,08:42 AM,05:49 PM,-12,-16,-10,-16,20,33,89,0.0,1015,-10,10,238,11,ROC
2018-01-04 06:00:00,-7,-14,0.0,3.4,1,81,09:13 PM,10:40 AM,08:42 AM,05:49 PM,-11,-16,-10,-16,22,100,92,0.0,1012,-10,10,278,13,ROC
2018-01-04 09:00:00,-7,-14,0.0,3.4,1,81,09:13 PM,10:40 AM,08:42 AM,05:49 PM,-9,-16,-7,-16,33,100,87,0.3,1011,-7,0,324,27,ROC
2018-01-04 12:00:00,-7,-14,0.0,3.4,1,81,09:13 PM,10:40 AM,08:42 AM,05:49 PM,-11,-17,-9,-17,31,100,85,0.0,1009,-9,10,295,26,ROC
2018-01-04 15:00:00,-7,-14,0.0,3.4,1,81,09:13 PM,10:40 AM,08:42 AM,05:49 PM,-12,-21,-11,-21,44,100,88,0.2,1009,-10,0,302,33,ROC
2018-01-04 18:00:00,-7,-14,0.0,3.4,1,81,09:13 PM,10:40 AM,08:42 AM,05:49 PM,-13,-21,-12,-21,35,100,90,0.0,1010,-12,10,296,26,ROC
2018-01-04 21:00:00,-7,-14,0.0,3.4,1,81,09:13 PM,10:40 AM,08:42 AM,05:49 PM,-15,-26,-14,-26,42,100,93,0.3,1011,-14,0,308,32,ROC
2018-01-05 00:00:00,-15,-18,0.0,3.4,1,74,10:25 PM,11:21 AM,08:42 AM,05:50 PM,-18,-28,-17,-28,40,100,93,0.0,1012,-17,10,297,31,ROC
2018-01-05 03:00:00,-15,-18,0.0,3.4,1,74,10:25 PM,11:21 AM,08:42 AM,05:50 PM,-19,-30,-18,-30,43,100,92,0.2,1013,-18,0,298,33,ROC
2018-01-05 06:00:00,-15,-18,0.0,3.4,1,74,10:25 PM,11:21 AM,08:42 AM,05:50 PM,-19,-30,-18,-30,36,100,93,0.0,1015,-18,10,295,28,ROC
2018-01-05 09:00:00,-15,-18,0.0,3.4,1,74,10:25 PM,11:21 AM,08:42 AM,05:50 PM,-19,-31,-18,-31,46,100,93,0.2,1016,-18,0,299,37,ROC
2018-01-05 12:00:00,-15,-18,0.0,3.4,1,74,10:25 PM,11:21 AM,08:42 AM,05:50 PM,-17,-28,-16,-28,40,100,88,0.0,1017,-16,10,285,34,ROC
2018-01-05 15:00:00,-15,-18,0.0,3.4,1,74,10:25 PM,11:21 AM,08:42 AM,05:50 PM,-17,-28,-15,-28,49,100,86,0.2,1018,-15,0,290,39,ROC
2018-01-05 18:00:00,-15,-18,0.0,3.4,1,74,10:25 PM,11:21 AM,08:42 AM,05:50 PM,-17,-27,-16,-27,42,100,89,0.0,1020,-16,10,276,30,ROC
2018-01-05 21:00:00,-15,-18,0.0,3.4,1,74,10:25 PM,11:21 AM,08:42 AM,05:50 PM,-17,-27,-16,-27,44,100,88,0.3,1021,-16,0,289,32,ROC
2018-01-06 00:00:00,-16,-18,0.0,3.4,1,67,11:34 PM,11:55 AM,08:42 AM,05:51 PM,-18,-27,-16,-27,38,100,90,0.0,1023,-16,10,294,27,ROC
2018-01-06 03:00:00,-16,-18,0.0,3.4,1,67,11:34 PM,11:55 AM,08:42 AM,05:51 PM,-19,-30,-18,-30,44,94,92,0.2,1024,-18,0,301,32,ROC
2018-01-06 06:00:00,-16,-18,0.0,3.4,1,67,11:34 PM,11:55 AM,08:42 AM,05:51 PM,-19,-30,-18,-30,38,98,92,0.0,1027,-18,10,296,27,ROC
2018-01-06 09:00:00,-16,-18,0.0,3.4,1,67,11:34 PM,11:55 AM,08:42 AM,05:51 PM,-19,-30,-18,-30,43,96,91,0.1,1029,-18,0,298,33,ROC
2018-01-06 12:00:00,-16,-18,0.0,3.4,1,67,11:34 PM,11:55 AM,08:42 AM,05:51 PM,-18,-28,-16,-28,36,100,88,0.0,1030,-16,10,297,30,ROC
2018-01-06 15:00:00,-16,-18,0.0,3.4,1,67,11:34 PM,11:55 AM,08:42 AM,05:51 PM,-18,-28,-16,-28,40,100,86,0.0,1032,-16,10,296,30,ROC
2018-01-06 18:00:00,-16,-18,0.0,3.4,1,67,11:34 PM,11:55 AM,08:42 AM,05:51 PM,-18,-26,-17,-26,30,96,89,0.0,1035,-17,10,285,20,ROC
2018-01-06 21:00:00,-16,-18,0.0,3.4,1,67,11:34 PM,11:55 AM,08:42 AM,05:51 PM,-18,-26,-17,-26,26,80,88,0.0,1035,-17,10,298,17,ROC
2018-01-07 00:00:00,-3,-20,0.0,6.9,1,59,No moonrise,12:25 PM,08:42 AM,05:52 PM,-20,-26,-19,-26,20,98,90,0.0,1036,-19,10,273,11,ROC
2018-01-07 03:00:00,-3,-20,0.0,6.9,1,59,No moonrise,12:25 PM,08:42 AM,05:52 PM,-21,-27,-20,-27,23,28,90,0.0,1036,-20,10,231,11,ROC
2018-01-07 06:00:00,-3,-20,0.0,6.9,1,59,No moonrise,12:25 PM,08:42 AM,05:52 PM,-21,-28,-20,-28,28,29,87,0.0,1037,-20,10,212,13,ROC
2018-01-07 09:00:00,-3,-20,0.0,6.9,1,59,No moonrise,12:25 PM,08:42 AM,05:52 PM,-17,-23,-14,-23,26,46,83,0.0,1034,-14,10,206,18,ROC
2018-01-07 12:00:00,-3,-20,0.0,6.9,1,59,No moonrise,12:25 PM,08:42 AM,05:52 PM,-14,-17,-10,-17,23,62,71,0.0,1029,-10,10,207,18,ROC
2018-01-07 15:00:00,-3,-20,0.0,6.9,1,59,No moonrise,12:25 PM,08:42 AM,05:52 PM,-12,-15,-8,-15,28,46,71,0.0,1025,-8,10,198,18,ROC
2018-01-07 18:00:00,-3,-20,0.0,6.9,1,59,No moonrise,12:25 PM,08:42 AM,05:52 PM,-11,-13,-6,-13,37,100,67,0.0,1022,-6,10,213,23,ROC
2018-01-07 21:00:00,-3,-20,0.0,6.9,1,59,No moonrise,12:25 PM,08:42 AM,05:52 PM,-6,-9,-3,-9,33,77,78,0.0,1020,-3,10,237,20,ROC
2018-01-08 00:00:00,2,-2,2.5,3.4,1,52,12:39 AM,12:55 PM,08:42 AM,05:53 PM,-6,-7,-2,-7,29,100,76,0.0,1019,-2,10,225,17,ROC
2018-01-08 03:00:00,2,-2,2.5,3.4,1,52,12:39 AM,12:55 PM,08:42 AM,05:53 PM,-3,-7,-1,-7,31,100,88,0.9,1017,-1,2,221,19,ROC
