date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,18,12,0.0,8.7,4,97,05:54 PM,07:14 AM,07:51 AM,05:54 PM,9,13,14,13,14,33,75,0.0,1020,13,10,322,7,SAN
2018-01-01 03:00:00,18,12,0.0,8.7,4,97,05:54 PM,07:14 AM,07:51 AM,05:54 PM,10,14,14,14,7,8,79,0.0,1020,12,10,337,4,SAN
2018-01-01 06:00:00,18,12,0.0,8.7,4,97,05:54 PM,07:14 AM,07:51 AM,05:54 PM,9,14,13,14,7,20,72,0.0,1020,12,10,348,3,SAN
2018-01-01 09:00:00,18,12,0.0,8.7,4,97,05:54 PM,07:14 AM,07:51 AM,05:54 PM,9,16,16,16,9,32,61,0.0,1022,16,10,322,7,SAN
2018-01-01 12:00:00,18,12,0.0,8.7,4,97,05:54 PM,07:14 AM,07:51 AM,05:54 PM,10,19,19,19,11,4,54,0.0,1020,18,10,287,10,SAN
2018-01-01 15:00:00,18,12,0.0,8.7,4,97,05:54 PM,07:14 AM,07:51 AM,05:54 PM,11,17,17,17,10,4,67,0.0,1020,16,10,300,8,SAN
2018-01-01 18:00:00,18,12,0.0,8.7,4,97,05:54 PM,07:14 AM,07:51 AM,05:54 PM,10,15,15,15,10,8,75,0.0,1020,14,10,299,6,SAN
2018-01-01 21:00:00,18,12,0.0,8.7,4,97,05:54 PM,07:14 AM,07:51 AM,05:54 PM,10,14,14,14,5,13,75,0.0,1021,13,10,5,3,SAN
2018-01-02 00:00:00,21,13,0.0,8.7,5,100,07:00 PM,08:17 AM,07:52 AM,05:55 PM,9,15,15,15,4,21,69,0.0,1021,13,10,267,2,SAN
2018-01-02 03:00:00,21,13,0.0,8.7,5,100,07:00 PM,08:17 AM,07:52 AM,05:55 PM,9,14,14,14,11,16,70,0.0,1021,13,10,326,6,SAN
2018-01-02 06:00:00,21,13,0.0,8.7,5,100,07:00 PM,08:17 AM,07:52 AM,05:55 PM,8,14,14,14,14,24,68,0.0,1021,13,10,327,6,SAN
2018-01-02 09:00:00,21,13,0.0,8.7,5,100,07:00 PM,08:17 AM,07:52 AM,05:55 PM,9,19,19,19,6,25,51,0.0,1021,18,10,30,5,SAN
2018-01-02 12:00:00,21,13,0.0,8.7,5,100,07:00 PM,08:17 AM,07:52 AM,05:55 PM,9,22,24,22,12,16,45,0.0,1019,21,10,282,9,SAN
2018-01-02 15:00:00,21,13,0.0,8.7,5,100,07:00 PM,08:17 AM,07:52 AM,05:55 PM,10,19,19,19,20,14,56,0.0,1018,19,10,336,10,SAN
2018-01-02 18:00:00,21,13,0.0,8.7,5,100,07:00 PM,08:17 AM,07:52 AM,05:55 PM,8,18,18,18,15,7,52,0.0,1019,17,10,315,7,SAN
2018-01-02 21:00:00,21,13,0.0,8.7,5,100,07:00 PM,08:17 AM,07:52 AM,05:55 PM,8,17,17,17,7,7,54,0.0,1019,16,10,48,3,SAN
2018-01-03 00:00:00,19,14,0.0,3.8,5,89,08:08 PM,09:14 AM,07:52 AM,05:56 PM,5,18,18,18,2,11,44,0.0,1018,16,10,124,1,SAN
2018-01-03 03:00:00,19,14,0.0,3.8,5,89,08:08 PM,09:14 AM,07:52 AM,05:56 PM,7,17,17,17,6,20,53,0.0,1019,16,10,43,3,SAN
2018-01-03 06:00:00,19,14,0.0,3.8,5,89,08:08 PM,09:14 AM,07:52 AM,05:56 PM,5,16,16,16,8,48,46,0.0,1019,16,10,108,4,SAN
2018-01-03 09:00:00,19,14,0.0,3.8,5,89,08:08 PM,09:14 AM,07:52 AM,05:56 PM,9,19,19,19,2,100,52,0.0,1019,19,10,233,1,SAN
2018-01-03 12:00:00,19,14,0.0,3.8,5,89,08:08 PM,09:14 AM,07:52 AM,05:56 PM,10,19,19,19,8,85,54,0.0,1018,19,10,264,6,SAN
2018-01-03 15:00:00,19,14,0.0,3.8,5,89,08:08 PM,09:14 AM,07:52 AM,05:56 PM,10,18,18,18,5,99,62,0.0,1017,17,10,302,3,SAN
2018-01-03 18:00:00,19,14,0.0,3.8,5,89,08:08 PM,09:14 AM,07:52 AM,05:56 PM,10,17,17,17,5,9,63,0.0,1018,16,10,342,3,SAN
2018-01-03 21:00:00,19,14,0.0,3.8,5,89,08:08 PM,09:14 AM,07:52 AM,05:56 PM,12,15,15,15,10,11,82,0.0,1019,14,10,204,5,SAN
2018-01-04 00:00:00,20,14,0.0,8.7,5,81,09:16 PM,10:04 AM,07:52 AM,05:56 PM,12,15,15,15,2,16,83,0.0,1019,14,10,101,1,SAN
2018-01-04 03:00:00,20,14,0.0,8.7,5,81,09:16 PM,10:04 AM,07:52 AM,05:56 PM,11,15,15,15,3,14,77,0.0,1019,14,10,8,1,SAN
2018-01-04 06:00:00,20,14,0.0,8.7,5,81,09:16 PM,10:04 AM,07:52 AM,05:56 PM,11,15,15,15,10,5,75,0.0,1020,14,10,335,5,SAN
2018-01-04 09:00:00,20,14,0.0,8.7,5,81,09:16 PM,10:04 AM,07:52 AM,05:56 PM,10,19,19,19,3,18,55,0.0,1021,18,10,341,3,SAN
2018-01-04 12:00:00,20,14,0.0,8.7,5,81,09:16 PM,10:04 AM,07:52 AM,05:56 PM,9,21,21,21,13,15,49,0.0,1019,20,10,298,10,SAN
2018-01-04 15:00:00,20,14,0.0,8.7,5,81,09:16 PM,10:04 AM,07:52 AM,05:56 PM,11,20,20,20,17,16,56,0.0,1019,19,10,307,11,SAN
2018-01-04 18:00:00,20,14,0.0,8.7,5,81,09:16 PM,10:04 AM,07:52 AM,05:56 PM,11,17,17,17,13,11,66,0.0,1020,17,10,321,6,SAN
2018-01-04 21:00:00,20,14,0.0,8.7,5,81,09:16 PM,10:04 AM,07:52 AM,05:56 PM,12,17,17,17,17,0,73,0.0,1021,16,10,315,9,SAN
2018-01-05 00:00:00,20,15,0.0,8.7,5,74,10:22 PM,10:49 AM,07:52 AM,05:57 PM,12,16,16,16,18,11,79,0.0,1021,15,10,334,9,SAN
2018-01-05 03:00:00,20,15,0.0,8.7,5,74,10:22 PM,10:49 AM,07:52 AM,05:57 PM,12,16,16,16,10,33,81,0.0,1021,15,10,43,5,SAN
2018-01-05 06:00:00,20,15,0.0,8.7,5,74,10:22 PM,10:49 AM,07:52 AM,05:57 PM,13,17,17,17,2,4,79,0.0,1021,15,10,43,1,SAN
2018-01-05 09:00:00,20,15,0.0,8.7,5,74,10:22 PM,10:49 AM,07:52 AM,05:57 PM,15,21,24,21,8,0,65,0.0,1022,19,10,312,7,SAN
2018-01-05 12:00:00,20,15,0.0,8.7,5,74,10:22 PM,10:49 AM,07:52 AM,05:57 PM,14,20,20,20,15,1,66,0.0,1021,20,10,306,13,SAN
2018-01-05 15:00:00,20,15,0.0,8.7,5,74,10:22 PM,10:49 AM,07:52 AM,05:57 PM,14,18,18,18,25,2,79,0.0,1020,18,10,312,16,SAN
