date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-1,-3,0.4,5.1,1,97,06:42 PM,07:49 AM,08:29 AM,06:46 PM,-9,-8,-2,-8,24,100,58,0.0,1037,-2,10,13,21,SAT
2018-01-01 03:00:00,-1,-3,0.4,5.1,1,97,06:42 PM,07:49 AM,08:29 AM,06:46 PM,-10,-8,-2,-8,30,100,55,0.0,1037,-2,10,19,25,SAT
2018-01-01 06:00:00,-1,-3,0.4,5.1,1,97,06:42 PM,07:49 AM,08:29 AM,06:46 PM,-14,-8,-3,-8,24,100,42,0.0,1040,-2,10,14,20,SAT
2018-01-01 09:00:00,-1,-3,0.4,5.1,1,97,06:42 PM,07:49 AM,08:29 AM,06:46 PM,-14,-9,-3,-9,25,100,39,0.0,1040,-3,10,22,21,SAT
2018-01-01 12:00:00,-1,-3,0.4,5.1,1,97,06:42 PM,07:49 AM,08:29 AM,06:46 PM,-11,-7,-2,-7,16,100,53,0.0,1041,-2,10,13,14,SAT
2018-01-01 15:00:00,-1,-3,0.4,5.1,1,97,06:42 PM,07:49 AM,08:29 AM,06:46 PM,-9,-5,-1,-5,16,100,53,0.5,1038,-1,8,27,13,SAT
2018-01-01 18:00:00,-1,-3,0.4,5.1,1,97,06:42 PM,07:49 AM,08:29 AM,06:46 PM,-12,-5,-1,-5,13,61,42,0.0,1038,-1,10,18,10,SAT
2018-01-01 21:00:00,-1,-3,0.4,5.1,1,97,06:42 PM,07:49 AM,08:29 AM,06:46 PM,-14,-6,-2,-6,18,51,40,0.0,1038,-2,10,44,14,SAT
2018-01-02 00:00:00,3,-1,0.0,5.1,1,100,07:48 PM,08:52 AM,08:29 AM,06:47 PM,-13,-5,-1,-5,11,90,41,0.0,1037,-1,10,41,9,SAT
2018-01-02 03:00:00,3,-1,0.0,5.1,1,100,07:48 PM,08:52 AM,08:29 AM,06:47 PM,-13,-6,-1,-6,16,92,41,0.0,1036,-1,10,46,12,SAT
2018-01-02 06:00:00,3,-1,0.0,5.1,1,100,07:48 PM,08:52 AM,08:29 AM,06:47 PM,-13,-5,-1,-5,12,97,41,0.0,1036,-1,10,39,10,SAT
2018-01-02 09:00:00,3,-1,0.0,5.1,1,100,07:48 PM,08:52 AM,08:29 AM,06:47 PM,-13,-5,-1,-5,16,94,39,0.0,1036,-1,10,53,12,SAT
2018-01-02 12:00:00,3,-1,0.0,5.1,1,100,07:48 PM,08:52 AM,08:29 AM,06:47 PM,-11,-2,1,-2,10,65,41,0.0,1035,1,10,30,9,SAT
2018-01-02 15:00:00,3,-1,0.0,5.1,1,100,07:48 PM,08:52 AM,08:29 AM,06:47 PM,-9,1,3,1,11,69,38,0.0,1032,3,10,44,9,SAT
2018-01-02 18:00:00,3,-1,0.0,5.1,1,100,07:48 PM,08:52 AM,08:29 AM,06:47 PM,-8,-3,1,-3,17,84,51,0.0,1034,0,10,5,13,SAT
