date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01 00:00:00,-14,-18,0.4,3.4,1,97,06:22 PM,08:26 AM,09:13 AM,06:25 PM,-15,-22,-14,-22,29,79,88,0.0,1038,-14,10,292,18,SBN
2018-01-01 03:00:00,-14,-18,0.4,3.4,1,97,06:22 PM,08:26 AM,09:13 AM,06:25 PM,-16,-24,-15,-24,31,88,92,0.1,1039,-15,5,287,19,SBN
2018-01-01 06:00:00,-14,-18,0.4,3.4,1,97,06:22 PM,08:26 AM,09:13 AM,06:25 PM,-17,-25,-17,-25,24,94,93,0.0,1039,-17,10,285,15,SBN
2018-01-01 09:00:00,-14,-18,0.4,3.4,1,97,06:22 PM,08:26 AM,09:13 AM,06:25 PM,-17,-26,-16,-26,30,92,93,0.2,1040,-16,5,276,21,SBN
2018-01-01 12:00:00,-14,-18,0.4,3.4,1,97,06:22 PM,08:26 AM,09:13 AM,06:25 PM,-15,-23,-14,-23,25,87,89,0.0,1040,-14,10,277,19,SBN
2018-01-01 15:00:00,-14,-18,0.4,3.4,1,97,06:22 PM,08:26 AM,09:13 AM,06:25 PM,-15,-23,-14,-23,26,90,91,0.2,1040,-14,5,273,19,SBN
2018-01-01 18:00:00,-14,-18,0.4,3.4,1,97,06:22 PM,08:26 AM,09:13 AM,06:25 PM,-17,-26,-17,-26,29,77,93,0.0,1041,-17,10,253,18,SBN
2018-01-01 21:00:00,-14,-18,0.4,3.4,1,97,06:22 PM,08:26 AM,09:13 AM,06:25 PM,-19,-27,-18,-27,27,67,94,0.1,1042,-18,10,249,16,SBN
2018-01-02 00:00:00,-15,-21,0.0,8.7,1,100,07:29 PM,09:31 AM,09:13 AM,06:26 PM,-20,-28,-19,-28,28,66,95,0.0,1041,-19,10,247,16,SBN
2018-01-02 03:00:00,-15,-21,0.0,8.7,1,100,07:29 PM,09:31 AM,09:13 AM,06:26 PM,-20,-28,-20,-28,25,42,94,0.0,1040,-20,10,236,14,SBN
2018-01-02 06:00:00,-15,-21,0.0,8.7,1,100,07:29 PM,09:31 AM,09:13 AM,06:26 PM,-23,-31,-21,-31,28,22,90,0.0,1039,-21,10,231,16,SBN
2018-01-02 09:00:00,-15,-21,0.0,8.7,1,100,07:29 PM,09:31 AM,09:13 AM,06:26 PM,-21,-29,-19,-29,25,22,88,0.0,1038,-19,10,233,17,SBN
2018-01-02 12:00:00,-15,-21,0.0,8.7,1,100,07:29 PM,09:31 AM,09:13 AM,06:26 PM,-18,-25,-16,-25,25,8,85,0.0,1035,-16,10,236,19,SBN
2018-01-02 15:00:00,-15,-21,0.0,8.7,1,100,07:29 PM,09:31 AM,09:13 AM,06:26 PM,-17,-24,-15,-24,29,9,85,0.0,1032,-15,10,231,21,SBN
